* Measurement data measured by REW V5.20.13
* Source: Auriculares con micrófono (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Volumen general), L, volume: 0,530. Timing signal peak level -32,8 dBFS, measurement signal peak level -32,0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 25-jul-2023 12:21:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Stock Cable + foams Delay -0,0728 ms (-25 mm, -0,98 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -3,4 ppm
* Measurement: Blon Jojo L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.366	-148.2792
20.299999	98.393	-148.9811
20.600000	98.418	-149.6572
20.900000	98.442	-150.3021
21.200001	98.466	-150.9151
21.400000	98.481	-151.3072
21.799999	98.514	-152.0569
22.000000	98.531	-152.4184
22.400000	98.566	-153.1263
22.700001	98.593	-153.6544
23.000000	98.619	-154.1886
23.299999	98.642	-154.7298
23.600000	98.660	-155.2731
24.000000	98.678	-155.9877
24.299999	98.686	-156.5049
24.700001	98.693	-157.1614
25.000000	98.696	-157.6300
25.400000	98.699	-158.2307
25.799999	98.703	-158.8143
26.200001	98.707	-159.3873
26.500000	98.711	-159.8115
26.900000	98.716	-160.3713
27.200001	98.721	-160.7891
27.600000	98.729	-161.3468
28.000000	98.738	-161.9075
28.500000	98.748	-162.6080
29.000000	98.757	-163.2954
29.500000	98.765	-163.9607
30.000000	98.774	-164.6040
30.400000	98.780	-165.1057
30.700001	98.784	-165.4749
31.100000	98.788	-165.9567
31.500000	98.791	-166.4243
32.000000	98.791	-166.9869
32.500000	98.789	-167.5236
33.000000	98.785	-168.0328
33.500000	98.781	-168.5163
34.000000	98.778	-168.9861
34.500000	98.778	-169.4644
35.000000	98.778	-169.9683
35.500000	98.775	-170.4960
36.000000	98.765	-171.0238
36.500000	98.752	-171.5224
37.000000	98.738	-171.9762
37.500000	98.728	-172.3943
38.200001	98.725	-172.9712
38.700001	98.726	-173.4075
39.500000	98.722	-174.1399
40.000000	98.714	-174.5832
40.599998	98.699	-175.0694
41.200001	98.685	-175.5092
41.799999	98.674	-175.9315
42.500000	98.662	-176.4350
43.099998	98.650	-176.8842
43.700001	98.634	-177.3462
44.400002	98.608	-177.8814
45.000000	98.580	-178.2999
45.500000	98.557	-178.5981
46.200001	98.539	-178.9597
46.799999	98.539	-179.2864
47.500000	98.551	-179.7697
48.200001	98.560	179.6266
48.700001	98.558	179.1503
49.400002	98.541	178.4825
50.000000	98.513	177.9664
50.799999	98.466	177.4125
51.500000	98.426	177.0524
52.200001	98.392	176.7917
53.000000	98.370	176.5696
53.799999	98.367	176.3057
54.500000	98.369	175.9655
55.200001	98.362	175.5574
56.000000	98.342	175.0865
57.000000	98.312	174.4993
58.000000	98.271	173.8798
59.000000	98.212	173.3185
60.000000	98.150	172.9047
60.799999	98.112	172.6324
61.500000	98.087	172.3822
62.200001	98.063	172.1057
63.000000	98.036	171.7720
64.000000	98.000	171.3538
65.000000	97.963	170.9439
66.000000	97.927	170.5513
67.000000	97.892	170.1804
68.000000	97.861	169.8141
69.000000	97.830	169.4372
70.000000	97.796	169.0612
71.000000	97.757	168.7066
72.000000	97.718	168.3724
73.000000	97.679	168.0463
74.000000	97.641	167.7212
75.000000	97.603	167.3926
76.199997	97.558	166.9955
77.500000	97.510	166.5727
78.800003	97.461	166.1680
80.000000	97.415	165.8217
81.199997	97.371	165.4975
82.500000	97.324	165.1545
83.800003	97.276	164.8185
85.000000	97.230	164.5182
86.199997	97.184	164.2277
87.500000	97.134	163.9165
88.500000	97.096	163.6730
90.000000	97.038	163.3040
91.199997	96.992	163.0227
92.500000	96.943	162.7440
93.800003	96.898	162.4916
95.000000	96.859	162.2854
96.199997	96.821	162.1060
97.500000	96.784	161.9093
98.800003	96.744	161.6611
100.000000	96.697	161.3954
101.500000	96.626	161.0853
103.000000	96.553	160.8253
104.400002	96.492	160.5985
106.000000	96.431	160.3356
107.500000	96.377	160.0882
109.000000	96.322	159.8498
110.599998	96.263	159.6174
112.000000	96.209	159.4323
113.800003	96.141	159.2028
115.000000	96.097	159.0494
117.199997	96.017	158.7767
118.000000	95.989	158.6825
120.599998	95.899	158.3901
122.000000	95.850	158.2375
124.099998	95.774	158.0115
125.000000	95.741	157.9183
126.500000	95.684	157.7725
128.000000	95.629	157.6399
131.500000	95.506	157.3679
132.000000	95.489	157.3318
134.000000	95.420	157.1884
136.000000	95.351	157.0467
138.000000	95.284	156.9153
140.000000	95.219	156.7943
143.000000	95.121	156.6159
145.000000	95.055	156.5026
147.500000	94.971	156.3686
150.000000	94.890	156.2501
152.500000	94.809	156.1637
155.000000	94.728	156.0991
157.500000	94.648	156.0383
160.000000	94.568	155.9738
162.500000	94.489	155.9191
165.000000	94.412	155.8809
167.500000	94.338	155.8526
170.000000	94.266	155.8227
172.500000	94.196	155.7909
175.000000	94.125	155.7575
177.500000	94.049	155.7224
180.000000	93.971	155.7011
182.500000	93.896	155.7126
185.000000	93.825	155.7559
187.500000	93.756	155.8071
190.000000	93.689	155.8464
192.500000	93.622	155.8755
195.000000	93.557	155.9097
197.500000	93.492	155.9590
200.000000	93.428	156.0213
203.000000	93.352	156.1040
206.000000	93.277	156.1920
209.000000	93.201	156.2875
212.000000	93.126	156.3917
214.000000	93.077	156.4601
218.000000	92.982	156.5831
220.000000	92.936	156.6450
224.000000	92.845	156.7852
227.000000	92.777	156.9017
230.000000	92.708	157.0304
233.000000	92.640	157.1746
236.000000	92.573	157.3270
240.000000	92.485	157.5298
243.000000	92.421	157.6797
247.000000	92.338	157.8824
250.000000	92.277	158.0449
254.000000	92.196	158.2809
258.000000	92.117	158.5250
