* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 3, 2022 5:05:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AFUL R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.309	-168.9948
20.299999	93.316	-169.4951
20.600000	93.316	-169.9771
20.900000	93.310	-170.4492
21.200001	93.298	-170.9200
21.400000	93.287	-171.2380
21.799999	93.261	-171.8937
22.000000	93.245	-172.2367
22.400000	93.210	-172.9626
22.700001	93.181	-173.5441
23.000000	93.149	-174.1531
23.299999	93.116	-174.7787
23.600000	93.083	-175.4099
24.000000	93.043	-176.2481
24.299999	93.019	-176.8731
24.700001	92.996	-177.7110
25.000000	92.986	-178.3501
25.400000	92.978	-179.2153
25.799999	92.972	179.9281
26.200001	92.965	179.1169
26.500000	92.961	178.5559
26.900000	92.957	177.8761
27.200001	92.956	177.4087
27.600000	92.957	176.8224
28.000000	92.957	176.2587
28.500000	92.950	175.5776
29.000000	92.932	174.9359
29.500000	92.904	174.3419
30.000000	92.871	173.7772
30.400000	92.843	173.3222
30.700001	92.822	172.9680
31.100000	92.792	172.4706
31.500000	92.760	171.9440
32.000000	92.718	171.2545
32.500000	92.673	170.5500
33.000000	92.630	169.8545
33.500000	92.590	169.1833
34.000000	92.557	168.5371
34.500000	92.531	167.9025
35.000000	92.510	167.2687
35.500000	92.488	166.6418
36.000000	92.462	166.0436
36.500000	92.434	165.4936
37.000000	92.404	164.9924
37.500000	92.376	164.5220
38.200001	92.336	163.8724
38.700001	92.307	163.3976
39.500000	92.254	162.6183
40.000000	92.219	162.1243
40.599998	92.175	161.5282
41.200001	92.131	160.9328
41.799999	92.088	160.3453
42.500000	92.037	159.6805
43.099998	91.995	159.1358
43.700001	91.955	158.6171
44.400002	91.910	158.0386
45.000000	91.873	157.5524
45.500000	91.842	157.1465
46.200001	91.797	156.5762
46.799999	91.756	156.0869
47.500000	91.705	155.5173
48.200001	91.650	154.9683
48.700001	91.610	154.6080
49.400002	91.558	154.1522
50.000000	91.522	153.7737
50.799999	91.481	153.2294
51.500000	91.443	152.7195
52.200001	91.399	152.2149
53.000000	91.345	151.6611
53.799999	91.289	151.1238
54.500000	91.238	150.6669
55.200001	91.186	150.2250
56.000000	91.126	149.7424
57.000000	91.056	149.1854
58.000000	90.998	148.6590
59.000000	90.949	148.1015
60.000000	90.897	147.5070
60.799999	90.849	147.0365
61.500000	90.803	146.6457
62.200001	90.755	146.2792
63.000000	90.703	145.8802
64.000000	90.642	145.3703
65.000000	90.582	144.8232
66.000000	90.519	144.2720
67.000000	90.456	143.7514
68.000000	90.395	143.2596
69.000000	90.334	142.7857
70.000000	90.274	142.3275
71.000000	90.212	141.8863
72.000000	90.151	141.4602
73.000000	90.091	141.0400
74.000000	90.032	140.6196
75.000000	89.973	140.2025
76.199997	89.901	139.7149
77.500000	89.824	139.2078
78.800003	89.749	138.7184
80.000000	89.681	138.2743
81.199997	89.614	137.8312
82.500000	89.542	137.3576
83.800003	89.470	136.8992
85.000000	89.404	136.4874
86.199997	89.338	136.0841
87.500000	89.266	135.6606
88.500000	89.211	135.3457
90.000000	89.131	134.8897
91.199997	89.067	134.5361
92.500000	88.999	134.1611
93.800003	88.931	133.7920
95.000000	88.870	133.4557
96.199997	88.809	133.1247
97.500000	88.744	132.7738
98.800003	88.681	132.4301
100.000000	88.623	132.1182
101.500000	88.549	131.7380
103.000000	88.476	131.3689
104.400002	88.408	131.0266
106.000000	88.332	130.6344
107.500000	88.263	130.2752
109.000000	88.195	129.9337
110.599998	88.124	129.5884
112.000000	88.063	129.2969
113.800003	87.987	128.9312
115.000000	87.936	128.6916
117.199997	87.844	128.2600
118.000000	87.811	128.1064
120.599998	87.705	127.6121
122.000000	87.647	127.3420
124.099998	87.559	126.9398
125.000000	87.522	126.7712
126.500000	87.462	126.4959
128.000000	87.403	126.2278
131.500000	87.271	125.6360
132.000000	87.253	125.5551
134.000000	87.177	125.2379
136.000000	87.102	124.9290
138.000000	87.028	124.6280
140.000000	86.957	124.3356
143.000000	86.854	123.9077
145.000000	86.789	123.6288
147.500000	86.711	123.2870
150.000000	86.635	122.9398
152.500000	86.554	122.5968
155.000000	86.471	122.2724
157.500000	86.392	121.9592
160.000000	86.316	121.6538
162.500000	86.244	121.3521
165.000000	86.174	121.0546
167.500000	86.107	120.7674
170.000000	86.040	120.4897
172.500000	85.975	120.2156
175.000000	85.909	119.9449
177.500000	85.845	119.6801
180.000000	85.781	119.4210
182.500000	85.720	119.1684
185.000000	85.660	118.9239
187.500000	85.602	118.6863
190.000000	85.545	118.4510
192.500000	85.489	118.2131
