* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 31, 2023 12:22:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: OKAVANGO UU L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.351	25.4377
20.299999	96.373	25.0040
20.600000	96.390	24.5858
20.900000	96.404	24.1778
21.200001	96.413	23.7748
21.400000	96.417	23.5059
21.799999	96.421	22.9629
22.000000	96.420	22.6877
22.400000	96.414	22.1296
22.700001	96.407	21.7059
23.000000	96.398	21.2779
23.299999	96.390	20.8429
23.600000	96.383	20.3978
24.000000	96.376	19.7852
24.299999	96.371	19.3130
24.700001	96.368	18.6737
25.000000	96.367	18.1936
25.400000	96.368	17.5597
25.799999	96.372	16.9386
26.200001	96.378	16.3364
26.500000	96.384	15.9022
26.900000	96.393	15.3531
27.200001	96.399	14.9665
27.600000	96.409	14.4842
28.000000	96.419	14.0348
28.500000	96.430	13.5090
29.000000	96.438	13.0118
29.500000	96.443	12.5323
30.000000	96.442	12.0579
30.400000	96.438	11.6765
30.700001	96.432	11.3884
31.100000	96.422	11.0021
31.500000	96.410	10.6133
32.000000	96.394	10.1212
32.500000	96.379	9.6179
33.000000	96.365	9.1021
33.500000	96.352	8.5792
34.000000	96.340	8.0584
34.500000	96.331	7.5478
35.000000	96.325	7.0515
35.500000	96.320	6.5709
36.000000	96.316	6.1082
36.500000	96.312	5.6670
37.000000	96.306	5.2487
37.500000	96.300	4.8503
38.200001	96.287	4.3145
38.700001	96.276	3.9424
39.500000	96.254	3.3597
40.000000	96.239	2.9976
40.599998	96.221	2.5584
41.200001	96.202	2.1126
41.799999	96.185	1.6627
42.500000	96.166	1.1360
43.099998	96.151	0.6881
43.700001	96.137	0.2521
44.400002	96.120	-0.2328
45.000000	96.106	-0.6281
45.500000	96.095	-0.9466
46.200001	96.077	-1.3805
46.799999	96.060	-1.7436
47.500000	96.038	-2.1605
48.200001	96.014	-2.5714
48.700001	95.996	-2.8599
49.400002	95.972	-3.2600
50.000000	95.953	-3.6097
50.799999	95.930	-4.0976
51.500000	95.909	-4.5346
52.200001	95.887	-4.9622
53.000000	95.863	-5.4318
53.799999	95.839	-5.8876
54.500000	95.817	-6.2770
55.200001	95.794	-6.6542
56.000000	95.767	-7.0683
57.000000	95.733	-7.5663
58.000000	95.699	-8.0551
59.000000	95.665	-8.5403
60.000000	95.632	-9.0157
60.799999	95.604	-9.3846
61.500000	95.580	-9.6994
62.200001	95.556	-10.0079
63.000000	95.528	-10.3549
64.000000	95.493	-10.7835
65.000000	95.456	-11.2075
66.000000	95.420	-11.6263
67.000000	95.384	-12.0400
68.000000	95.350	-12.4493
69.000000	95.316	-12.8550
70.000000	95.281	-13.2542
71.000000	95.246	-13.6403
72.000000	95.209	-14.0124
73.000000	95.173	-14.3750
74.000000	95.137	-14.7328
75.000000	95.101	-15.0888
76.199997	95.057	-15.5104
77.500000	95.010	-15.9530
78.800003	94.962	-16.3780
80.000000	94.918	-16.7558
81.199997	94.875	-17.1240
82.500000	94.828	-17.5185
83.800003	94.782	-17.9062
85.000000	94.740	-18.2527
86.199997	94.698	-18.5929
87.500000	94.652	-18.9583
88.500000	94.616	-19.2358
90.000000	94.562	-19.6460
91.199997	94.519	-19.9669
92.500000	94.473	-20.3022
93.800003	94.427	-20.6199
95.000000	94.384	-20.8942
96.199997	94.339	-21.1489
97.500000	94.289	-21.4041
98.800003	94.240	-21.6494
100.000000	94.198	-21.8922
101.500000	94.145	-22.2404
103.000000	94.090	-22.6077
104.400002	94.038	-22.9329
106.000000	93.979	-23.2733
107.500000	93.926	-23.5655
109.000000	93.874	-23.8408
110.599998	93.818	-24.1290
112.000000	93.769	-24.3823
113.800003	93.704	-24.7061
115.000000	93.661	-24.9141
117.199997	93.581	-25.2692
118.000000	93.552	-25.3915
120.599998	93.460	-25.7747
122.000000	93.410	-25.9730
124.099998	93.336	-26.2582
125.000000	93.305	-26.3765
126.500000	93.256	-26.5709
128.000000	93.208	-26.7651
131.500000	93.095	-27.2266
132.000000	93.078	-27.2913
134.000000	93.009	-27.5388
136.000000	92.938	-27.7657
138.000000	92.866	-27.9737
140.000000	92.794	-28.1650
143.000000	92.691	-28.4312
145.000000	92.627	-28.5998
147.500000	92.549	-28.7988
150.000000	92.472	-28.9872
152.500000	92.393	-29.1726
155.000000	92.315	-29.3547
157.500000	92.239	-29.5252
160.000000	92.163	-29.6856
162.500000	92.084	-29.8484
165.000000	92.004	-30.0146
167.500000	91.926	-30.1715
170.000000	91.849	-30.3120
172.500000	91.772	-30.4368
175.000000	91.696	-30.5470
177.500000	91.621	-30.6438
180.000000	91.545	-30.7286
182.500000	91.469	-30.8028
185.000000	91.394	-30.8647
187.500000	91.320	-30.9070
190.000000	91.244	-30.9213
192.500000	91.167	-30.9070
195.000000	91.091	-30.8698
197.500000	91.018	-30.8141
200.000000	90.948	-30.7457
203.000000	90.871	-30.6615
206.000000	90.800	-30.5793
209.000000	90.740	-30.4900
212.000000	90.690	-30.3771
214.000000	90.659	-30.2858
218.000000	90.598	-30.1276
220.000000	90.569	-30.1031
224.000000	90.516	-30.1835
227.000000	90.478	-30.2923
230.000000	90.431	-30.3992
233.000000	90.373	-30.5061
236.000000	90.309	-30.6036
240.000000	90.223	-30.6821
243.000000	90.158	-30.7084
247.000000	90.069	-30.7427
250.000000	90.003	-30.7712
254.000000	89.914	-30.7870
258.000000	89.824	-30.7728
262.000000	89.737	-30.7393
265.000000	89.674	-30.7018
269.000000	89.592	-30.6405
272.000000	89.532	-30.5900
276.000000	89.452	-30.5185
280.000000	89.372	-30.4389
285.000000	89.275	-30.3064
290.000000	89.181	-30.1460
295.000000	89.090	-29.9882
300.000000	89.000	-29.8310
304.000000	88.929	-29.6950
307.000000	88.877	-29.5870
311.000000	88.809	-29.4392
315.000000	88.741	-29.2886
320.000000	88.658	-29.0945
325.000000	88.576	-28.8931
330.000000	88.495	-28.6807
335.000000	88.417	-28.4572
340.000000	88.340	-28.2289
345.000000	88.265	-27.9963
350.000000	88.191	-27.7558
355.000000	88.116	-27.5087
360.000000	88.043	-27.2547
365.000000	87.972	-26.9892
370.000000	87.903	-26.7129
375.000000	87.836	-26.4270
382.000000	87.748	-26.0088
387.000000	87.689	-25.7013
395.000000	87.605	-25.2137
400.000000	87.556	-24.9287
406.000000	87.498	-24.6224
412.000000	87.439	-24.3495
418.000000	87.378	-24.0890
425.000000	87.302	-23.7723
431.000000	87.236	-23.4798
437.000000	87.169	-23.1716
444.000000	87.094	-22.8028
450.000000	87.031	-22.4797
455.000000	86.980	-22.2021
462.000000	86.908	-21.8011
468.000000	86.848	-21.4481
475.000000	86.780	-21.0260
482.000000	86.714	-20.5966
487.000000	86.668	-20.2891
494.000000	86.606	-19.8582
500.000000	86.555	-19.4856
508.000000	86.486	-18.9819
515.000000	86.428	-18.5383
522.000000	86.371	-18.0939
530.000000	86.308	-17.5841
538.000000	86.246	-17.0713
545.000000	86.194	-16.6241
552.000000	86.142	-16.1871
560.000000	86.082	-15.7056
570.000000	85.998	-15.1136
580.000000	85.895	-14.4488
590.000000	85.782	-13.5425
600.000000	85.696	-12.3566
608.000000	85.663	-11.3685
615.000000	85.651	-10.5786
622.000000	85.644	-9.8671
630.000000	85.635	-9.1089
640.000000	85.620	-8.1741
650.000000	85.606	-7.2131
660.000000	85.596	-6.2283
670.000000	85.595	-5.2410
680.000000	85.605	-4.2729
690.000000	85.627	-3.3418
700.000000	85.660	-2.4570
710.000000	85.704	-1.6177
720.000000	85.758	-0.8236
730.000000	85.821	-0.0836
740.000000	85.888	0.5896
750.000000	85.959	1.1887
762.000000	86.047	1.8083
775.000000	86.138	2.3650
788.000000	86.222	2.8192
800.000000	86.291	3.1668
812.000000	86.351	3.4716
825.000000	86.405	3.7819
838.000000	86.450	4.0893
850.000000	86.484	4.3807
862.000000	86.514	4.6903
875.000000	86.543	5.0518
885.000000	86.565	5.3468
900.000000	86.598	5.8158
912.000000	86.626	6.2097
925.000000	86.658	6.6450
938.000000	86.694	7.0818
950.000000	86.729	7.4826
962.000000	86.767	7.8792
975.000000	86.811	8.3031
988.000000	86.858	8.7204
1000.000000	86.904	9.0990
1015.000000	86.964	9.5579
1030.000000	87.028	9.9928
1044.000000	87.089	10.3729
1060.000000	87.160	10.7732
1075.000000	87.229	11.1157
1090.000000	87.299	11.4321
1106.000000	87.372	11.7450
1120.000000	87.436	11.9971
1138.000000	87.517	12.2889
1150.000000	87.571	12.4635
1172.000000	87.669	12.7476
1180.000000	87.703	12.8410
1206.000000	87.814	13.1139
1220.000000	87.871	13.2439
1241.000000	87.955	13.4216
1250.000000	87.990	13.4923
1265.000000	88.047	13.6028
1280.000000	88.104	13.7051
1315.000000	88.232	13.9268
1320.000000	88.250	13.9581
1340.000000	88.322	14.0839
1360.000000	88.393	14.2095
1380.000000	88.463	14.3322
1400.000000	88.532	14.4506
1430.000000	88.637	14.6147
1450.000000	88.709	14.7170
1475.000000	88.799	14.8414
1500.000000	88.890	14.9602
1525.000000	88.984	15.0672
1550.000000	89.080	15.1537
1575.000000	89.180	15.2111
1600.000000	89.283	15.2368
1625.000000	89.388	15.2288
1650.000000	89.494	15.1814
1675.000000	89.603	15.0929
1700.000000	89.712	14.9629
1725.000000	89.822	14.7854
1750.000000	89.931	14.5560
1775.000000	90.039	14.2776
1800.000000	90.145	13.9512
1825.000000	90.248	13.5733
1850.000000	90.347	13.1431
1875.000000	90.441	12.6634
1900.000000	90.530	12.1374
1925.000000	90.614	11.5675
1950.000000	90.692	10.9567
1975.000000	90.761	10.3085
2000.000000	90.823	9.6285
2030.000000	90.887	8.7818
2060.000000	90.938	7.9133
2090.000000	90.976	7.0295
2120.000000	91.002	6.1386
2140.000000	91.012	5.5463
2180.000000	91.016	4.3804
2200.000000	91.011	3.8120
2240.000000	90.986	2.7137
2270.000000	90.956	1.9325
2300.000000	90.917	1.1956
2330.000000	90.871	0.5087
2360.000000	90.818	-0.1247
2400.000000	90.740	-0.8835
2430.000000	90.676	-1.3855
2470.000000	90.586	-1.9612
2500.000000	90.517	-2.3243
2540.000000	90.423	-2.7214
2580.000000	90.331	-3.0219
2620.000000	90.241	-3.2304
2650.000000	90.177	-3.3297
2690.000000	90.096	-3.3887
2720.000000	90.039	-3.3794
2760.000000	89.970	-3.3028
2800.000000	89.908	-3.1638
2850.000000	89.843	-2.9117
2900.000000	89.794	-2.5848
2950.000000	89.761	-2.2004
3000.000000	89.743	-1.7687
3040.000000	89.742	-1.3955
3070.000000	89.749	-1.1048
3110.000000	89.769	-0.7123
3150.000000	89.802	-0.3244
3200.000000	89.863	0.1385
3250.000000	89.944	0.5572
3300.000000	90.043	0.9107
3350.000000	90.161	1.1751
3400.000000	90.294	1.3234
3450.000000	90.443	1.3363
3500.000000	90.605	1.1956
3550.000000	90.776	0.8784
3600.000000	90.951	0.3642
3650.000000	91.126	-0.3620
3700.000000	91.294	-1.3157
3750.000000	91.449	-2.5071
3820.000000	91.629	-4.5592
3870.000000	91.722	-6.2627
3950.000000	91.788	-9.2694
4000.000000	91.772	-11.2117
4060.000000	91.695	-13.4637
4120.000000	91.568	-15.5189
4180.000000	91.408	-17.3361
4250.000000	91.203	-19.2319
4310.000000	91.015	-20.7892
4370.000000	90.802	-22.3589
4440.000000	90.504	-24.1696
4500.000000	90.194	-25.5868
4550.000000	89.896	-26.5786
4620.000000	89.426	-27.5565
4680.000000	88.987	-27.9381
4750.000000	88.450	-27.8064
4820.000000	87.904	-27.0514
4870.000000	87.518	-26.1446
4940.000000	86.997	-24.3956
5000.000000	86.576	-22.4915
5080.000000	86.064	-19.4446
5150.000000	85.671	-16.3688
5220.000000	85.335	-12.9766
5300.000000	85.028	-8.7959
5380.000000	84.806	-4.3774
5450.000000	84.680	-0.3731
5520.000000	84.619	3.7187
5600.000000	84.626	8.4630
5700.000000	84.754	14.4356
5800.000000	85.015	20.3709
5900.000000	85.414	26.1691
6000.000000	85.956	31.7222
6080.000000	86.495	35.9056
6150.000000	87.046	39.3098
6220.000000	87.671	42.4032
6300.000000	88.472	45.4446
6400.000000	89.586	48.2572
6500.000000	90.773	49.6032
6600.000000	91.950	49.0881
6700.000000	93.014	46.4565
6800.000000	93.861	41.7967
6900.000000	94.419	35.6937
7000.000000	94.668	29.1413
7100.000000	94.648	23.1817
7200.000000	94.439	18.5217
7300.000000	94.136	15.3974
7400.000000	93.826	13.6773
7500.000000	93.576	13.0336
7620.000000	93.420	13.1222
7750.000000	93.461	13.5158
7880.000000	93.708	13.3956
8000.000000	94.058	12.1385
8120.000000	94.419	9.2645
8250.000000	94.665	4.2294
8380.000000	94.617	-2.0108
8500.000000	94.251	-7.3999
8620.000000	93.619	-10.9429
8750.000000	92.814	-11.7698
8850.000000	92.298	-10.5152
9000.000000	91.993	-7.5261
9120.000000	92.154	-6.3307
9250.000000	92.449	-7.7408
9380.000000	92.562	-11.6524
9500.000000	92.381	-16.0572
9620.000000	91.954	-19.8816
9750.000000	91.318	-22.7075
9880.000000	90.595	-24.1918
10000.000000	89.903	-24.5482
