* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 31, 2023 12:02:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: T2 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.245	-140.1225
20.299999	92.263	-140.8510
20.600000	92.285	-141.5743
20.900000	92.310	-142.2862
21.200001	92.339	-142.9808
21.400000	92.360	-143.4311
21.799999	92.407	-144.2969
22.000000	92.432	-144.7102
22.400000	92.485	-145.4943
22.700001	92.525	-146.0437
23.000000	92.565	-146.5586
23.299999	92.604	-147.0390
23.600000	92.641	-147.4859
24.000000	92.687	-148.0345
24.299999	92.719	-148.4161
24.700001	92.755	-148.8942
25.000000	92.779	-149.2359
25.400000	92.804	-149.6758
25.799999	92.823	-150.1049
26.200001	92.836	-150.5306
26.500000	92.843	-150.8524
26.900000	92.849	-151.2902
27.200001	92.852	-151.6275
27.600000	92.855	-152.0906
28.000000	92.858	-152.5684
28.500000	92.862	-153.1833
29.000000	92.870	-153.8115
29.500000	92.882	-154.4434
30.000000	92.898	-155.0655
30.400000	92.913	-155.5477
30.700001	92.925	-155.8972
31.100000	92.943	-156.3443
31.500000	92.962	-156.7676
32.000000	92.984	-157.2604
32.500000	93.006	-157.7123
33.000000	93.026	-158.1281
33.500000	93.043	-158.5173
34.000000	93.057	-158.8911
34.500000	93.067	-159.2585
35.000000	93.074	-159.6242
35.500000	93.078	-159.9911
36.000000	93.080	-160.3617
36.500000	93.081	-160.7386
37.000000	93.083	-161.1233
37.500000	93.085	-161.5139
38.200001	93.090	-162.0606
38.700001	93.094	-162.4420
39.500000	93.102	-163.0215
40.000000	93.108	-163.3611
40.599998	93.117	-163.7462
41.200001	93.126	-164.1117
41.799999	93.134	-164.4636
42.500000	93.141	-164.8634
43.099998	93.144	-165.1982
43.700001	93.145	-165.5260
44.400002	93.146	-165.9024
45.000000	93.146	-166.2229
45.500000	93.147	-166.4892
46.200001	93.150	-166.8602
46.799999	93.153	-167.1758
47.500000	93.157	-167.5388
48.200001	93.163	-167.8955
48.700001	93.166	-168.1497
49.400002	93.169	-168.5060
50.000000	93.168	-168.8015
50.799999	93.162	-169.1595
51.500000	93.157	-169.4405
52.200001	93.154	-169.7119
53.000000	93.152	-170.0257
53.799999	93.150	-170.3426
54.500000	93.150	-170.6199
55.200001	93.149	-170.8960
56.000000	93.148	-171.2063
57.000000	93.147	-171.5815
58.000000	93.145	-171.9431
59.000000	93.141	-172.2960
60.000000	93.137	-172.6422
60.799999	93.132	-172.9135
61.500000	93.128	-173.1471
62.200001	93.125	-173.3778
63.000000	93.121	-173.6378
64.000000	93.117	-173.9561
