* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 26, 2023 10:17:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AS24 UDDU DUDD R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.251	10.6330
20.299999	94.250	10.0871
20.600000	94.251	9.5471
20.900000	94.253	9.0156
21.200001	94.256	8.4973
21.400000	94.258	8.1625
21.799999	94.263	7.5230
22.000000	94.267	7.2195
22.400000	94.277	6.6425
22.700001	94.288	6.2292
23.000000	94.301	5.8242
23.299999	94.315	5.4203
23.600000	94.329	5.0130
24.000000	94.348	4.4597
24.299999	94.359	4.0364
24.700001	94.370	3.4629
25.000000	94.374	3.0291
25.400000	94.374	2.4509
25.799999	94.370	1.8787
26.200001	94.360	1.3152
26.500000	94.352	0.8976
26.900000	94.339	0.3450
27.200001	94.328	-0.0677
27.600000	94.314	-0.6165
28.000000	94.299	-1.1625
28.500000	94.281	-1.8389
29.000000	94.266	-2.5083
29.500000	94.252	-3.1705
30.000000	94.239	-3.8225
30.400000	94.230	-4.3328
30.700001	94.223	-4.7068
31.100000	94.215	-5.1926
31.500000	94.207	-5.6642
32.000000	94.197	-6.2364
32.500000	94.187	-6.7932
33.000000	94.176	-7.3367
33.500000	94.162	-7.8663
34.000000	94.148	-8.3831
34.500000	94.133	-8.8912
35.000000	94.117	-9.3975
35.500000	94.100	-9.9069
36.000000	94.081	-10.4187
36.500000	94.062	-10.9284
37.000000	94.041	-11.4316
37.500000	94.021	-11.9275
38.200001	93.995	-12.6126
38.700001	93.977	-13.0981
39.500000	93.949	-13.8665
40.000000	93.931	-14.3375
40.599998	93.909	-14.8906
41.200001	93.888	-15.4311
41.799999	93.866	-15.9606
42.500000	93.841	-16.5672
43.099998	93.819	-17.0804
43.700001	93.797	-17.5896
44.400002	93.770	-18.1790
45.000000	93.747	-18.6793
45.500000	93.727	-19.0927
46.200001	93.699	-19.6661
46.799999	93.675	-20.1534
47.500000	93.646	-20.7194
