* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 16, 2023 12:36:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TIN C0 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.380	-133.0202
20.299999	85.391	-133.8743
20.600000	85.406	-134.7518
20.900000	85.429	-135.6459
21.200001	85.458	-136.5507
21.400000	85.482	-137.1562
21.799999	85.536	-138.3610
22.000000	85.567	-138.9517
22.400000	85.632	-140.0882
22.700001	85.685	-140.8854
23.000000	85.739	-141.6259
23.299999	85.796	-142.3112
23.600000	85.853	-142.9467
24.000000	85.928	-143.7266
24.299999	85.980	-144.2666
24.700001	86.042	-144.9305
25.000000	86.083	-145.3896
25.400000	86.129	-145.9589
25.799999	86.165	-146.4972
26.200001	86.193	-147.0248
26.500000	86.208	-147.4232
26.900000	86.221	-147.9658
27.200001	86.227	-148.3848
27.600000	86.230	-148.9622
28.000000	86.229	-149.5603
28.500000	86.226	-150.3300
29.000000	86.226	-151.1120
29.500000	86.234	-151.9016
30.000000	86.252	-152.7031
30.400000	86.273	-153.3542
30.700001	86.290	-153.8455
31.100000	86.315	-154.4952
31.500000	86.339	-155.1268
32.000000	86.368	-155.8723
32.500000	86.394	-156.5549
33.000000	86.417	-157.1720
33.500000	86.437	-157.7344
34.000000	86.454	-158.2605
34.500000	86.466	-158.7664
35.000000	86.474	-159.2595
35.500000	86.479	-159.7454
36.000000	86.482	-160.2358
36.500000	86.485	-160.7480
37.000000	86.486	-161.2933
37.500000	86.485	-161.8653
38.200001	86.479	-162.6722
38.700001	86.474	-163.2335
39.500000	86.467	-164.1097
40.000000	86.462	-164.6437
40.599998	86.454	-165.2484
41.200001	86.444	-165.7928
41.799999	86.438	-166.2903
42.500000	86.435	-166.8557
43.099998	86.432	-167.3468
43.700001	86.427	-167.8390
44.400002	86.420	-168.4130
45.000000	86.410	-168.9039
45.500000	86.399	-169.2956
46.200001	86.383	-169.7830
46.799999	86.378	-170.1499
47.500000	86.385	-170.5998
48.200001	86.396	-171.1455
48.700001	86.396	-171.5824
49.400002	86.382	-172.1900
50.000000	86.360	-172.6592
50.799999	86.326	-173.2010
51.500000	86.298	-173.6256
52.200001	86.272	-174.0359
53.000000	86.244	-174.5060
53.799999	86.215	-174.9655
54.500000	86.192	-175.3458
55.200001	86.174	-175.7232
56.000000	86.158	-176.1944
57.000000	86.135	-176.8570
58.000000	86.100	-177.5256
59.000000	86.060	-178.1337
60.000000	86.022	-178.6781
60.799999	85.994	-179.0872
61.500000	85.970	-179.4349
62.200001	85.945	-179.7719
63.000000	85.913	179.8581
64.000000	85.870	179.4104
65.000000	85.825	178.9559
66.000000	85.778	178.4697
67.000000	85.728	177.9626
68.000000	85.676	177.4713
69.000000	85.627	177.0098
70.000000	85.577	176.5776
71.000000	85.521	176.1820
72.000000	85.461	175.8148
73.000000	85.397	175.4341
74.000000	85.329	175.0021
75.000000	85.256	174.5287
76.199997	85.164	173.9555
77.500000	85.060	173.3959
78.800003	84.941	172.9832
80.000000	84.809	172.7310
81.199997	84.645	172.5553
82.500000	84.432	172.4301
83.800003	84.202	172.3759
85.000000	83.991	172.4695
86.199997	83.784	172.9053
87.500000	83.565	174.0786
88.500000	83.406	175.6103
90.000000	83.212	178.9092
91.199997	83.161	-177.9337
92.500000	83.296	-174.7252
93.800003	83.664	-172.5545
95.000000	84.163	-171.9016
96.199997	84.732	-172.4166
97.500000	85.335	-173.8363
98.800003	85.810	-175.7920
100.000000	86.028	-177.6296
101.500000	86.013	-179.0604
103.000000	85.857	-179.5820
104.400002	85.693	179.9688
106.000000	85.530	179.1042
107.500000	85.425	178.1035
109.000000	85.370	177.2007
110.599998	85.347	176.4557
112.000000	85.334	175.9050
113.800003	85.306	175.1465
115.000000	85.273	174.5604
117.199997	85.175	173.5766
118.000000	85.133	173.3250
120.599998	85.007	172.8240
122.000000	84.945	172.6129
124.099998	84.862	172.2427
125.000000	84.831	172.0729
126.500000	84.785	171.8162
128.000000	84.744	171.6193
131.500000	84.650	171.3032
132.000000	84.636	171.2607
134.000000	84.583	171.0776
136.000000	84.533	170.8900
138.000000	84.488	170.7317
140.000000	84.449	170.5758
143.000000	84.392	170.2596
145.000000	84.348	170.0286
147.500000	84.288	169.7660
150.000000	84.227	169.5400
152.500000	84.169	169.3487
155.000000	84.112	169.1876
157.500000	84.055	169.0597
160.000000	83.997	168.9489
162.500000	83.937	168.8400
165.000000	83.874	168.7407
167.500000	83.811	168.6615
170.000000	83.753	168.5834
172.500000	83.698	168.4969
175.000000	83.643	168.4270
177.500000	83.587	168.3963
180.000000	83.532	168.3976
182.500000	83.480	168.4114
