* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 16, 2023 2:08:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: UM INDIGO R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.825	-172.9397
20.299999	93.836	-173.6502
20.600000	93.847	-174.4371
20.900000	93.852	-175.2590
21.200001	93.851	-176.0625
21.400000	93.848	-176.5657
21.799999	93.845	-177.4855
22.000000	93.846	-177.9057
22.400000	93.854	-178.6931
22.700001	93.863	-179.2567
23.000000	93.868	-179.7968
23.299999	93.868	179.7098
23.600000	93.863	179.2869
24.000000	93.855	178.8516
24.299999	93.856	178.6016
24.700001	93.869	178.2982
25.000000	93.886	178.0280
25.400000	93.909	177.5508
25.799999	93.917	176.9406
26.200001	93.900	176.2659
26.500000	93.873	175.7709
26.900000	93.825	175.1667
27.200001	93.787	174.7557
27.600000	93.742	174.2328
28.000000	93.704	173.6908
28.500000	93.664	172.9474
29.000000	93.625	172.1512
29.500000	93.590	171.3470
30.000000	93.560	170.5524
30.400000	93.540	169.9187
30.700001	93.527	169.4456
31.100000	93.506	168.8348
31.500000	93.484	168.2717
32.000000	93.457	167.6631
32.500000	93.436	167.1465
33.000000	93.424	166.6625
33.500000	93.414	166.1614
34.000000	93.398	165.6385
34.500000	93.372	165.1249
35.000000	93.339	164.6412
35.500000	93.305	164.1742
36.000000	93.270	163.6932
36.500000	93.233	163.1853
37.000000	93.190	162.6685
37.500000	93.144	162.1721
38.200001	93.085	161.5290
38.700001	93.050	161.0844
39.500000	93.006	160.3499
40.000000	92.981	159.8814
40.599998	92.951	159.3263
41.200001	92.923	158.7785
41.799999	92.893	158.2332
42.500000	92.850	157.6223
43.099998	92.808	157.1495
43.700001	92.767	156.7206
44.400002	92.723	156.2360
45.000000	92.685	155.8088
45.500000	92.653	155.4440
46.200001	92.606	154.9238
46.799999	92.564	154.4691
47.500000	92.511	153.9422
48.200001	92.459	153.4387
48.700001	92.426	153.0844
49.400002	92.384	152.5579
50.000000	92.348	152.0621
50.799999	92.296	151.3679
51.500000	92.244	150.7756
52.200001	92.192	150.2236
53.000000	92.138	149.6406
53.799999	92.090	149.0765
54.500000	92.050	148.5839
55.200001	92.006	148.1166
56.000000	91.954	147.6471
57.000000	91.893	147.1370
