* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2022/03/07 12:22:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,359.1139 ms (466.176 m, 1529 ft 5 in)  relative to Loopback from 1: Out 1 to 2: In 2 with no timing offset
* Measurement: Audiosense AQ0 L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.7	-5.5215
20.600000	105.7	-70.4824
21.200001	105.7	-135.3896
21.799999	105.7	159.8076
22.400000	105.7	95.0596
23.000000	105.7	30.2871
23.600000	105.7	-34.5068
24.299999	105.7	-50.0020
25.000000	105.7	-65.3262
25.799999	105.7	-31.3682
26.500000	105.7	-46.7266
27.200001	105.7	-62.0840
28.000000	105.6	-28.1309
29.000000	105.6	104.3730
30.000000	105.6	-123.0371
30.700001	105.6	-138.1699
31.500000	105.5	-104.0332
32.500000	105.5	28.6836
33.500000	105.5	161.4902
34.500000	105.4	-65.6641
35.500000	105.4	67.1738
36.500000	105.4	-159.9727
37.500000	105.4	-27.0742
38.700001	105.3	-155.5879
40.000000	105.2	125.2734
41.200001	105.1	-3.0605
42.500000	105.1	-82.0781
43.700001	105.0	149.6309
45.000000	105.0	70.6914
46.200001	104.9	-57.4961
47.500000	104.8	-136.3027
48.700001	104.8	95.6543
50.000000	104.7	16.9355
51.500000	104.6	36.8555
53.000000	104.6	56.7812
54.500000	104.5	76.7168
56.000000	104.4	96.6641
58.000000	104.3	3.3242
60.000000	104.2	-89.9570
61.500000	104.1	-69.8672
63.000000	104.0	-49.7422
65.000000	103.9	-142.8672
67.000000	103.8	124.0605
69.000000	103.7	31.0430
71.000000	103.6	-61.9297
73.000000	103.5	-154.8672
75.000000	103.4	112.2305
77.500000	103.2	-93.8516
80.000000	103.1	60.1172
82.500000	103.0	-145.8711
85.000000	102.8	8.1953
87.500000	102.7	162.3242
90.000000	102.6	-43.4883
92.500000	102.4	110.6797
95.000000	102.3	-95.1367
97.500000	102.2	59.0938
100.000000	102.0	-146.6328
103.000000	101.9	-105.4375
106.000000	101.7	-64.2031
109.000000	101.6	-22.9375
112.000000	101.5	18.3555
115.000000	101.3	59.6797
118.000000	101.2	101.0352
122.000000	101.0	-83.7812
125.000000	100.9	-42.3672
128.000000	100.7	-0.9297
132.000000	100.6	174.3672
136.000000	100.4	-10.2969
140.000000	100.2	165.0781
145.000000	100.0	114.3438
150.000000	99.8	63.6406
155.000000	99.7	13.0312
160.000000	99.5	-37.5625
165.000000	99.3	-88.1250
170.000000	99.1	-138.6406
175.000000	98.9	170.8750
180.000000	98.6	120.4062
185.000000	98.5	69.9766
190.000000	98.3	19.5703
195.000000	98.2	-30.8125
200.000000	98.1	-81.1719
206.000000	98.0	2.4062
212.000000	97.8	86.0234
218.000000	97.6	169.6562
224.000000	97.5	-106.6875
230.000000	97.3	-23.0156
236.000000	97.2	60.6562
243.000000	97.0	-81.6953
250.000000	96.8	135.9766
258.000000	96.7	127.6406
265.000000	96.5	-14.6250
272.000000	96.3	-156.8438
280.000000	96.2	-165.0625
290.000000	96.0	94.7031
300.000000	95.8	-5.4375
307.000000	95.7	-147.5625
315.000000	95.6	-155.7812
325.000000	95.5	103.8125
335.000000	95.4	3.3594
345.000000	95.3	-97.0312
355.000000	95.1	162.5625
365.000000	95.0	62.1719
375.000000	94.9	-38.1719
387.000000	94.7	129.4375
400.000000	94.6	71.0312
412.000000	94.5	-121.3281
425.000000	94.3	-179.7188
437.000000	94.2	-12.0625
450.000000	94.1	-70.4062
462.000000	94.0	97.2188
475.000000	93.9	38.8594
487.000000	93.9	-153.4844
500.000000	93.8	148.1719
515.000000	93.7	-2.2656
530.000000	93.6	-152.7031
545.000000	93.6	56.8750
560.000000	93.5	-93.5625
580.000000	93.4	65.8750
600.000000	93.3	-134.6875
615.000000	93.3	74.8750
630.000000	93.3	-75.5312
650.000000	93.2	83.9062
670.000000	93.2	-116.6562
690.000000	93.2	42.7812
710.000000	93.2	-157.7188
730.000000	93.2	1.7500
750.000000	93.2	161.2812
775.000000	93.3	-89.1875
800.000000	93.4	20.4375
825.000000	93.6	129.5938
850.000000	93.7	-121.3438
875.000000	93.8	-12.2500
900.000000	93.9	96.8125
925.000000	94.1	-154.0938
950.000000	94.3	-45.1562
975.000000	94.5	63.6562
1000.000000	94.7	172.4062
1030.000000	95.0	-129.3750
1060.000000	95.2	-71.5000
1090.000000	95.5	-13.7500
1120.000000	95.8	43.6875
1150.000000	96.0	101.0000
1180.000000	96.3	158.3750
1220.000000	96.6	114.4375
1250.000000	96.8	171.3750
1280.000000	97.1	-131.6250
1320.000000	97.4	-175.8125
1360.000000	97.7	140.0000
1400.000000	98.0	95.6250
1450.000000	98.4	-49.8750
1500.000000	98.8	164.5625
1550.000000	99.3	18.7500
1600.000000	99.8	-127.1250
1650.000000	100.1	86.6875
1700.000000	100.4	-59.6875
1750.000000	100.6	153.7500
1800.000000	101.0	7.0000
1850.000000	101.5	-140.3125
1900.000000	101.9	72.2500
1950.000000	102.2	-75.5625
2000.000000	102.6	136.3750
2060.000000	102.9	-113.6250
2120.000000	103.1	-3.8125
2180.000000	103.2	105.7500
2240.000000	103.3	-144.5000
2300.000000	103.2	-34.7500
2360.000000	103.1	75.2500
2430.000000	102.8	84.2500
2500.000000	102.5	93.5000
2580.000000	102.1	2.0000
2650.000000	101.7	12.6250
2720.000000	101.3	23.5000
2800.000000	100.9	-66.0000
2900.000000	100.3	3.0000
3000.000000	99.8	72.7500
3070.000000	99.5	85.8750
3150.000000	99.3	-1.7500
3250.000000	99.1	69.1250
3350.000000	98.9	140.0000
3450.000000	98.9	-149.0000
3550.000000	98.8	-77.8750
3650.000000	98.8	-6.7500
3750.000000	98.8	64.1250
3870.000000	99.0	-66.7500
4000.000000	99.4	61.1250
4120.000000	99.7	-70.5000
4250.000000	100.1	56.5000
4370.000000	100.7	-76.2500
4500.000000	101.3	49.0000
4620.000000	101.9	-86.5000
4750.000000	102.5	35.5000
4870.000000	102.9	-102.5000
5000.000000	103.1	16.7500
5150.000000	103.0	-67.5000
5300.000000	102.4	-151.5000
5450.000000	101.5	127.2500
5600.000000	100.3	47.7500
5800.000000	98.4	-171.0000
6000.000000	98.1	-22.7500
6150.000000	98.4	-100.0000
6300.000000	97.9	-177.5000
6500.000000	97.1	-36.7500
6700.000000	96.6	106.0000
6900.000000	96.4	-110.5000
7100.000000	96.5	33.0000
7300.000000	96.9	176.0000
7500.000000	97.8	-41.5000
7750.000000	100.0	-44.5000
8000.000000	103.3	-52.2500
8250.000000	106.4	-71.2500
8500.000000	107.6	-105.0000
8750.000000	106.3	-138.5000
9000.000000	103.4	-157.0000
9250.000000	100.6	-166.5000
9500.000000	98.7	-171.0000
9750.000000	97.5	-174.0000
10000.000000	97.1	-178.0000
10300.000000	97.3	30.0000
10600.000000	97.8	-127.5000
10900.000000	97.7	67.0000
11200.000000	96.3	-99.5000
11500.000000	93.8	101.0000
11800.000000	91.1	-50.0000
12200.000000	88.3	-127.5000
12500.000000	86.7	83.5000
12800.000000	85.2	-63.0000
13200.000000	83.4	-137.0000
13600.000000	82.0	151.0000
14000.000000	81.3	81.0000
14500.000000	81.8	81.0000
15000.000000	83.9	79.0000
15500.000000	87.2	65.0000
16000.000000	89.0	28.0000
16500.000000	87.6	-12.0000
17000.000000	84.3	-32.0000
17500.000000	82.1	-44.0000
18000.000000	81.9	-57.0000
18500.000000	82.0	-106.0000
19000.000000	79.8	-34.0000
19500.000000	75.4	134.0000
20000.000000	70.0	36.0000
20600.000000	63.6	14.0000
21200.000000	58.5	69.0000
21800.000000	55.6	18.0000
