* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/09/06 18:26:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CALLA LC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.414	-166.1646
20.600000	106.433	-167.3128
21.200001	106.439	-168.4418
21.799999	106.436	-169.4684
22.400000	106.438	-170.3864
23.000000	106.452	-171.2808
23.600000	106.469	-172.2227
24.299999	106.479	-173.3454
25.000000	106.480	-174.4153
25.799999	106.478	-175.5648
26.500000	106.474	-176.5284
27.200001	106.470	-177.4571
28.000000	106.462	-178.5016
29.000000	106.442	-179.7865
30.000000	106.409	179.0251
30.700001	106.387	178.2436
31.500000	106.362	177.3605
32.500000	106.324	176.2631
33.500000	106.277	175.2415
34.500000	106.235	174.3002
35.500000	106.198	173.3562
36.500000	106.157	172.4190
37.500000	106.112	171.5064
38.700001	106.054	170.4655
40.000000	105.993	169.3925
41.200001	105.936	168.4077
42.500000	105.869	167.3789
43.700001	105.803	166.4769
45.000000	105.732	165.5641
46.200001	105.667	164.7613
47.500000	105.596	163.9351
48.700001	105.533	163.2083
50.000000	105.464	162.4000
51.500000	105.369	161.4955
53.000000	105.272	160.6690
54.500000	105.176	159.8561
56.000000	105.079	159.0801
58.000000	104.955	158.1013
60.000000	104.833	157.1779
61.500000	104.740	156.5257
63.000000	104.647	155.8984
65.000000	104.522	155.0889
67.000000	104.398	154.3248
69.000000	104.276	153.6087
71.000000	104.153	152.9286
73.000000	104.029	152.2890
75.000000	103.907	151.6830
77.500000	103.755	150.9736
80.000000	103.602	150.3061
82.500000	103.452	149.6701
85.000000	103.307	149.1108
87.500000	103.162	148.6873
90.000000	103.022	148.3224
92.500000	102.880	147.7534
95.000000	102.727	147.1919
97.500000	102.589	146.7548
100.000000	102.454	146.3886
103.000000	102.285	145.9927
106.000000	102.121	145.6194
109.000000	101.962	145.2877
112.000000	101.804	144.9975
115.000000	101.650	144.7299
118.000000	101.499	144.4838
122.000000	101.300	144.2060
125.000000	101.153	144.0241
128.000000	101.008	143.8661
132.000000	100.818	143.7018
136.000000	100.631	143.5778
140.000000	100.448	143.4912
145.000000	100.223	143.4432
150.000000	100.000	143.4521
155.000000	99.784	143.5059
160.000000	99.572	143.6349
165.000000	99.363	143.8510
170.000000	99.159	144.1754
175.000000	98.964	144.6294
180.000000	98.788	145.2212
185.000000	98.641	145.9078
190.000000	98.539	146.6227
195.000000	98.485	147.1727
200.000000	98.444	147.4307
206.000000	98.367	147.4133
212.000000	98.256	147.2023
218.000000	98.114	147.0345
224.000000	97.957	147.0135
230.000000	97.795	147.1088
236.000000	97.632	147.2755
243.000000	97.446	147.5669
250.000000	97.270	147.9346
258.000000	97.079	148.3905
265.000000	96.920	148.8236
272.000000	96.768	149.2891
280.000000	96.601	149.8433
290.000000	96.402	150.5660
300.000000	96.213	151.3201
307.000000	96.088	151.8593
315.000000	95.951	152.4860
325.000000	95.787	153.2872
335.000000	95.632	154.1010
345.000000	95.485	154.9267
355.000000	95.345	155.7567
365.000000	95.211	156.5882
375.000000	95.085	157.4284
387.000000	94.942	158.4475
400.000000	94.797	159.5623
412.000000	94.671	160.5908
425.000000	94.543	161.7052
437.000000	94.432	162.7396
450.000000	94.320	163.8616
462.000000	94.223	164.8936
475.000000	94.124	166.0145
487.000000	94.039	167.0521
500.000000	93.953	168.1764
515.000000	93.863	169.4755
530.000000	93.781	170.7729
545.000000	93.706	172.0636
560.000000	93.639	173.3521
580.000000	93.561	175.0669
600.000000	93.494	176.7674
615.000000	93.450	178.0386
630.000000	93.412	179.3085
650.000000	93.369	-178.9982
670.000000	93.336	-177.2871
690.000000	93.311	-175.5640
710.000000	93.293	-173.8083
730.000000	93.286	-171.9603
750.000000	93.312	-169.9784
775.000000	93.418	-167.7372
800.000000	93.510	-165.9514
825.000000	93.581	-164.0940
850.000000	93.667	-162.2200
875.000000	93.748	-160.3878
900.000000	93.830	-158.2888
925.000000	93.982	-156.0640
950.000000	94.179	-154.0896
975.000000	94.390	-152.3246
1000.000000	94.611	-150.7014
1030.000000	94.890	-148.9220
1060.000000	95.180	-147.3227
1090.000000	95.478	-145.8923
1120.000000	95.782	-144.6185
1150.000000	96.088	-143.4846
1180.000000	96.395	-142.4708
1220.000000	96.810	-141.2733
1250.000000	97.127	-140.4780
1280.000000	97.452	-139.7723
1320.000000	97.901	-138.9948
1360.000000	98.370	-138.4464
1400.000000	98.856	-138.1883
1450.000000	99.472	-138.3578
1500.000000	100.077	-139.1063
1550.000000	100.646	-140.3852
1600.000000	101.168	-142.0852
1650.000000	101.638	-144.0920
1700.000000	102.059	-146.3279
1750.000000	102.436	-148.7528
1800.000000	102.771	-151.3550
1850.000000	103.062	-154.1313
1900.000000	103.306	-157.0727
1950.000000	103.499	-160.1561
2000.000000	103.634	-163.3401
2060.000000	103.717	-167.2134
2120.000000	103.712	-171.0330
2180.000000	103.621	-174.6757
2240.000000	103.454	-178.0300
2300.000000	103.226	178.9883
2360.000000	102.953	176.4211
2430.000000	102.598	173.9503
2500.000000	102.221	172.0131
2580.000000	101.779	170.4098
2650.000000	101.397	169.4995
2720.000000	101.030	168.9946
2800.000000	100.639	168.8382
2900.000000	100.202	169.1481
3000.000000	99.828	169.8777
3070.000000	99.605	170.5676
3150.000000	99.388	171.4889
3250.000000	99.173	172.7779
3350.000000	99.019	174.1367
3450.000000	98.923	175.4837
3550.000000	98.879	176.7487
3650.000000	98.879	177.8694
3750.000000	98.917	178.7938
3870.000000	98.996	179.5818
4000.000000	99.102	179.9841
4120.000000	99.192	179.9362
4250.000000	99.253	179.5118
4370.000000	99.257	178.9167
4500.000000	99.199	178.2566
4620.000000	99.092	177.8204
4750.000000	98.942	177.6868
4870.000000	98.796	177.9276
5000.000000	98.657	178.5417
5150.000000	98.547	179.5494
5300.000000	98.500	-179.3468
5450.000000	98.501	-178.3418
5600.000000	98.525	-177.5432
5800.000000	98.517	-176.6850
6000.000000	98.449	-174.6645
6150.000000	98.679	-172.3455
6300.000000	98.973	-171.9413
6500.000000	99.119	-171.4824
6700.000000	99.314	-169.7687
6900.000000	99.708	-167.4169
7100.000000	100.395	-164.9245
7300.000000	101.491	-162.9962
7500.000000	103.113	-162.9285
7750.000000	105.743	-169.6517
8000.000000	107.780	169.0104
8250.000000	107.430	138.2989
8500.000000	104.748	118.4623
8750.000000	101.393	113.1459
9000.000000	98.577	115.3112
9250.000000	96.557	120.4835
9500.000000	95.206	126.7271
9750.000000	94.395	133.0417
10000.000000	94.048	138.6457
10300.000000	94.146	143.1685
10600.000000	94.566	143.4430
10900.000000	94.792	138.1108
11200.000000	94.213	129.4099
11500.000000	92.636	123.7150
11800.000000	90.582	125.3567
12200.000000	88.664	134.0535
12500.000000	87.979	138.6649
12800.000000	87.218	141.9282
13200.000000	86.009	148.9032
13600.000000	85.189	159.3840
14000.000000	85.270	171.3592
14500.000000	87.279	-176.0627
15000.000000	90.961	-177.6297
15500.000000	92.758	151.8958
16000.000000	90.150	121.9664
16500.000000	85.532	117.3983
17000.000000	81.869	122.2968
17500.000000	79.451	127.2176
18000.000000	77.559	130.5779
18500.000000	75.720	132.2325
19000.000000	73.646	133.3184
19500.000000	71.163	135.5550
20000.000000	68.153	142.5968
20600.000000	64.344	159.5884
21200.000000	61.324	-178.3300
21800.000000	59.642	-159.6944
