* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/12/04 4:22:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Cadenza RC2
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.798	23.4789
20.600000	103.831	22.1503
21.200001	103.864	20.8750
21.799999	103.894	19.6267
22.400000	103.919	18.4009
23.000000	103.937	17.2135
23.600000	103.949	16.0781
24.299999	103.957	14.8184
25.000000	103.961	13.6189
25.799999	103.962	12.3047
26.500000	103.958	11.1932
27.200001	103.951	10.1159
28.000000	103.938	8.9251
29.000000	103.914	7.5256
30.000000	103.898	6.2230
30.700001	103.890	5.2850
31.500000	103.869	4.1984
32.500000	103.827	2.9888
33.500000	103.795	1.9036
34.500000	103.764	0.8167
35.500000	103.726	-0.2304
36.500000	103.684	-1.2391
37.500000	103.638	-2.2139
38.700001	103.581	-3.3411
40.000000	103.513	-4.5050
41.200001	103.452	-5.5045
42.500000	103.388	-6.5522
43.700001	103.326	-7.4803
45.000000	103.254	-8.4365
46.200001	103.184	-9.2692
47.500000	103.106	-10.1152
48.700001	103.034	-10.8527
50.000000	102.960	-11.6155
51.500000	102.876	-12.5223
53.000000	102.786	-13.3821
54.500000	102.696	-14.1836
56.000000	102.606	-14.9362
58.000000	102.486	-15.8945
60.000000	102.364	-16.7762
61.500000	102.274	-17.4027
63.000000	102.181	-17.9904
65.000000	102.059	-18.7223
67.000000	101.938	-19.4192
69.000000	101.817	-20.0746
71.000000	101.693	-20.6707
73.000000	101.572	-21.2075
75.000000	101.448	-21.7141
77.500000	101.296	-22.2335
80.000000	101.156	-22.6271
82.500000	101.028	-23.0093
85.000000	100.910	-23.4436
87.500000	100.814	-23.8988
90.000000	100.720	-24.4114
92.500000	100.583	-24.8347
95.000000	100.438	-25.1415
97.500000	100.306	-25.4824
100.000000	100.183	-25.8056
103.000000	100.036	-26.1022
106.000000	99.891	-26.3659
109.000000	99.750	-26.6068
112.000000	99.613	-26.8030
115.000000	99.478	-26.9695
118.000000	99.346	-27.1094
122.000000	99.174	-27.2477
125.000000	99.048	-27.3260
128.000000	98.926	-27.3806
132.000000	98.766	-27.4240
136.000000	98.610	-27.4393
140.000000	98.458	-27.4191
145.000000	98.272	-27.3508
150.000000	98.092	-27.2370
155.000000	97.916	-27.0871
160.000000	97.744	-26.9036
165.000000	97.574	-26.6780
170.000000	97.405	-26.3867
175.000000	97.235	-26.0062
180.000000	97.065	-25.4735
185.000000	96.906	-24.7210
190.000000	96.786	-23.7498
195.000000	96.741	-22.7971
200.000000	96.764	-22.2234
206.000000	96.781	-22.0765
212.000000	96.730	-22.2590
218.000000	96.618	-22.3647
224.000000	96.489	-22.2969
230.000000	96.365	-22.1124
236.000000	96.245	-21.8329
243.000000	96.113	-21.4333
250.000000	95.988	-20.9996
258.000000	95.856	-20.4794
265.000000	95.747	-20.0002
272.000000	95.644	-19.5071
280.000000	95.533	-18.9318
290.000000	95.403	-18.1990
300.000000	95.283	-17.4597
307.000000	95.204	-16.9443
315.000000	95.117	-16.3533
325.000000	95.016	-15.6125
335.000000	94.921	-14.8735
345.000000	94.833	-14.1404
355.000000	94.750	-13.4113
365.000000	94.673	-12.6838
375.000000	94.601	-11.9617
387.000000	94.520	-11.1008
400.000000	94.438	-10.1753
412.000000	94.369	-9.3291
425.000000	94.301	-8.4205
437.000000	94.242	-7.5891
450.000000	94.183	-6.6957
462.000000	94.133	-5.8792
475.000000	94.084	-5.0013
487.000000	94.042	-4.1984
500.000000	94.001	-3.3366
515.000000	93.958	-2.3501
530.000000	93.921	-1.3732
545.000000	93.888	-0.4070
560.000000	93.861	0.5458
580.000000	93.832	1.7892
600.000000	93.815	2.9679
615.000000	93.809	3.7512
630.000000	93.792	4.3505
650.000000	93.671	5.0655
670.000000	93.498	7.0869
690.000000	93.544	9.3960
710.000000	93.635	10.8939
730.000000	93.692	12.1368
750.000000	93.727	13.3684
775.000000	93.765	15.0087
800.000000	93.818	16.7533
825.000000	93.894	18.5211
850.000000	93.991	20.2783
875.000000	94.108	22.0121
900.000000	94.245	23.7083
925.000000	94.404	25.3573
950.000000	94.583	26.9467
975.000000	94.783	28.4642
1000.000000	95.008	29.8941
1030.000000	95.313	31.4429
1060.000000	95.655	32.6974
1090.000000	96.017	33.5234
1120.000000	96.368	33.8798
1150.000000	96.681	33.8785
1180.000000	96.948	33.6982
1220.000000	97.248	33.3954
1250.000000	97.443	33.1880
1280.000000	97.621	33.0092
1320.000000	97.842	32.8136
1360.000000	98.048	32.6581
1400.000000	98.246	32.5329
1450.000000	98.484	32.4070
1500.000000	98.717	32.3007
1550.000000	98.948	32.2008
1600.000000	99.178	32.0911
1650.000000	99.410	31.9587
1700.000000	99.643	31.7948
1750.000000	99.878	31.5939
1800.000000	100.115	31.3535
1850.000000	100.357	31.0699
1900.000000	100.607	30.7164
1950.000000	100.864	30.2408
2000.000000	101.120	29.6157
2060.000000	101.415	28.7045
2120.000000	101.698	27.6667
2180.000000	101.969	26.5150
2240.000000	102.231	25.2474
2300.000000	102.480	23.8625
2360.000000	102.717	22.3585
2430.000000	102.973	20.4526
2500.000000	103.203	18.3959
2580.000000	103.430	15.8999
2650.000000	103.596	13.6244
2720.000000	103.731	11.2929
2800.000000	103.847	8.5958
2900.000000	103.939	5.2393
3000.000000	103.983	1.9606
3070.000000	103.992	-0.2839
3150.000000	103.986	-2.8345
3250.000000	103.948	-6.0539
3350.000000	103.866	-9.2972
3450.000000	103.737	-12.5105
3550.000000	103.559	-15.6405
3650.000000	103.334	-18.6373
3750.000000	103.065	-21.4478
3870.000000	102.698	-24.5098
4000.000000	102.270	-27.4854
4120.000000	101.847	-30.0842
4250.000000	101.328	-32.7380
4370.000000	100.783	-34.8381
4500.000000	100.133	-36.5617
4620.000000	99.495	-37.5668
4750.000000	98.781	-37.9696
4870.000000	98.114	-37.6803
5000.000000	97.390	-36.4786
5150.000000	96.650	-33.5104
5300.000000	96.266	-30.2168
5450.000000	95.959	-28.6534
5600.000000	95.501	-26.8146
5800.000000	94.942	-23.0381
6000.000000	94.549	-18.5571
6150.000000	94.365	-14.9868
6300.000000	94.277	-11.3203
6500.000000	94.319	-6.4034
6700.000000	94.561	-1.6716
6900.000000	95.022	2.5661
7100.000000	95.720	5.8622
7300.000000	96.645	7.5112
7500.000000	97.708	6.5671
7750.000000	98.900	0.3632
8000.000000	99.376	-10.8347
8250.000000	98.819	-22.3243
8500.000000	97.502	-29.2321
8750.000000	95.979	-30.5333
9000.000000	94.716	-27.8324
9250.000000	93.925	-23.4638
9500.000000	93.549	-19.2327
9750.000000	93.399	-15.8430
10000.000000	93.337	-12.9133
10300.000000	93.429	-9.1649
10600.000000	93.934	-5.3351
10900.000000	95.087	-3.1185
11200.000000	96.815	-6.2040
11500.000000	98.311	-19.4467
11800.000000	98.396	-41.5034
12200.000000	95.793	-64.3384
12500.000000	92.835	-69.1191
12800.000000	90.031	-67.0261
13200.000000	87.171	-59.6450
13600.000000	85.278	-50.6973
14000.000000	84.105	-41.9979
14500.000000	83.362	-32.9097
15000.000000	83.178	-27.0661
15500.000000	83.297	-25.9865
16000.000000	83.306	-31.0163
16500.000000	82.699	-42.0288
17000.000000	80.969	-56.1691
17500.000000	77.702	-64.5527
18000.000000	73.316	-58.5887
18500.000000	69.412	-44.4413
19000.000000	66.852	-32.8225
19500.000000	64.547	-24.3452
20000.000000	61.729	-13.3040
20600.000000	57.878	7.8174
21200.000000	54.130	38.2182
21800.000000	51.425	71.1282
