* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/03/31 16:43:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DORADO 2020 RC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.5	-164.7135
20.600000	104.5	-165.4421
21.200001	104.5	-166.1270
21.799999	104.5	-166.7813
22.400000	104.5	-167.4379
23.000000	104.5	-168.0911
23.600000	104.6	-168.6981
24.299999	104.6	-169.3341
25.000000	104.6	-169.9450
25.799999	104.6	-170.6648
26.500000	104.6	-171.2967
27.200001	104.6	-171.9132
28.000000	104.6	-172.6017
29.000000	104.6	-173.4417
30.000000	104.6	-174.2410
30.700001	104.6	-174.7614
31.500000	104.6	-175.3407
32.500000	104.6	-176.0701
33.500000	104.6	-176.7657
34.500000	104.6	-177.4603
35.500000	104.6	-178.1422
36.500000	104.6	-178.7492
37.500000	104.6	-179.3142
38.700001	104.6	-179.9731
40.000000	104.5	179.3932
41.200001	104.5	178.8521
42.500000	104.5	177.9429
43.700001	104.5	177.1441
45.000000	104.5	176.4030
46.200001	104.5	175.7398
47.500000	104.5	175.0354
48.700001	104.4	174.4055
50.000000	104.4	173.7667
51.500000	104.4	173.1161
53.000000	104.4	172.4691
54.500000	104.3	171.8102
56.000000	104.3	171.1655
58.000000	104.3	170.3093
60.000000	104.2	169.4610
61.500000	104.2	168.8575
63.000000	104.2	168.2994
65.000000	104.1	167.5641
67.000000	104.1	166.8151
69.000000	104.0	166.0901
71.000000	104.0	165.3918
73.000000	103.9	164.7166
75.000000	103.9	164.0496
77.500000	103.8	163.2353
80.000000	103.8	162.4532
82.500000	103.7	161.6945
85.000000	103.6	160.9370
87.500000	103.6	160.1842
90.000000	103.6	159.3608
92.500000	103.5	158.7059
95.000000	103.4	158.2938
97.500000	103.3	157.7140
100.000000	103.2	157.0917
103.000000	103.1	156.4040
106.000000	103.0	155.7461
109.000000	102.9	155.1026
112.000000	102.8	154.5296
115.000000	102.7	154.0514
118.000000	102.6	153.6245
122.000000	102.4	153.1879
125.000000	102.3	153.0345
128.000000	102.3	153.0075
132.000000	102.2	153.0841
136.000000	102.2	153.0714
140.000000	102.2	152.6591
145.000000	102.2	151.5024
150.000000	102.2	150.0870
155.000000	102.1	148.7998
160.000000	102.0	147.7050
165.000000	101.9	146.6798
170.000000	101.7	145.8361
175.000000	101.5	145.1365
180.000000	101.2	144.4792
185.000000	101.1	143.8683
190.000000	101.0	143.3100
195.000000	100.9	142.7869
200.000000	100.8	142.2979
206.000000	100.6	141.7741
212.000000	100.4	141.2918
218.000000	100.3	140.8391
224.000000	100.1	140.4222
230.000000	99.9	140.0426
236.000000	99.8	139.6959
243.000000	99.6	139.3260
250.000000	99.5	138.9901
258.000000	99.3	138.6388
265.000000	99.1	138.3691
272.000000	98.9	138.1285
280.000000	98.7	137.8866
290.000000	98.5	137.6363
300.000000	98.3	137.4365
307.000000	98.2	137.3240
315.000000	98.0	137.2192
325.000000	97.8	137.1292
335.000000	97.6	137.0811
345.000000	97.4	137.0721
355.000000	97.2	137.0962
365.000000	97.0	137.1529
375.000000	96.9	137.2474
387.000000	96.6	137.3997
400.000000	96.4	137.6019
412.000000	96.2	137.8121
425.000000	96.0	138.0692
437.000000	95.8	138.3364
450.000000	95.6	138.6606
462.000000	95.5	138.9847
475.000000	95.3	139.3655
487.000000	95.1	139.7433
500.000000	94.9	140.1776
515.000000	94.7	140.7097
530.000000	94.6	141.2677
545.000000	94.4	141.8472
560.000000	94.2	142.4347
580.000000	94.0	143.2102
600.000000	93.7	143.9858
615.000000	93.4	144.8615
630.000000	93.2	146.6588
650.000000	93.3	148.3400
670.000000	93.0	148.2521
690.000000	92.7	150.4670
710.000000	92.6	153.2608
730.000000	92.6	155.2236
750.000000	92.5	156.7880
775.000000	92.5	158.7092
800.000000	92.5	160.7360
825.000000	92.4	162.8793
850.000000	92.4	165.1150
875.000000	92.5	167.4281
900.000000	92.5	169.8003
925.000000	92.6	172.2036
950.000000	92.8	174.6118
975.000000	93.0	176.9996
1000.000000	93.2	179.3318
1030.000000	93.5	-177.9971
1060.000000	93.9	-175.5463
1090.000000	94.4	-173.4226
1120.000000	95.0	-171.7638
1150.000000	95.7	-170.7488
1180.000000	96.4	-170.5813
1220.000000	97.4	-171.9954
1250.000000	98.2	-174.4330
1280.000000	98.8	-178.0102
1320.000000	99.4	175.9026
1360.000000	99.6	169.2499
1400.000000	99.6	163.0635
1450.000000	99.3	156.9062
1500.000000	98.9	152.6699
1550.000000	98.5	149.9854
1600.000000	98.2	148.3856
1650.000000	97.8	147.5052
1700.000000	97.3	147.0972
1750.000000	96.9	147.0021
1800.000000	96.7	147.1230
1850.000000	96.6	147.3986
1900.000000	96.5	147.7886
1950.000000	96.4	148.2683
2000.000000	96.4	148.8192
2060.000000	96.4	149.5581
2120.000000	96.4	150.3694
2180.000000	96.4	151.2380
2240.000000	96.4	152.1490
2300.000000	96.5	153.0818
2360.000000	96.6	154.0134
2430.000000	96.8	155.0732
2500.000000	97.0	156.0780
2580.000000	97.3	157.1121
2650.000000	97.6	157.8495
2720.000000	97.9	158.3480
2800.000000	98.4	158.5064
2900.000000	99.0	157.8251
3000.000000	99.6	155.8024
3070.000000	100.0	153.4450
3150.000000	100.3	149.8328
3250.000000	100.6	144.3840
3350.000000	100.4	138.9530
3450.000000	99.9	134.8342
3550.000000	99.2	132.8706
3650.000000	98.4	133.1978
3750.000000	97.7	135.4440
3870.000000	97.2	139.8792
4000.000000	97.0	145.7867
4120.000000	97.1	151.4221
4250.000000	97.5	157.0070
4370.000000	98.1	161.1556
4500.000000	98.9	164.0508
4620.000000	99.8	164.8472
4750.000000	100.8	163.3686
4870.000000	101.5	159.8417
5000.000000	102.0	154.3452
5150.000000	102.0	147.5687
