* Measurement data measured by REW V5.20
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2021/09/24 15:51:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0000 ms (0 mm, 0 in)  relative to Loopback from 1: Analog 1 (1) to 1: Analog 1 (1) with no timing offset
* Measurement: Edifier NeoBuds Pro R
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.9	114.3846
20.600000	97.1	111.4807
21.200001	97.4	108.7258
21.799999	97.6	106.0391
22.400000	97.8	103.3585
23.000000	98.0	100.7699
23.600000	98.2	98.3597
24.299999	98.4	95.6673
25.000000	98.7	92.9380
25.799999	98.9	89.9124
26.500000	99.0	87.4340
27.200001	99.2	84.9966
28.000000	99.4	82.3531
29.000000	99.6	79.3449
30.000000	99.8	76.1770
30.700001	99.9	74.0723
31.500000	100.0	71.9452
32.500000	100.1	69.1973
33.500000	100.2	66.5248
34.500000	100.4	64.2515
35.500000	100.5	61.8218
36.500000	100.6	59.4897
37.500000	100.7	57.3716
38.700001	100.8	54.5727
40.000000	100.9	51.8174
41.200001	101.0	49.6082
42.500000	101.2	46.8839
43.700001	101.2	44.2036
45.000000	101.2	42.1006
46.200001	101.2	39.9915
47.500000	101.3	37.7972
48.700001	101.3	35.8517
50.000000	101.3	33.8420
51.500000	101.4	31.6650
53.000000	101.4	29.5723
54.500000	101.4	27.5693
56.000000	101.4	25.5975
58.000000	101.4	23.1170
60.000000	101.4	20.6144
61.500000	101.4	18.8787
63.000000	101.4	17.3540
65.000000	101.3	15.2106
67.000000	101.3	13.0367
69.000000	101.3	11.1281
71.000000	101.3	9.0259
73.000000	101.2	7.6052
75.000000	101.1	5.8979
77.500000	101.1	3.6277
80.000000	101.0	1.6990
82.500000	100.9	-0.1778
85.000000	100.8	-2.0481
87.500000	100.7	-3.5248
90.000000	100.6	-3.5702
92.500000	100.5	-6.9182
95.000000	100.3	-8.3730
97.500000	100.2	-9.8926
100.000000	100.1	-11.1755
103.000000	100.0	-12.6409
106.000000	99.8	-14.1935
109.000000	99.7	-15.5107
112.000000	99.5	-16.7142
115.000000	99.4	-17.9561
118.000000	99.2	-19.0145
122.000000	99.0	-20.3870
125.000000	98.8	-21.3238
128.000000	98.7	-22.1527
132.000000	98.5	-23.2101
136.000000	98.2	-24.0877
140.000000	98.0	-24.9221
145.000000	97.8	-25.6892
150.000000	97.5	-26.4619
155.000000	97.3	-26.9122
160.000000	97.0	-26.9236
165.000000	96.7	-27.2634
170.000000	96.5	-27.1827
175.000000	96.4	-26.5511
180.000000	96.1	-25.6042
185.000000	96.2	-25.6154
190.000000	96.1	-25.4148
195.000000	96.1	-26.0692
200.000000	96.0	-26.2108
206.000000	95.9	-26.3934
212.000000	95.8	-26.4448
218.000000	95.7	-26.4094
224.000000	95.6	-26.3994
230.000000	95.5	-26.4813
236.000000	95.4	-26.4301
243.000000	95.3	-26.4641
250.000000	95.3	-26.5330
258.000000	95.2	-26.5185
265.000000	95.1	-26.5740
272.000000	95.1	-26.5933
280.000000	95.0	-26.6348
290.000000	95.0	-26.7544
300.000000	94.9	-26.7156
307.000000	94.9	-26.7802
315.000000	94.8	-26.8311
325.000000	94.8	-27.0740
335.000000	94.7	-27.3325
345.000000	94.7	-27.4658
355.000000	94.6	-27.6963
365.000000	94.6	-27.9446
375.000000	94.5	-28.1210
387.000000	94.5	-28.3337
400.000000	94.4	-28.5640
412.000000	94.3	-28.6922
425.000000	94.3	-28.9340
437.000000	94.2	-28.9865
450.000000	94.2	-29.1230
462.000000	94.1	-29.1843
475.000000	94.1	-29.2302
487.000000	94.1	-29.2810
500.000000	94.0	-29.2721
515.000000	94.0	-29.3174
530.000000	94.0	-29.3436
545.000000	93.9	-29.3423
560.000000	93.9	-29.2373
580.000000	93.9	-29.1700
600.000000	93.9	-29.0835
615.000000	93.9	-28.9808
630.000000	93.9	-29.0548
650.000000	94.0	-29.1935
670.000000	94.0	-29.3539
690.000000	94.0	-29.5168
710.000000	94.1	-29.6583
730.000000	94.1	-29.7220
750.000000	94.1	-29.8121
775.000000	94.2	-29.9323
800.000000	94.3	-30.0070
825.000000	94.4	-30.1426
850.000000	94.5	-30.2662
875.000000	94.6	-30.4409
900.000000	94.7	-30.6373
925.000000	94.8	-30.8804
950.000000	95.0	-31.2378
975.000000	95.2	-31.6708
1000.000000	95.3	-32.2063
1030.000000	95.5	-32.9781
1060.000000	95.8	-33.9370
1090.000000	96.0	-35.0672
1120.000000	96.2	-36.3195
1150.000000	96.4	-37.7435
1180.000000	96.5	-39.2232
1220.000000	96.8	-41.3265
