* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/04/13 16:45:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HiTune T1 LC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.3	101.6152
20.600000	88.7	104.0885
21.200001	89.1	105.9978
21.799999	89.7	107.3816
22.400000	90.3	108.1631
23.000000	90.9	108.2183
23.600000	91.5	107.5876
24.299999	92.1	106.2557
25.000000	92.6	104.5969
25.799999	93.1	102.5914
26.500000	93.4	100.9197
27.200001	93.7	99.3725
28.000000	94.1	97.6547
29.000000	94.5	95.5963
30.000000	94.9	93.8821
30.700001	95.2	92.7249
31.500000	95.5	91.2364
32.500000	95.9	89.2852
33.500000	96.3	87.2775
34.500000	96.7	85.0410
35.500000	97.0	82.7353
36.500000	97.3	80.4377
37.500000	97.6	78.1074
38.700001	97.9	75.3018
40.000000	98.1	72.3079
41.200001	98.3	69.6955
42.500000	98.5	67.0507
43.700001	98.6	64.7417
45.000000	98.8	62.3772
46.200001	98.9	60.3080
47.500000	99.0	58.2310
48.700001	99.2	56.4358
50.000000	99.3	54.4654
51.500000	99.4	52.2595
53.000000	99.5	50.2198
54.500000	99.6	48.2369
56.000000	99.7	46.3099
58.000000	99.8	43.8611
60.000000	99.9	41.5171
61.500000	99.9	39.7978
63.000000	100.0	38.1035
65.000000	100.1	35.8831
67.000000	100.2	33.7164
69.000000	100.2	31.6152
71.000000	100.2	29.5504
73.000000	100.3	27.5596
75.000000	100.3	25.6317
77.500000	100.3	23.3023
80.000000	100.3	21.0624
82.500000	100.3	18.8989
85.000000	100.2	16.8409
87.500000	100.2	14.8841
90.000000	100.1	13.0068
92.500000	100.1	11.2179
95.000000	100.0	9.5215
97.500000	99.9	7.8821
100.000000	99.8	6.3152
103.000000	99.7	4.5636
106.000000	99.6	2.9142
109.000000	99.5	1.3495
112.000000	99.3	-0.1195
115.000000	99.2	-1.4844
