* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/07/29 19:35:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ATR LC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.096	-117.8938
20.600000	99.283	-119.3245
21.200001	99.458	-120.7406
21.799999	99.620	-122.1136
22.400000	99.776	-123.4297
23.000000	99.930	-124.7127
23.600000	100.079	-125.9855
24.299999	100.244	-127.4548
25.000000	100.397	-128.8824
25.799999	100.561	-130.4081
26.500000	100.709	-131.6870
27.200001	100.851	-133.0481
28.000000	100.974	-134.6663
29.000000	101.080	-136.3486
30.000000	101.208	-137.8157
30.700001	101.291	-138.9333
31.500000	101.368	-140.1396
32.500000	101.478	-141.5322
33.500000	101.590	-143.0779
34.500000	101.676	-144.6253
35.500000	101.751	-146.0593
36.500000	101.820	-147.4012
37.500000	101.884	-148.6441
38.700001	101.953	-150.0594
40.000000	102.022	-151.4713
41.200001	102.084	-152.8089
42.500000	102.131	-154.2670
43.700001	102.170	-155.5446
45.000000	102.215	-156.9242
46.200001	102.255	-158.1907
47.500000	102.293	-159.5261
48.700001	102.323	-160.7210
50.000000	102.339	-161.9631
51.500000	102.349	-163.1890
53.000000	102.368	-164.3804
54.500000	102.377	-165.5881
56.000000	102.378	-166.7354
58.000000	102.383	-168.2069
60.000000	102.380	-169.6387
61.500000	102.373	-170.6584
63.000000	102.362	-171.6565
65.000000	102.339	-172.9430
67.000000	102.313	-174.1683
69.000000	102.283	-175.3264
71.000000	102.255	-176.4218
73.000000	102.222	-177.5134
75.000000	102.184	-178.5603
77.500000	102.135	-179.8001
80.000000	102.084	179.0410
82.500000	102.025	177.9261
85.000000	101.961	176.8430
87.500000	101.901	175.7806
90.000000	101.838	174.7627
92.500000	101.770	173.8824
95.000000	101.702	173.0426
97.500000	101.628	172.1978
100.000000	101.553	171.3819
103.000000	101.472	170.4154
106.000000	101.385	169.4963
109.000000	101.293	168.6844
112.000000	101.200	167.9193
115.000000	101.107	167.1704
118.000000	101.016	166.4613
122.000000	100.893	165.5634
125.000000	100.800	164.9093
128.000000	100.706	164.2834
132.000000	100.579	163.5396
136.000000	100.451	162.8528
140.000000	100.324	162.1844
145.000000	100.166	161.3972
150.000000	100.004	160.6767
155.000000	99.834	160.0472
160.000000	99.666	159.4490
165.000000	99.502	158.8773
170.000000	99.335	158.4006
175.000000	99.164	157.9016
