* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/05/22 19:26:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDX Ultra LC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.899	-142.7178
20.600000	101.977	-144.0270
21.200001	102.051	-145.2932
21.799999	102.118	-146.5494
22.400000	102.175	-147.7727
23.000000	102.222	-148.9229
23.600000	102.268	-149.9972
24.299999	102.323	-151.1951
25.000000	102.377	-152.3720
25.799999	102.433	-153.6947
26.500000	102.475	-154.8158
27.200001	102.511	-155.8958
28.000000	102.546	-157.0759
29.000000	102.583	-158.4519
30.000000	102.620	-159.7369
30.700001	102.646	-160.6302
31.500000	102.670	-161.6606
32.500000	102.685	-162.8816
33.500000	102.696	-164.0037
34.500000	102.706	-165.0873
35.500000	102.713	-166.1146
36.500000	102.723	-167.1355
37.500000	102.725	-168.1471
38.700001	102.726	-169.3090
40.000000	102.721	-170.5200
41.200001	102.720	-171.5472
42.500000	102.720	-172.6410
43.700001	102.712	-173.6164
45.000000	102.696	-174.6150
46.200001	102.677	-175.5105
47.500000	102.651	-176.4684
48.700001	102.618	-177.3345
50.000000	102.583	-178.1675
51.500000	102.565	-179.1070
53.000000	102.544	179.9170
54.500000	102.516	179.0027
56.000000	102.483	178.1598
58.000000	102.432	177.0884
60.000000	102.376	176.0328
61.500000	102.330	175.2598
63.000000	102.286	174.5161
65.000000	102.227	173.5788
67.000000	102.166	172.6915
69.000000	102.102	171.8442
71.000000	102.037	171.0138
73.000000	101.972	170.2165
75.000000	101.909	169.4664
77.500000	101.822	168.5826
80.000000	101.728	167.7292
82.500000	101.640	166.8965
85.000000	101.553	166.1774
87.500000	101.447	165.6136
90.000000	101.336	165.1587
92.500000	101.261	164.3802
95.000000	101.177	163.4927
97.500000	101.096	162.8321
100.000000	101.009	162.2831
103.000000	100.892	161.6574
106.000000	100.779	161.0574
109.000000	100.666	160.4998
112.000000	100.552	159.9627
115.000000	100.437	159.4667
118.000000	100.324	159.0256
122.000000	100.174	158.4732
125.000000	100.058	158.0895
128.000000	99.939	157.7515
132.000000	99.784	157.3450
136.000000	99.628	156.9969
140.000000	99.470	156.7069
145.000000	99.266	156.5038
150.000000	99.065	156.5383
155.000000	98.885	156.8331
160.000000	98.752	157.3448
165.000000	98.690	157.7202
170.000000	98.664	157.7189
175.000000	98.627	157.4529
180.000000	98.557	157.0100
185.000000	98.455	156.5690
190.000000	98.332	156.2164
195.000000	98.202	155.9642
200.000000	98.074	155.7996
206.000000	97.924	155.6979
212.000000	97.776	155.6782
218.000000	97.634	155.7108
224.000000	97.498	155.7517
230.000000	97.369	155.8114
236.000000	97.242	155.8993
243.000000	97.097	156.0234
250.000000	96.956	156.1971
258.000000	96.799	156.4337
265.000000	96.665	156.6639
272.000000	96.535	156.9215
280.000000	96.392	157.2454
290.000000	96.221	157.6908
300.000000	96.059	158.1730
307.000000	95.951	158.5273
315.000000	95.832	158.9467
325.000000	95.689	159.4898
335.000000	95.555	160.0501
345.000000	95.426	160.6230
355.000000	95.305	161.2061
365.000000	95.191	161.7963
375.000000	95.080	162.3894
387.000000	94.952	163.1103
400.000000	94.818	163.9079
412.000000	94.699	164.6629
425.000000	94.577	165.5046
437.000000	94.471	166.3068
450.000000	94.363	167.1982
462.000000	94.270	168.0483
475.000000	94.180	168.9847
487.000000	94.106	169.8416
500.000000	94.032	170.7467
515.000000	93.951	171.7700
530.000000	93.874	172.7970
545.000000	93.802	173.8364
560.000000	93.735	174.8872
580.000000	93.656	176.3052
600.000000	93.588	177.7408
615.000000	93.545	178.8217
630.000000	93.508	179.9120
650.000000	93.468	-178.6238
670.000000	93.439	-177.1510
690.000000	93.421	-175.6715
710.000000	93.415	-174.1846
730.000000	93.421	-172.6914
750.000000	93.440	-171.2006
775.000000	93.482	-169.3470
800.000000	93.546	-167.5189
825.000000	93.628	-165.7513
850.000000	93.722	-164.0231
875.000000	93.835	-162.2702
900.000000	93.980	-160.5547
925.000000	94.150	-158.9550
950.000000	94.341	-157.4944
975.000000	94.549	-156.1821
1000.000000	94.770	-155.0294
1030.000000	95.048	-153.8738
1060.000000	95.332	-152.9743
1090.000000	95.614	-152.3273
1120.000000	95.888	-151.9199
1150.000000	96.146	-151.7241
1180.000000	96.381	-151.7005
1220.000000	96.656	-151.8555
1250.000000	96.829	-152.0384
1280.000000	96.978	-152.2136
1320.000000	97.146	-152.3641
1360.000000	97.295	-152.3673
1400.000000	97.441	-152.2233
1450.000000	97.634	-151.9052
1500.000000	97.848	-151.5372
1550.000000	98.084	-151.2076
1600.000000	98.337	-150.9720
1650.000000	98.601	-150.8600
1700.000000	98.872	-150.8861
1750.000000	99.148	-151.0582
1800.000000	99.425	-151.3802
1850.000000	99.701	-151.8576
1900.000000	99.972	-152.4905
1950.000000	100.235	-153.2791
2000.000000	100.489	-154.2214
2060.000000	100.775	-155.5485
2120.000000	101.037	-157.0755
2180.000000	101.268	-158.7784
2240.000000	101.466	-160.6251
2300.000000	101.626	-162.5754
2360.000000	101.747	-164.5862
2430.000000	101.836	-166.9431
2500.000000	101.874	-169.2304
2580.000000	101.864	-171.6704
2650.000000	101.821	-173.6297
2720.000000	101.750	-175.4330
2800.000000	101.638	-177.2786
2900.000000	101.465	-179.2050
3000.000000	101.272	179.3044
3070.000000	101.135	178.5132
3150.000000	100.984	177.8418
3250.000000	100.816	177.3037
3350.000000	100.678	177.0338
3450.000000	100.578	176.9528
3550.000000	100.518	176.9854
3650.000000	100.502	177.0610
3750.000000	100.530	177.1048
3870.000000	100.620	177.0021
4000.000000	100.780	176.5436
4120.000000	100.971	175.6482
4250.000000	101.198	174.0165
4370.000000	101.396	171.7983
4500.000000	101.552	168.5882
4620.000000	101.597	164.9630
4750.000000	101.496	160.5727
4870.000000	101.241	156.4442
5000.000000	100.794	152.3253
5150.000000	100.093	148.5168
5300.000000	99.265	146.0197
5450.000000	98.380	144.8696
5600.000000	97.486	144.9417
5800.000000	96.321	146.9722
6000.000000	95.326	151.1806
6150.000000	94.768	155.0874
6300.000000	94.342	159.2856
6500.000000	93.957	165.3435
6700.000000	93.807	171.8878
6900.000000	93.943	178.7325
7100.000000	94.452	-174.4731
7300.000000	95.455	-168.4943
7500.000000	97.031	-165.0738
7750.000000	99.289	-169.6214
8000.000000	100.214	173.6446
8250.000000	99.004	159.6572
8500.000000	97.184	157.7346
8750.000000	96.146	161.0530
9000.000000	95.860	163.7085
9250.000000	95.793	163.9806
9500.000000	95.583	162.7174
9750.000000	95.147	161.4858
10000.000000	94.553	161.2625
10300.000000	93.767	162.9327
10600.000000	93.083	166.7332
10900.000000	92.671	172.0914
11200.000000	92.638	178.1129
11500.000000	93.031	-176.1129
11800.000000	93.873	-171.6160
12200.000000	95.550	-170.2346
12500.000000	96.812	-174.9435
12800.000000	97.527	175.1718
13200.000000	97.113	160.1499
13600.000000	95.534	152.1845
14000.000000	93.884	152.7052
14500.000000	93.033	159.3102
15000.000000	94.238	163.3166
15500.000000	95.881	151.3343
16000.000000	95.396	136.6109
16500.000000	94.403	117.8808
17000.000000	91.458	105.0914
17500.000000	88.299	103.5139
18000.000000	86.009	103.3587
18500.000000	84.056	100.5777
19000.000000	81.663	98.1216
19500.000000	78.712	100.5233
20000.000000	75.576	109.4312
20600.000000	72.376	126.8068
21200.000000	70.695	146.2926
21800.000000	70.606	160.1248
