* Measurement data measured by REW V5.20
* Source: ASIO hdspfire, Analog 2 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2022/01/25 15:06:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0046 ms (1.6 mm, 0.06 in)  relative to Loopback from 1: Analog 1 (1) to 1: Analog 1 (1) with no timing offset
* Measurement: RAI PENTA R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.3	-58.7826
20.600000	96.6	-61.2764
21.200001	96.9	-63.6573
21.799999	97.1	-65.8979
22.400000	97.4	-68.0186
23.000000	97.7	-70.1132
23.600000	97.9	-72.2414
24.299999	98.2	-74.6962
25.000000	98.4	-76.9960
25.799999	98.6	-79.4363
26.500000	98.9	-81.4937
27.200001	99.1	-83.5074
28.000000	99.3	-85.7151
29.000000	99.5	-88.3114
30.000000	99.8	-90.8954
30.700001	99.9	-92.6896
31.500000	100.1	-94.5659
32.500000	100.3	-96.7242
33.500000	100.5	-98.9399
34.500000	100.7	-101.1071
35.500000	100.8	-103.1327
36.500000	101.0	-105.0493
37.500000	101.1	-106.8865
38.700001	101.3	-109.0847
40.000000	101.4	-111.3905
41.200001	101.6	-113.4253
42.500000	101.7	-115.5697
43.700001	101.8	-117.4534
45.000000	102.0	-119.3696
46.200001	102.1	-121.0697
47.500000	102.2	-122.8186
48.700001	102.2	-124.3735
50.000000	102.3	-125.9842
51.500000	102.4	-127.7797
53.000000	102.5	-129.5168
54.500000	102.6	-131.2006
56.000000	102.7	-132.7899
58.000000	102.8	-134.8231
60.000000	102.8	-136.8085
61.500000	102.9	-138.2275
63.000000	103.0	-139.5803
65.000000	103.0	-141.2920
67.000000	103.1	-142.9323
69.000000	103.1	-144.5361
71.000000	103.2	-146.0648
73.000000	103.2	-147.5292
75.000000	103.2	-148.9450
77.500000	103.3	-150.6493
80.000000	103.3	-152.2552
82.500000	103.3	-153.7855
85.000000	103.3	-155.3055
87.500000	103.4	-156.8563
90.000000	103.4	-158.4261
92.500000	103.4	-159.6769
95.000000	103.4	-160.7206
97.500000	103.4	-161.8621
100.000000	103.4	-163.0489
103.000000	103.3	-164.4151
106.000000	103.3	-165.7288
109.000000	103.3	-167.0089
112.000000	103.3	-168.2203
115.000000	103.2	-169.3796
118.000000	103.2	-170.4868
122.000000	103.1	-171.7796
125.000000	103.1	-172.5996
128.000000	103.0	-173.3135
132.000000	102.9	-174.0527
136.000000	102.9	-174.5870
140.000000	102.9	-175.1385
145.000000	103.0	-176.1219
150.000000	103.0	-177.4306
155.000000	103.0	-178.8812
160.000000	103.0	179.6833
165.000000	103.0	178.2880
170.000000	102.9	177.0049
175.000000	102.9	175.8151
180.000000	102.8	174.6993
185.000000	102.7	173.6362
190.000000	102.7	172.6203
195.000000	102.6	171.6581
200.000000	102.5	170.7492
206.000000	102.4	169.7130
212.000000	102.3	168.7252
218.000000	102.2	167.7899
224.000000	102.1	166.8987
230.000000	102.0	166.0496
236.000000	101.9	165.2363
243.000000	101.8	164.3303
250.000000	101.7	163.4713
258.000000	101.6	162.5413
265.000000	101.4	161.7697
272.000000	101.3	161.0353
280.000000	101.1	160.2452
290.000000	100.9	159.3372
300.000000	100.7	158.5032
307.000000	100.5	157.9778
315.000000	100.3	157.4550
325.000000	100.0	156.9749
335.000000	99.6	156.8727
345.000000	99.2	157.6254
355.000000	98.7	160.1664
365.000000	98.5	165.1632
375.000000	99.0	170.4602
387.000000	100.1	171.5370
400.000000	100.7	167.0802
412.000000	100.8	162.6036
425.000000	100.5	158.9642
437.000000	100.2	156.5618
450.000000	99.7	155.1298
462.000000	99.3	155.2744
475.000000	98.9	156.6633
487.000000	98.8	158.0514
500.000000	98.7	159.0137
515.000000	98.7	159.5348
530.000000	98.7	159.7694
545.000000	98.6	159.9353
560.000000	98.5	160.1235
580.000000	98.4	160.4548
600.000000	98.3	160.8954
615.000000	98.2	161.2963
630.000000	98.1	161.7514
650.000000	98.0	162.4396
670.000000	98.0	163.2120
690.000000	97.9	164.0697
710.000000	97.8	164.9956
730.000000	97.8	165.9838
750.000000	97.8	167.0350
775.000000	97.8	168.4302
800.000000	97.8	169.8906
825.000000	97.8	171.4032
850.000000	97.9	172.9449
875.000000	98.1	174.4919
900.000000	98.2	176.0145
925.000000	98.4	177.4893
950.000000	98.6	178.8838
975.000000	98.8	-179.8286
1000.000000	99.1	-178.6686
1030.000000	99.5	-177.4708
1060.000000	99.8	-176.4941
1090.000000	100.2	-175.7429
1120.000000	100.6	-175.2016
1150.000000	101.0	-174.8526
1180.000000	101.5	-174.6803
1220.000000	102.0	-174.6924
1250.000000	102.4	-174.8627
1280.000000	102.9	-175.1677
1320.000000	103.4	-175.7825
1360.000000	104.0	-176.6531
1400.000000	104.6	-177.8488
1450.000000	105.4	-179.9126
1500.000000	106.1	177.3052
1550.000000	106.8	173.7796
1600.000000	107.4	169.5888
1650.000000	107.9	164.8961
1700.000000	108.3	159.9444
1750.000000	108.5	154.9880
1800.000000	108.6	150.2431
1850.000000	108.6	145.8799
1900.000000	108.6	142.0119
1950.000000	108.4	138.6987
2000.000000	108.2	135.9534
2060.000000	108.0	133.3801
2120.000000	107.8	131.5179
2180.000000	107.5	130.2632
2240.000000	107.3	129.5063
2300.000000	107.2	129.1497
2360.000000	107.1	129.1057
2430.000000	107.0	129.3337
2500.000000	107.1	129.7186
2580.000000	107.2	130.1004
2650.000000	107.5	130.0856
2720.000000	107.8	129.3991
2800.000000	108.2	127.4292
2900.000000	108.6	123.2050
3000.000000	108.6	118.0623
3070.000000	108.5	114.6498
3150.000000	108.3	111.3207
3250.000000	107.9	108.1035
3350.000000	107.4	105.8378
3450.000000	106.9	104.4299
3550.000000	106.4	103.8254
3650.000000	105.9	103.9671
3750.000000	105.4	104.7799
3870.000000	104.9	106.4947
4000.000000	104.5	108.9954
4120.000000	104.3	111.5437
4250.000000	104.2	114.0626
4370.000000	104.2	115.6367
4500.000000	104.2	116.0175
4620.000000	104.1	115.1606
4750.000000	103.7	113.9066
4870.000000	103.0	113.9027
5000.000000	102.0	116.3168
5150.000000	101.1	122.2874
5300.000000	100.4	130.5787
5450.000000	100.1	139.9142
5600.000000	100.2	149.4027
5800.000000	100.9	161.3765
6000.000000	102.1	171.7344
6150.000000	103.4	177.7997
6300.000000	105.0	-178.4135
6500.000000	107.3	-178.8311
6700.000000	109.1	172.7295
6900.000000	109.7	159.3171
7100.000000	109.2	148.5099
7300.000000	108.5	143.4327
7500.000000	108.0	141.4544
7750.000000	108.3	137.0835
8000.000000	108.5	124.1237
8250.000000	107.4	104.5063
8500.000000	104.5	91.2707
8750.000000	100.7	89.9045
9000.000000	96.9	96.5126
9250.000000	93.7	107.2760
9500.000000	91.1	120.3332
9750.000000	88.9	134.7427
10000.000000	87.1	149.9683
10300.000000	85.4	168.8733
10600.000000	84.1	-171.8396
10900.000000	83.2	-152.3638
11200.000000	82.7	-132.8852
11500.000000	82.6	-113.6266
11800.000000	82.9	-94.8057
12200.000000	84.0	-71.3743
12500.000000	85.6	-56.1581
12800.000000	87.6	-44.2580
13200.000000	91.0	-38.2373
13600.000000	93.2	-51.9655
14000.000000	92.3	-74.9016
14500.000000	87.1	-69.9368
15000.000000	84.2	-30.9448
15500.000000	87.3	-13.8342
16000.000000	89.0	-30.8284
16500.000000	86.4	-51.2697
17000.000000	80.9	-42.8474
17500.000000	75.5	-17.2255
18000.000000	72.0	14.5099
18500.000000	71.1	43.9129
19000.000000	71.1	61.0474
19500.000000	70.0	76.1720
20000.000000	69.0	97.8763
20600.000000	69.8	120.3593
21200.000000	73.5	137.0357
21800.000000	78.6	138.8475
