* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/05/13 20:33:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MUINE T1 R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.577	-154.6667
20.600000	95.780	-158.9651
21.200001	95.972	-162.9716
21.799999	96.177	-166.8345
22.400000	96.381	-170.7234
23.000000	96.564	-174.6107
23.600000	96.728	-178.3604
24.299999	96.919	177.4337
25.000000	97.109	173.2381
25.799999	97.295	168.4258
26.500000	97.425	164.3768
27.200001	97.546	160.5317
28.000000	97.689	156.2451
29.000000	97.855	150.9060
30.000000	97.999	145.6581
30.700001	98.093	142.0391
31.500000	98.189	137.9313
32.500000	98.286	132.9365
33.500000	98.383	128.1753
34.500000	98.490	123.4637
35.500000	98.579	118.7837
36.500000	98.662	114.2489
37.500000	98.745	109.7114
38.700001	98.813	104.3101
40.000000	98.869	98.7268
41.200001	98.923	93.7943
42.500000	98.996	88.5620
43.700001	99.051	83.7143
45.000000	99.086	78.5778
46.200001	99.108	73.9219
47.500000	99.125	68.9617
48.700001	99.138	64.4191
50.000000	99.144	59.6260
51.500000	99.168	54.2755
53.000000	99.193	48.9499
54.500000	99.204	43.7148
56.000000	99.206	38.5659
58.000000	99.200	31.7726
60.000000	99.180	25.0873
61.500000	99.162	20.1979
63.000000	99.143	15.3975
65.000000	99.117	9.0654
67.000000	99.082	2.8110
69.000000	99.040	-3.3340
71.000000	98.991	-9.3488
73.000000	98.941	-15.2742
75.000000	98.890	-21.1366
77.500000	98.824	-28.3568
80.000000	98.751	-35.4487
82.500000	98.667	-42.4285
85.000000	98.585	-49.3087
87.500000	98.512	-56.1118
90.000000	98.434	-62.8425
92.500000	98.334	-69.4099
95.000000	98.237	-75.8383
97.500000	98.144	-82.2216
100.000000	98.048	-88.5458
103.000000	97.923	-96.0298
106.000000	97.795	-103.4212
109.000000	97.667	-110.7079
112.000000	97.534	-117.8887
115.000000	97.399	-124.9924
118.000000	97.262	-132.0083
122.000000	97.073	-141.1940
125.000000	96.929	-147.9756
128.000000	96.784	-154.6794
132.000000	96.587	-163.4973
136.000000	96.384	-172.1665
140.000000	96.176	179.3125
145.000000	95.909	168.8313
150.000000	95.638	158.5800
155.000000	95.366	148.5664
160.000000	95.086	138.7531
165.000000	94.796	129.1371
170.000000	94.509	119.7231
175.000000	94.226	110.5282
180.000000	93.940	101.5488
185.000000	93.650	92.7872
190.000000	93.364	84.2310
195.000000	93.088	75.8787
200.000000	92.818	67.7024
206.000000	92.499	58.1582
212.000000	92.186	48.9016
218.000000	91.877	39.9576
224.000000	91.576	31.3782
230.000000	91.314	23.3127
236.000000	91.140	15.6631
243.000000	91.058	6.5442
250.000000	91.012	-3.0958
258.000000	90.936	-14.2358
265.000000	90.870	-23.8662
272.000000	90.822	-33.4127
280.000000	90.789	-44.2744
290.000000	90.767	-57.8119
300.000000	90.771	-71.3304
307.000000	90.781	-80.8027
315.000000	90.791	-91.6051
325.000000	90.803	-104.9902
335.000000	90.828	-118.1367
345.000000	90.900	-131.2257
355.000000	90.997	-144.5916
365.000000	91.067	-158.1350
375.000000	91.105	-171.6288
387.000000	91.125	172.3572
400.000000	91.131	155.2419
412.000000	91.124	139.6395
425.000000	91.107	122.9424
437.000000	91.085	107.7039
450.000000	91.050	91.3999
462.000000	91.013	76.5410
475.000000	90.966	60.6519
487.000000	90.918	46.1736
500.000000	90.863	30.7045
515.000000	90.792	13.1212
530.000000	90.714	-4.1548
545.000000	90.639	-21.0873
560.000000	90.583	-37.7024
580.000000	90.542	-59.6505
600.000000	90.483	-81.4690
615.000000	90.417	-97.5588
630.000000	90.347	-113.3687
650.000000	90.254	-134.0443
670.000000	90.166	-154.2894
690.000000	90.084	-174.1311
710.000000	90.009	166.3876
730.000000	89.945	147.2603
750.000000	89.889	128.4812
775.000000	89.832	105.4919
800.000000	89.794	83.0021
825.000000	89.777	60.9723
850.000000	89.781	39.3905
875.000000	89.805	18.2220
900.000000	89.854	-2.5708
925.000000	89.927	-23.0200
950.000000	90.023	-43.1570
975.000000	90.143	-63.0198
1000.000000	90.282	-82.6372
1030.000000	90.470	-105.8916
1060.000000	90.676	-128.8643
1090.000000	90.895	-151.5718
1120.000000	91.119	-174.0259
1150.000000	91.344	163.7754
1180.000000	91.566	141.8342
1220.000000	91.851	113.0015
1250.000000	92.057	91.7134
1280.000000	92.255	70.7278
1320.000000	92.505	43.2273
1360.000000	92.742	16.2883
1400.000000	92.969	-10.0811
1450.000000	93.243	-42.2532
1500.000000	93.507	-73.5605
1550.000000	93.767	-104.0237
1600.000000	94.026	-133.6733
1650.000000	94.285	-162.5542
1700.000000	94.546	169.3110
1750.000000	94.809	141.8916
1800.000000	95.075	115.1560
1850.000000	95.345	89.0706
1900.000000	95.616	63.6035
1950.000000	95.890	38.7322
2000.000000	96.165	14.4294
2060.000000	96.494	-14.0200
2120.000000	96.820	-41.7349
2180.000000	97.139	-68.7539
2240.000000	97.448	-95.1079
2300.000000	97.742	-120.8291
2360.000000	98.016	-145.9351
2430.000000	98.302	-174.4590
2500.000000	98.547	157.8223
2580.000000	98.763	127.1406
2650.000000	98.887	101.2107
2720.000000	98.944	76.1406
2800.000000	98.878	48.7642
2900.000000	98.742	17.4705
3000.000000	98.611	-12.2815
3070.000000	98.442	-31.9031
3150.000000	98.204	-52.8979
3250.000000	97.872	-77.0591
3350.000000	97.527	-99.0020
3450.000000	97.189	-118.8259
3550.000000	96.869	-136.6377
3650.000000	96.581	-152.5378
3750.000000	96.333	-166.6260
3870.000000	96.097	178.7080
4000.000000	95.925	165.3740
4120.000000	95.850	155.2268
4250.000000	95.858	146.3867
4370.000000	95.949	140.1201
4500.000000	96.162	135.2678
4620.000000	96.481	132.2451
4750.000000	96.936	130.1904
4870.000000	97.431	129.2380
5000.000000	98.028	129.0178
5150.000000	98.748	129.4189
5300.000000	99.394	130.1318
5450.000000	99.823	131.1763
5600.000000	99.913	133.2534
5800.000000	99.456	139.6953
6000.000000	98.503	152.5044
6150.000000	97.648	166.7573
6300.000000	96.808	-175.2642
6500.000000	95.851	-146.2546
6700.000000	95.178	-112.4277
6900.000000	94.842	-74.6196
7100.000000	94.910	-33.5283
7300.000000	95.494	9.6367
7500.000000	96.599	53.0586
7750.000000	98.502	103.7246
8000.000000	99.731	144.0898
8250.000000	98.564	-178.2458
8500.000000	95.176	-124.0176
8750.000000	91.205	-52.4456
9000.000000	87.719	29.3787
9250.000000	84.872	117.7490
9500.000000	82.531	-148.7698
9750.000000	80.580	-50.9009
10000.000000	78.943	50.9175
10300.000000	77.316	177.8813
10600.000000	76.006	-50.2712
10900.000000	74.980	86.1655
11200.000000	74.207	-133.0610
11500.000000	73.667	11.7830
11800.000000	73.346	160.5410
12200.000000	73.252	4.8959
12500.000000	73.454	162.5294
12800.000000	73.958	-36.2722
13200.000000	75.233	-176.4779
13600.000000	77.459	47.6592
14000.000000	80.985	-86.4751
14500.000000	85.985	-174.4301
15000.000000	87.456	74.7781
15500.000000	84.180	-14.2609
16000.000000	80.170	-69.4565
16500.000000	78.268	-112.0006
17000.000000	78.052	-155.3801
17500.000000	77.339	154.5449
18000.000000	74.305	113.2104
18500.000000	69.453	96.4177
19000.000000	64.553	98.4180
19500.000000	61.124	110.0681
20000.000000	59.909	124.6074
20600.000000	60.778	-153.2183
21200.000000	61.421	-95.5259
21800.000000	60.149	-119.1475
