* Measurement data measured by REW V5.20
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2021/09/19 4:04:51
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0331 ms (-11 mm, -0.45 in)  relative to Loopback from 1: Analog 1 (1) to 2: Analog 2 (1) with no timing offset
* Measurement: QCY HT03 R
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.5	-61.9025
20.600000	98.9	-64.6283
21.200001	99.1	-67.2946
21.799999	99.4	-69.8739
22.400000	99.7	-72.3270
23.000000	99.9	-74.6827
23.600000	100.2	-77.0164
24.299999	100.4	-79.7219
25.000000	100.7	-82.3149
25.799999	100.9	-85.1027
26.500000	101.2	-87.4767
27.200001	101.4	-89.8320
28.000000	101.6	-92.4634
29.000000	101.8	-95.5886
30.000000	102.1	-98.5384
30.700001	102.2	-100.5447
31.500000	102.4	-102.7638
32.500000	102.6	-105.4460
33.500000	102.7	-108.1066
34.500000	102.9	-110.6420
35.500000	103.0	-113.1264
36.500000	103.2	-115.5358
37.500000	103.3	-117.7642
38.700001	103.4	-120.4369
40.000000	103.6	-122.9899
41.200001	103.7	-125.6143
42.500000	103.8	-128.0558
43.700001	103.9	-130.0881
45.000000	104.0	-132.3262
46.200001	104.0	-134.5009
47.500000	104.1	-136.8403
48.700001	104.2	-138.8833
50.000000	104.2	-141.0341
51.500000	104.3	-143.4225
53.000000	104.3	-145.6937
54.500000	104.3	-147.8890
56.000000	104.4	-149.9740
58.000000	104.4	-152.7123
60.000000	104.4	-155.3445
61.500000	104.4	-157.2381
63.000000	104.4	-159.0530
65.000000	104.4	-161.4261
67.000000	104.3	-163.7939
69.000000	104.3	-165.9489
71.000000	104.2	-168.0820
73.000000	104.2	-170.1479
75.000000	104.1	-172.1599
77.500000	104.0	-174.5375
80.000000	103.9	-176.7697
82.500000	103.8	-178.9722
85.000000	103.7	178.8881
87.500000	103.6	176.8087
90.000000	103.6	175.0966
92.500000	103.3	173.1447
95.000000	103.2	171.3407
97.500000	103.0	169.5433
100.000000	102.9	167.8318
103.000000	102.7	165.9772
106.000000	102.4	164.1695
109.000000	102.2	162.4574
112.000000	102.0	160.8400
115.000000	101.7	159.3802
118.000000	101.5	157.9508
122.000000	101.1	156.2133
125.000000	100.9	155.0551
128.000000	100.6	153.9739
132.000000	100.2	152.7500
136.000000	99.8	151.7236
140.000000	99.4	150.8959
145.000000	98.9	150.0825
150.000000	98.4	149.8013
155.000000	97.8	149.9413
160.000000	97.3	150.5962
165.000000	96.8	151.7739
170.000000	96.5	153.3381
175.000000	96.2	154.4849
180.000000	95.9	155.8481
185.000000	95.6	157.1199
190.000000	95.3	159.0176
195.000000	95.0	160.4902
200.000000	94.8	162.4410
206.000000	94.6	164.8317
212.000000	94.4	167.1057
218.000000	94.4	169.6219
224.000000	94.3	171.7377
230.000000	94.4	173.6413
236.000000	94.5	174.8763
243.000000	94.5	176.4399
250.000000	94.6	177.5997
258.000000	94.6	178.5129
265.000000	94.6	179.1662
272.000000	94.6	-179.6835
280.000000	94.6	-179.1218
290.000000	94.6	-178.2183
300.000000	94.6	-177.5066
307.000000	94.6	-176.7564
315.000000	94.5	-176.1466
325.000000	94.5	-175.2620
335.000000	94.5	-174.4615
345.000000	94.4	-173.6016
355.000000	94.4	-172.7716
365.000000	94.3	-171.7285
375.000000	94.3	-170.9218
387.000000	94.3	-169.8461
400.000000	94.2	-168.6074
412.000000	94.2	-167.5345
425.000000	94.2	-166.4104
437.000000	94.2	-165.3629
450.000000	94.1	-164.2108
462.000000	94.1	-163.3439
475.000000	94.1	-162.3410
487.000000	94.1	-161.4858
500.000000	94.1	-160.5717
515.000000	94.0	-159.4329
530.000000	93.9	-158.0264
545.000000	93.9	-156.6235
560.000000	93.9	-155.4272
580.000000	93.9	-153.8263
600.000000	93.9	-152.2978
615.000000	93.9	-151.1039
630.000000	93.8	-149.8177
650.000000	93.7	-147.9325
670.000000	93.7	-145.3991
690.000000	93.8	-143.0763
710.000000	94.0	-141.7152
730.000000	94.0	-140.4161
750.000000	94.0	-138.9132
775.000000	94.0	-136.8442
800.000000	94.1	-134.5764
825.000000	94.1	-132.2432
850.000000	94.2	-129.8327
875.000000	94.3	-127.4033
900.000000	94.4	-124.9822
925.000000	94.6	-122.6033
950.000000	94.7	-120.2901
975.000000	94.9	-118.0143
1000.000000	95.1	-115.8937
1030.000000	95.4	-113.4983
1060.000000	95.7	-111.2965
1090.000000	96.0	-109.3229
1120.000000	96.4	-107.5410
1150.000000	96.7	-105.9680
1180.000000	97.0	-104.5613
1220.000000	97.4	-102.9012
1250.000000	97.8	-101.8321
1280.000000	98.1	-100.8480
1320.000000	98.4	-99.6619
1360.000000	98.8	-98.6078
1400.000000	99.2	-97.6306
1450.000000	99.6	-96.5522
1500.000000	100.1	-95.5815
1550.000000	100.5	-94.6936
1600.000000	100.9	-93.8700
1650.000000	101.3	-93.0544
1700.000000	101.8	-92.1917
1750.000000	102.3	-91.3464
1800.000000	102.8	-90.9281
1850.000000	103.3	-91.1136
1900.000000	103.8	-91.5819
1950.000000	104.3	-92.4484
2000.000000	104.8	-93.7042
2060.000000	105.3	-95.5609
2120.000000	105.7	-97.6434
2180.000000	106.0	-99.9590
2240.000000	106.3	-102.5229
2300.000000	106.5	-105.1229
2360.000000	106.6	-107.6053
2430.000000	106.6	-110.1507
2500.000000	106.6	-112.0993
2580.000000	106.6	-113.6788
2650.000000	106.6	-115.1206
2720.000000	106.5	-116.5197
2800.000000	106.5	-117.9191
2900.000000	106.4	-119.2532
3000.000000	106.3	-120.1660
3070.000000	106.2	-120.6500
3150.000000	106.1	-121.0698
3250.000000	106.1	-121.5026
3350.000000	106.1	-121.8326
3450.000000	106.1	-122.1724
3550.000000	106.1	-122.5914
3650.000000	106.2	-123.1819
3750.000000	106.2	-123.8724
3870.000000	106.3	-124.9736
4000.000000	106.4	-126.5736
4120.000000	106.4	-128.3857
4250.000000	106.4	-130.8649
4370.000000	106.4	-133.5476
4500.000000	106.2	-136.7430
4620.000000	105.9	-139.7454
4750.000000	105.4	-142.7367
4870.000000	104.9	-145.0964
5000.000000	104.3	-146.9284
5150.000000	103.4	-148.0306
5300.000000	102.6	-147.9946
5450.000000	101.8	-146.9677
5600.000000	101.0	-145.0493
5800.000000	100.1	-141.3454
6000.000000	99.3	-136.6930
6150.000000	98.8	-132.6604
6300.000000	98.5	-128.3844
6500.000000	98.2	-122.2604
6700.000000	98.2	-115.9789
6900.000000	98.4	-109.7302
7100.000000	99.1	-104.4984
7300.000000	100.1	-101.1854
7500.000000	101.5	-101.0827
7750.000000	103.8	-110.5216
8000.000000	104.6	-137.8184
8250.000000	101.5	-161.3525
8500.000000	97.8	-167.7106
8750.000000	94.5	-167.0342
9000.000000	91.4	-158.0660
9250.000000	89.5	-148.0332
9500.000000	87.9	-138.3836
9750.000000	86.5	-128.9452
10000.000000	85.2	-118.8784
10300.000000	83.8	-106.2703
10600.000000	82.7	-93.3312
10900.000000	81.9	-80.2020
11200.000000	81.2	-67.2615
11500.000000	80.7	-54.3508
11800.000000	80.3	-41.4318
12200.000000	79.9	-23.6193
12500.000000	79.8	-9.3405
12800.000000	80.0	5.6165
13200.000000	81.0	25.8182
13600.000000	83.1	44.3608
14000.000000	86.6	56.6876
14500.000000	93.3	30.6524
15000.000000	87.1	-12.0197
15500.000000	81.4	1.4069
16000.000000	77.9	25.4346
16500.000000	75.9	53.4585
17000.000000	75.3	83.5697
17500.000000	75.5	104.9451
18000.000000	75.8	135.0742
18500.000000	78.9	151.1328
19000.000000	79.4	130.2032
19500.000000	73.0	138.0786
20000.000000	68.1	171.2791
20600.000000	63.1	-132.0836
21200.000000	57.9	-62.3128
21800.000000	39.9	112.8705
