* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/08/21 13:15:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: LEAF RC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.738	-136.3087
20.600000	100.841	-137.7088
21.200001	100.939	-139.0624
21.799999	101.032	-140.3840
22.400000	101.118	-141.6824
23.000000	101.192	-142.9338
23.600000	101.261	-144.1084
24.299999	101.341	-145.4123
25.000000	101.418	-146.7230
25.799999	101.488	-148.2271
26.500000	101.530	-149.4568
27.200001	101.568	-150.5744
28.000000	101.613	-151.7859
29.000000	101.668	-153.2951
30.000000	101.713	-154.7686
30.700001	101.743	-155.7873
31.500000	101.768	-156.9338
32.500000	101.795	-158.2473
33.500000	101.833	-159.5184
34.500000	101.857	-160.8286
35.500000	101.864	-161.9990
36.500000	101.876	-163.0495
37.500000	101.890	-164.0813
38.700001	101.903	-165.3160
40.000000	101.903	-166.6354
41.200001	101.894	-167.7522
42.500000	101.887	-168.8734
43.700001	101.880	-169.8828
45.000000	101.868	-170.9586
46.200001	101.853	-171.9341
47.500000	101.832	-172.9796
48.700001	101.807	-173.9167
50.000000	101.775	-174.8568
51.500000	101.747	-175.8190
53.000000	101.721	-176.7782
54.500000	101.684	-177.6751
56.000000	101.645	-178.5133
58.000000	101.596	-179.6190
60.000000	101.545	179.2805
61.500000	101.505	178.4963
63.000000	101.463	177.7479
65.000000	101.400	176.8170
67.000000	101.335	175.9502
69.000000	101.272	175.1508
71.000000	101.217	174.3557
73.000000	101.155	173.5405
75.000000	101.086	172.7727
77.500000	100.999	171.8980
80.000000	100.914	171.0793
82.500000	100.827	170.2993
85.000000	100.738	169.5752
87.500000	100.649	168.9230
90.000000	100.560	168.3209
92.500000	100.470	167.6864
95.000000	100.378	167.0822
97.500000	100.289	166.5514
100.000000	100.201	166.0698
103.000000	100.093	165.4935
106.000000	99.986	164.9562
109.000000	99.881	164.4721
112.000000	99.774	164.0265
115.000000	99.669	163.6166
118.000000	99.567	163.2388
122.000000	99.431	162.7836
125.000000	99.330	162.4745
128.000000	99.231	162.1901
132.000000	99.099	161.8582
136.000000	98.971	161.5705
140.000000	98.844	161.3136
145.000000	98.690	161.0463
150.000000	98.537	160.8430
155.000000	98.390	160.6647
160.000000	98.246	160.5338
165.000000	98.106	160.4442
170.000000	97.970	160.3979
175.000000	97.837	160.3855
180.000000	97.707	160.3998
185.000000	97.581	160.4470
190.000000	97.458	160.5256
195.000000	97.338	160.6328
200.000000	97.221	160.7619
206.000000	97.087	160.9199
212.000000	96.958	161.1118
218.000000	96.832	161.3336
224.000000	96.710	161.5809
230.000000	96.592	161.8464
236.000000	96.477	162.1303
243.000000	96.348	162.4735
250.000000	96.224	162.8274
258.000000	96.089	163.2925
265.000000	95.975	163.7099
272.000000	95.864	164.1343
280.000000	95.742	164.6476
290.000000	95.596	165.3096
300.000000	95.456	165.9976
307.000000	95.362	166.5026
315.000000	95.257	167.1033
325.000000	95.134	167.8969
335.000000	95.018	168.7479
345.000000	94.916	169.6931
355.000000	94.843	170.6901
365.000000	94.800	171.5469
375.000000	94.757	172.1843
387.000000	94.683	172.8597
400.000000	94.587	173.6526
412.000000	94.499	174.4617
425.000000	94.409	175.3869
437.000000	94.333	176.2657
450.000000	94.257	177.2327
462.000000	94.193	178.1364
475.000000	94.131	179.1198
487.000000	94.077	-179.9714
500.000000	94.024	-178.9835
515.000000	93.969	-177.8448
530.000000	93.920	-176.7004
545.000000	93.876	-175.5500
560.000000	93.838	-174.4030
580.000000	93.795	-172.8726
600.000000	93.762	-171.3301
615.000000	93.743	-170.1703
630.000000	93.729	-169.0087
650.000000	93.719	-167.4587
670.000000	93.718	-165.8917
690.000000	93.725	-164.3181
710.000000	93.741	-162.7347
730.000000	93.768	-161.1402
750.000000	93.805	-159.5412
775.000000	93.867	-157.5488
800.000000	93.948	-155.5544
825.000000	94.048	-153.5672
850.000000	94.167	-151.6015
875.000000	94.308	-149.6745
900.000000	94.472	-147.8064
925.000000	94.658	-146.0264
950.000000	94.865	-144.3753
975.000000	95.086	-142.9069
1000.000000	95.302	-141.6331
1030.000000	95.540	-140.1398
1060.000000	95.799	-138.5050
1090.000000	96.106	-137.0362
1120.000000	96.424	-135.8993
1150.000000	96.734	-135.0016
1180.000000	97.032	-134.2687
1220.000000	97.408	-133.4674
1250.000000	97.678	-132.9509
1280.000000	97.940	-132.4880
1320.000000	98.280	-131.9443
1360.000000	98.609	-131.4631
1400.000000	98.930	-131.0193
1450.000000	99.327	-130.4987
1500.000000	99.726	-130.0143
1550.000000	100.130	-129.5695
1600.000000	100.546	-129.1855
1650.000000	100.977	-128.8874
1700.000000	101.424	-128.6988
1750.000000	101.890	-128.6475
1800.000000	102.375	-128.7669
1850.000000	102.880	-129.0936
1900.000000	103.403	-129.6681
1950.000000	103.943	-130.5360
2000.000000	104.496	-131.7463
2060.000000	105.170	-133.7269
2120.000000	105.839	-136.3745
2180.000000	106.480	-139.7740
2240.000000	107.063	-143.9753
2300.000000	107.552	-148.9573
2360.000000	107.907	-154.5899
2430.000000	108.116	-161.6363
2500.000000	108.091	-168.6762
2580.000000	107.806	-176.0610
2650.000000	107.387	178.4280
2720.000000	106.865	173.9421
2800.000000	106.204	170.0423
2900.000000	105.358	166.7778
3000.000000	104.547	164.9513
3070.000000	104.016	164.3425
3150.000000	103.456	164.1840
3250.000000	102.828	164.6364
3350.000000	102.283	165.6558
3450.000000	101.823	167.0948
3550.000000	101.445	168.8304
3650.000000	101.145	170.7713
3750.000000	100.918	172.8493
3870.000000	100.735	175.4531
4000.000000	100.645	178.3287
4120.000000	100.659	-179.0382
4250.000000	100.778	-176.2882
4370.000000	100.984	-173.9183
4500.000000	101.317	-171.6324
4620.000000	101.732	-169.9142
4750.000000	102.297	-168.6920
4870.000000	102.918	-168.4039
5000.000000	103.670	-169.3369
5150.000000	104.556	-172.5303
5300.000000	105.286	-178.3535
5450.000000	105.652	173.9182
5600.000000	105.672	165.9998
5800.000000	105.270	154.6042
6000.000000	104.021	145.3154
6150.000000	102.804	141.8704
6300.000000	101.594	140.9395
6500.000000	100.157	142.3754
6700.000000	98.978	145.7755
6900.000000	98.060	150.4291
7100.000000	97.400	155.9038
7300.000000	96.994	161.8350
7500.000000	96.833	167.9735
7750.000000	96.988	175.7339
8000.000000	97.616	-176.7421
8250.000000	98.883	-170.2577
8500.000000	100.937	-166.9433
8750.000000	103.425	-171.3393
9000.000000	105.181	172.2528
9250.000000	105.173	149.3741
9500.000000	103.572	132.0685
9750.000000	101.287	123.7094
10000.000000	99.007	121.6095
10300.000000	96.658	123.8931
10600.000000	94.822	129.1126
10900.000000	93.472	135.8840
11200.000000	92.560	143.4428
11500.000000	92.073	151.3447
11800.000000	92.058	159.1377
12200.000000	92.956	167.7614
12500.000000	94.355	170.3252
12800.000000	95.965	165.6664
13200.000000	96.910	145.0295
13600.000000	95.189	122.7421
14000.000000	91.637	116.3124
14500.000000	87.282	124.9340
15000.000000	84.454	140.1503
15500.000000	83.144	157.1983
16000.000000	83.337	172.4276
16500.000000	84.654	-178.8407
17000.000000	86.296	179.6565
17500.000000	87.150	165.3047
18000.000000	85.962	145.8904
18500.000000	82.844	137.7645
19000.000000	79.239	142.4814
19500.000000	76.495	152.4620
20000.000000	75.194	159.7736
20600.000000	74.473	153.3466
21200.000000	71.603	139.0354
21800.000000	65.824	143.6778
