* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/10/03 5:38:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Rhombus RC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.916	-165.9392
20.600000	104.934	-166.9739
21.200001	104.947	-167.9829
21.799999	104.956	-168.9647
22.400000	104.961	-169.9319
23.000000	104.960	-170.8695
23.600000	104.957	-171.7677
24.299999	104.952	-172.8288
25.000000	104.929	-173.9084
25.799999	104.880	-174.9214
26.500000	104.859	-175.5673
27.200001	104.874	-176.2750
28.000000	104.888	-177.3117
29.000000	104.870	-178.5726
30.000000	104.845	-179.7039
30.700001	104.821	179.5586
31.500000	104.795	178.8277
32.500000	104.778	177.8874
33.500000	104.737	176.8716
34.500000	104.679	175.9907
35.500000	104.625	175.1418
36.500000	104.563	174.2946
37.500000	104.500	173.4889
38.700001	104.435	172.5682
40.000000	104.379	171.4751
41.200001	104.303	170.6045
42.500000	104.269	169.9670
43.700001	104.256	169.1562
45.000000	104.204	168.3032
46.200001	104.147	167.6272
47.500000	104.079	166.8788
48.700001	104.002	166.1848
50.000000	103.917	165.5349
51.500000	103.847	164.8001
53.000000	103.779	163.9863
54.500000	103.705	163.2484
56.000000	103.624	162.5605
58.000000	103.506	161.7442
60.000000	103.391	160.9689
61.500000	103.308	160.4010
63.000000	103.227	159.8567
65.000000	103.118	159.1669
67.000000	103.007	158.5165
69.000000	102.895	157.9008
71.000000	102.786	157.3204
73.000000	102.677	156.7747
75.000000	102.568	156.2560
77.500000	102.431	155.6520
80.000000	102.297	155.0900
82.500000	102.161	154.5580
85.000000	102.029	154.0800
87.500000	101.903	153.6667
90.000000	101.780	153.2924
92.500000	101.649	152.8783
95.000000	101.516	152.4954
97.500000	101.391	152.1621
100.000000	101.271	151.8693
103.000000	101.121	151.5496
106.000000	100.974	151.2609
109.000000	100.832	151.0071
112.000000	100.692	150.7860
115.000000	100.554	150.5787
118.000000	100.417	150.3987
122.000000	100.237	150.2081
125.000000	100.105	150.1005
128.000000	99.975	150.0127
132.000000	99.805	149.9150
136.000000	99.636	149.8552
140.000000	99.468	149.8601
145.000000	99.261	149.9191
150.000000	99.057	150.0717
155.000000	98.854	150.3245
160.000000	98.657	150.7742
165.000000	98.493	151.4741
170.000000	98.396	152.2108
175.000000	98.348	152.5364
180.000000	98.277	152.4631
185.000000	98.164	152.3284
190.000000	98.031	152.2960
195.000000	97.888	152.4136
200.000000	97.745	152.6132
206.000000	97.584	152.8685
212.000000	97.430	153.1885
218.000000	97.283	153.5422
224.000000	97.140	153.9190
230.000000	97.001	154.3307
236.000000	96.866	154.7727
243.000000	96.715	155.3286
250.000000	96.570	155.9370
258.000000	96.422	156.6664
265.000000	96.309	157.2890
272.000000	96.201	157.8431
280.000000	96.075	158.4469
290.000000	95.915	159.2557
300.000000	95.761	160.1543
307.000000	95.662	160.8487
315.000000	95.567	161.6735
325.000000	95.477	162.5927
335.000000	95.387	163.3278
345.000000	95.283	164.0493
355.000000	95.178	164.8258
365.000000	95.077	165.6349
375.000000	94.983	166.4543
387.000000	94.880	167.4400
400.000000	94.778	168.4915
412.000000	94.692	169.4379
425.000000	94.605	170.4306
437.000000	94.528	171.3060
450.000000	94.444	172.2086
462.000000	94.361	173.0143
475.000000	94.261	173.8933
487.000000	94.160	174.7615
500.000000	94.047	175.8185
515.000000	93.927	177.1971
530.000000	93.828	178.6810
545.000000	93.752	-179.8057
560.000000	93.694	-178.3055
580.000000	93.637	-176.3441
600.000000	93.598	-174.4278
615.000000	93.579	-173.0203
630.000000	93.567	-171.6355
650.000000	93.560	-169.8184
670.000000	93.563	-168.0224
690.000000	93.575	-166.2472
710.000000	93.597	-164.4819
730.000000	93.627	-162.7253
750.000000	93.668	-160.9778
775.000000	93.733	-158.7984
800.000000	93.815	-156.6310
825.000000	93.916	-154.4869
850.000000	94.036	-152.3704
875.000000	94.177	-150.2982
900.000000	94.338	-148.2829
925.000000	94.519	-146.3415
950.000000	94.718	-144.4931
975.000000	94.934	-142.7569
1000.000000	95.165	-141.1450
1030.000000	95.457	-139.3884
1060.000000	95.758	-137.8313
1090.000000	96.065	-136.4684
