* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2022/02/07 16:47:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 608.7285 ms (208.794 m, 685 ft)  relative to Loopback from 1: Out 1 to 2: In 2 with no timing offset
* Measurement: Moondrop Starfield L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.3	168.4946
20.600000	99.4	35.5298
21.200001	99.4	-97.2534
21.799999	99.5	129.9917
22.400000	99.7	-2.9297
23.000000	99.8	-136.0029
23.600000	99.8	90.9854
24.299999	99.9	-63.9155
25.000000	99.9	141.4150
25.799999	100.0	-35.3237
26.500000	100.0	169.9756
27.200001	100.0	15.3027
28.000000	100.1	-161.3418
29.000000	100.1	-22.0342
30.000000	100.2	117.2466
30.700001	100.2	-37.2017
31.500000	100.2	146.4028
32.500000	100.3	-74.0850
33.500000	100.3	65.3379
34.500000	100.3	-155.2056
35.500000	100.3	-15.7134
36.500000	100.4	123.7959
37.500000	100.4	-96.9131
38.700001	100.3	-1.4131
40.000000	100.2	72.9824
41.200001	100.3	168.9570
42.500000	100.4	-117.2471
43.700001	100.4	-21.3369
45.000000	100.4	52.6582
46.200001	100.4	148.6318
47.500000	100.3	-137.3701
48.700001	100.3	-41.3447
50.000000	100.3	32.7471
51.500000	100.3	62.9014
53.000000	100.2	93.0762
54.500000	100.2	123.3008
56.000000	100.2	153.5420
58.000000	100.2	73.9277
60.000000	100.1	-5.4922
61.500000	100.1	24.9863
63.000000	100.0	55.4551
65.000000	100.0	-23.8975
67.000000	99.9	-103.2354
69.000000	99.9	177.4678
71.000000	99.8	98.3047
73.000000	99.7	19.2227
75.000000	99.7	-59.9219
77.500000	99.6	111.1133
80.000000	99.5	-77.7031
82.500000	99.4	93.6523
85.000000	99.4	-95.1504
87.500000	99.3	75.5449
90.000000	99.3	-113.9727
92.500000	99.2	57.7344
95.000000	99.1	-129.9551
97.500000	99.0	41.8672
100.000000	98.9	-146.6797
103.000000	98.8	-84.8750
106.000000	98.7	-22.9219
109.000000	98.6	38.9922
112.000000	98.5	100.9590
115.000000	98.4	162.9922
118.000000	98.3	-134.9863
122.000000	98.1	67.7793
125.000000	98.1	129.8984
