* Measurement data measured by REW V5.20
* Source: ASIO hdspfire, Analog 2 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2021/12/19 4:33:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0000 ms (0 mm, 0 in)  relative to Loopback from 1: Analog 1 (1) to 2: Analog 2 (1) with no timing offset
* Measurement: SuperEQ Q2 Pro R
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.6	-4.5733
20.600000	89.0	-7.3615
21.200001	89.5	-10.4003
21.799999	90.0	-14.5447
22.400000	90.3	-18.7190
23.000000	90.4	-21.4554
23.600000	90.7	-22.9278
24.299999	91.1	-25.0275
25.000000	91.5	-27.8609
25.799999	91.8	-30.3231
26.500000	92.2	-32.4137
27.200001	92.6	-35.7021
28.000000	92.8	-39.7176
29.000000	93.1	-43.1126
30.000000	93.5	-46.5390
30.700001	93.7	-48.6307
31.500000	94.1	-50.6393
32.500000	94.5	-53.6573
33.500000	94.8	-55.8063
34.500000	95.0	-58.5188
35.500000	95.1	-60.4619
36.500000	95.3	-64.4694
37.500000	95.2	-66.6107
38.700001	96.4	-73.6324
40.000000	95.0	-86.2247
41.200001	95.4	-74.3867
42.500000	96.6	-81.5653
43.700001	96.9	-81.2407
45.000000	97.2	-84.9092
46.200001	97.4	-85.1258
47.500000	97.6	-88.4461
48.700001	97.7	-90.5975
50.000000	97.9	-93.8907
51.500000	98.1	-96.3494
53.000000	98.4	-99.1321
54.500000	98.6	-101.2438
56.000000	98.8	-103.4855
58.000000	98.9	-106.8054
60.000000	99.1	-109.9404
61.500000	99.2	-112.1841
63.000000	99.4	-114.3338
65.000000	99.5	-117.2504
67.000000	99.6	-120.3253
69.000000	99.8	-122.7928
71.000000	99.8	-125.5843
73.000000	99.9	-128.1672
75.000000	100.0	-130.6185
77.500000	100.0	-133.4091
80.000000	100.0	-136.5386
82.500000	100.1	-139.7684
85.000000	100.1	-142.0302
87.500000	100.0	-143.7632
90.000000	99.4	-145.6225
92.500000	100.0	-149.3869
95.000000	99.9	-151.6343
97.500000	99.9	-153.2386
100.000000	99.9	-154.5650
103.000000	99.8	-157.0725
106.000000	99.7	-159.3419
109.000000	99.6	-160.7995
112.000000	99.5	-162.2764
115.000000	99.4	-164.0721
118.000000	99.3	-165.6984
122.000000	99.1	-167.3627
125.000000	99.0	-168.7397
128.000000	98.9	-169.7516
132.000000	98.7	-171.0661
136.000000	98.6	-172.1402
140.000000	98.4	-173.2918
145.000000	98.2	-174.6729
150.000000	97.9	-175.4780
155.000000	97.8	-175.3051
160.000000	97.4	-174.2108
165.000000	97.6	-176.8321
170.000000	97.5	-176.7245
175.000000	97.4	-177.9809
180.000000	97.4	-178.7220
185.000000	97.3	-179.7527
190.000000	97.2	179.9897
195.000000	97.0	179.3518
200.000000	96.9	178.6544
206.000000	96.8	178.5192
212.000000	96.8	178.0172
218.000000	96.6	177.4156
224.000000	96.6	177.2627
230.000000	96.5	177.1479
236.000000	96.4	176.7056
243.000000	96.3	176.3386
250.000000	96.2	176.2203
258.000000	96.1	175.9667
265.000000	96.1	175.7230
272.000000	95.9	175.4007
280.000000	95.8	175.4869
290.000000	95.7	175.0194
300.000000	95.6	175.0816
307.000000	95.6	174.7793
315.000000	95.5	174.6027
325.000000	95.4	174.5992
335.000000	95.3	174.3728
345.000000	95.2	174.2210
355.000000	95.1	174.0198
365.000000	95.0	173.8642
375.000000	94.9	173.7560
387.000000	94.8	173.6512
400.000000	94.7	173.6532
412.000000	94.6	173.9611
425.000000	94.5	174.0435
437.000000	94.4	174.2599
450.000000	94.3	174.3197
462.000000	94.2	174.6594
475.000000	94.1	174.9025
487.000000	94.0	175.1554
500.000000	93.9	175.5994
515.000000	93.8	175.9439
530.000000	93.7	176.3820
545.000000	93.6	176.7870
560.000000	93.5	177.1689
580.000000	93.4	177.5734
600.000000	93.3	178.1413
615.000000	93.2	178.5963
630.000000	93.1	179.1525
650.000000	93.0	-179.9729
670.000000	92.9	-178.9512
690.000000	92.8	-177.8291
710.000000	92.7	-176.6201
730.000000	92.6	-175.3943
750.000000	92.5	-174.0995
775.000000	92.4	-172.4701
800.000000	92.4	-170.7926
825.000000	92.3	-168.9749
850.000000	92.3	-167.2769
875.000000	92.3	-165.4637
900.000000	92.4	-163.7309
925.000000	92.4	-161.9498
950.000000	92.5	-160.2754
