* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/10/05 12:43:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TANCHJIM ZERO RC1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.503	-142.4167
20.600000	94.618	-143.2401
21.200001	94.722	-144.4152
21.799999	94.762	-145.6484
22.400000	94.764	-146.5165
23.000000	94.793	-147.0284
23.600000	94.866	-147.5439
24.299999	94.960	-148.3799
25.000000	95.023	-149.3139
25.799999	95.070	-150.2411
26.500000	95.110	-150.9488
27.200001	95.147	-151.6648
28.000000	95.169	-152.4315
29.000000	95.202	-153.1563
30.000000	95.265	-153.9565
30.700001	95.300	-154.6643
31.500000	95.310	-155.5145
32.500000	95.272	-156.2591
33.500000	95.281	-156.4007
34.500000	95.381	-156.8339
35.500000	95.437	-157.7572
36.500000	95.444	-158.4742
37.500000	95.470	-158.9994
38.700001	95.531	-159.7504
40.000000	95.574	-160.6988
41.200001	95.625	-161.3560
42.500000	95.681	-162.2830
43.700001	95.665	-162.8938
45.000000	95.667	-163.0443
46.200001	95.698	-163.2280
47.500000	95.718	-163.5276
48.700001	95.738	-163.8111
50.000000	95.765	-164.3544
51.500000	95.752	-165.0357
53.000000	95.743	-165.4660
54.500000	95.756	-165.8618
56.000000	95.770	-166.2693
58.000000	95.781	-166.8088
60.000000	95.785	-167.2514
61.500000	95.797	-167.5784
63.000000	95.808	-167.9505
65.000000	95.810	-168.4579
67.000000	95.815	-168.9168
69.000000	95.826	-169.3614
71.000000	95.838	-169.7346
73.000000	95.842	-170.0542
75.000000	95.833	-170.3921
77.500000	95.823	-170.7775
80.000000	95.842	-171.2036
82.500000	95.857	-171.5926
85.000000	95.858	-171.9266
87.500000	95.857	-172.3469
90.000000	95.849	-172.8091
92.500000	95.837	-173.0625
95.000000	95.842	-173.2478
97.500000	95.849	-173.5322
100.000000	95.852	-173.8363
103.000000	95.849	-174.1040
106.000000	95.841	-174.3603
109.000000	95.833	-174.6613
112.000000	95.827	-174.9499
115.000000	95.821	-175.2010
118.000000	95.814	-175.4495
122.000000	95.802	-175.7807
125.000000	95.792	-176.0184
128.000000	95.782	-176.2466
132.000000	95.770	-176.5213
136.000000	95.762	-176.7752
140.000000	95.749	-177.0520
145.000000	95.723	-177.3688
150.000000	95.700	-177.6464
155.000000	95.684	-177.9330
160.000000	95.664	-178.1937
165.000000	95.641	-178.4392
170.000000	95.618	-178.6655
175.000000	95.592	-178.8761
180.000000	95.563	-179.0888
185.000000	95.535	-179.3142
190.000000	95.509	-179.5387
195.000000	95.480	-179.7361
200.000000	95.451	-179.9221
206.000000	95.414	179.9065
212.000000	95.376	179.7081
218.000000	95.336	179.5101
224.000000	95.293	179.3183
230.000000	95.245	179.1418
236.000000	95.198	178.9804
243.000000	95.137	178.7990
250.000000	95.068	178.6127
258.000000	94.981	178.3865
265.000000	94.888	178.2289
272.000000	94.777	178.1494
280.000000	94.629	178.2000
290.000000	94.421	178.7188
300.000000	94.252	179.9290
307.000000	94.205	-179.0028
315.000000	94.227	-177.9015
325.000000	94.313	-177.0587
335.000000	94.387	-176.7572
345.000000	94.425	-176.7150
355.000000	94.435	-176.7339
365.000000	94.422	-176.7164
375.000000	94.394	-176.6600
387.000000	94.354	-176.5178
400.000000	94.307	-176.2843
412.000000	94.263	-176.0059
425.000000	94.226	-175.6636
437.000000	94.197	-175.3528
450.000000	94.171	-175.0776
462.000000	94.144	-174.8831
475.000000	94.105	-174.7159
487.000000	94.055	-174.5544
500.000000	93.990	-174.3136
515.000000	93.910	-173.9428
530.000000	93.827	-173.4762
545.000000	93.745	-172.9285
560.000000	93.668	-172.3221
580.000000	93.573	-171.4364
600.000000	93.483	-170.4800
615.000000	93.422	-169.7150
630.000000	93.366	-168.9144
650.000000	93.297	-167.8083
670.000000	93.234	-166.6473
690.000000	93.182	-165.4276
710.000000	93.139	-164.1615
730.000000	93.104	-162.8483
750.000000	93.080	-161.4865
775.000000	93.063	-159.7384
800.000000	93.066	-157.9284
825.000000	93.091	-156.0651
850.000000	93.141	-154.1833
875.000000	93.214	-152.3045
900.000000	93.311	-150.4470
925.000000	93.432	-148.6332
950.000000	93.575	-146.8853
975.000000	93.740	-145.2321
1000.000000	93.924	-143.6922
1030.000000	94.164	-142.0163
1060.000000	94.420	-140.5454
1090.000000	94.685	-139.2827
1120.000000	94.950	-138.2235
1150.000000	95.211	-137.3490
1180.000000	95.463	-136.6368
1220.000000	95.779	-135.8839
1250.000000	96.001	-135.4262
1280.000000	96.209	-135.0306
1320.000000	96.467	-134.5593
1360.000000	96.705	-134.1085
1400.000000	96.928	-133.6430
1450.000000	97.193	-133.0171
1500.000000	97.450	-132.3256
1550.000000	97.708	-131.5621
1600.000000	97.973	-130.7326
1650.000000	98.253	-129.8569
1700.000000	98.552	-128.9604
1750.000000	98.874	-128.0774
1800.000000	99.223	-127.2527
1850.000000	99.600	-126.5385
1900.000000	100.005	-125.9880
1950.000000	100.433	-125.6575
2000.000000	100.876	-125.5987
2060.000000	101.416	-125.9320
2120.000000	101.945	-126.7156
2180.000000	102.446	-127.9022
2240.000000	102.908	-129.4044
2300.000000	103.328	-131.1336
2360.000000	103.708	-133.0114
2430.000000	104.105	-135.3253
2500.000000	104.459	-137.7408
2580.000000	104.816	-140.6112
2650.000000	105.089	-143.2137
2720.000000	105.322	-145.8936
2800.000000	105.537	-149.0160
2900.000000	105.730	-152.9192
3000.000000	105.847	-156.7631
3070.000000	105.883	-159.4136
3150.000000	105.874	-162.3529
3250.000000	105.790	-165.7567
3350.000000	105.645	-168.7379
3450.000000	105.459	-171.2473
3550.000000	105.254	-173.2936
3650.000000	105.043	-174.9138
3750.000000	104.839	-176.1479
3870.000000	104.618	-177.1865
4000.000000	104.420	-177.8701
4120.000000	104.288	-178.1960
4250.000000	104.209	-178.3617
4370.000000	104.195	-178.4877
4500.000000	104.232	-178.7104
4620.000000	104.306	-179.0536
4750.000000	104.421	-179.6217
4870.000000	104.551	179.6379
5000.000000	104.710	178.5715
5150.000000	104.904	176.9667
5300.000000	105.096	174.9254
5450.000000	105.265	172.4434
5600.000000	105.391	169.5767
5800.000000	105.468	165.3407
6000.000000	105.433	160.9169
6150.000000	105.341	157.6419
6300.000000	105.204	154.4886
6500.000000	104.971	150.5715
6700.000000	104.722	147.0569
6900.000000	104.525	143.8459
7100.000000	104.458	140.3344
7300.000000	104.500	135.3054
7500.000000	104.448	127.7917
7750.000000	103.842	115.7762
