* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2022/02/04 18:22:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 10.5361 ms (3.614 m, 11 ft 10.3 in)  relative to Loopback from 1: Out 1 to 3: Loopback 1 with no timing offset
* Measurement: TFZ TB MONICA R
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.0	133.9147
20.600000	106.1	130.1430
21.200001	106.1	126.4476
21.799999	106.1	122.8401
22.400000	106.1	119.3069
23.000000	106.1	115.8090
23.600000	106.2	112.3210
24.299999	106.2	108.2853
25.000000	106.2	104.3150
25.799999	106.2	99.8425
26.500000	106.2	95.9693
27.200001	106.2	92.1332
28.000000	106.2	87.7712
29.000000	106.2	82.3426
30.000000	106.1	77.0181
30.700001	106.1	73.3785
31.500000	106.1	69.2701
32.500000	106.1	64.0491
33.500000	106.1	58.8607
34.500000	106.1	53.8685
35.500000	106.1	48.5362
36.500000	106.1	43.2225
37.500000	106.0	38.5795
38.700001	105.9	33.1289
40.000000	105.8	26.9949
41.200001	105.8	21.2886
42.500000	105.7	15.1621
43.700001	105.6	9.5034
45.000000	105.6	3.4155
46.200001	105.5	-2.1257
47.500000	105.5	-8.0629
48.700001	105.4	-13.5220
50.000000	105.3	-19.4010
51.500000	105.2	-26.1592
53.000000	105.2	-32.8836
54.500000	105.1	-39.5515
56.000000	105.0	-46.1577
58.000000	104.9	-54.8967
60.000000	104.8	-63.5905
61.500000	104.7	-70.0774
63.000000	104.6	-76.5298
65.000000	104.5	-85.0820
67.000000	104.4	-93.5840
69.000000	104.3	-102.0395
71.000000	104.1	-110.4571
73.000000	104.0	-118.8304
75.000000	103.9	-127.1611
77.500000	103.8	-137.5034
80.000000	103.6	-147.7932
82.500000	103.5	-158.0608
85.000000	103.3	-168.2634
87.500000	103.2	-178.3492
90.000000	103.1	171.6177
92.500000	102.9	161.4921
95.000000	102.8	151.4014
97.500000	102.7	141.3696
100.000000	102.5	131.3969
103.000000	102.4	119.4995
106.000000	102.2	107.6312
109.000000	102.1	95.7926
112.000000	101.9	83.9968
115.000000	101.8	72.2310
118.000000	101.6	60.4980
122.000000	101.4	44.9018
125.000000	101.3	33.2399
128.000000	101.2	21.6074
132.000000	101.0	6.1348
136.000000	100.8	-9.3011
140.000000	100.6	-24.6998
145.000000	100.4	-43.8992
150.000000	100.2	-63.0253
155.000000	100.0	-82.0867
160.000000	99.9	-101.0972
165.000000	99.7	-120.1144
170.000000	99.5	-139.0732
175.000000	99.2	-157.9778
180.000000	98.9	-176.8177
185.000000	98.7	164.4097
190.000000	98.6	145.6934
195.000000	98.5	127.0731
200.000000	98.4	108.5161
206.000000	98.2	86.2083
212.000000	98.1	63.8250
218.000000	98.0	41.3826
224.000000	97.8	18.8312
230.000000	97.7	-3.7526
236.000000	97.6	-26.2517
243.000000	97.4	-52.4352
250.000000	97.3	-78.5734
258.000000	97.1	-108.4409
265.000000	96.9	-134.5859
272.000000	96.8	-160.7477
280.000000	96.7	169.3271
290.000000	96.5	131.9401
300.000000	96.3	94.6050
307.000000	96.2	68.5052
315.000000	96.0	38.7048
325.000000	95.9	1.4956
335.000000	95.7	-35.6877
345.000000	95.6	-72.8512
355.000000	95.4	-109.9844
365.000000	95.3	-147.0992
375.000000	95.2	175.7948
387.000000	95.0	131.2800
400.000000	94.8	83.0735
412.000000	94.7	38.5852
425.000000	94.6	-9.5957
437.000000	94.5	-54.0510
450.000000	94.4	-102.1921
462.000000	94.3	-146.6028
475.000000	94.2	165.2915
487.000000	94.1	120.8647
500.000000	94.0	72.6904
515.000000	94.0	17.0608
530.000000	93.9	-38.5745
545.000000	93.8	-94.1936
560.000000	93.7	-149.7920
580.000000	93.7	136.1023
600.000000	93.6	62.0173
615.000000	93.6	6.4597
630.000000	93.6	-49.0994
650.000000	93.6	-123.1895
670.000000	93.6	162.7080
690.000000	93.6	88.6069
710.000000	93.6	14.5134
730.000000	93.6	-59.5767
750.000000	93.7	-133.6648
775.000000	93.8	133.7188
800.000000	93.9	41.0813
825.000000	94.0	-51.5894
850.000000	94.2	-144.3149
875.000000	94.4	122.8811
900.000000	94.6	29.9771
925.000000	94.8	-63.0576
950.000000	95.1	-156.2498
975.000000	95.4	110.3794
1000.000000	95.7	16.8062
1030.000000	96.1	-95.7754
1060.000000	96.5	151.2993
1090.000000	97.0	38.0005
1120.000000	97.4	-75.7168
1150.000000	98.0	170.0757
1180.000000	98.5	55.2349
1220.000000	99.4	-99.3921
1250.000000	100.1	142.7070
1280.000000	100.8	21.8872
1320.000000	101.1	-145.4541
1360.000000	99.7	47.0547
1400.000000	97.0	-104.6899
1450.000000	95.7	62.9678
1500.000000	92.2	-125.7759
1550.000000	88.6	80.6094
1600.000000	90.5	-80.9233
1650.000000	92.7	99.1133
1700.000000	94.2	-87.3701
1750.000000	95.4	84.3433
1800.000000	96.4	-104.6006
1850.000000	97.4	66.1025
1900.000000	98.3	-123.4639
1950.000000	99.1	46.7163
2000.000000	99.9	-143.3691
2060.000000	100.8	-11.8613
2120.000000	101.7	119.1562
2180.000000	102.6	-110.3887
2240.000000	103.4	19.4395
2300.000000	104.1	148.5938
2360.000000	104.8	-82.9268
2430.000000	105.4	6.2090
2500.000000	105.9	94.7695
2580.000000	106.2	144.3350
2650.000000	106.2	-127.0156
2720.000000	106.1	-37.7422
2800.000000	105.8	13.8838
2900.000000	105.3	-9.9375
3000.000000	104.7	-32.0908
3070.000000	104.3	61.2275
3150.000000	104.0	117.1211
3250.000000	103.6	97.7754
3350.000000	103.4	79.0918
3450.000000	103.2	60.8809
3550.000000	103.1	42.9961
3650.000000	103.0	25.3164
3750.000000	103.0	7.7393
3870.000000	103.3	-85.3604
4000.000000	103.7	143.5820
4120.000000	104.2	49.8848
4250.000000	104.9	-82.3984
4370.000000	105.8	-177.9629
4500.000000	106.8	46.5957
4620.000000	107.8	-53.2676
4750.000000	108.7	165.1406
4870.000000	109.2	59.2871
5000.000000	109.0	-86.5000
5150.000000	108.1	52.0742
5300.000000	106.6	-164.7500
5450.000000	105.0	-17.2168
5600.000000	103.5	133.4297
5800.000000	101.9	97.2773
6000.000000	100.6	63.0879
6150.000000	100.0	-141.8164
6300.000000	99.5	13.6445
6500.000000	99.2	-18.7852
6700.000000	99.2	-51.2188
6900.000000	99.7	-84.1250
7100.000000	100.6	-118.2988
7300.000000	102.2	-155.2695
7500.000000	104.3	161.7500
7750.000000	106.7	-86.9531
8000.000000	106.6	14.8555
8250.000000	104.0	130.2363
8500.000000	100.9	-100.8984
8750.000000	98.1	33.3516
9000.000000	95.9	171.2852
9250.000000	94.2	-48.6211
9500.000000	93.2	91.7812
9750.000000	92.6	-128.0586
10000.000000	92.5	11.9102
10300.000000	93.0	-37.0820
10600.000000	94.3	-88.8438
10900.000000	96.3	-147.2227
11200.000000	98.0	142.1367
