* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2022/02/11 14:32:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 10.5777 ms (3.628 m, 11 ft 10.8 in)  relative to Loopback from 1: Out 1 to 3: Loopback 1 with no timing offset
* Measurement: TFZ TB MONICA L
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.9	143.8444
20.600000	105.0	140.0561
21.200001	105.0	136.3034
21.799999	105.1	132.6103
22.400000	105.1	128.9624
23.000000	105.2	125.3528
23.600000	105.3	121.8060
24.299999	105.3	117.7675
25.000000	105.4	113.7921
25.799999	105.4	109.2534
26.500000	105.4	105.3043
27.200001	105.4	101.4093
28.000000	105.4	96.9977
29.000000	105.5	91.5268
30.000000	105.5	86.1658
30.700001	105.5	82.4660
31.500000	105.5	78.2702
32.500000	105.5	73.0753
33.500000	105.5	67.9410
34.500000	105.5	62.8754
35.500000	105.5	57.8553
36.500000	105.5	52.8470
37.500000	105.5	47.8846
38.700001	105.5	41.9630
40.000000	105.4	35.5417
41.200001	105.4	29.7394
42.500000	105.4	23.5059
43.700001	105.4	17.8167
45.000000	105.3	11.7234
46.200001	105.3	6.1226
47.500000	105.3	0.0947
48.700001	105.2	-5.4171
50.000000	105.2	-11.3413
51.500000	105.1	-18.1448
53.000000	105.1	-24.9188
54.500000	105.0	-31.6494
56.000000	105.0	-38.3683
58.000000	104.9	-47.3116
60.000000	104.8	-56.1801
61.500000	104.8	-62.7865
63.000000	104.7	-69.3554
65.000000	104.7	-78.0598
67.000000	104.6	-86.7126
69.000000	104.5	-95.3206
71.000000	104.4	-103.8793
73.000000	104.3	-112.3911
75.000000	104.2	-120.8677
77.500000	104.1	-131.4150
80.000000	104.0	-141.9067
82.500000	103.9	-152.3277
85.000000	103.8	-162.7199
87.500000	103.7	-173.1343
90.000000	103.5	176.4716
92.500000	103.4	166.2919
95.000000	103.3	156.1620
97.500000	103.2	146.0203
100.000000	103.1	135.8814
103.000000	103.0	123.7402
106.000000	102.9	111.6537
109.000000	102.7	99.6017
112.000000	102.6	87.5871
115.000000	102.5	75.6161
118.000000	102.3	63.6752
122.000000	102.2	47.8015
125.000000	102.0	35.9382
128.000000	101.9	24.1000
132.000000	101.7	8.3615
136.000000	101.6	-7.3346
140.000000	101.4	-22.9869
145.000000	101.2	-42.4942
150.000000	101.1	-61.9357
155.000000	100.9	-81.3405
160.000000	100.7	-100.7018
165.000000	100.6	-119.9958
170.000000	100.4	-139.2437
175.000000	100.1	-158.4626
180.000000	99.9	-177.6442
185.000000	99.7	163.2094
190.000000	99.6	144.1023
195.000000	99.5	125.0284
200.000000	99.3	105.9749
206.000000	99.2	83.1362
212.000000	99.0	60.3667
218.000000	98.8	37.6389
224.000000	98.6	14.9508
230.000000	98.4	-7.6937
236.000000	98.3	-30.2883
243.000000	98.1	-56.6008
250.000000	98.0	-82.8861
258.000000	97.8	-112.8914
265.000000	97.7	-139.1512
272.000000	97.5	-165.4893
280.000000	97.4	164.3433
290.000000	97.2	126.6282
300.000000	97.0	88.9260
307.000000	96.9	62.5601
315.000000	96.7	32.4689
325.000000	96.6	-5.0925
335.000000	96.4	-42.6223
345.000000	96.2	-80.1130
