* Measurement data measured by REW V5.19
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2021/08/11 15:26:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yuan Li R
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.600 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.600000	103.1	-141.3758
21.200001	103.1	-142.8793
21.799999	103.1	-144.3583
22.400000	103.1	-145.9171
23.000000	103.1	-147.5034
23.600000	103.1	-149.0453
24.299999	103.1	-150.7777
25.000000	103.1	-152.4626
25.799999	103.1	-154.2727
26.500000	103.1	-155.7144
27.200001	103.1	-157.0680
28.000000	103.0	-158.5476
29.000000	103.0	-160.2635
30.000000	103.0	-161.9323
30.700001	102.9	-163.0896
31.500000	102.9	-164.3354
32.500000	102.9	-165.9403
33.500000	102.8	-167.5876
34.500000	102.8	-169.0319
35.500000	102.7	-170.3663
36.500000	102.7	-171.5299
37.500000	102.6	-172.6743
38.700001	102.5	-173.9513
40.000000	102.4	-175.4198
41.200001	102.3	-176.5807
42.500000	102.3	-177.6737
43.700001	102.2	-178.8866
45.000000	102.1	-179.8977
46.200001	102.0	179.0713
47.500000	102.0	178.1013
48.700001	101.9	177.1331
50.000000	101.7	176.4254
51.500000	101.7	175.3843
53.000000	101.6	174.6296
54.500000	101.5	173.7003
56.000000	101.4	173.0374
58.000000	101.2	172.0265
60.000000	101.1	171.1288
61.500000	101.0	170.4686
63.000000	100.9	169.8974
65.000000	100.8	169.2164
67.000000	100.7	168.5165
69.000000	100.5	167.9657
71.000000	100.4	167.4037
73.000000	100.3	166.8203
75.000000	100.2	166.3912
77.500000	100.0	166.1225
80.000000	99.9	165.6958
82.500000	99.8	164.9767
85.000000	99.6	164.9844
87.500000	99.4	165.3369
90.000000	98.6	166.6691
92.500000	99.1	163.6122
95.000000	99.0	163.3622
97.500000	99.0	163.4893
100.000000	98.8	163.7075
103.000000	98.6	163.5189
106.000000	98.6	163.1088
109.000000	98.4	163.7797
112.000000	98.2	163.9278
115.000000	98.1	163.8098
118.000000	98.0	164.3692
122.000000	97.8	164.9611
125.000000	97.8	165.7253
128.000000	97.7	166.3576
132.000000	97.6	167.2288
136.000000	97.8	167.2174
140.000000	97.7	166.8940
145.000000	97.7	166.7820
150.000000	97.6	166.2619
155.000000	97.5	166.1998
160.000000	97.4	166.0532
165.000000	97.4	166.1008
170.000000	97.2	166.2768
175.000000	97.0	166.4841
180.000000	96.8	166.7133
185.000000	96.7	166.9673
190.000000	96.7	167.4105
195.000000	96.6	167.6220
200.000000	96.6	168.0659
206.000000	96.4	168.4273
212.000000	96.3	168.8889
218.000000	96.3	169.3797
224.000000	96.2	169.8568
230.000000	96.1	170.3506
236.000000	96.0	170.8240
243.000000	96.0	171.4033
250.000000	95.9	171.9243
258.000000	95.8	172.5954
265.000000	95.8	173.1028
272.000000	95.7	173.6651
280.000000	95.6	174.2758
290.000000	95.6	175.0310
300.000000	95.5	175.7799
307.000000	95.5	176.3533
315.000000	95.4	176.9884
325.000000	95.4	177.7822
335.000000	95.3	178.5757
345.000000	95.3	179.3845
355.000000	95.2	-179.7929
365.000000	95.2	-178.9541
375.000000	95.2	-178.0910
387.000000	95.2	-177.1405
400.000000	95.2	-176.2595
412.000000	95.1	-175.5374
425.000000	95.1	-174.7438
437.000000	95.1	-174.0039
450.000000	95.1	-173.1513
462.000000	95.1	-172.3627
475.000000	95.1	-171.5008
487.000000	95.1	-170.6995
500.000000	95.0	-169.8658
515.000000	95.1	-168.8230
530.000000	95.1	-167.8232
545.000000	95.1	-166.8248
560.000000	95.0	-165.8191
580.000000	95.1	-164.4922
600.000000	95.1	-163.1741
615.000000	95.1	-162.1470
630.000000	95.2	-161.1484
650.000000	95.2	-159.8167
670.000000	95.2	-158.4542
690.000000	95.3	-157.1001
710.000000	95.4	-155.7493
730.000000	95.4	-154.3856
750.000000	95.5	-153.0147
775.000000	95.6	-151.3083
800.000000	95.8	-149.6162
825.000000	95.9	-147.8989
850.000000	96.1	-146.2186
875.000000	96.2	-144.6023
900.000000	96.4	-143.0183
925.000000	96.6	-141.5249
950.000000	96.8	-140.0695
975.000000	97.1	-138.8652
1000.000000	97.3	-138.7182
1030.000000	97.4	-136.3087
1060.000000	97.7	-135.0674
1090.000000	98.0	-134.1221
1120.000000	98.3	-133.3815
1150.000000	98.5	-132.7621
1180.000000	98.8	-132.2687
1220.000000	99.1	-131.7401
1250.000000	99.4	-131.4402
1280.000000	99.6	-131.1509
1320.000000	99.9	-130.8340
1360.000000	100.2	-130.5637
1400.000000	100.5	-130.2974
1450.000000	100.9	-130.0421
1500.000000	101.4	-129.8154
1550.000000	101.9	-129.6658
1600.000000	102.4	-129.5827
1650.000000	102.8	-129.6360
1700.000000	103.0	-129.8152
1750.000000	103.3	-130.1704
1800.000000	103.8	-130.7076
1850.000000	104.3	-131.4760
1900.000000	104.8	-132.4821
1950.000000	105.4	-133.7786
2000.000000	105.9	-135.3602
2060.000000	106.5	-137.7045
2120.000000	107.0	-140.5030
2180.000000	107.5	-143.7554
2240.000000	107.9	-147.4050
2300.000000	108.3	-151.3996
2360.000000	108.5	-155.6460
2430.000000	108.7	-160.6733
2500.000000	108.7	-165.5097
2580.000000	108.6	-170.5668
2650.000000	108.4	-174.4392
2720.000000	108.1	-177.7466
2800.000000	107.8	179.1132
2900.000000	107.4	176.1182
3000.000000	107.0	174.0504
3070.000000	106.7	173.0545
3150.000000	106.5	172.2620
3250.000000	106.3	171.6500
3350.000000	106.2	171.3107
3450.000000	106.1	171.1402
3550.000000	106.0	170.9758
3650.000000	105.9	170.7196
3750.000000	105.9	170.2346
3870.000000	106.1	169.2327
4000.000000	106.4	167.4766
4120.000000	106.5	165.0750
4250.000000	106.6	161.5505
4370.000000	106.6	157.5166
4500.000000	106.4	152.5712
4620.000000	106.1	147.8726
4750.000000	105.5	143.1360
4870.000000	104.9	139.4388
5000.000000	104.1	136.4150
5150.000000	103.2	134.2772
5300.000000	102.3	133.4597
5450.000000	101.3	133.7396
5600.000000	100.4	134.8918
5800.000000	99.2	137.5758
6000.000000	98.3	141.7757
6150.000000	97.7	145.4736
6300.000000	97.1	149.9043
6500.000000	96.8	156.3886
6700.000000	96.7	162.1703
6900.000000	96.7	168.2444
7100.000000	97.0	174.0297
7300.000000	97.6	178.8806
7500.000000	98.7	-177.9731
7750.000000	101.4	-179.1177
8000.000000	105.2	165.6282
8250.000000	105.8	129.3578
8500.000000	101.8	107.1213
8750.000000	97.8	103.6636
9000.000000	94.7	107.5062
9250.000000	92.2	114.3653
9500.000000	90.3	122.7147
9750.000000	88.7	131.9073
10000.000000	87.4	141.6772
10300.000000	86.1	154.0672
10600.000000	85.2	167.1863
10900.000000	84.3	-178.4253
11200.000000	83.8	-161.5266
11500.000000	84.2	-140.3713
11800.000000	86.4	-119.1700
12200.000000	91.0	-114.6277
12500.000000	93.1	-120.4039
12800.000000	94.7	-125.7225
13200.000000	96.9	-140.2680
13600.000000	96.8	-165.1248
14000.000000	94.2	-178.0710
14500.000000	91.9	-176.0187
15000.000000	91.5	-167.6924
15500.000000	93.4	-163.2653
16000.000000	97.0	167.9029
16500.000000	91.3	121.3843
17000.000000	85.0	123.4784
17500.000000	81.1	137.1848
18000.000000	78.7	150.3015
18500.000000	75.5	170.0204
19000.000000	75.5	-176.3566
19500.000000	75.7	-176.5276
20000.000000	71.5	161.3239
20600.000000	61.0	178.3807
21200.000000	54.6	-115.9053
21800.000000	49.9	-6.9463
