* Measurement data measured by REW V5.20
* Source: ASIO hdspfire, Analog 1 (1)
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using a loopback as a timing reference
* Dated: 2021/10/17 12:52:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0129 ms (-4.4 mm, -0.17 in)  relative to Loopback from 1: Analog 1 (1) to 2: Analog 2 (1) with no timing offset
* Measurement: ThieAudio Legacy 2 L
* Smoothing: None
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.7	70.8280
20.600000	97.8	68.3057
21.200001	98.0	65.9597
21.799999	98.1	63.7072
22.400000	98.2	61.4805
23.000000	98.3	59.3095
23.600000	98.4	57.2401
24.299999	98.5	54.9296
25.000000	98.7	52.6443
25.799999	98.8	50.0765
26.500000	98.8	47.9557
27.200001	98.9	45.9547
28.000000	99.0	43.7534
29.000000	99.1	41.0510
30.000000	99.2	38.3503
30.700001	99.2	36.5977
31.500000	99.2	34.7319
32.500000	99.3	32.3060
33.500000	99.4	30.0203
34.500000	99.4	27.8565
35.500000	99.4	25.6725
36.500000	99.4	23.7958
37.500000	99.5	21.8767
38.700001	99.5	19.5717
40.000000	99.5	17.4411
41.200001	99.5	15.3666
42.500000	99.5	13.0208
43.700001	99.5	11.3270
45.000000	99.5	9.5150
46.200001	99.5	7.7336
47.500000	99.5	5.7520
48.700001	99.4	4.1194
50.000000	99.4	2.8308
51.500000	99.4	0.7090
53.000000	99.4	-0.9792
54.500000	99.3	-2.9532
56.000000	99.3	-4.6387
58.000000	99.2	-6.7586
60.000000	99.2	-8.8810
61.500000	99.1	-10.0532
63.000000	99.1	-11.9037
65.000000	99.1	-13.2916
67.000000	98.9	-15.4357
69.000000	99.0	-17.0946
71.000000	98.8	-18.5212
73.000000	98.9	-20.2523
75.000000	98.7	-21.4936
77.500000	98.7	-23.5186
80.000000	98.6	-25.2836
82.500000	98.5	-26.8183
85.000000	98.5	-28.6575
87.500000	98.3	-30.2120
90.000000	98.1	-32.3572
92.500000	98.2	-33.1246
95.000000	98.2	-34.8608
97.500000	98.1	-36.1491
100.000000	98.0	-37.5029
103.000000	97.9	-39.0629
106.000000	97.9	-40.5395
109.000000	97.8	-41.9900
112.000000	97.7	-43.4312
115.000000	97.7	-44.7272
118.000000	97.6	-46.0238
122.000000	97.5	-47.8670
125.000000	97.4	-49.1587
128.000000	97.4	-50.3545
132.000000	97.3	-52.0242
136.000000	97.2	-53.5710
