* Measurement data measured by REW V5.20
* Source: ASIO MOTU M Series, In 1
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022/04/11 14:23:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: intime show DD RC2
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.0	-141.6093
20.600000	106.1	-143.0506
21.200001	106.1	-144.4639
21.799999	106.1	-145.8448
22.400000	106.2	-147.1752
23.000000	106.2	-148.4460
23.600000	106.3	-149.6783
24.299999	106.3	-151.0871
25.000000	106.4	-152.4332
25.799999	106.4	-153.8666
26.500000	106.4	-155.0744
27.200001	106.4	-156.2564
28.000000	106.4	-157.5272
29.000000	106.5	-159.0059
30.000000	106.5	-160.5045
30.700001	106.5	-161.5704
31.500000	106.5	-162.7265
32.500000	106.5	-164.0271
33.500000	106.5	-165.2626
34.500000	106.5	-166.4888
35.500000	106.5	-167.6365
36.500000	106.5	-168.7606
37.500000	106.5	-169.9128
38.700001	106.5	-171.2258
40.000000	106.5	-172.5573
41.200001	106.4	-173.7122
42.500000	106.4	-174.9193
43.700001	106.4	-176.0426
45.000000	106.4	-177.2159
46.200001	106.4	-178.2411
47.500000	106.3	-179.2927
48.700001	106.3	179.7668
50.000000	106.3	178.7728
51.500000	106.2	177.6719
53.000000	106.2	176.6303
54.500000	106.1	175.5942
56.000000	106.1	174.5473
58.000000	106.0	173.2407
60.000000	106.0	171.9760
61.500000	105.9	171.0670
63.000000	105.9	170.2072
65.000000	105.8	169.1147
67.000000	105.7	168.0500
69.000000	105.7	167.0045
71.000000	105.6	166.0002
73.000000	105.5	165.0513
75.000000	105.4	164.1404
77.500000	105.3	163.0289
80.000000	105.2	161.9594
82.500000	105.1	160.9436
85.000000	105.0	159.9810
87.500000	104.9	159.0317
90.000000	104.8	158.1172
92.500000	104.7	157.2542
95.000000	104.6	156.4178
97.500000	104.5	155.6040
100.000000	104.4	154.8316
103.000000	104.3	153.9549
106.000000	104.2	153.1340
109.000000	104.0	152.3380
112.000000	103.9	151.5502
115.000000	103.8	150.7999
118.000000	103.7	150.0938
122.000000	103.5	149.2091
125.000000	103.4	148.5731
128.000000	103.2	147.9599
132.000000	103.1	147.1864
136.000000	102.9	146.4622
140.000000	102.7	145.7803
145.000000	102.5	144.9888
150.000000	102.3	144.2503
155.000000	102.2	143.5684
160.000000	102.0	142.9296
165.000000	101.8	142.3409
170.000000	101.6	141.7984
175.000000	101.3	141.3008
180.000000	101.0	140.8490
185.000000	100.8	140.4365
190.000000	100.7	140.0701
195.000000	100.5	139.7413
200.000000	100.3	139.4513
206.000000	100.1	139.1646
212.000000	99.9	138.9680
218.000000	99.6	138.9072
224.000000	99.3	139.0627
230.000000	99.1	139.5474
236.000000	98.8	140.4197
243.000000	98.7	141.6567
250.000000	98.7	142.2651
258.000000	98.7	141.8270
265.000000	98.6	141.1130
272.000000	98.4	140.5420
280.000000	98.2	140.1540
290.000000	97.9	139.9858
300.000000	97.6	140.0461
307.000000	97.4	140.1787
315.000000	97.2	140.3970
325.000000	96.9	140.7485
335.000000	96.6	141.1714
345.000000	96.4	141.6656
355.000000	96.2	142.2307
365.000000	95.9	142.8623
375.000000	95.7	143.5578
387.000000	95.4	144.4703
400.000000	95.2	145.5385
412.000000	94.9	146.5783
425.000000	94.7	147.7307
437.000000	94.5	148.8049
450.000000	94.3	149.9992
462.000000	94.1	151.1489
475.000000	93.9	152.4584
487.000000	93.8	153.7176
500.000000	93.6	155.1261
515.000000	93.5	156.7762
530.000000	93.3	158.4462
545.000000	93.2	160.1428
560.000000	93.1	161.8574
580.000000	92.9	164.1456
600.000000	92.9	166.4113
615.000000	92.8	168.0809
630.000000	92.8	169.7183
650.000000	92.8	171.8446
670.000000	92.8	173.8966
690.000000	92.8	175.8665
710.000000	92.9	177.7462
730.000000	92.9	179.5358
750.000000	93.0	-178.7667
775.000000	93.1	-176.7775
800.000000	93.3	-174.9301
825.000000	93.4	-173.2125
850.000000	93.5	-171.6230
875.000000	93.7	-170.1538
900.000000	93.9	-168.8017
925.000000	94.0	-167.5733
950.000000	94.2	-166.4799
975.000000	94.4	-165.5267
1000.000000	94.6	-164.7095
1030.000000	94.8	-163.9204
1060.000000	95.0	-163.3838
1090.000000	95.3	-163.1695
1120.000000	95.5	-163.3899
1150.000000	95.8	-164.2232
1180.000000	96.0	-165.9059
1220.000000	96.0	-169.4706
1250.000000	95.7	-171.8607
1280.000000	95.1	-172.0157
1320.000000	94.6	-168.5997
1360.000000	94.6	-164.6650
1400.000000	94.9	-162.2313
1450.000000	95.2	-160.7720
1500.000000	95.5	-160.0954
1550.000000	95.8	-159.6939
1600.000000	96.0	-159.3719
1650.000000	96.1	-159.0549
1700.000000	96.1	-158.7083
1750.000000	96.1	-158.3193
1800.000000	96.2	-157.8891
1850.000000	96.3	-157.4223
1900.000000	96.5	-156.9230
1950.000000	96.6	-156.3989
2000.000000	96.8	-155.8580
2060.000000	97.0	-155.1964
2120.000000	97.1	-154.5327
2180.000000	97.3	-153.8791
2240.000000	97.5	-153.2474
2300.000000	97.7	-152.6478
2360.000000	97.9	-152.0915
2430.000000	98.2	-151.5149
2500.000000	98.5	-151.0471
2580.000000	98.8	-150.6771
2650.000000	99.1	-150.5137
2720.000000	99.5	-150.5154
2800.000000	99.8	-150.7399
2900.000000	100.3	-151.3891
3000.000000	100.7	-152.4827
3070.000000	101.0	-153.5216
3150.000000	101.4	-154.9808
3250.000000	101.8	-157.1826
3350.000000	102.2	-159.7324
3450.000000	102.4	-162.5195
3550.000000	102.6	-165.4038
3650.000000	102.6	-168.2367
3750.000000	102.5	-170.8802
3870.000000	102.5	-173.6443
4000.000000	102.3	-175.9908
4120.000000	102.1	-177.5214
4250.000000	101.9	-178.5634
4370.000000	101.7	-179.0964
4500.000000	101.6	-179.4809
4620.000000	101.5	-179.8774
4750.000000	101.5	179.5395
4870.000000	101.5	178.8653
5000.000000	101.5	177.9855
5150.000000	101.6	176.7030
5300.000000	101.6	175.0625
5450.000000	101.5	173.0712
5600.000000	101.3	170.8257
5800.000000	100.7	168.0007
6000.000000	99.8	168.6419
6150.000000	99.5	173.5307
6300.000000	99.8	175.6817
6500.000000	99.9	174.8072
6700.000000	99.6	176.2568
6900.000000	99.6	179.6295
7100.000000	100.1	-176.8637
7300.000000	101.0	-175.3531
7500.000000	102.2	-177.0061
7750.000000	104.3	176.5404
8000.000000	106.4	162.7163
8250.000000	107.0	140.3155
8500.000000	105.5	118.9536
8750.000000	102.6	108.3629
9000.000000	99.5	107.2316
9250.000000	96.9	111.3166
9500.000000	95.0	118.0490
9750.000000	93.6	125.7271
10000.000000	92.8	133.1491
10300.000000	92.1	141.2609
10600.000000	91.8	148.8558
10900.000000	91.8	155.6722
11200.000000	92.2	160.7224
11500.000000	92.9	162.6441
11800.000000	93.5	160.1548
12200.000000	93.6	150.7527
12500.000000	92.7	143.3931
12800.000000	91.3	139.7854
13200.000000	88.9	142.2144
13600.000000	86.8	150.8111
14000.000000	85.4	163.2034
14500.000000	85.2	-177.7307
15000.000000	87.9	-157.8097
15500.000000	92.7	-153.9416
16000.000000	94.8	175.9948
16500.000000	92.8	144.1648
17000.000000	88.6	136.6828
17500.000000	84.6	145.8317
18000.000000	82.1	161.8175
18500.000000	81.3	177.1820
19000.000000	81.7	-169.4376
19500.000000	83.4	-162.5478
20000.000000	84.7	-172.7779
20600.000000	83.1	162.3364
21200.000000	78.5	156.2618
21800.000000	73.4	165.7084
