* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 19, 2020 4:16:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio Fourte Noir L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	94.5357	1.95
20.3000	94.5394	1.57
20.6000	94.5426	1.21
20.9000	94.5442	0.85
21.2000	94.5477	0.49
21.4000	94.5489	0.24
21.8000	94.5483	-0.23
22.0000	94.5478	-0.47
22.4000	94.5505	-0.96
22.7000	94.5510	-1.34
23.0000	94.5492	-1.71
23.3000	94.5460	-2.10
23.6000	94.5387	-2.47
24.0000	94.5228	-2.92
24.3000	94.5105	-3.22
24.7000	94.4968	-3.58
25.0000	94.4896	-3.83
25.4000	94.4855	-4.18
25.8000	94.4803	-4.52
26.2000	94.4742	-4.85
26.5000	94.4710	-5.10
26.9000	94.4681	-5.40
27.2000	94.4678	-5.65
27.6000	94.4665	-6.01
28.0000	94.4547	-6.40
28.5000	94.4265	-6.84
29.0000	94.3991	-7.15
29.5000	94.3925	-7.44
30.0000	94.3946	-7.85
30.4000	94.3862	-8.29
30.7000	94.3676	-8.61
31.1000	94.3336	-8.97
31.5000	94.3045	-9.22
32.0000	94.2912	-9.50
32.5000	94.2914	-9.93
33.0000	94.2779	-10.48
33.5000	94.2374	-10.98
34.0000	94.1919	-11.30
34.5000	94.1706	-11.54
35.0000	94.1635	-11.84
35.5000	94.1482	-12.22
36.0000	94.1163	-12.54
36.5000	94.0831	-12.74
37.0000	94.0653	-12.87
37.5000	94.0620	-13.06
38.2000	94.0506	-13.45
38.7000	94.0291	-13.75
39.5000	93.9896	-14.15
40.0000	93.9656	-14.38
40.6000	93.9367	-14.66
41.2000	93.9112	-14.94
41.8000	93.8899	-15.25
42.5000	93.8616	-15.64
43.1000	93.8353	-15.97
43.7000	93.8120	-16.29
44.4000	93.7841	-16.68
45.0000	93.7537	-17.02
45.5000	93.7252	-17.26
46.2000	93.6846	-17.52
46.8000	93.6542	-17.71
47.5000	93.6216	-17.94
48.2000	93.5856	-18.13
48.7000	93.5659	-18.24
49.4000	93.5516	-18.49
50.0000	93.5259	-18.86
50.8000	93.4496	-19.33
51.5000	93.3851	-19.39
52.2000	93.3650	-19.45
53.0000	93.3531	-19.77
53.8000	93.3254	-20.15
54.5000	93.2972	-20.52
55.2000	93.2474	-20.91
56.0000	93.1799	-21.10
57.0000	93.1432	-21.28
