* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2021 5:23:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U18s R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.125092	20.5367
20.299999	90.110046	19.3855
20.600000	90.056137	18.6284
20.900000	90.000969	18.3795
21.200001	89.997177	18.5436
21.400000	90.037437	18.7095
21.799999	90.203049	18.8179
22.000000	90.309395	18.6096
22.400000	90.508804	17.5476
22.700001	90.599632	16.3996
23.000000	90.622963	15.2281
23.299999	90.595924	14.2535
23.600000	90.543747	13.5970
24.000000	90.484253	13.2131
24.299999	90.478287	13.1243
24.700001	90.529160	12.9837
25.000000	90.595985	12.6985
25.400000	90.694595	11.9897
25.799999	90.768623	11.0072
26.200001	90.803101	9.9189
26.500000	90.805664	9.1522
26.900000	90.790909	8.3259
27.200001	90.784523	7.8653
27.600000	90.803780	7.3826
28.000000	90.856964	6.8572
28.500000	90.940437	5.8947
29.000000	90.985046	4.7091
29.500000	90.980179	3.6454
30.000000	90.963837	2.9128
30.400000	90.969406	2.4331
30.700001	90.979866	2.0516
31.100000	90.985405	1.4968
31.500000	90.974617	0.9919
32.000000	90.961327	0.6108
32.500000	90.997177	0.3326
33.000000	91.070702	-0.2787
33.500000	91.108017	-1.3400
34.000000	91.061211	-2.3751
34.500000	90.986877	-2.8962
35.000000	90.969612	-2.9911
35.500000	91.030281	-3.2488
36.000000	91.098969	-3.9514
36.500000	91.120216	-4.8384
37.000000	91.111862	-5.5245
37.500000	91.121735	-6.0362
38.200001	91.157364	-6.9117
38.700001	91.154236	-7.6454
39.500000	91.117668	-8.4811
40.000000	91.110237	-8.8742
40.599998	91.104706	-9.4248
41.200001	91.093689	-9.9242
41.799999	91.112305	-10.3926
42.500000	91.161003	-11.3542
43.099998	91.147224	-12.5199
43.700001	91.074051	-13.4116
44.400002	91.022980	-13.8823
45.000000	91.057167	-14.3430
45.500000	91.090981	-15.0319
46.200001	91.078209	-16.0431
46.799999	91.051445	-16.4998
47.500000	91.097717	-16.8706
48.200001	91.169930	-17.8136
48.700001	91.158867	-18.7431
49.400002	91.049225	-19.5889
50.000000	90.972397	-19.6644
50.799999	90.990417	-19.8443
51.500000	91.008736	-20.5611
52.200001	90.968658	-21.2992
53.000000	90.933022	-21.8348
53.799999	90.948883	-22.4378
54.500000	90.975998	-23.1880
55.200001	90.992897	-24.1614
56.000000	90.946396	-25.3495
57.000000	90.825287	-25.9881
58.000000	90.838089	-26.1382
59.000000	90.861847	-27.0430
60.000000	90.810349	-27.8180
60.799999	90.774704	-28.4276
61.500000	90.723679	-29.0296
62.200001	90.665001	-29.4962
63.000000	90.623222	-30.0040
64.000000	90.577370	-30.7585
65.000000	90.563004	-31.4738
66.000000	90.553688	-32.5276
67.000000	90.488113	-33.4152
68.000000	90.454315	-33.8992
69.000000	90.452866	-34.5351
70.000000	90.417007	-35.1638
71.000000	90.396828	-35.7169
