* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: May 24, 2020 5:48:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio U12t R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	91.7990	12.18
20.3000	91.8368	11.42
20.6000	91.8657	10.68
20.9000	91.8842	10.00
21.2000	91.8999	9.38
21.4000	91.9104	9.01
21.8000	91.9362	8.35
22.0000	91.9542	8.03
22.4000	92.0028	7.34
22.7000	92.0404	6.78
23.0000	92.0731	6.16
23.3000	92.0995	5.50
23.6000	92.1170	4.84
24.0000	92.1286	3.99
24.3000	92.1348	3.39
24.7000	92.1441	2.60
25.0000	92.1526	2.00
25.4000	92.1656	1.16
25.8000	92.1711	0.29
26.2000	92.1673	-0.59
26.5000	92.1601	-1.22
26.9000	92.1470	-2.00
27.2000	92.1396	-2.55
27.6000	92.1358	-3.27
28.0000	92.1319	-4.01
28.5000	92.1186	-4.96
29.0000	92.0912	-5.80
29.5000	92.0670	-6.50
30.0000	92.0586	-7.11
30.4000	92.0623	-7.65
30.7000	92.0627	-8.09
31.1000	92.0535	-8.69
31.5000	92.0356	-9.27
32.0000	92.0129	-9.89
32.5000	92.0034	-10.50
33.0000	91.9938	-11.21
33.5000	91.9667	-11.97
34.0000	91.9258	-12.63
34.5000	91.8988	-13.21
35.0000	91.8867	-13.84
35.5000	91.8704	-14.57
36.0000	91.8357	-15.29
36.5000	91.7976	-15.88
37.0000	91.7789	-16.41
37.5000	91.7750	-17.06
38.2000	91.7380	-18.09
38.7000	91.6863	-18.67
39.5000	91.6503	-19.27
40.0000	91.6594	-19.79
40.6000	91.6413	-20.68
41.2000	91.5702	-21.42
41.8000	91.5126	-21.76
42.5000	91.5238	-22.24
43.1000	91.5280	-23.17
43.7000	91.4510	-24.13
44.4000	91.3349	-24.60
45.0000	91.3223	-24.77
45.5000	91.3434	-25.31
46.2000	91.2978	-26.40
46.8000	91.2068	-26.93
47.5000	91.1739	-27.24
48.2000	91.1629	-28.01
48.7000	91.1079	-28.60
49.4000	91.0321	-28.92
50.0000	91.0373	-29.23
50.8000	91.0184	-30.37
51.5000	90.8980	-31.05
52.2000	90.8320	-31.08
53.0000	90.8746	-31.54
53.8000	90.8468	-32.78
54.5000	90.7191	-33.54
55.2000	90.6168	-33.59
56.0000	90.6384	-33.70
57.0000	90.6200	-35.14
58.0000	90.4277	-35.65
59.0000	90.4634	-35.76
60.0000	90.4098	-37.33
60.8000	90.2426	-37.72
61.5000	90.2047	-37.57
62.2000	90.2308	-37.95
63.0000	90.2005	-38.84
64.0000	90.0771	-39.56
65.0000	90.0227	-39.79
66.0000	90.0087	-40.68
67.0000	89.8693	-41.53
68.0000	89.7872	-41.60
69.0000	89.7749	-42.24
70.0000	89.6702	-42.92
71.0000	89.6017	-43.05
72.0000	89.6000	-43.51
73.0000	89.5554	-44.31
74.0000	89.4707	-45.04
75.0000	89.3534	-45.53
76.2000	89.2868	-45.66
77.5000	89.2464	-46.49
78.8000	89.1616	-47.15
80.0000	89.0551	-47.85
81.2000	88.9676	-47.97
82.5000	88.9197	-48.42
83.8000	88.8963	-48.88
85.0000	88.8310	-49.83
86.2000	88.7079	-50.30
87.5000	88.6235	-50.67
88.5000	88.5660	-51.04
90.0000	88.4600	-51.46
91.2000	88.4241	-51.78
92.5000	88.3649	-52.39
93.8000	88.2831	-52.93
95.0000	88.2171	-53.22
96.2000	88.1781	-53.78
97.5000	88.0713	-54.28
98.8000	88.0125	-54.56
100.0000	87.9518	-55.11
101.5000	87.8257	-55.51
103.0000	87.7806	-55.84
104.4000	87.6830	-56.47
106.0000	87.6054	-56.69
107.5000	87.5741	-57.29
109.0000	87.4756	-57.75
110.6000	87.4353	-58.15
112.0000	87.3710	-58.60
113.8000	87.2605	-58.99
115.0000	87.2345	-59.28
117.2000	87.1250	-60.00
118.0000	87.0817	-60.21
120.6000	86.9771	-60.65
122.0000	86.9147	-60.95
124.1000	86.8400	-61.31
125.0000	86.7637	-61.62
126.5000	86.7068	-61.66
128.0000	86.6286	-62.32
131.5000	86.4898	-63.10
132.0000	86.4732	-63.30
134.0000	86.3718	-63.84
136.0000	86.2778	-64.04
138.0000	86.2502	-64.42
140.0000	86.1331	-64.92
143.0000	86.0193	-65.52
145.0000	86.0002	-66.06
147.5000	85.9043	-66.57
150.0000	85.8057	-66.83
152.5000	85.7202	-67.19
155.0000	85.6491	-67.55
157.5000	85.6087	-68.22
160.0000	85.5394	-68.36
162.5000	85.4422	-68.92
165.0000	85.4038	-69.52
167.5000	85.3394	-69.77
170.0000	85.2622	-70.14
172.5000	85.1924	-70.53
175.0000	85.1335	-70.97
177.5000	85.0389	-71.42
180.0000	84.9769	-71.58
182.5000	84.9415	-72.05
185.0000	84.8561	-72.44
187.5000	84.7868	-72.73
190.0000	84.7002	-73.29
192.5000	84.6422	-73.44
195.0000	84.5995	-73.70
197.5000	84.5587	-73.99
200.0000	84.4802	-74.48
203.0000	84.4271	-74.85
