* Measurement data measured by REW V5.20 Beta 47
* Source: Microphone (Realtek Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 12, 2020 8:00:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Reference R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	92.0585	-158.60
20.3000	92.0934	-159.09
20.6000	92.1337	-159.67
20.9000	92.1683	-160.31
21.2000	92.1901	-160.99
21.4000	92.1949	-161.41
21.8000	92.1952	-162.08
22.0000	92.1973	-162.31
22.4000	92.2521	-162.58
22.7000	92.3268	-162.81
23.0000	92.4215	-163.21
23.3000	92.5174	-163.80
23.6000	92.5915	-164.55
24.0000	92.6354	-165.58
24.3000	92.6342	-166.17
24.7000	92.6217	-166.59
25.0000	92.6314	-166.70
25.4000	92.6878	-166.78
25.8000	92.7805	-167.07
26.2000	92.8627	-167.69
26.5000	92.8950	-168.30
26.9000	92.8954	-169.09
27.2000	92.8707	-169.57
27.6000	92.8282	-169.99
28.0000	92.8053	-170.21
28.5000	92.8238	-170.47
29.0000	92.8785	-170.93
29.5000	92.9304	-171.73
30.0000	92.9560	-172.58
30.4000	92.9709	-173.17
30.7000	92.9897	-173.56
31.1000	93.0303	-174.12
31.5000	93.0732	-174.79
32.0000	93.0869	-175.67
32.5000	93.0640	-176.11
33.0000	93.0935	-175.95
33.5000	93.2573	-175.77
34.0000	93.4775	-176.52
34.5000	93.5844	-178.12
35.0000	93.5023	-179.57
35.5000	93.3305	-179.86
36.0000	93.2618	-179.14
36.5000	93.3496	-178.59
37.0000	93.4690	-178.98
37.5000	93.4758	-179.93
38.2000	93.3315	179.33
38.7000	93.2476	179.46
39.5000	93.2464	179.46
40.0000	93.2493	179.01
40.6000	93.2053	178.35
41.2000	93.1471	177.94
41.8000	93.1298	177.62
42.5000	93.1475	176.91
43.1000	93.1189	176.05
43.7000	93.0411	175.49
44.4000	92.9954	175.43
45.0000	93.0424	175.29
45.5000	93.0810	174.76
46.2000	93.0431	173.91
46.8000	92.9668	173.71
47.5000	92.9578	173.90
48.2000	93.0202	173.63
48.7000	93.0371	173.07
49.4000	92.9781	172.27
50.0000	92.8985	171.97
50.8000	92.8444	171.89
51.5000	92.8405	171.63
52.2000	92.8195	171.20
53.0000	92.7832	170.87
53.8000	92.7799	170.54
54.5000	92.7639	170.04
55.2000	92.7066	169.64
56.0000	92.6519	169.53
57.0000	92.6291	169.24
58.0000	92.5799	168.89
59.0000	92.5719	168.46
60.0000	92.5131	167.59
60.8000	92.4294	167.34
61.5000	92.4206	167.28
62.2000	92.4300	166.87
63.0000	92.3818	166.40
64.0000	92.3479	166.33
65.0000	92.3351	165.90
66.0000	92.2675	165.65
67.0000	92.2155	165.38
68.0000	92.1684	165.17
69.0000	92.1500	164.34
70.0000	92.0431	163.95
71.0000	92.1856	163.01
72.0000	91.8941	160.23
73.0000	91.4756	162.78
74.0000	91.9069	164.33
75.0000	91.9680	162.63
76.2000	91.9216	162.79
77.5000	91.8300	162.11
78.8000	91.7052	162.24
80.0000	91.6127	162.31
81.2000	91.6198	162.01
82.5000	91.5411	161.33
83.8000	91.5058	161.15
85.0000	91.4634	160.91
86.2000	91.4362	160.86
87.5000	91.3854	160.72
88.5000	91.3926	160.22
90.0000	91.1273	159.46
91.2000	91.1396	159.93
92.5000	91.0877	159.00
93.8000	91.0210	158.96
95.0000	90.9969	158.95
96.2000	91.0001	158.87
97.5000	90.9425	158.56
98.8000	90.8503	158.72
100.0000	90.8026	158.68
101.5000	90.7388	158.73
103.0000	90.6852	158.37
104.4000	90.6206	157.92
106.0000	90.5225	158.17
107.5000	90.4219	157.86
109.0000	90.3627	158.28
110.6000	90.3038	158.05
112.0000	90.2224	157.69
113.8000	90.2054	157.16
115.0000	90.1393	156.63
117.2000	89.9921	156.90
118.0000	90.0126	157.06
120.6000	89.9347	157.09
122.0000	89.8271	157.14
124.1000	89.7855	157.77
125.0000	89.8815	156.98
126.5000	89.5795	156.07
128.0000	89.5873	156.98
131.5000	89.4847	156.36
132.0000	89.4336	156.17
134.0000	89.4227	156.29
136.0000	89.1702	156.55
138.0000	89.1719	156.24
140.0000	89.1084	156.20
143.0000	88.9467	156.35
145.0000	88.8463	155.92
147.5000	88.8223	156.01
150.0000	88.6912	156.50
152.5000	88.4752	156.37
155.0000	88.4946	156.39
157.5000	88.4269	156.43
160.0000	88.3190	156.82
162.5000	88.1893	157.28
165.0000	88.1961	157.06
167.5000	88.1892	157.12
170.0000	88.0901	157.10
172.5000	87.9992	157.15
175.0000	87.8602	156.97
177.5000	87.8114	157.28
180.0000	87.7030	157.78
182.5000	87.6244	157.81
185.0000	87.5908	157.99
187.5000	87.4339	158.16
190.0000	87.4408	158.18
192.5000	87.2488	158.48
195.0000	87.2375	158.30
197.5000	87.2360	158.73
200.0000	87.0448	159.35
203.0000	86.9838	159.14
206.0000	86.8644	159.26
209.0000	86.7719	159.10
212.0000	86.6830	159.89
214.0000	86.6545	159.75
218.0000	86.5123	160.68
220.0000	86.4469	160.44
224.0000	86.4034	160.54
227.0000	86.2484	160.74
230.0000	86.1940	161.12
233.0000	86.1914	161.79
236.0000	86.0835	162.12
240.0000	85.9571	161.97
243.0000	85.8941	162.63
247.0000	85.8373	163.43
250.0000	85.7231	163.49
254.0000	85.6127	163.77
258.0000	85.5044	164.10
262.0000	85.5108	163.53
265.0000	85.4321	164.75
269.0000	85.2877	165.73
272.0000	85.2155	165.77
276.0000	85.1229	166.02
280.0000	85.0586	166.60
285.0000	84.9366	167.06
290.0000	84.8549	167.42
295.0000	84.7533	168.01
300.0000	84.7085	168.62
304.0000	84.5721	169.54
307.0000	84.5589	169.64
311.0000	84.5006	170.02
315.0000	84.4256	170.41
320.0000	84.3586	171.01
325.0000	84.2619	171.84
330.0000	84.1964	172.05
335.0000	84.1266	172.95
340.0000	84.0267	173.46
345.0000	84.0018	174.09
350.0000	83.9951	174.75
355.0000	83.8201	175.44
360.0000	83.7401	175.90
365.0000	83.6801	176.46
370.0000	83.5811	177.12
375.0000	83.4328	177.64
382.0000	83.3982	178.67
387.0000	83.3231	179.02
395.0000	83.2254	-179.76
400.0000	83.1652	-179.23
406.0000	83.0391	-178.27
412.0000	83.0036	-177.83
418.0000	82.9397	-176.81
425.0000	82.8404	-176.11
431.0000	82.7979	-175.13
437.0000	82.7835	-174.64
444.0000	82.6565	-173.52
450.0000	82.6698	-172.69
455.0000	82.6043	-172.25
462.0000	82.5651	-171.32
468.0000	82.4814	-170.49
475.0000	82.4678	-169.46
482.0000	82.3529	-168.68
487.0000	82.3195	-167.97
494.0000	82.2311	-167.03
500.0000	82.2143	-166.37
508.0000	82.1600	-165.33
515.0000	82.0741	-164.44
522.0000	82.0558	-163.78
530.0000	82.0064	-162.53
538.0000	81.9357	-161.75
545.0000	81.9181	-160.90
552.0000	81.8422	-159.89
560.0000	81.7851	-158.57
570.0000	81.7640	-157.44
580.0000	81.6773	-156.40
590.0000	81.6031	-155.20
600.0000	81.5647	-153.93
608.0000	81.5088	-152.92
615.0000	81.4951	-151.93
622.0000	81.5015	-151.15
630.0000	81.4489	-150.19
640.0000	81.4101	-149.15
650.0000	81.3585	-147.37
660.0000	81.3896	-146.76
670.0000	81.3277	-144.75
680.0000	81.3012	-143.47
690.0000	81.2747	-142.65
700.0000	81.2341	-141.31
710.0000	81.2286	-140.21
720.0000	81.2059	-138.70
730.0000	81.1415	-137.39
740.0000	81.1273	-136.23
750.0000	81.1048	-134.88
762.0000	81.1278	-133.21
775.0000	81.0835	-131.78
788.0000	81.0800	-129.69
800.0000	81.1097	-127.98
812.0000	81.2259	-126.68
825.0000	81.2732	-124.66
838.0000	81.2910	-123.29
850.0000	81.3224	-121.77
862.0000	81.3758	-120.70
875.0000	81.3849	-119.25
885.0000	81.3816	-118.23
900.0000	81.4657	-116.39
912.0000	81.4744	-115.20
925.0000	81.5438	-113.50
938.0000	81.5436	-112.23
950.0000	81.5922	-110.70
962.0000	81.6500	-109.66
975.0000	81.6630	-107.84
988.0000	81.7757	-106.34
1000.0000	81.7949	-104.85
1015.0000	81.8996	-103.35
1030.0000	81.9774	-101.55
1044.0000	82.0964	-100.06
1060.0000	82.2467	-98.42
1075.0000	82.3156	-97.22
1090.0000	82.4931	-95.90
1106.0000	82.5945	-94.21
1120.0000	82.7511	-93.30
1138.0000	82.8902	-91.71
1150.0000	83.0467	-91.20
1172.0000	83.1549	-89.26
1180.0000	83.2224	-88.90
1206.0000	83.4817	-86.96
1220.0000	83.5919	-85.72
1241.0000	83.7861	-84.81
1250.0000	83.8018	-84.29
1265.0000	83.9490	-83.55
1280.0000	84.0383	-82.55
1315.0000	84.3027	-80.77
1320.0000	84.3766	-80.25
1340.0000	84.5341	-79.25
1360.0000	84.6555	-78.03
1380.0000	84.7641	-77.13
1400.0000	84.9092	-76.15
1430.0000	85.1086	-74.54
1450.0000	85.2515	-73.47
1475.0000	85.4380	-72.41
1500.0000	85.5960	-70.87
1525.0000	85.7169	-69.49
1550.0000	85.9019	-68.40
1575.0000	86.0982	-66.77
1600.0000	86.2355	-65.77
1625.0000	86.4331	-64.54
1650.0000	86.5994	-63.27
1675.0000	86.7832	-62.07
1700.0000	86.9687	-60.86
1725.0000	87.1636	-59.73
1750.0000	87.3396	-58.42
1775.0000	87.5413	-57.46
1800.0000	87.7314	-56.32
1825.0000	87.9616	-55.18
1850.0000	88.1533	-53.98
1875.0000	88.3572	-53.03
1900.0000	88.5957	-52.20
1925.0000	88.7814	-51.26
1950.0000	88.9760	-50.56
1975.0000	89.1918	-49.66
2000.0000	89.4349	-48.97
2030.0000	89.6872	-48.05
2060.0000	89.9489	-47.37
2090.0000	90.2132	-46.77
2120.0000	90.4879	-46.28
2140.0000	90.6726	-45.96
2180.0000	91.0385	-45.51
2200.0000	91.2173	-45.36
2240.0000	91.5641	-45.28
2270.0000	91.8261	-45.32
2300.0000	92.0834	-45.64
2330.0000	92.3147	-45.88
2360.0000	92.5615	-46.27
2400.0000	92.8389	-47.03
2430.0000	93.0247	-47.76
2470.0000	93.2391	-48.79
2500.0000	93.3795	-49.65
2540.0000	93.5198	-50.89
2580.0000	93.6400	-52.23
2620.0000	93.6735	-53.41
2650.0000	93.6798	-54.46
2690.0000	93.6501	-55.51
2720.0000	93.6216	-56.27
2760.0000	93.5190	-57.32
2800.0000	93.4131	-57.97
2850.0000	93.2430	-58.64
2900.0000	93.0630	-58.98
2950.0000	92.8539	-59.28
3000.0000	92.6546	-59.33
3040.0000	92.4774	-58.66
3070.0000	92.3693	-58.51
3110.0000	92.1752	-58.07
3150.0000	92.0017	-57.25
3200.0000	91.7975	-56.38
3250.0000	91.6029	-55.34
3300.0000	91.4959	-54.08
3350.0000	91.2827	-52.76
3400.0000	91.1556	-51.05
3450.0000	91.0544	-49.62
3500.0000	90.9264	-48.19
3550.0000	90.9072	-46.66
3600.0000	90.7866	-44.63
3650.0000	90.8029	-42.62
3700.0000	90.7541	-40.58
3750.0000	90.7410	-38.42
3820.0000	90.7846	-35.11
3870.0000	90.9447	-33.21
3950.0000	91.1950	-29.80
4000.0000	91.3619	-28.43
4060.0000	91.5053	-27.18
4120.0000	91.6377	-25.82
4180.0000	91.8611	-24.24
4250.0000	92.0572	-22.32
4310.0000	92.1601	-20.58
4370.0000	92.4247	-18.84
4440.0000	92.7441	-17.52
4500.0000	92.9680	-15.91
4550.0000	93.1869	-15.71
4620.0000	93.6193	-13.83
4680.0000	93.9664	-13.61
4750.0000	94.3593	-13.14
4820.0000	94.8683	-12.67
4870.0000	95.1838	-12.29
4940.0000	95.5933	-13.72
5000.0000	96.0191	-13.65
5080.0000	96.5600	-16.16
5150.0000	96.9526	-19.59
5220.0000	97.4276	-23.44
5300.0000	97.5525	-28.68
5380.0000	97.5582	-33.93
5450.0000	97.3385	-38.48
5520.0000	97.0074	-41.79
5600.0000	96.2838	-45.82
5700.0000	95.2699	-47.72
5800.0000	94.3711	-49.37
5900.0000	93.7156	-47.98
6000.0000	92.8227	-47.47
6080.0000	92.2799	-45.43
6150.0000	91.5516	-43.88
6220.0000	91.0737	-41.15
6300.0000	90.8289	-36.14
6400.0000	90.6538	-31.70
6500.0000	90.2914	-31.38
6600.0000	90.1859	-26.21
6700.0000	90.1881	-22.97
6800.0000	89.9278	-18.56
6900.0000	90.1888	-17.27
7000.0000	90.1613	-14.26
7100.0000	90.3496	-10.66
7200.0000	90.9316	-9.17
7300.0000	91.5124	-4.11
7400.0000	92.2233	-5.06
7500.0000	92.7592	-3.75
7620.0000	93.4713	-3.93
7750.0000	94.3671	-3.96
7880.0000	95.5461	-11.59
8000.0000	96.1964	-19.13
8120.0000	95.9125	-27.21
8250.0000	95.7291	-42.67
8380.0000	94.4546	-52.53
8500.0000	92.6075	-55.61
8620.0000	90.7030	-62.43
8750.0000	89.0283	-60.94
8850.0000	88.1559	-56.30
9000.0000	86.8185	-56.31
9120.0000	84.9964	-54.87
9250.0000	83.7082	-50.11
9380.0000	83.0665	-47.03
9500.0000	82.7802	-38.82
9620.0000	80.9010	-35.35
9750.0000	80.4135	-30.79
9880.0000	80.3896	-28.62
10000.0000	80.1674	-21.26
10150.0000	78.7779	-10.46
10300.0000	79.3528	-6.62
10440.0000	78.6821	-6.79
10600.0000	77.6996	4.31
10750.0000	78.4698	13.71
10900.0000	78.2789	19.47
11060.0000	78.0483	17.58
11200.0000	78.0836	23.13
11380.0000	78.8603	34.99
11500.0000	77.5032	36.67
11720.0000	78.1047	39.38
11800.0000	79.6911	47.20
12060.0000	79.2320	54.14
12200.0000	81.1797	42.63
12410.0000	82.6249	45.95
12500.0000	81.7482	41.43
12650.0000	81.5077	43.13
12800.0000	81.6647	40.96
13150.0000	80.3175	25.37
13200.0000	81.8613	17.39
13400.0000	80.0501	26.78
13600.0000	78.2168	13.45
13800.0000	76.8404	16.99
14000.0000	77.4933	32.38
14300.0000	73.8451	40.19
14500.0000	73.2894	43.95
14750.0000	77.2816	60.66
15000.0000	78.0404	59.63
15250.0000	78.4224	81.90
15500.0000	81.8554	70.07
15750.0000	83.5509	68.24
16000.0000	82.1159	24.29
16250.0000	80.0799	12.40
16500.0000	82.1225	1.87
16750.0000	74.7641	-1.04
17000.0000	74.3826	-4.87
17250.0000	78.3440	-13.82
17500.0000	71.6317	-27.30
17750.0000	70.8742	-36.12
18000.0000	75.3693	-28.23
18250.0000	65.9215	-39.53
18500.0000	63.5648	-32.27
18750.0000	66.3112	-64.09
19000.0000	65.3144	-11.67
19250.0000	67.3817	-34.13
19500.0000	65.2630	-30.52
19750.0000	54.1289	-25.55
