* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 26, 2020 1:10:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: High Filter R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	87.7906	-136.79
20.3000	87.8536	-137.21
20.6000	87.9192	-137.66
20.9000	87.9802	-138.13
21.2000	88.0333	-138.62
21.4000	88.0615	-138.92
21.8000	88.1085	-139.38
22.0000	88.1350	-139.54
22.4000	88.2132	-139.76
22.7000	88.2953	-139.93
23.0000	88.3926	-140.19
23.3000	88.4938	-140.59
23.6000	88.5848	-141.10
24.0000	88.6786	-141.83
24.3000	88.7323	-142.34
24.7000	88.7950	-142.91
25.0000	88.8447	-143.27
25.4000	88.9202	-143.75
25.8000	88.9929	-144.28
26.2000	89.0531	-144.85
26.5000	89.0900	-145.25
26.9000	89.1321	-145.70
27.2000	89.1655	-146.00
27.6000	89.2166	-146.39
28.0000	89.2678	-146.82
28.5000	89.3251	-147.40
29.0000	89.3728	-147.98
29.5000	89.4179	-148.54
30.0000	89.4540	-149.07
30.4000	89.4781	-149.45
30.7000	89.4972	-149.67
31.1000	89.5351	-149.91
31.5000	89.5915	-150.18
32.0000	89.6682	-150.67
32.5000	89.7220	-151.28
33.0000	89.7506	-151.72
33.5000	89.7948	-151.93
34.0000	89.8801	-152.19
34.5000	89.9738	-152.77
35.0000	90.0156	-153.55
35.5000	90.0051	-154.09
36.0000	90.0022	-154.23
36.5000	90.0502	-154.31
37.0000	90.1196	-154.69
37.5000	90.1560	-155.30
38.2000	90.1481	-155.90
38.7000	90.1652	-156.08
39.5000	90.2519	-156.77
40.0000	90.2671	-157.49
40.6000	90.2245	-158.11
41.2000	90.2036	-158.19
41.8000	90.2659	-158.22
42.5000	90.3753	-158.79
43.1000	90.4198	-159.54
43.7000	90.4283	-160.11
44.4000	90.4510	-160.51
45.0000	90.4888	-160.90
45.5000	90.5112	-161.30
46.2000	90.5163	-161.76
46.8000	90.5217	-161.99
47.5000	90.5525	-162.27
48.2000	90.5804	-162.71
48.7000	90.5865	-163.05
49.4000	90.5899	-163.43
50.0000	90.5978	-163.76
50.8000	90.6090	-164.28
51.5000	90.6169	-164.66
52.2000	90.6363	-165.07
53.0000	90.6410	-165.62
53.8000	90.6391	-165.86
54.5000	90.6952	-166.03
55.2000	90.7571	-166.66
56.0000	90.7309	-167.44
57.0000	90.6974	-167.58
58.0000	90.7402	-168.04
59.0000	90.6882	-168.50
60.0000	90.7025	-168.47
60.8000	90.7350	-168.89
61.5000	90.7255	-169.30
62.2000	90.7149	-169.57
63.0000	90.7164	-169.91
64.0000	90.7085	-170.36
65.0000	90.7111	-170.76
66.0000	90.7024	-171.25
67.0000	90.6864	-171.57
68.0000	90.6925	-171.91
69.0000	90.6867	-172.33
70.0000	90.6736	-172.63
71.0000	90.6778	-172.92
72.0000	90.6852	-173.30
73.0000	90.6743	-173.71
74.0000	90.6590	-173.96
75.0000	90.6646	-174.19
76.2000	90.6684	-174.57
77.5000	90.6574	-175.02
78.8000	90.6347	-175.40
80.0000	90.6206	-175.77
81.2000	90.6076	-176.08
82.5000	90.5987	-176.54
83.8000	90.5868	-176.79
85.0000	90.5796	-177.25
86.2000	90.5280	-177.38
87.5000	90.5186	-177.53
88.5000	90.5090	-177.63
90.0000	90.5048	-178.22
91.2000	90.4542	-178.49
92.5000	90.4458	-178.80
93.8000	90.4145	-179.22
95.0000	90.3767	-179.32
96.2000	90.3950	-179.47
97.5000	90.3725	-179.88
98.8000	90.3369	179.95
100.0000	90.3385	179.81
101.5000	90.3002	179.40
103.0000	90.3125	179.18
104.4000	90.2311	178.84
106.0000	90.2508	178.80
107.5000	90.2099	178.55
109.0000	90.1902	178.13
110.6000	90.1416	177.99
112.0000	90.1030	177.72
113.8000	90.0908	177.37
115.0000	90.0338	177.27
117.2000	90.0194	176.86
118.0000	89.9974	176.89
120.6000	89.9445	176.44
122.0000	89.9375	176.36
124.1000	89.8656	176.19
125.0000	89.8640	176.05
126.5000	89.8142	175.78
128.0000	89.7887	175.62
131.5000	89.7162	175.14
132.0000	89.6926	175.23
134.0000	89.6457	175.18
136.0000	89.6612	174.79
138.0000	89.6124	175.04
140.0000	89.4972	174.64
143.0000	89.4304	174.46
145.0000	89.4246	174.08
147.5000	89.4017	174.24
150.0000	89.3253	174.07
152.5000	89.2825	173.75
155.0000	89.2350	173.59
157.5000	89.1863	173.56
160.0000	89.1740	173.30
162.5000	89.0965	173.52
165.0000	89.0461	173.33
167.5000	89.0100	173.17
170.0000	88.9482	173.13
172.5000	88.9127	173.00
175.0000	88.8462	172.75
177.5000	88.8152	172.88
180.0000	88.7390	173.12
182.5000	88.6509	173.00
185.0000	88.5838	172.80
187.5000	88.5218	172.86
190.0000	88.5214	172.77
192.5000	88.4463	172.71
195.0000	88.3663	172.70
197.5000	88.3249	172.64
200.0000	88.2928	172.62
203.0000	88.2328	172.79
206.0000	88.1817	173.00
209.0000	88.0690	172.87
212.0000	88.0052	172.71
214.0000	87.9675	172.78
218.0000	87.9343	173.00
220.0000	87.8875	173.12
224.0000	87.7811	172.89
227.0000	87.7095	173.07
230.0000	87.6829	173.16
233.0000	87.6811	173.39
236.0000	87.6175	173.32
240.0000	87.5495	173.09
243.0000	87.4944	173.36
247.0000	87.4188	173.69
250.0000	87.3603	173.93
254.0000	87.2972	174.09
258.0000	87.2221	174.28
262.0000	87.1475	174.46
265.0000	87.0880	174.68
269.0000	87.0222	174.40
272.0000	86.9740	174.92
276.0000	86.9157	175.16
280.0000	86.8567	175.40
285.0000	86.7872	175.56
290.0000	86.7128	175.91
295.0000	86.6234	176.10
300.0000	86.5535	176.55
304.0000	86.4933	176.93
307.0000	86.4402	176.91
311.0000	86.3772	177.15
315.0000	86.3332	177.61
320.0000	86.2717	177.80
325.0000	86.2305	178.14
330.0000	86.1240	178.75
335.0000	86.0703	178.91
340.0000	85.9783	179.15
345.0000	85.9263	179.62
350.0000	85.8627	179.99
355.0000	85.8002	-179.28
360.0000	85.7034	-179.26
365.0000	85.6486	-178.71
370.0000	85.5562	-178.55
375.0000	85.5865	-177.99
382.0000	85.4605	-177.49
387.0000	85.4150	-177.19
395.0000	85.3096	-176.44
400.0000	85.2488	-175.98
406.0000	85.1836	-175.47
412.0000	85.1316	-174.97
418.0000	85.0682	-174.43
425.0000	84.9960	-173.96
431.0000	84.9320	-173.37
437.0000	84.8656	-172.79
444.0000	84.8197	-172.08
450.0000	84.7694	-171.55
455.0000	84.7125	-171.33
462.0000	84.6682	-170.67
468.0000	84.6267	-170.23
475.0000	84.5440	-169.65
482.0000	84.4780	-169.12
487.0000	84.4607	-168.76
494.0000	84.3809	-168.30
500.0000	84.3665	-167.40
508.0000	84.2899	-166.87
515.0000	84.2478	-166.03
522.0000	84.1409	-165.03
530.0000	84.1148	-164.49
538.0000	84.1006	-163.64
545.0000	84.0084	-163.31
552.0000	83.9654	-163.03
560.0000	83.8639	-161.94
570.0000	83.8596	-160.84
580.0000	83.7434	-159.82
590.0000	83.6953	-159.15
600.0000	83.6326	-157.88
608.0000	83.6811	-157.38
615.0000	83.5738	-156.36
622.0000	83.5181	-155.88
630.0000	83.4793	-154.93
640.0000	83.4411	-154.07
650.0000	83.4296	-152.88
660.0000	83.3603	-152.05
670.0000	83.3340	-151.11
680.0000	83.2927	-150.12
690.0000	83.2873	-149.16
700.0000	83.1835	-147.91
710.0000	83.1466	-147.15
720.0000	83.1705	-145.97
730.0000	83.1258	-144.97
740.0000	83.1163	-143.70
750.0000	83.0503	-142.77
762.0000	83.0192	-141.62
775.0000	82.9688	-140.29
788.0000	82.9787	-138.75
800.0000	82.9143	-137.60
812.0000	82.8896	-136.53
825.0000	82.9192	-134.88
838.0000	82.9163	-133.38
850.0000	82.9030	-132.21
862.0000	82.8825	-130.94
875.0000	82.9144	-129.44
885.0000	82.9143	-128.42
900.0000	82.9476	-126.99
912.0000	82.9526	-125.62
925.0000	82.9777	-124.07
938.0000	83.0033	-122.84
950.0000	83.0206	-121.67
962.0000	83.0758	-120.41
975.0000	83.0930	-119.21
988.0000	83.1621	-117.93
1000.0000	83.2692	-116.56
1015.0000	83.2698	-115.33
1030.0000	83.3063	-114.13
1044.0000	83.3443	-112.82
1060.0000	83.4309	-111.44
1075.0000	83.4956	-110.17
1090.0000	83.5700	-108.96
1106.0000	83.6615	-107.85
1120.0000	83.7396	-106.88
1138.0000	83.8442	-105.60
1150.0000	83.9144	-104.78
1172.0000	84.0459	-103.30
1180.0000	84.0700	-102.96
1206.0000	84.2248	-101.16
1220.0000	84.2613	-100.61
1241.0000	84.3833	-99.34
1250.0000	84.4353	-98.65
1265.0000	84.4978	-98.01
1280.0000	84.5776	-97.20
1315.0000	84.7304	-95.37
1320.0000	84.7445	-95.10
1340.0000	84.8393	-94.02
1360.0000	84.9131	-93.13
1380.0000	84.9823	-92.12
1400.0000	85.0732	-91.08
1430.0000	85.1745	-89.32
1450.0000	85.2392	-88.48
1475.0000	85.3182	-87.16
1500.0000	85.4024	-85.89
1525.0000	85.4916	-84.60
1550.0000	85.5527	-83.24
1575.0000	85.6359	-82.00
1600.0000	85.7257	-80.63
1625.0000	85.7968	-79.28
1650.0000	85.8723	-77.95
1675.0000	85.9467	-76.48
1700.0000	86.0208	-75.04
1725.0000	86.1095	-73.52
1750.0000	86.2053	-72.02
1775.0000	86.3122	-70.49
1800.0000	86.4249	-68.93
1825.0000	86.5440	-67.50
1850.0000	86.6754	-66.04
1875.0000	86.8094	-64.67
1900.0000	86.9527	-63.34
1925.0000	87.0784	-62.02
1950.0000	87.2107	-60.79
1975.0000	87.3364	-59.46
2000.0000	87.4099	-58.57
2030.0000	87.6515	-56.77
2060.0000	87.8342	-55.29
2090.0000	88.0064	-53.92
2120.0000	88.1946	-52.58
2140.0000	88.3146	-51.71
2180.0000	88.5562	-50.03
2200.0000	88.6789	-49.21
2240.0000	88.9433	-47.84
2270.0000	89.1169	-47.11
2300.0000	89.3085	-46.62
2330.0000	89.4999	-46.15
2360.0000	89.6882	-45.79
2400.0000	89.9469	-45.14
2430.0000	90.1490	-44.56
2470.0000	90.3968	-43.68
2500.0000	90.5748	-43.15
2540.0000	90.8124	-42.46
2580.0000	91.0290	-41.95
2620.0000	91.2585	-41.53
2650.0000	91.4012	-41.33
2690.0000	91.5952	-41.10
2720.0000	91.7410	-40.98
2760.0000	91.8898	-40.91
2800.0000	92.0367	-41.02
2850.0000	92.1707	-41.02
2900.0000	92.2728	-41.36
2950.0000	92.3365	-41.48
3000.0000	92.3819	-41.34
3040.0000	92.4283	-41.59
3070.0000	92.4014	-41.88
3110.0000	92.3698	-41.66
3150.0000	92.3593	-41.57
3200.0000	92.3039	-41.38
3250.0000	92.1912	-41.05
3300.0000	92.1100	-40.89
3350.0000	91.9942	-39.94
