* Measurement data measured by REW V5.20 Beta 47
* Source: Microphone (Realtek Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 14, 2020 9:03:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ATH-E50 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	86.9978	-170.90
20.3000	87.0059	-170.68
20.6000	87.0622	-170.64
20.9000	87.1427	-170.94
21.2000	87.2092	-171.64
21.4000	87.2237	-172.23
21.8000	87.1728	-173.40
22.0000	87.1182	-173.79
22.4000	87.0091	-173.91
22.7000	86.9718	-173.48
23.0000	87.0156	-172.89
23.3000	87.1387	-172.46
23.6000	87.3020	-172.42
24.0000	87.5057	-173.04
24.3000	87.6020	-173.76
24.7000	87.6411	-174.64
25.0000	87.6261	-174.99
25.4000	87.5999	-174.92
25.8000	87.6221	-174.45
26.2000	87.6954	-173.98
26.5000	87.7627	-173.75
26.9000	87.8479	-173.56
27.2000	87.9034	-173.45
27.6000	87.9836	-173.28
28.0000	88.0938	-173.22
28.5000	88.2505	-173.77
29.0000	88.3262	-175.11
29.5000	88.2272	-176.74
30.0000	87.9678	-177.55
30.4000	87.7478	-177.17
30.7000	87.6444	-176.34
31.1000	87.6435	-175.10
31.5000	87.7692	-174.41
32.0000	87.9397	-174.81
32.5000	87.9582	-175.91
33.0000	87.8214	-176.32
33.5000	87.7327	-175.37
34.0000	87.8717	-174.22
34.5000	88.1305	-174.44
35.0000	88.2536	-175.99
35.5000	88.1528	-177.22
36.0000	88.0343	-177.10
36.5000	88.1094	-176.70
37.0000	88.2578	-177.86
37.5000	88.1400	179.73
38.2000	87.4257	178.97
38.7000	87.0662	-177.55
39.5000	87.6340	-172.95
40.0000	88.0771	-173.94
40.6000	88.2018	-176.35
41.2000	88.1030	-177.22
41.8000	88.1098	-177.06
42.5000	88.2020	-177.38
43.1000	88.2120	-177.69
43.7000	88.2324	-177.63
44.4000	88.2897	-177.74
45.0000	88.2841	-177.98
45.5000	88.2546	-177.95
46.2000	88.2404	-177.72
46.8000	88.2379	-177.67
47.5000	88.2208	-177.61
48.2000	88.2315	-177.55
48.7000	88.2562	-177.68
49.4000	88.2756	-178.15
50.0000	88.2567	-178.58
50.8000	88.2083	-178.71
51.5000	88.2418	-178.47
52.2000	88.3150	-178.69
53.0000	88.2621	-178.90
53.8000	88.2657	-177.66
54.5000	88.4899	-177.25
55.2000	88.5868	-178.50
56.0000	88.3901	-179.16
57.0000	88.3343	-178.20
58.0000	88.3385	-178.92
59.0000	88.2229	-178.98
60.0000	88.2650	-179.27
60.8000	88.2321	-179.71
61.5000	88.2264	-179.56
62.2000	88.2891	-179.49
63.0000	88.3339	-179.70
64.0000	88.3381	-179.56
65.0000	88.3746	-179.33
66.0000	88.3967	-179.26
67.0000	88.4412	-179.76
68.0000	88.3218	179.28
69.0000	88.2317	179.37
70.0000	88.1760	178.74
71.0000	88.0609	179.96
72.0000	88.4339	-179.58
73.0000	88.4449	178.34
74.0000	88.2748	179.25
75.0000	88.4006	179.87
76.2000	88.4020	179.95
77.5000	88.4039	179.73
78.8000	88.3238	179.80
80.0000	88.3199	179.67
81.2000	88.3201	179.50
82.5000	88.3427	179.42
83.8000	88.3743	179.20
85.0000	88.3740	179.34
86.2000	88.3574	179.26
87.5000	88.3675	179.52
88.5000	88.2797	178.77
90.0000	88.2164	-179.33
91.2000	88.4099	179.29
92.5000	88.2935	179.01
93.8000	88.3220	178.52
95.0000	88.3155	178.79
96.2000	88.3864	178.35
97.5000	88.3258	178.29
98.8000	88.3637	178.42
100.0000	88.3008	178.26
101.5000	88.3437	178.83
103.0000	88.3211	178.43
104.4000	88.2765	178.50
106.0000	88.3120	178.79
107.5000	88.2578	178.40
109.0000	88.3663	178.43
110.6000	88.2557	177.67
112.0000	88.3463	177.82
113.8000	88.2116	177.76
115.0000	88.3275	178.07
117.2000	88.2919	178.01
118.0000	88.3429	177.70
120.6000	88.2762	177.80
122.0000	88.2762	177.31
124.1000	88.2555	177.32
125.0000	88.2706	177.30
126.5000	88.2161	177.01
128.0000	88.2047	177.46
131.5000	88.1870	176.99
132.0000	88.1765	176.97
134.0000	88.1990	176.93
136.0000	88.1761	176.96
138.0000	88.1486	176.75
140.0000	88.0754	177.01
143.0000	88.0304	176.81
145.0000	88.0275	176.62
147.5000	88.0788	176.68
150.0000	88.0264	176.43
152.5000	88.0227	176.52
155.0000	87.9876	176.28
157.5000	88.0101	176.25
160.0000	88.0046	176.10
162.5000	87.9720	176.11
165.0000	87.9565	176.48
167.5000	87.9722	175.81
170.0000	87.9764	175.83
172.5000	87.9354	176.18
175.0000	87.7107	176.28
177.5000	87.8464	175.81
180.0000	87.8497	175.75
182.5000	87.8324	175.89
185.0000	87.7733	175.96
187.5000	87.7714	175.72
190.0000	87.7644	175.71
192.5000	87.7308	175.52
195.0000	87.7093	175.60
197.5000	87.6903	175.24
200.0000	87.6689	175.33
203.0000	87.6272	175.18
206.0000	87.5916	174.92
209.0000	87.5882	175.00
212.0000	87.5455	175.11
214.0000	87.5117	175.02
218.0000	87.4930	174.86
220.0000	87.4982	174.88
224.0000	87.4093	175.02
227.0000	87.4086	175.03
230.0000	87.3916	174.84
233.0000	87.4008	174.92
236.0000	87.3624	174.80
240.0000	87.3282	174.77
243.0000	87.2985	174.80
247.0000	87.2607	174.98
250.0000	87.2259	174.88
254.0000	87.1959	174.75
258.0000	87.1736	174.57
262.0000	87.1079	174.62
265.0000	87.0695	174.67
269.0000	87.0192	174.66
272.0000	86.9936	174.77
276.0000	86.9390	174.77
280.0000	86.9300	174.82
285.0000	86.8589	174.85
290.0000	86.8099	174.70
295.0000	86.7806	174.85
300.0000	86.7325	174.88
304.0000	86.6923	175.00
307.0000	86.6698	174.99
311.0000	86.6115	174.95
315.0000	86.5604	174.98
320.0000	86.5539	175.10
325.0000	86.5330	175.05
330.0000	86.4987	175.17
335.0000	86.4577	175.27
340.0000	86.4310	175.35
345.0000	86.3512	175.40
350.0000	86.3516	175.41
355.0000	86.2580	175.68
360.0000	86.2389	175.65
365.0000	86.1803	175.83
370.0000	86.1390	175.93
375.0000	86.0603	176.01
382.0000	86.0277	176.09
387.0000	85.9413	176.32
395.0000	85.8950	176.42
400.0000	85.8351	176.63
406.0000	85.7838	176.70
412.0000	85.7387	176.89
418.0000	85.6748	177.04
425.0000	85.6282	177.57
431.0000	85.5980	177.53
437.0000	85.5437	177.62
444.0000	85.5334	177.86
450.0000	85.4541	177.98
455.0000	85.4345	178.36
462.0000	85.3576	178.50
468.0000	85.2617	178.66
475.0000	85.2738	178.70
482.0000	85.2051	179.26
487.0000	85.2011	179.40
494.0000	85.1037	179.80
500.0000	85.0741	179.92
508.0000	85.0138	-179.87
515.0000	84.9657	-179.47
522.0000	84.9243	-179.27
