* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jun 14, 2020 11:00:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Anole V3 00 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	93.4301	5.84
20.3000	93.4538	5.44
20.6000	93.4653	5.01
20.9000	93.4627	4.61
21.2000	93.4542	4.27
21.4000	93.4482	4.08
21.8000	93.4429	3.81
22.0000	93.4466	3.68
22.4000	93.4679	3.36
22.7000	93.4821	3.05
23.0000	93.4856	2.73
23.3000	93.4790	2.46
23.6000	93.4669	2.29
24.0000	93.4610	2.27
24.3000	93.4811	2.33
24.7000	93.5446	2.34
25.0000	93.6067	2.19
25.4000	93.6825	1.72
25.8000	93.7204	1.10
26.2000	93.7198	0.52
26.5000	93.7067	0.19
26.9000	93.6857	-0.11
27.2000	93.6732	-0.28
27.6000	93.6577	-0.51
28.0000	93.6348	-0.68
28.5000	93.6117	-0.76
29.0000	93.6247	-0.78
29.5000	93.6688	-1.08
30.0000	93.6807	-1.71
30.4000	93.6423	-2.22
30.7000	93.5940	-2.43
31.1000	93.5412	-2.43
31.5000	93.5333	-2.30
32.0000	93.5801	-2.34
32.5000	93.6289	-2.80
33.0000	93.6293	-3.38
33.5000	93.5992	-3.79
34.0000	93.5767	-4.01
34.5000	93.5690	-4.24
35.0000	93.5536	-4.45
35.5000	93.5390	-4.53
36.0000	93.5479	-4.55
36.5000	93.5717	-4.75
37.0000	93.5717	-5.10
37.5000	93.5394	-5.36
38.2000	93.5111	-5.31
38.7000	93.5392	-5.34
39.5000	93.5777	-5.94
40.0000	93.5522	-6.36
40.6000	93.5045	-6.60
41.2000	93.4879	-6.66
41.8000	93.4958	-6.81
42.5000	93.5004	-7.08
43.1000	93.4975	-7.32
43.7000	93.4898	-7.53
44.4000	93.4801	-7.71
45.0000	93.4830	-7.87
45.5000	93.4826	-8.09
46.2000	93.4485	-8.36
46.8000	93.4192	-8.32
47.5000	93.4565	-8.30
48.2000	93.4976	-8.89
48.7000	93.4619	-9.45
49.4000	93.3671	-9.62
50.0000	93.3594	-9.36
50.8000	93.4390	-9.66
51.5000	93.4386	-10.33
52.2000	93.3931	-10.61
53.0000	93.3882	-10.72
53.8000	93.3831	-11.01
54.5000	93.3526	-11.14
55.2000	93.3398	-11.13
56.0000	93.3517	-11.23
57.0000	93.3394	-11.73
58.0000	93.2552	-12.07
59.0000	93.2205	-12.00
60.0000	93.2297	-12.32
60.8000	93.2022	-12.62
61.5000	93.1912	-12.77
62.2000	93.1893	-13.00
63.0000	93.1708	-13.28
64.0000	93.1403	-13.51
65.0000	93.1128	-13.64
66.0000	93.1014	-13.75
67.0000	93.0851	-14.05
68.0000	93.0449	-14.27
69.0000	93.0303	-14.48
70.0000	92.9942	-14.82
71.0000	92.9557	-14.93
72.0000	92.9468	-15.11
73.0000	92.9216	-15.34
74.0000	92.9035	-15.45
75.0000	92.8968	-15.56
76.2000	92.9035	-15.84
77.5000	92.8756	-16.22
78.8000	92.8388	-16.62
80.0000	92.7740	-16.58
81.2000	92.8168	-16.80
82.5000	92.7263	-17.29
83.8000	92.7350	-17.23
85.0000	92.6915	-17.66
86.2000	92.6765	-17.69
87.5000	92.6323	-17.99
88.5000	92.6340	-17.98
90.0000	92.5936	-18.70
91.2000	92.5111	-18.70
92.5000	92.5112	-18.70
93.8000	92.4836	-19.13
95.0000	92.4356	-19.13
96.2000	92.4222	-19.26
97.5000	92.3952	-19.36
98.8000	92.3208	-19.54
100.0000	92.3319	-19.13
101.5000	92.3454	-20.08
103.0000	92.2477	-20.29
104.4000	92.2164	-20.44
106.0000	92.1825	-20.70
107.5000	92.1643	-20.85
109.0000	92.1239	-21.01
110.6000	92.0962	-21.19
112.0000	92.0716	-21.33
113.8000	92.0209	-21.54
115.0000	91.9914	-21.71
117.2000	91.9508	-21.90
118.0000	91.9258	-22.01
120.6000	91.8687	-22.28
122.0000	91.8499	-22.39
124.1000	91.7942	-22.55
125.0000	91.7748	-22.64
126.5000	91.7354	-22.76
128.0000	91.6945	-22.88
131.5000	91.6117	-23.17
132.0000	91.6099	-23.20
134.0000	91.5523	-23.44
136.0000	91.5119	-23.57
138.0000	91.4664	-23.68
140.0000	91.4171	-23.82
143.0000	91.3495	-24.10
145.0000	91.2996	-24.23
147.5000	91.2368	-24.36
150.0000	91.1841	-24.42
152.5000	91.1495	-24.70
155.0000	91.0855	-24.87
157.5000	91.0524	-25.06
160.0000	91.0073	-25.14
162.5000	90.9638	-25.26
165.0000	90.9170	-25.34
167.5000	90.8676	-25.46
170.0000	90.8189	-25.60
172.5000	90.7711	-25.72
175.0000	90.7063	-25.82
177.5000	90.6541	-25.97
180.0000	90.6019	-26.02
182.5000	90.5374	-26.16
185.0000	90.4748	-26.23
187.5000	90.4169	-26.21
190.0000	90.3621	-26.36
192.5000	90.3101	-26.38
195.0000	90.2596	-26.48
197.5000	90.2092	-26.56
200.0000	90.2060	-26.61
203.0000	90.0831	-26.78
206.0000	90.0062	-26.83
209.0000	89.9444	-26.87
212.0000	89.8862	-26.94
214.0000	89.8450	-26.99
218.0000	89.7732	-27.08
220.0000	89.7599	-26.96
224.0000	89.6834	-27.17
227.0000	89.6339	-27.18
230.0000	89.5857	-27.20
233.0000	89.5326	-27.24
236.0000	89.4802	-27.33
240.0000	89.4250	-27.37
243.0000	89.3645	-27.42
247.0000	89.2970	-27.43
250.0000	89.2698	-27.57
254.0000	89.1721	-27.40
258.0000	89.0976	-27.44
262.0000	89.0325	-27.46
265.0000	88.9765	-27.44
269.0000	88.9013	-27.44
272.0000	88.8512	-27.49
276.0000	88.7910	-27.49
280.0000	88.7182	-27.43
285.0000	88.6284	-27.39
290.0000	88.5550	-27.39
295.0000	88.4852	-27.29
300.0000	88.3709	-27.41
304.0000	88.3337	-27.22
307.0000	88.2842	-27.18
311.0000	88.2226	-27.14
315.0000	88.1533	-27.09
320.0000	88.0750	-27.02
325.0000	87.9938	-26.88
330.0000	87.9210	-26.86
335.0000	87.8456	-26.75
340.0000	87.7601	-26.63
345.0000	87.6873	-26.59
350.0000	87.6570	-26.37
355.0000	87.5397	-26.29
360.0000	87.4633	-26.22
365.0000	87.3850	-25.99
370.0000	87.3075	-25.92
375.0000	87.2407	-25.81
382.0000	87.1460	-25.66
387.0000	87.0732	-25.50
395.0000	86.9642	-25.20
400.0000	86.8590	-25.26
406.0000	86.8144	-24.88
412.0000	86.7376	-24.73
418.0000	86.6580	-24.50
425.0000	86.5606	-24.26
431.0000	86.4817	-24.08
437.0000	86.4057	-23.79
444.0000	86.3199	-23.57
450.0000	86.2225	-23.35
455.0000	86.1972	-23.07
462.0000	86.1038	-22.89
468.0000	86.0267	-22.62
475.0000	85.9174	-22.57
482.0000	85.8558	-22.18
487.0000	85.7879	-22.07
494.0000	85.7068	-21.79
500.0000	85.6651	-21.53
508.0000	85.5456	-21.10
515.0000	85.4298	-20.76
522.0000	85.3828	-20.34
530.0000	85.2927	-19.96
538.0000	85.1877	-19.55
545.0000	85.1160	-19.11
552.0000	85.0325	-18.69
560.0000	84.9520	-18.23
570.0000	84.8390	-17.68
580.0000	84.7319	-17.07
590.0000	84.6230	-16.48
600.0000	84.5013	-15.60
608.0000	84.4470	-15.25
615.0000	84.3785	-14.82
622.0000	84.3147	-14.37
630.0000	84.2485	-13.79
640.0000	84.1625	-13.17
650.0000	84.1000	-12.38
660.0000	83.9908	-11.79
670.0000	83.9107	-11.06
680.0000	83.8296	-10.32
690.0000	83.7519	-9.56
700.0000	83.6876	-8.96
710.0000	83.5965	-8.08
720.0000	83.5173	-7.29
730.0000	83.4522	-6.50
740.0000	83.3865	-5.71
750.0000	83.2878	-5.19
762.0000	83.2384	-3.94
775.0000	83.1499	-2.87
788.0000	83.0733	-1.76
800.0000	83.0122	-0.61
812.0000	82.9389	0.32
825.0000	82.8763	1.40
838.0000	82.8218	2.62
850.0000	82.7975	3.48
862.0000	82.7279	4.74
875.0000	82.6864	5.93
885.0000	82.6625	6.83
900.0000	82.6272	8.11
912.0000	82.5970	9.27
925.0000	82.5930	10.38
938.0000	82.5845	11.61
950.0000	82.6182	12.53
962.0000	82.5845	13.67
975.0000	82.5744	14.80
988.0000	82.6066	15.92
1000.0000	82.7170	17.07
1015.0000	82.6201	18.11
1030.0000	82.6281	19.26
1044.0000	82.6497	20.32
1060.0000	82.6929	21.52
1075.0000	82.7236	22.57
1090.0000	82.7709	23.63
1106.0000	82.8282	24.71
1120.0000	82.8754	25.58
1138.0000	82.9456	26.68
1150.0000	82.9604	27.45
1172.0000	83.0804	28.59
1180.0000	83.1001	29.05
1206.0000	83.2038	30.40
1220.0000	83.2661	31.15
1241.0000	83.3465	32.15
1250.0000	83.4156	32.55
1265.0000	83.4386	33.18
1280.0000	83.5031	33.86
1315.0000	83.6310	35.39
1320.0000	83.6529	35.63
1340.0000	83.7221	36.49
1360.0000	83.7860	37.31
1380.0000	83.8690	38.14
1400.0000	83.9673	38.87
1430.0000	84.0414	40.23
1450.0000	84.1248	40.88
1475.0000	84.2182	42.13
1500.0000	84.3188	43.12
1525.0000	84.4068	44.21
1550.0000	84.4908	45.22
1575.0000	84.6320	46.12
1600.0000	84.7744	47.23
1625.0000	84.8838	48.05
1650.0000	84.9961	49.04
1675.0000	85.1426	49.78
1700.0000	85.2834	50.36
1725.0000	85.4300	51.33
1750.0000	85.5608	52.12
1775.0000	85.7184	52.67
1800.0000	85.8892	53.27
1825.0000	86.0163	53.80
1850.0000	86.1827	54.34
1875.0000	86.3286	54.66
1900.0000	86.4719	55.16
1925.0000	86.6386	55.23
1950.0000	86.7808	55.33
1975.0000	86.9113	55.42
2000.0000	87.0027	55.25
2030.0000	87.2256	55.45
2060.0000	87.3884	55.35
2090.0000	87.5275	55.11
2120.0000	87.6558	54.77
2140.0000	87.7394	54.48
2180.0000	87.8763	53.89
2200.0000	87.9498	53.66
2240.0000	88.0324	52.61
2270.0000	88.0700	51.67
2300.0000	88.1150	50.49
2330.0000	88.1072	49.34
2360.0000	88.1033	48.21
2400.0000	88.0769	47.03
2430.0000	88.0482	46.30
2470.0000	87.9911	45.63
2500.0000	87.9294	45.20
2540.0000	87.8380	44.65
2580.0000	87.7473	44.16
2620.0000	87.6464	43.80
2650.0000	87.5859	43.56
2690.0000	87.4987	43.28
2720.0000	87.4191	43.09
2760.0000	87.3374	42.81
2800.0000	87.2279	42.72
2850.0000	87.1283	42.35
2900.0000	87.0583	41.95
2950.0000	86.9752	41.39
3000.0000	86.8849	41.21
3040.0000	86.7764	40.25
3070.0000	86.7444	39.76
3110.0000	86.6350	38.80
3150.0000	86.5032	38.20
3200.0000	86.3569	37.13
3250.0000	86.1935	36.00
3300.0000	86.0254	35.39
3350.0000	85.8122	34.20
3400.0000	85.5724	33.58
3450.0000	85.3846	33.10
3500.0000	85.2510	32.49
3550.0000	85.1879	32.42
3600.0000	85.0254	31.83
3650.0000	84.9692	31.75
3700.0000	84.9864	31.42
3750.0000	84.9857	30.79
3820.0000	85.0652	29.60
3870.0000	85.2493	28.95
3950.0000	85.4195	26.91
4000.0000	85.6496	25.20
4060.0000	86.0567	22.52
4120.0000	86.4008	18.65
4180.0000	86.6826	14.32
4250.0000	86.8868	8.41
4310.0000	86.8718	2.26
4370.0000	86.7674	-2.90
4440.0000	86.6158	-8.51
4500.0000	86.3056	-13.31
4550.0000	86.1760	-16.96
4620.0000	85.7166	-20.46
4680.0000	85.5174	-23.35
4750.0000	85.1907	-26.23
4820.0000	84.8785	-27.94
4870.0000	84.6131	-28.90
4940.0000	84.5080	-30.66
5000.0000	84.2614	-31.16
5080.0000	84.1705	-31.30
5150.0000	84.2564	-31.28
5220.0000	84.3956	-30.00
5300.0000	84.5688	-29.72
5380.0000	84.8344	-28.55
5450.0000	85.1429	-27.51
5520.0000	85.3882	-26.13
5600.0000	85.9009	-26.41
5700.0000	86.4148	-26.76
5800.0000	87.1446	-27.29
5900.0000	87.5483	-26.97
6000.0000	88.3150	-27.92
6080.0000	88.8254	-28.45
6150.0000	89.4085	-31.20
6220.0000	89.7695	-32.70
6300.0000	90.1645	-34.46
6400.0000	90.6050	-38.71
6500.0000	91.1395	-43.32
6600.0000	91.1494	-46.56
6700.0000	91.1937	-49.45
6800.0000	91.1058	-54.75
6900.0000	91.3295	-56.55
7000.0000	91.1055	-59.58
7100.0000	91.0031	-61.88
7200.0000	91.1246	-61.65
7300.0000	90.4898	-62.41
7400.0000	90.7974	-62.09
7500.0000	90.7938	-64.35
7620.0000	90.8925	-66.80
7750.0000	90.2221	-71.12
7880.0000	90.1217	-74.22
8000.0000	89.5032	-77.66
8120.0000	88.3451	-84.22
8250.0000	87.4991	-83.80
8380.0000	86.1259	-84.09
8500.0000	84.4754	-83.93
8620.0000	83.6862	-83.49
8750.0000	81.9660	-79.39
8850.0000	80.7364	-72.81
9000.0000	79.7195	-62.80
9120.0000	78.8313	-59.93
9250.0000	78.0818	-51.95
9380.0000	78.1236	-40.81
9500.0000	77.2842	-31.18
9620.0000	77.4608	-29.90
9750.0000	77.2473	-23.24
9880.0000	77.7305	-16.28
10000.0000	77.4430	-12.78
10150.0000	76.1188	-13.79
10300.0000	75.5637	-1.08
10440.0000	76.1578	1.17
10600.0000	75.2395	5.37
10750.0000	73.9410	19.78
10900.0000	74.2389	27.62
11060.0000	75.3970	33.03
11200.0000	75.6718	39.25
11380.0000	75.0450	51.91
11500.0000	75.5150	45.25
11720.0000	76.6005	50.72
11800.0000	75.6562	61.78
12060.0000	76.5360	54.28
12200.0000	78.2423	66.08
12410.0000	77.8917	68.35
12500.0000	78.8221	58.32
12650.0000	77.1403	54.82
12800.0000	76.8978	54.56
13150.0000	76.3261	57.95
13200.0000	77.6822	70.25
13400.0000	75.3591	71.30
13600.0000	78.2506	74.05
13800.0000	78.5782	75.14
14000.0000	77.4631	91.16
14300.0000	79.0479	71.62
14500.0000	80.9865	70.00
14750.0000	82.1416	75.41
15000.0000	83.1502	50.39
15250.0000	77.5207	28.25
15500.0000	77.4685	28.30
15750.0000	73.5908	29.74
16000.0000	74.6166	10.69
16250.0000	72.5515	4.52
16500.0000	72.5900	25.99
16750.0000	71.4320	-0.33
17000.0000	71.1826	-4.95
17250.0000	73.1435	16.15
17500.0000	72.5209	-26.02
17750.0000	71.9929	-46.71
18000.0000	70.6438	-36.16
18250.0000	68.9623	-96.02
18500.0000	65.9848	-114.37
18750.0000	67.6779	-113.72
19000.0000	55.9941	-130.27
19250.0000	61.5055	-108.34
19500.0000	57.8173	-126.69
19750.0000	59.3307	133.60
