* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 19, 2021 5:31:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 82 Ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.824127	3.0422
20.299999	80.924995	3.8512
20.600000	81.104218	4.1459
20.900000	81.301941	3.8046
21.200001	81.465775	2.9375
21.400000	81.537140	2.2323
21.799999	81.588158	0.8476
22.000000	81.576729	0.3223
22.400000	81.521355	-0.1874
22.700001	81.488205	-0.0637
23.000000	81.495605	0.3370
23.299999	81.547241	0.7570
23.600000	81.618576	1.0471
24.000000	81.692017	1.1967
24.299999	81.703629	1.3304
24.700001	81.678162	1.9442
25.000000	81.685684	2.8327
25.400000	81.818954	4.1704
25.799999	82.089790	4.6454
26.200001	82.347519	3.4464
26.500000	82.404678	1.5873
26.900000	82.183212	-1.2859
27.200001	81.783676	-2.7627
27.600000	81.061470	-2.4200
28.000000	80.491142	1.3165
28.500000	80.589966	7.6736
29.000000	81.350426	9.9216
29.500000	81.983978	7.3438
30.000000	82.116425	3.2179
30.400000	81.940804	0.8377
30.700001	81.759949	0.1015
31.100000	81.618095	0.2054
31.500000	81.650116	0.5684
32.000000	81.802727	0.1905
32.500000	81.870621	-0.8222
33.000000	81.833946	-1.1835
33.500000	81.862427	-0.6238
34.000000	82.033859	-0.3318
34.500000	82.179863	-1.2125
35.000000	82.107086	-2.4874
35.500000	81.856934	-2.5642
36.000000	81.698677	-1.0606
36.500000	81.796936	0.3551
37.000000	81.968155	0.0812
37.500000	81.954994	-1.3583
38.200001	81.628143	-2.3287
38.700001	81.450951	-1.6865
39.500000	81.444946	-1.1434
40.000000	81.436127	-1.3494
40.599998	81.429726	-1.3104
41.200001	81.517456	-1.5289
41.799999	81.528175	-2.4519
42.500000	81.329773	-2.3429
43.099998	81.329330	-0.5238
43.700001	81.566254	0.2908
44.400002	81.640640	-0.4301
45.000000	81.503120	0.3567
45.500000	81.592926	1.9555
46.200001	81.984840	1.8213
46.799999	82.012634	-0.6373
47.500000	81.602859	-1.5989
48.200001	81.453934	0.2530
48.700001	81.599174	0.6469
49.400002	81.665817	-0.5976
50.000000	81.570374	-0.9286
50.799999	81.687866	-0.8727
51.500000	81.767166	-2.7391
52.200001	81.467392	-4.0742
53.000000	81.183151	-2.0359
53.799999	81.414742	-0.1888
54.500000	81.617355	-0.6643
55.200001	81.662369	-1.5750
56.000000	81.600708	-2.6860
57.000000	81.298286	-3.1027
58.000000	81.237518	-1.4384
59.000000	81.402489	-1.7452
60.000000	81.375877	-1.9763
60.799999	81.481873	-2.0298
61.500000	81.499184	-2.9949
62.200001	81.339340	-3.2347
63.000000	81.284843	-1.9957
64.000000	81.438667	-1.9706
65.000000	81.290848	-2.3898
66.000000	81.231628	-1.1103
67.000000	81.330750	-0.7959
68.000000	81.346825	-0.5709
69.000000	81.509232	-0.2068
70.000000	81.647079	-1.5383
71.000000	81.466354	-2.3266
72.000000	81.450722	-1.5544
73.000000	81.433701	-2.4140
74.000000	81.198540	-1.9241
75.000000	81.236488	-1.1919
76.199997	81.161880	-1.3900
77.500000	81.147110	-1.5329
78.800003	81.091866	-0.7020
80.000000	81.311096	-1.4976
81.199997	81.140114	-2.0533
82.500000	81.177261	-0.7060
83.800003	81.362320	-1.4042
85.000000	81.089005	-1.4667
86.199997	81.222961	-0.0153
87.500000	81.182213	-0.9926
88.500000	81.087173	-0.7897
90.000000	81.078194	0.0205
91.199997	81.103004	-0.7631
92.500000	81.085594	-1.1256
93.800003	80.809074	-2.2606
95.000000	80.728027	-0.9034
96.199997	80.663422	-0.4036
97.500000	80.924179	0.6177
98.800003	81.090469	-0.7712
100.000000	80.895355	-2.3325
101.500000	80.797264	0.9954
103.000000	81.026215	0.1751
104.400002	81.014168	-0.2485
106.000000	80.793900	0.3923
107.500000	80.882950	0.4365
109.000000	80.797829	0.3095
110.599998	80.791336	0.3429
