* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 25, 2020 12:56:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BLON BL-01 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.543121	-170.3338
20.299999	92.487587	-171.2198
20.600000	92.414810	-171.7790
20.900000	92.352715	-172.0316
21.200001	92.325783	-172.1305
21.400000	92.325111	-172.2034
21.799999	92.348053	-172.4507
22.000000	92.362915	-172.6482
22.400000	92.385086	-173.1591
22.700001	92.388588	-173.5258
23.000000	92.387932	-173.8214
23.299999	92.393921	-174.0688
23.600000	92.407074	-174.2996
24.000000	92.430664	-174.6463
24.299999	92.445915	-174.9579
24.700001	92.453308	-175.3891
25.000000	92.448898	-175.6691
25.400000	92.440475	-175.9505
25.799999	92.438019	-176.1228
26.200001	92.449356	-176.2746
26.500000	92.465134	-176.4243
26.900000	92.486450	-176.6808
27.200001	92.498955	-176.9161
27.600000	92.508270	-177.2611
28.000000	92.505676	-177.6052
28.500000	92.492401	-178.0054
29.000000	92.475670	-178.3280
29.500000	92.466385	-178.6093
30.000000	92.462334	-178.8914
30.400000	92.461296	-179.1480
30.700001	92.458801	-179.3433
31.100000	92.453880	-179.5996
31.500000	92.449577	-179.8509
32.000000	92.445000	179.8521
32.500000	92.442528	179.5491
33.000000	92.437866	179.2628
33.500000	92.431625	178.9986
34.000000	92.425850	178.7605
34.500000	92.425606	178.5121
35.000000	92.422592	178.2600
35.500000	92.415939	178.0202
36.000000	92.407860	177.8113
36.500000	92.401161	177.5968
37.000000	92.394104	177.3671
37.500000	92.384956	177.1234
38.200001	92.364990	176.8152
38.700001	92.351646	176.6245
39.500000	92.343315	176.3236
40.000000	92.340271	176.1092
40.599998	92.331688	175.8218
41.200001	92.320435	175.5576
41.799999	92.311623	175.3198
42.500000	92.302437	175.0550
43.099998	92.294968	174.8247
43.700001	92.286194	174.5905
44.400002	92.270706	174.3311
45.000000	92.257675	174.1440
45.500000	92.251259	173.9837
46.200001	92.239380	173.7209
46.799999	92.220169	173.4995
47.500000	92.201103	173.3008
48.200001	92.190369	173.0647
48.700001	92.177269	172.8356
49.400002	92.144928	172.5844
50.000000	92.121803	172.4818
50.799999	92.117134	172.2562
51.500000	92.105110	171.9845
52.200001	92.083755	171.7812
53.000000	92.072350	171.5779
53.799999	92.058159	171.3001
54.500000	92.034973	171.1055
55.200001	92.021629	170.9535
56.000000	92.008545	170.7014
57.000000	91.971420	170.4189
58.000000	91.947212	170.2354
59.000000	91.924767	169.9881
60.000000	91.909668	169.7592
60.799999	91.887901	169.4801
61.500000	91.857208	169.3051
62.200001	91.837982	169.2087
63.000000	91.827568	169.0042
64.000000	91.792610	168.6809
65.000000	91.759727	168.4690
66.000000	91.726295	168.2072
67.000000	91.692665	168.0241
68.000000	91.670135	167.7854
69.000000	91.637939	167.5585
70.000000	91.616638	167.3869
71.000000	91.592377	167.0872
72.000000	91.549072	166.9021
73.000000	91.527275	166.7886
74.000000	91.506836	166.5604
75.000000	91.475052	166.3707
76.199997	91.448090	166.1862
77.500000	91.412521	165.9159
78.800003	91.375587	165.7530
80.000000	91.348831	165.5252
81.199997	91.313240	165.3246
82.500000	91.274551	165.1175
83.800003	91.244370	164.9480
85.000000	91.212868	164.7411
86.199997	91.172272	164.5796
87.500000	91.136490	164.4265
88.500000	91.091690	164.2396
90.000000	91.049133	164.2812
91.199997	91.025421	163.9120
92.500000	90.968025	163.7520
93.800003	90.933372	163.4997
95.000000	90.893639	163.3382
96.199997	90.854675	163.1519
97.500000	90.816322	163.0608
98.800003	90.776993	162.8735
