* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2021 5:06:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Ara R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.082565	9.5539
20.299999	86.180016	5.8663
20.600000	85.896919	2.7554
20.900000	85.319893	1.6166
21.200001	84.675621	3.7108
21.400000	84.448067	6.7855
21.799999	84.677383	13.7784
22.000000	85.092720	16.1274
22.400000	86.063942	16.4465
22.700001	86.574440	13.9413
23.000000	86.769836	10.5787
23.299999	86.681343	7.5189
23.600000	86.399742	5.5785
24.000000	85.955841	5.3405
24.299999	85.763313	6.4529
24.700001	85.786041	8.1035
25.000000	85.923965	8.5406
25.400000	86.087074	7.9296
25.799999	86.117340	6.8828
26.200001	86.059937	6.2706
26.500000	86.027420	6.2005
26.900000	86.048187	6.3167
27.200001	86.103813	6.2556
27.600000	86.181808	5.8332
28.000000	86.214943	5.2486
28.500000	86.205978	4.7552
29.000000	86.208244	4.6379
29.500000	86.247505	4.5367
30.000000	86.278206	4.2737
30.400000	86.276909	4.0613
30.700001	86.264061	3.9938
31.100000	86.248634	4.0328
31.500000	86.247620	4.1335
32.000000	86.262390	4.2049
32.500000	86.277557	4.1337
33.000000	86.276115	4.0082
33.500000	86.262138	3.9217
34.000000	86.251595	3.9130
34.500000	86.262558	3.8889
35.000000	86.285599	3.7544
35.500000	86.302429	3.4822
36.000000	86.298424	3.1843
36.500000	86.278511	2.9774
37.000000	86.261513	2.9242
37.500000	86.262909	2.9511
38.200001	86.284187	2.9459
38.700001	86.296188	2.8864
39.500000	86.308388	2.8812
40.000000	86.325844	2.9219
40.599998	86.354240	2.8259
41.200001	86.356277	2.5504
41.799999	86.314049	2.3747
42.500000	86.264137	2.6191
43.099998	86.286285	2.9192
43.700001	86.340736	2.8388
44.400002	86.355263	2.3653
45.000000	86.318237	2.1079
45.500000	86.292549	2.1038
46.200001	86.288292	2.1798
46.799999	86.295486	2.1713
47.500000	86.304001	2.1603
48.200001	86.319511	2.1518
48.700001	86.331619	2.0943
49.400002	86.341507	1.9984
50.000000	86.344711	1.9158
50.799999	86.341354	1.7158
51.500000	86.318481	1.6364
52.200001	86.303177	1.6967
53.000000	86.306564	1.7034
53.799999	86.299881	1.6551
54.500000	86.296562	1.6976
55.200001	86.310669	1.6904
56.000000	86.318687	1.5679
57.000000	86.311569	1.4591
58.000000	86.298752	1.4089
59.000000	86.296051	1.4981
60.000000	86.319855	1.4045
60.799999	86.300804	1.2286
61.500000	86.275902	1.2620
62.200001	86.273186	1.3672
63.000000	86.285172	1.3686
64.000000	86.281197	1.2233
65.000000	86.258148	1.2349
66.000000	86.269035	1.3543
67.000000	86.294586	1.1862
68.000000	86.279846	0.9844
69.000000	86.269760	0.9533
70.000000	86.259270	0.9106
71.000000	86.246628	0.9722
72.000000	86.248711	1.0756
73.000000	86.263290	1.1069
74.000000	86.265511	0.9771
75.000000	86.246284	0.9759
76.199997	86.259567	0.8815
77.500000	86.217621	0.7290
78.800003	86.223404	0.7756
80.000000	86.220306	0.7239
81.199997	86.239792	0.5621
82.500000	86.203773	0.5092
83.800003	86.220238	0.5660
85.000000	86.208885	0.5803
86.199997	86.210182	0.5386
87.500000	86.183037	0.7331
88.500000	86.219269	0.7077
90.000000	86.165337	0.5235
91.199997	86.175507	0.6161
92.500000	86.155334	0.4729
93.800003	86.153572	0.4446
95.000000	86.152107	0.3974
96.199997	86.152039	0.2628
97.500000	86.135307	0.2886
98.800003	86.121048	0.3096
100.000000	86.125427	0.4790
101.500000	86.107758	0.2193
103.000000	86.095047	0.4457
104.400002	86.064461	0.0903
106.000000	86.078705	0.4505
107.500000	86.045578	0.0894
109.000000	86.081398	0.3595
110.599998	86.020912	0.1778
112.000000	86.040970	0.3519
113.800003	86.003540	0.3179
115.000000	86.014595	0.1794
117.199997	85.942902	0.4105
118.000000	85.971214	0.4382
120.599998	85.881378	0.4797
122.000000	86.028641	0.4569
124.099998	85.751762	1.2823
125.000000	86.003876	1.2753
126.500000	85.826820	-0.6768
128.000000	85.737732	1.5118
131.500000	85.571777	0.7993
132.000000	85.623192	1.6884
134.000000	85.888229	0.6654
136.000000	85.556824	1.4811
138.000000	85.772728	2.3430
140.000000	85.587868	1.5665
143.000000	85.550400	3.3638
145.000000	85.472130	3.8161
147.500000	85.674721	5.5111
150.000000	85.876038	6.6412
152.500000	86.178085	5.3477
155.000000	86.105492	5.9008
157.500000	86.366447	3.8964
160.000000	86.371460	3.5932
162.500000	86.427391	2.6431
165.000000	86.427490	1.7889
167.500000	86.318649	1.7068
170.000000	86.298096	1.3237
172.500000	86.254128	1.1353
175.000000	86.193054	0.9019
177.500000	86.166595	0.9533
180.000000	86.135651	0.6413
182.500000	86.095032	0.6180
185.000000	86.093834	0.6544
187.500000	86.037262	0.4775
190.000000	85.959839	0.5333
192.500000	85.945503	0.4328
195.000000	85.899689	0.3542
197.500000	85.849670	0.2297
200.000000	85.814880	0.0071
203.000000	85.785164	0.3335
206.000000	85.719368	0.5607
209.000000	85.670654	0.5955
212.000000	85.627846	0.4029
214.000000	85.617706	0.3939
218.000000	85.599419	0.6796
220.000000	85.565231	0.6907
224.000000	85.621574	1.0523
227.000000	85.563499	1.1445
230.000000	85.456932	1.6655
233.000000	85.512108	1.6796
236.000000	85.533775	1.3187
240.000000	85.496109	2.6899
243.000000	85.503830	2.2627
247.000000	85.486801	3.1292
250.000000	85.588226	2.8879
254.000000	85.455444	2.7136
258.000000	85.569313	2.0018
262.000000	85.546783	2.2539
265.000000	85.528709	1.9800
269.000000	85.480103	2.3347
272.000000	85.496086	2.1200
276.000000	85.379288	1.8415
280.000000	85.367432	1.8933
285.000000	85.344856	2.0280
290.000000	85.254745	2.2042
295.000000	85.238983	2.0443
300.000000	85.156319	2.2765
304.000000	85.143471	2.2972
307.000000	85.112801	2.3720
311.000000	85.084450	2.4041
315.000000	85.050392	2.5244
320.000000	85.017532	2.7192
325.000000	84.980118	2.8830
330.000000	84.917992	3.0207
335.000000	84.886200	3.2055
340.000000	84.845688	3.3209
345.000000	84.805382	3.4664
350.000000	84.771088	3.6423
355.000000	84.737091	3.8423
360.000000	84.681656	3.9728
365.000000	84.642494	4.2725
370.000000	84.598816	4.4204
375.000000	84.565964	4.4968
382.000000	84.513077	4.7383
387.000000	84.481094	4.9566
395.000000	84.410698	5.2843
400.000000	84.375687	5.5573
406.000000	84.335327	5.7572
412.000000	84.287888	5.9850
418.000000	84.237335	6.2831
425.000000	84.184448	6.5399
431.000000	84.148705	6.8117
437.000000	84.098175	7.1929
444.000000	84.042648	7.4276
450.000000	84.050995	7.8257
455.000000	84.007523	7.9343
462.000000	83.940063	8.2836
468.000000	83.910149	8.5871
475.000000	83.849266	8.7568
482.000000	83.798813	9.1391
487.000000	83.769821	9.3276
494.000000	83.726288	9.6737
500.000000	83.684975	9.9511
508.000000	83.638321	10.4635
515.000000	83.589348	10.8938
522.000000	83.542877	11.2595
530.000000	83.492073	11.8583
538.000000	83.436646	12.2679
545.000000	83.403778	12.6919
552.000000	83.368240	13.1511
560.000000	83.320084	13.6017
570.000000	83.259232	14.2600
580.000000	83.201134	14.9187
590.000000	83.143822	15.5943
600.000000	83.090073	16.2776
608.000000	83.044060	16.8569
615.000000	83.012840	17.2908
622.000000	82.981705	17.7594
630.000000	82.959045	18.3531
640.000000	82.902557	19.1047
650.000000	82.867798	19.7977
660.000000	82.830795	20.5721
670.000000	82.793442	21.3175
680.000000	82.764725	22.1392
690.000000	82.729012	22.8955
700.000000	82.701813	23.6532
710.000000	82.663239	24.5173
720.000000	82.628250	25.3619
730.000000	82.603622	26.2211
740.000000	82.588257	27.0558
750.000000	82.568626	27.8553
762.000000	82.547668	28.8914
775.000000	82.533401	30.0845
788.000000	82.514030	31.1897
800.000000	82.516762	32.2608
812.000000	82.495789	33.3938
825.000000	82.501556	34.5537
838.000000	82.518051	35.7036
850.000000	82.538033	36.8200
862.000000	82.557480	37.9268
875.000000	82.584236	39.1473
885.000000	82.610680	40.0740
900.000000	82.658722	41.4651
912.000000	82.711807	42.4937
925.000000	82.776237	43.6651
938.000000	82.851654	44.8352
950.000000	82.918472	45.8663
962.000000	82.991730	46.9147
975.000000	83.076797	47.9728
988.000000	83.190193	49.0784
1000.000000	83.358841	50.1763
1015.000000	83.400703	51.0637
1030.000000	83.518433	52.1231
1044.000000	83.642601	53.0382
1060.000000	83.797668	54.0482
1075.000000	83.942947	54.9297
1090.000000	84.110413	55.7369
1106.000000	84.303329	56.4937
1120.000000	84.459305	57.0885
1138.000000	84.672287	57.7501
1150.000000	84.809914	58.1956
1172.000000	85.073318	58.8377
1180.000000	85.167007	59.0269
1206.000000	85.475761	59.5899
1220.000000	85.650284	59.8289
1241.000000	85.922318	60.0230
1250.000000	86.031090	60.0599
1265.000000	86.216331	60.1451
1280.000000	86.396881	60.1691
1315.000000	86.821106	60.0940
1320.000000	86.883347	59.9999
1340.000000	87.131355	59.7639
1360.000000	87.381485	59.4553
1380.000000	87.634247	59.0210
1400.000000	87.877144	58.5342
1430.000000	88.243332	57.5597
1450.000000	88.486618	56.7374
1475.000000	88.790810	55.5126
1500.000000	89.078453	54.0429
1525.000000	89.360016	52.3551
1550.000000	89.619385	50.3965
1575.000000	89.849968	48.2056
1600.000000	90.051765	45.7818
1625.000000	90.203735	43.1466
1650.000000	90.318222	40.2756
1675.000000	90.382156	37.3220
1700.000000	90.373932	34.3218
1725.000000	90.314041	31.3078
1750.000000	90.192345	28.3631
1775.000000	90.020424	25.5832
1800.000000	89.804031	22.9798
1825.000000	89.545563	20.5747
1850.000000	89.260818	18.4539
1875.000000	88.951805	16.5925
1900.000000	88.627541	14.9985
1925.000000	88.281021	13.6904
1950.000000	87.938118	12.6318
1975.000000	87.577698	11.7239
2000.000000	87.184021	10.8094
2030.000000	86.860374	10.5792
2060.000000	86.501671	10.3713
2090.000000	86.139915	10.3163
2120.000000	85.797546	10.4215
2140.000000	85.589462	10.6204
2180.000000	85.173088	11.1588
2200.000000	84.995155	11.5232
2240.000000	84.659599	12.0994
2270.000000	84.426956	12.3643
2300.000000	84.202682	12.6017
2330.000000	84.024612	12.8148
2360.000000	83.850685	13.1173
2400.000000	83.672249	13.7835
2430.000000	83.564674	14.4435
2470.000000	83.442123	15.5553
2500.000000	83.379585	16.2955
2540.000000	83.325806	17.3265
2580.000000	83.306740	18.2339
2620.000000	83.334328	19.0120
2650.000000	83.372314	19.5784
2690.000000	83.465225	20.1536
2720.000000	83.553459	20.4114
2760.000000	83.692635	20.7343
2800.000000	83.866951	20.7219
2850.000000	84.124146	20.3615
2900.000000	84.415047	19.5156
2950.000000	84.714943	18.1028
3000.000000	85.008064	16.3383
3040.000000	85.230927	14.0880
