* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 16, 2021 3:47:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Vega R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.572563	168.4247
20.299999	96.571732	168.2600
20.600000	96.569122	168.1066
20.900000	96.563538	167.9670
21.200001	96.558647	167.8243
21.400000	96.553696	167.7335
21.799999	96.540016	167.5761
22.000000	96.532852	167.5054
22.400000	96.522964	167.3512
22.700001	96.515648	167.2433
23.000000	96.508545	167.1301
23.299999	96.502739	166.9953
23.600000	96.494598	166.8505
24.000000	96.477478	166.6537
24.299999	96.461655	166.5110
24.700001	96.438416	166.3497
25.000000	96.421761	166.2518
25.400000	96.405884	166.1258
25.799999	96.394218	166.0017
26.200001	96.386299	165.8473
26.500000	96.381424	165.7064
26.900000	96.371994	165.5100
27.200001	96.363365	165.3593
27.600000	96.351158	165.1646
28.000000	96.336151	164.9855
28.500000	96.318085	164.7738
29.000000	96.302383	164.5958
29.500000	96.293137	164.4200
30.000000	96.283882	164.2350
30.400000	96.275345	164.0711
30.700001	96.266434	163.9584
31.100000	96.253487	163.8253
31.500000	96.242638	163.7015
32.000000	96.231941	163.5482
32.500000	96.223099	163.3510
33.000000	96.207108	163.1308
33.500000	96.181633	162.9226
34.000000	96.151688	162.7732
34.500000	96.130669	162.6544
35.000000	96.115723	162.5324
35.500000	96.102921	162.3746
36.000000	96.086998	162.2008
36.500000	96.068008	162.0186
37.000000	96.048676	161.8495
37.500000	96.031891	161.6804
38.200001	96.006210	161.4475
38.700001	95.986916	161.2919
39.500000	95.964905	161.0626
40.000000	95.952591	160.8974
40.599998	95.930336	160.6660
41.200001	95.902534	160.4753
41.799999	95.879776	160.3289
42.500000	95.860039	160.1356
43.099998	95.841309	159.9150
43.700001	95.816208	159.6873
44.400002	95.782455	159.4608
45.000000	95.757652	159.2995
45.500000	95.742111	159.1560
46.200001	95.719559	158.9308
46.799999	95.695808	158.7383
47.500000	95.669624	158.5451
48.200001	95.645508	158.3561
48.700001	95.626907	158.2051
49.400002	95.598137	158.0301
50.000000	95.574577	157.9105
50.799999	95.551857	157.6755
51.500000	95.526016	157.4586
52.200001	95.495331	157.2538
53.000000	95.458138	157.0186
53.799999	95.416916	156.8276
54.500000	95.386917	156.7120
55.200001	95.370224	156.5589
56.000000	95.348366	156.2782
57.000000	95.296715	155.9319
58.000000	95.244049	155.7523
59.000000	95.214241	155.6000
60.000000	95.190720	155.2716
60.799999	95.140167	154.9847
61.500000	95.095398	154.8959
62.200001	95.073410	154.8247
63.000000	95.052841	154.5880
64.000000	95.002098	154.2593
65.000000	94.953087	154.0257
66.000000	94.902863	153.7992
67.000000	94.860939	153.6293
68.000000	94.823631	153.4184
69.000000	94.789719	153.2277
70.000000	94.753838	152.9752
71.000000	94.704048	152.7710
72.000000	94.667267	152.6265
73.000000	94.626961	152.3913
74.000000	94.580719	152.2334
75.000000	94.546280	152.0589
76.199997	94.500084	151.8029
77.500000	94.447830	151.5559
78.800003	94.396904	151.2614
80.000000	94.333595	151.0854
81.199997	94.296074	150.9437
82.500000	94.248199	150.7482
83.800003	94.209656	150.4271
85.000000	94.141541	150.2562
86.199997	94.095642	150.0933
87.500000	94.029793	150.0127
88.500000	94.013351	149.8806
90.000000	93.934601	149.4092
91.199997	93.865562	149.2866
92.500000	93.813736	149.0756
93.800003	93.758194	148.8613
95.000000	93.715660	148.6504
96.199997	93.661499	148.4404
97.500000	93.609390	148.3284
98.800003	93.562630	148.1724
100.000000	93.514824	147.9752
101.500000	93.443214	147.7772
103.000000	93.375374	147.5771
104.400002	93.325912	147.3826
106.000000	93.248978	147.1858
107.500000	93.202789	146.9859
109.000000	93.131561	146.8506
110.599998	93.075699	146.6969
112.000000	93.019867	146.5075
113.800003	92.946060	146.2770
115.000000	92.900742	146.1996
117.199997	92.815971	145.9436
118.000000	92.781410	145.8993
120.599998	92.673187	145.8430
122.000000	92.625916	145.7238
124.099998	92.535019	145.4030
125.000000	92.502823	145.4061
126.500000	92.451614	145.2280
128.000000	92.399979	145.1412
131.500000	92.246910	144.8719
132.000000	92.221794	144.8740
134.000000	92.152977	144.7296
136.000000	92.078514	144.6748
138.000000	92.000725	144.4949
140.000000	91.930389	144.3850
143.000000	91.806503	144.2547
145.000000	91.729225	144.0820
147.500000	91.623314	144.0306
150.000000	91.532936	143.8853
152.500000	91.440292	143.7610
155.000000	91.373070	143.5903
157.500000	91.301903	143.6043
160.000000	91.214767	143.4934
162.500000	91.143272	143.4225
165.000000	91.054321	143.5654
167.500000	90.970490	143.3549
170.000000	90.893150	143.2057
172.500000	90.791977	143.1318
175.000000	90.719109	143.1723
177.500000	90.644974	143.3023
180.000000	90.534561	143.1775
182.500000	90.444931	143.2632
185.000000	90.364586	143.0622
187.500000	90.258080	143.2094
190.000000	90.203583	143.1730
192.500000	90.105682	143.1801
195.000000	90.022583	143.2607
197.500000	89.934669	143.2733
200.000000	89.838867	143.1133
203.000000	89.740791	143.1985
206.000000	89.647903	143.3425
209.000000	89.574348	143.0241
212.000000	89.448334	143.4271
214.000000	89.382561	143.5529
218.000000	89.298523	143.5287
220.000000	89.239929	143.5051
224.000000	89.134964	143.5191
227.000000	89.044182	143.6614
230.000000	88.956528	143.7949
233.000000	88.892380	143.8290
236.000000	88.823143	143.9565
240.000000	88.717964	144.0938
243.000000	88.632111	144.1185
247.000000	88.595291	144.6072
250.000000	88.467758	144.5416
254.000000	88.344238	144.6064
258.000000	88.236969	144.6041
262.000000	88.143547	144.8958
265.000000	88.037308	145.0184
269.000000	87.976784	145.1075
272.000000	87.884720	145.3427
276.000000	87.784729	145.5181
280.000000	87.678818	145.7836
285.000000	87.559990	145.8969
290.000000	87.461189	146.2663
295.000000	87.342178	146.4366
300.000000	87.227890	146.6573
304.000000	87.137711	146.9148
307.000000	87.092766	147.0946
311.000000	87.023140	148.0726
315.000000	86.898499	147.5540
320.000000	86.810432	147.6005
325.000000	86.692299	148.2448
330.000000	86.595947	148.4998
335.000000	86.477867	148.8413
340.000000	86.380730	149.1087
345.000000	86.281174	149.4545
350.000000	86.190125	149.7878
355.000000	86.084702	150.1128
360.000000	85.988312	150.4889
365.000000	85.888641	150.9122
370.000000	85.796692	151.1538
375.000000	85.716675	151.4775
382.000000	85.593018	151.9863
387.000000	85.502991	152.3177
395.000000	85.372391	152.8885
400.000000	85.289421	153.2941
406.000000	85.192749	153.6972
412.000000	85.095634	154.2598
418.000000	85.004242	154.6146
425.000000	84.891731	155.1410
431.000000	84.810730	155.6057
437.000000	84.725014	156.1448
444.000000	84.629158	156.6415
450.000000	84.540703	157.1318
455.000000	84.482735	157.4348
462.000000	84.384079	157.9567
468.000000	84.299629	158.3120
475.000000	84.209061	158.8540
482.000000	84.104942	159.3786
487.000000	84.044724	159.7367
494.000000	83.952095	160.2007
500.000000	83.897934	160.6877
508.000000	83.776436	161.4247
515.000000	83.715805	162.0113
522.000000	83.631836	162.5949
530.000000	83.531563	163.2521
538.000000	83.442970	163.9885
545.000000	83.368095	164.4704
552.000000	83.289162	165.1203
560.000000	83.202393	165.8365
570.000000	83.084274	166.7633
580.000000	82.995186	167.6060
590.000000	82.901764	168.5089
600.000000	82.810120	169.4059
608.000000	82.727783	170.1096
615.000000	82.666977	170.8085
622.000000	82.616272	171.4854
630.000000	82.543465	172.1452
640.000000	82.470726	173.1188
650.000000	82.398003	174.0281
660.000000	82.321129	174.8801
670.000000	82.265327	175.9076
680.000000	82.195717	176.8603
690.000000	82.129074	177.8453
700.000000	82.058884	178.8211
710.000000	81.998199	179.8441
720.000000	81.936905	-179.2499
730.000000	81.889572	-178.1983
740.000000	81.838013	-177.2632
750.000000	81.787384	-176.2366
762.000000	81.728119	-174.9772
775.000000	81.678177	-173.6913
788.000000	81.622101	-172.4255
800.000000	81.576317	-171.1171
812.000000	81.549477	-169.8718
825.000000	81.523651	-168.6177
838.000000	81.498085	-167.1501
850.000000	81.467155	-165.8683
862.000000	81.457558	-164.6297
875.000000	81.450989	-163.2153
885.000000	81.454269	-162.2283
900.000000	81.451149	-160.7442
912.000000	81.471619	-159.5442
925.000000	81.468910	-158.3347
938.000000	81.440765	-157.0780
950.000000	81.421577	-155.5845
962.000000	81.437408	-153.9644
975.000000	81.507812	-152.2680
988.000000	81.609673	-150.8047
1000.000000	81.755112	-149.3887
1015.000000	81.779213	-148.1503
1030.000000	81.856148	-146.8443
1044.000000	81.940498	-145.6120
1060.000000	82.012115	-144.1740
1075.000000	82.081398	-142.6786
1090.000000	82.200302	-140.9786
1106.000000	82.369911	-139.3361
1120.000000	82.537704	-137.9631
1138.000000	82.763733	-136.3208
1150.000000	82.927666	-135.3719
1172.000000	83.227203	-133.6185
1180.000000	83.340225	-133.0626
1206.000000	83.757050	-131.2531
1220.000000	84.005707	-130.4286
1241.000000	84.394592	-129.4051
1250.000000	84.582893	-129.0314
1265.000000	84.870880	-128.5958
1280.000000	85.172188	-128.2768
1315.000000	85.909897	-128.3880
1320.000000	86.018555	-128.5117
1340.000000	86.424797	-129.1709
1360.000000	86.801735	-130.3122
1380.000000	87.149643	-131.7183
1400.000000	87.452904	-133.4611
1430.000000	87.768845	-136.4807
1450.000000	87.907211	-138.5344
1475.000000	88.003624	-141.0473
1500.000000	88.004623	-143.3879
1525.000000	87.949539	-145.3466
1550.000000	87.852066	-147.0894
1575.000000	87.729874	-148.4471
1600.000000	87.595520	-149.4966
1625.000000	87.446869	-150.3140
1650.000000	87.289024	-150.8453
1675.000000	87.145905	-151.1761
1700.000000	86.979416	-151.2267
1725.000000	86.827438	-151.1085
1750.000000	86.680267	-150.6956
1775.000000	86.548805	-149.8647
1800.000000	86.458717	-148.6796
1825.000000	86.466568	-147.2242
1850.000000	86.610237	-145.9258
1875.000000	86.829597	-145.4216
1900.000000	87.021576	-145.7836
1925.000000	87.123962	-146.5526
1950.000000	87.152435	-147.3325
1975.000000	87.135925	-147.9925
2000.000000	87.031609	-148.6884
2030.000000	87.050140	-148.7023
2060.000000	87.005608	-148.8730
2090.000000	86.946259	-148.9190
2120.000000	86.892090	-148.9651
2140.000000	86.862000	-148.9458
2180.000000	86.788681	-148.7946
2200.000000	86.759583	-148.7182
2240.000000	86.701401	-148.6834
2270.000000	86.654533	-148.8046
2300.000000	86.608551	-149.1880
2330.000000	86.566032	-149.4610
2360.000000	86.526642	-149.7677
2400.000000	86.463654	-149.9301
2430.000000	86.439316	-149.7935
2470.000000	86.384651	-149.4156
2500.000000	86.346725	-149.1124
2540.000000	86.292976	-148.7547
2580.000000	86.230865	-148.3554
2620.000000	86.190910	-147.8755
2650.000000	86.151581	-147.6053
2690.000000	86.114220	-147.0846
2720.000000	86.080101	-146.7025
2760.000000	86.027954	-146.1459
2800.000000	85.978409	-145.5347
2850.000000	85.939796	-144.6365
2900.000000	85.926811	-143.7203
2950.000000	85.941483	-142.8880
3000.000000	85.964699	-141.7762
3040.000000	85.997978	-141.4091
3070.000000	86.030792	-141.0263
3110.000000	86.085838	-140.5598
3150.000000	86.140533	-140.1662
3200.000000	86.211563	-139.7106
3250.000000	86.309418	-139.3170
3300.000000	86.403885	-139.1073
3350.000000	86.512161	-139.0943
3400.000000	86.613472	-139.2705
3450.000000	86.698891	-139.5591
3500.000000	86.786186	-139.8683
3550.000000	86.858582	-140.3026
3600.000000	86.918633	-140.7570
3650.000000	86.968666	-141.1927
3700.000000	87.006531	-141.6403
3750.000000	87.025879	-142.0909
3820.000000	87.036865	-142.6850
3870.000000	87.029015	-143.0923
3950.000000	86.981247	-143.6084
4000.000000	86.919563	-144.0232
4060.000000	86.901512	-143.9722
4120.000000	86.843513	-144.1124
4180.000000	86.792656	-144.0439
4250.000000	86.747871	-143.7685
4310.000000	86.722305	-143.4316
4370.000000	86.712128	-142.9799
4440.000000	86.739777	-142.3307
4500.000000	86.786240	-141.7134
4550.000000	86.844978	-141.1439
4620.000000	86.968735	-140.2929
4680.000000	87.100540	-139.6389
4750.000000	87.314178	-138.9020
4820.000000	87.572289	-138.3386
4870.000000	87.781990	-138.0327
4940.000000	88.136139	-137.8327
5000.000000	88.467148	-138.0140
5080.000000	88.989754	-138.3351
5150.000000	89.484276	-139.2656
5220.000000	90.014328	-140.8544
5300.000000	90.639374	-143.5431
5380.000000	91.252823	-147.4500
5450.000000	91.721451	-151.8884
5520.000000	92.036667	-157.2602
5600.000000	92.203590	-164.3453
5700.000000	92.018982	-173.7709
5800.000000	91.344788	177.2015
5900.000000	90.018578	170.0132
6000.000000	88.397156	-179.0578
6080.000000	90.051033	173.1183
6150.000000	89.353195	166.7371
6220.000000	88.639931	163.9704
6300.000000	87.925896	162.4620
6400.000000	87.160301	161.7457
6500.000000	86.510841	161.7943
6600.000000	85.969757	162.4772
6700.000000	85.529297	163.4975
6800.000000	85.172913	164.7795
6900.000000	84.949356	166.2814
7000.000000	84.860191	167.8047
7100.000000	84.861816	169.3344
7200.000000	84.959961	170.7038
7300.000000	85.144516	171.9894
7400.000000	85.439087	172.8518
7500.000000	85.839897	173.4754
7620.000000	86.465546	173.4117
7750.000000	87.302284	172.0950
7880.000000	88.306992	168.7564
8000.000000	89.356224	162.6512
8120.000000	90.314735	152.8068
8250.000000	90.787132	137.2999
8380.000000	90.136848	120.1964
8500.000000	88.705032	107.7313
8620.000000	86.979553	99.3770
8750.000000	85.063614	94.5544
8850.000000	83.691422	92.7073
9000.000000	81.901115	92.2218
9120.000000	80.627487	92.7320
9250.000000	79.378052	94.5220
9380.000000	78.339462	96.6121
9500.000000	77.482880	99.1832
9620.000000	76.738052	101.1710
9750.000000	76.088028	104.2274
9880.000000	75.492798	107.0260
10000.000000	75.095367	109.5427
10150.000000	74.708763	113.0197
10300.000000	74.417213	116.3772
10440.000000	74.366760	119.0541
10600.000000	74.330597	121.8186
10750.000000	74.487099	124.2128
10900.000000	74.848564	125.8438
11060.000000	75.424019	127.1539
11200.000000	76.155914	126.7694
11380.000000	77.394707	123.2806
11500.000000	78.323334	118.0737
11720.000000	79.724991	100.1231
11800.000000	79.844002	90.9003
12060.000000	77.797523	62.4998
12200.000000	75.943840	53.6487
12410.000000	73.344353	48.2086
12500.000000	72.397774	47.3170
12650.000000	71.020973	46.7843
12800.000000	69.844185	46.8868
13150.000000	67.628098	47.8746
13200.000000	67.310822	47.5773
13400.000000	66.056320	48.4754
13600.000000	64.895615	50.8316
13800.000000	63.979137	53.8427
14000.000000	63.113152	56.9761
14300.000000	62.114563	62.7936
14500.000000	61.448753	66.6110
14750.000000	61.631229	73.2881
15000.000000	61.126541	77.5307
15250.000000	61.465775	82.0645
15500.000000	61.733444	83.9947
15750.000000	62.827011	85.7469
16000.000000	64.058548	84.7527
16250.000000	65.798401	76.6829
16500.000000	67.296257	59.7767
16750.000000	66.625305	33.9022
17000.000000	64.037155	17.6045
17250.000000	61.231659	13.4579
17500.000000	58.681011	16.6654
17750.000000	58.069382	24.9608
18000.000000	58.654030	29.8348
18250.000000	60.397106	24.8445
18500.000000	61.357315	9.3815
18750.000000	61.720886	-2.3313
19000.000000	62.634739	-15.0146
19250.000000	63.931297	-35.0533
19500.000000	62.959129	-64.4543
19750.000000	59.674473	-86.7136
