* Measurement data measured by REW V5.20 Beta 47
* Source: Microphone (Realtek Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 19, 2020 9:57:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO F9 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	87.4189	-147.54
20.3000	87.4985	-147.63
20.6000	87.6280	-147.92
20.9000	87.7842	-148.55
21.2000	87.9305	-149.60
21.4000	88.0002	-150.46
21.8000	88.0594	-152.26
22.0000	88.0543	-153.04
22.4000	88.0165	-154.07
22.7000	87.9946	-154.36
23.0000	88.0164	-154.36
23.3000	88.0950	-154.28
23.6000	88.2148	-154.32
24.0000	88.4000	-154.70
24.3000	88.5301	-155.18
24.7000	88.6726	-155.99
25.0000	88.7514	-156.63
25.4000	88.8175	-157.44
25.8000	88.8438	-158.09
26.2000	88.8384	-158.48
26.5000	88.8322	-158.54
26.9000	88.8550	-158.40
27.2000	88.9041	-158.32
27.6000	88.9969	-158.50
28.0000	89.0679	-159.10
28.5000	89.0469	-160.08
29.0000	88.9298	-160.31
29.5000	88.8825	-159.51
30.0000	89.0525	-158.60
30.4000	89.2972	-158.78
30.7000	89.4683	-159.60
31.1000	89.5988	-161.22
31.5000	89.5987	-162.83
32.0000	89.4943	-163.98
32.5000	89.4475	-164.10
33.0000	89.5329	-164.21
33.5000	89.6557	-164.93
34.0000	89.6954	-165.92
34.5000	89.6854	-166.43
35.0000	89.7392	-166.58
35.5000	89.8534	-167.23
36.0000	89.8770	-168.63
36.5000	89.7013	-169.79
37.0000	89.4578	-169.42
37.5000	89.3977	-167.80
38.2000	89.6792	-166.96
38.7000	89.8016	-168.12
39.5000	89.6301	-169.23
40.0000	89.6017	-168.68
40.6000	89.7747	-168.85
41.2000	89.8269	-170.65
41.8000	89.6202	-171.87
42.5000	89.4700	-171.01
43.1000	89.6281	-170.63
43.7000	89.7464	-171.62
44.4000	89.6973	-172.41
45.0000	89.7180	-172.17
45.5000	89.8136	-172.28
46.2000	89.8747	-172.98
46.8000	89.8692	-173.10
47.5000	89.9541	-173.23
48.2000	89.9701	-174.27
48.7000	89.8532	-174.79
49.4000	89.7033	-174.30
50.0000	89.7359	-173.87
50.8000	89.7733	-174.69
51.5000	89.6612	-175.38
52.2000	89.5859	-175.37
53.0000	89.6212	-175.57
53.8000	89.6737	-176.19
54.5000	89.7300	-176.86
55.2000	89.7624	-177.78
56.0000	89.6954	-178.54
57.0000	89.6477	-178.16
58.0000	89.7071	-178.16
59.0000	89.6589	-178.04
60.0000	89.7124	-178.03
60.8000	89.6293	-178.66
61.5000	89.5400	-178.16
62.2000	89.6902	-177.85
63.0000	89.8259	-179.72
64.0000	89.5683	178.94
65.0000	89.6259	179.57
66.0000	89.6515	178.61
67.0000	89.6487	179.23
68.0000	89.7009	178.59
69.0000	89.6194	179.16
70.0000	89.6811	177.33
71.0000	88.8506	177.12
72.0000	89.0745	-176.88
73.0000	89.6824	179.64
74.0000	89.3222	177.70
75.0000	89.5221	177.64
76.2000	89.3964	175.21
77.5000	89.4260	175.67
78.8000	89.3898	174.89
80.0000	89.3087	175.48
81.2000	89.4540	175.68
82.5000	89.3503	174.43
83.8000	89.3385	174.45
85.0000	89.2614	174.30
86.2000	89.3605	173.58
87.5000	89.1456	173.85
88.5000	89.3644	173.13
90.0000	88.7310	172.45
91.2000	89.0713	174.36
92.5000	89.0111	172.22
93.8000	89.0342	171.74
95.0000	88.8369	171.50
96.2000	89.0361	172.61
97.5000	89.1475	171.19
98.8000	89.0891	170.72
100.0000	89.0330	170.69
101.5000	88.9513	170.34
103.0000	88.9193	171.24
104.4000	88.9055	170.29
106.0000	88.8494	170.28
107.5000	88.7822	170.24
109.0000	88.7771	169.61
110.6000	88.7450	168.94
112.0000	88.5755	168.25
113.8000	88.5848	166.73
115.0000	88.3677	166.00
117.2000	88.3930	167.29
118.0000	88.4548	167.73
120.6000	88.5802	168.43
122.0000	88.4677	168.17
124.1000	88.4043	166.85
125.0000	88.1312	166.13
126.5000	88.0320	166.82
128.0000	88.0827	167.71
131.5000	88.3065	166.42
132.0000	88.2481	166.48
134.0000	88.2257	166.07
136.0000	88.2337	165.35
138.0000	88.2411	165.53
140.0000	88.1887	165.28
143.0000	88.0064	166.76
145.0000	88.0435	164.56
147.5000	87.8070	165.54
150.0000	87.7561	164.91
152.5000	87.7182	164.99
155.0000	87.5496	164.78
157.5000	87.5375	166.78
160.0000	87.4840	167.13
162.5000	87.5017	162.64
165.0000	87.5735	163.46
167.5000	87.5405	163.95
170.0000	87.4884	163.92
172.5000	87.3164	163.75
175.0000	87.2538	164.00
177.5000	87.2526	163.65
180.0000	87.0401	164.84
182.5000	87.1304	163.92
185.0000	86.9253	163.77
187.5000	87.0162	163.20
190.0000	86.9894	163.36
192.5000	86.7897	162.92
195.0000	86.8281	162.70
197.5000	86.7530	163.10
200.0000	86.7244	163.37
203.0000	86.6251	163.50
206.0000	86.5048	163.16
209.0000	86.4748	163.45
212.0000	86.3901	163.46
214.0000	86.2976	163.19
218.0000	86.3095	163.28
220.0000	86.2621	163.77
224.0000	86.1490	163.46
227.0000	86.0672	163.88
230.0000	86.0379	163.38
233.0000	85.9881	163.89
236.0000	85.8757	163.96
240.0000	85.7521	163.76
243.0000	85.6911	163.71
247.0000	85.6098	163.81
250.0000	85.6221	164.13
254.0000	85.6516	164.09
258.0000	85.6355	164.58
262.0000	85.4003	163.64
265.0000	85.2986	163.93
269.0000	85.2553	164.54
272.0000	85.1695	164.65
276.0000	85.1958	164.86
280.0000	85.0193	165.05
285.0000	84.9550	165.29
290.0000	84.7532	165.35
295.0000	84.6996	165.46
300.0000	84.6201	165.72
304.0000	84.6336	165.98
307.0000	84.5634	166.14
311.0000	84.5111	166.23
315.0000	84.4470	166.37
320.0000	84.4105	166.46
325.0000	84.3080	166.77
330.0000	84.2458	167.74
335.0000	84.2144	167.70
340.0000	84.1600	167.78
345.0000	84.0690	168.17
350.0000	84.0112	168.27
355.0000	83.8768	168.94
360.0000	83.8001	169.59
365.0000	83.8009	169.67
370.0000	83.6775	169.93
375.0000	83.6052	170.00
382.0000	83.5135	170.45
387.0000	83.4946	170.60
395.0000	83.3295	171.40
400.0000	83.3019	171.58
406.0000	83.2219	171.88
412.0000	83.1255	172.84
418.0000	83.1288	173.04
