* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 4, 2021 2:32:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final A4000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.271156	-155.5648
20.299999	89.322128	-156.4040
20.600000	89.354271	-157.2663
20.900000	89.366150	-158.0516
21.200001	89.371803	-158.7022
21.400000	89.378334	-159.0568
21.799999	89.406548	-159.6380
22.000000	89.430809	-159.9136
22.400000	89.496796	-160.5495
22.700001	89.545975	-161.0911
23.000000	89.586525	-161.6624
23.299999	89.619621	-162.2290
23.600000	89.645828	-162.7555
24.000000	89.675430	-163.3874
24.299999	89.698502	-163.8378
24.700001	89.729095	-164.4356
25.000000	89.748535	-164.8926
25.400000	89.768509	-165.5161
25.799999	89.777023	-166.1066
26.200001	89.777855	-166.6528
26.500000	89.776337	-167.0285
26.900000	89.772644	-167.4631
27.200001	89.773277	-167.7516
27.600000	89.784088	-168.1143
28.000000	89.804184	-168.5112
28.500000	89.833458	-169.1529
29.000000	89.842850	-169.9041
29.500000	89.825310	-170.6092
30.000000	89.796715	-171.1018
30.400000	89.788979	-171.3799
30.700001	89.795662	-171.5763
31.100000	89.815155	-171.9143
31.500000	89.833344	-172.3659
32.000000	89.834991	-172.9788
32.500000	89.820366	-173.5069
33.000000	89.810448	-173.9137
33.500000	89.814018	-174.3430
34.000000	89.812897	-174.8857
34.500000	89.791817	-175.4715
35.000000	89.750175	-175.9248
35.500000	89.715202	-176.2015
36.000000	89.704422	-176.4297
36.500000	89.705383	-176.7717
37.000000	89.698769	-177.2024
37.500000	89.681900	-177.6084
38.200001	89.662758	-178.0643
38.700001	89.659241	-178.4107
39.500000	89.650238	-179.0255
40.000000	89.640335	-179.3684
40.599998	89.631508	-179.7752
41.200001	89.621582	179.7933
41.799999	89.606705	179.3756
42.500000	89.586098	178.8992
43.099998	89.556290	178.4689
43.700001	89.516754	178.1522
44.400002	89.497025	177.8345
45.000000	89.479454	177.2515
45.500000	89.404442	176.7161
46.200001	89.253983	176.7977
46.799999	89.267609	177.4354
47.500000	89.423851	176.8430
48.200001	89.360382	174.9825
48.700001	89.147102	174.4081
49.400002	88.951553	175.5219
50.000000	89.045723	176.4112
50.799999	89.214012	175.6686
51.500000	89.196686	174.6768
52.200001	89.133026	174.1509
53.000000	89.051743	173.8439
53.799999	88.999107	174.0588
54.500000	89.043678	174.1116
55.200001	89.073441	173.4960
56.000000	88.991684	172.7559
57.000000	88.870178	172.4858
58.000000	88.776024	172.2103
59.000000	88.689896	172.2296
60.000000	88.715752	172.1345
60.799999	88.715813	171.5051
61.500000	88.655540	171.1495
62.200001	88.622948	171.2587
63.000000	88.661713	171.1407
64.000000	88.561539	170.4180
65.000000	88.392883	171.6459
66.000000	88.585907	172.5231
67.000000	88.622253	171.1619
68.000000	88.483986	170.5815
69.000000	88.363312	169.9796
70.000000	88.237907	170.0944
71.000000	88.276855	169.5145
72.000000	88.110733	168.7865
73.000000	88.087524	169.4572
74.000000	88.128426	168.9094
75.000000	88.045532	168.9314
76.199997	88.050331	168.6573
77.500000	87.886444	168.5094
78.800003	87.825142	168.5384
80.000000	87.741058	168.5767
81.199997	87.749496	168.5392
82.500000	87.719772	168.0541
83.800003	87.645287	168.1019
85.000000	87.644371	168.1754
86.199997	87.615387	168.0075
87.500000	87.524597	167.5013
88.500000	87.401649	167.8649
90.000000	87.430267	168.0228
91.199997	87.366165	168.0117
92.500000	87.377365	168.0170
93.800003	87.321587	167.8183
95.000000	87.231049	167.7799
96.199997	87.143921	168.2733
97.500000	87.122040	168.4921
98.800003	87.109825	168.7192
100.000000	87.084969	168.3130
101.500000	87.070320	168.5996
103.000000	87.030365	167.7917
104.400002	86.971619	168.0068
106.000000	86.950531	167.3663
107.500000	86.795197	167.6972
109.000000	86.775024	167.7042
110.599998	86.838593	167.9297
112.000000	86.627083	167.4681
113.800003	86.766869	167.7641
115.000000	86.589546	167.8871
117.199997	86.582703	167.6743
118.000000	86.544365	167.9672
120.599998	86.476364	168.3785
122.000000	86.421211	167.7413
124.099998	86.471306	169.4491
125.000000	86.524345	168.6578
126.500000	86.344070	168.4369
128.000000	86.313751	168.6581
131.500000	86.115311	168.0792
132.000000	86.075752	168.0623
134.000000	86.024261	168.1997
136.000000	85.955696	168.9968
