* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: May 3, 2020 12:44:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final E3000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.3000	88.9002	-128.32
20.6000	88.9903	-128.83
20.9000	89.0735	-129.23
21.2000	89.1603	-129.63
21.4000	89.2168	-129.92
21.8000	89.3215	-130.50
22.0000	89.3694	-130.79
22.4000	89.4610	-131.34
22.7000	89.5281	-131.68
23.0000	89.6025	-131.94
23.3000	89.6912	-132.19
23.6000	89.7912	-132.46
24.0000	89.9329	-132.92
24.3000	90.0373	-133.35
24.7000	90.1625	-134.00
25.0000	90.2417	-134.53
25.4000	90.3305	-135.26
25.8000	90.3999	-135.98
26.2000	90.4563	-136.69
26.5000	90.4944	-137.20
26.9000	90.5441	-137.80
27.2000	90.5876	-138.18
27.6000	90.6616	-138.59
28.0000	90.7543	-138.92
28.5000	90.8967	-139.32
29.0000	91.0595	-139.82
29.5000	91.2293	-140.61
30.0000	91.3652	-141.75
30.4000	91.4230	-142.80
30.7000	91.4300	-143.49
31.1000	91.4107	-144.04
31.5000	91.4030	-144.05
32.0000	91.4780	-143.58
32.5000	91.6480	-143.41
33.0000	91.7977	-144.11
33.5000	91.8206	-145.43
34.0000	91.7253	-146.60
34.5000	91.6492	-147.18
35.0000	91.7094	-147.42
35.5000	91.8980	-147.96
36.0000	92.0949	-148.85
36.5000	92.2132	-149.63
37.0000	92.2644	-149.84
37.5000	92.3122	-149.71
38.2000	92.3874	-150.03
38.7000	92.3881	-150.88
39.5000	92.2996	-152.14
40.0000	92.2873	-152.44
40.6000	92.3713	-152.70
41.2000	92.4884	-153.31
41.8000	92.5550	-154.14
42.5000	92.5776	-154.90
43.1000	92.6121	-155.35
43.7000	92.6657	-155.80
44.4000	92.7143	-156.33
45.0000	92.7445	-156.71
45.5000	92.7781	-157.11
46.2000	92.8248	-157.94
46.8000	92.8449	-158.72
47.5000	92.8800	-159.33
48.2000	92.9650	-159.82
48.7000	93.0199	-160.32
49.4000	93.0279	-160.92
50.0000	93.0203	-161.04
50.8000	93.0880	-161.44
51.5000	93.0999	-162.49
52.2000	93.0373	-163.11
53.0000	93.1423	-163.03
53.8000	93.3748	-164.03
54.5000	93.3615	-165.25
55.2000	93.2285	-165.24
56.0000	93.2338	-165.00
57.0000	93.2460	-166.53
58.0000	93.2234	-167.20
59.0000	93.3863	-168.00
60.0000	93.3621	-169.12
60.8000	93.3200	-169.26
61.5000	93.3128	-169.54
62.2000	93.2681	-169.94
63.0000	93.2562	-170.42
64.0000	93.3101	-171.98
65.0000	93.2773	-173.11
66.0000	93.3035	-173.04
67.0000	93.3285	-173.27
68.0000	93.3379	-173.78
69.0000	93.3759	-174.74
70.0000	93.3523	-175.42
71.0000	93.3726	-175.67
72.0000	93.4053	-176.32
73.0000	93.3988	-176.95
74.0000	93.3838	-177.67
75.0000	93.3370	-178.26
76.2000	93.3402	-178.78
77.5000	93.3198	-179.38
78.8000	93.3672	179.67
80.0000	93.3254	179.30
81.2000	93.3538	178.93
82.5000	93.2717	178.14
83.8000	93.3364	177.53
85.0000	93.3033	177.17
86.2000	93.2800	176.46
87.5000	93.2412	175.80
88.5000	93.2788	175.53
90.0000	93.1863	175.06
91.2000	93.2138	174.49
92.5000	93.1755	173.53
93.8000	93.1475	172.99
95.0000	93.1316	172.16
96.2000	93.1145	172.37
97.5000	93.0311	171.97
