* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2020 10:56:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Ikko OH10 S2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.075409	165.7944
20.299999	97.058548	165.5244
20.600000	97.040894	165.2741
20.900000	97.022186	165.0452
21.200001	97.007111	164.8148
21.400000	96.997055	164.6605
21.799999	96.975845	164.3544
22.000000	96.965126	164.1966
22.400000	96.945755	163.8488
22.700001	96.927940	163.5962
23.000000	96.908020	163.3589
23.299999	96.889740	163.1302
23.600000	96.872223	162.9167
24.000000	96.850296	162.6419
24.299999	96.835930	162.4218
24.700001	96.816269	162.1067
25.000000	96.798538	161.8604
25.400000	96.771942	161.5269
25.799999	96.740456	161.2359
26.200001	96.710770	160.9785
26.500000	96.692482	160.7862
26.900000	96.669838	160.5171
27.200001	96.651627	160.2879
27.600000	96.620918	159.9611
28.000000	96.577110	159.6676
28.500000	96.516579	159.4234
29.000000	96.472855	159.3311
29.500000	96.463081	159.2186
30.000000	96.464645	158.9216
30.400000	96.456886	158.5370
30.700001	96.437492	158.2241
31.100000	96.396446	157.8498
31.500000	96.348679	157.5629
32.000000	96.294159	157.3222
32.500000	96.253929	157.1040
33.000000	96.218254	156.8573
33.500000	96.178955	156.5885
34.000000	96.135620	156.3475
34.500000	96.098427	156.1255
35.000000	96.064247	155.9119
35.500000	96.031662	155.6862
36.000000	95.997345	155.4579
36.500000	95.960228	155.2213
37.000000	95.921234	155.0056
37.500000	95.884911	154.8102
38.200001	95.837181	154.5418
38.700001	95.802200	154.3254
39.500000	95.741989	153.9969
40.000000	95.703827	153.8275
40.599998	95.660110	153.6111
41.200001	95.615707	153.3653
41.799999	95.565735	153.1171
42.500000	95.502182	152.8884
43.099998	95.454468	152.7221
43.700001	95.412201	152.5219
44.400002	95.357010	152.2599
45.000000	95.308868	152.0962
45.500000	95.280861	151.9850
46.200001	95.255859	151.7307
46.799999	95.223389	151.3827
47.500000	95.162323	151.0433
48.200001	95.108505	150.8615
48.700001	95.082077	150.6762
49.400002	95.025085	150.2998
50.000000	94.943596	150.1305
50.799999	94.868950	150.2360
51.500000	94.857681	150.1823
52.200001	94.819778	149.7826
53.000000	94.717430	149.4973
53.799999	94.643578	149.5251
54.500000	94.604034	149.3776
55.200001	94.544937	149.1292
56.000000	94.471390	148.9692
57.000000	94.391617	148.7194
58.000000	94.298157	148.5797
59.000000	94.244827	148.5128
60.000000	94.188461	148.2149
60.799999	94.123283	148.0618
61.500000	94.078049	147.9594
62.200001	94.028763	147.8015
63.000000	93.962921	147.7004
64.000000	93.899178	147.5908
65.000000	93.822708	147.4062
66.000000	93.752914	147.3342
67.000000	93.684586	147.0939
68.000000	93.594315	147.0355
69.000000	93.550743	146.9426
70.000000	93.463745	146.6139
71.000000	93.369507	146.7311
72.000000	93.348373	146.6689
73.000000	93.271492	146.2190
74.000000	93.161491	146.2461
75.000000	93.122803	146.3278
76.199997	93.062981	146.0237
77.500000	92.958618	145.8780
78.800003	92.882736	145.9496
80.000000	92.834465	145.8460
81.199997	92.760643	145.5876
82.500000	92.632401	145.6099
83.800003	92.569237	145.7467
85.000000	92.486954	145.8357
86.199997	92.455627	145.6899
87.500000	92.310295	145.6093
88.500000	92.292259	145.8084
90.000000	92.182259	145.3815
91.199997	92.119598	145.4492
92.500000	92.024719	145.2770
93.800003	91.956512	145.4421
95.000000	91.909721	145.4094
96.199997	91.839500	145.3718
97.500000	91.764572	145.3372
98.800003	91.626625	145.5969
100.000000	91.641594	145.9838
101.500000	91.529617	145.3400
103.000000	91.423126	145.4071
104.400002	91.322609	145.5372
106.000000	91.259087	145.3036
107.500000	91.175110	145.4847
109.000000	91.100159	145.4336
110.599998	91.030815	145.6072
112.000000	90.963509	145.6196
113.800003	90.850471	145.6810
115.000000	90.794380	145.7702
117.199997	90.689110	145.9208
118.000000	90.651894	145.8703
120.599998	90.515518	146.0901
122.000000	90.457253	146.0136
124.099998	90.323753	146.3100
