* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Aug 11, 2020 4:40:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Itsfit R3 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	84.3323	27.69
20.3000	84.3386	27.37
20.6000	84.3568	27.20
20.9000	84.3948	27.10
21.2000	84.4556	26.95
21.4000	84.4997	26.79
21.8000	84.5830	26.35
22.0000	84.6188	26.10
22.4000	84.6832	25.59
22.7000	84.7293	25.22
23.0000	84.7794	24.82
23.3000	84.8284	24.30
23.6000	84.8592	23.67
24.0000	84.8486	22.78
24.3000	84.8015	22.27
24.7000	84.7188	22.04
25.0000	84.6846	22.21
25.4000	84.7252	22.57
25.8000	84.8509	22.54
26.2000	84.9833	21.77
26.5000	85.0326	20.84
26.9000	84.9972	19.55
27.2000	84.9104	18.87
27.6000	84.7728	18.60
28.0000	84.6848	18.94
28.5000	84.6958	19.56
29.0000	84.7822	19.84
29.5000	84.8820	19.85
30.0000	84.9989	19.80
30.4000	85.1204	19.55
30.7000	85.2126	19.12
31.1000	85.2932	18.21
31.5000	85.2884	17.20
32.0000	85.1666	16.50
32.5000	85.0432	16.96
33.0000	85.0842	18.06
33.5000	85.2972	18.51
34.0000	85.5074	17.63
34.5000	85.5554	16.06
35.0000	85.4308	14.96
35.5000	85.2827	14.99
36.0000	85.2642	15.61
36.5000	85.3668	15.72
37.0000	85.4456	14.99
37.5000	85.4071	14.05
38.2000	85.2481	13.77
38.7000	85.2076	14.26
39.5000	85.3067	14.60
40.0000	85.3638	14.37
40.6000	85.3926	14.08
41.2000	85.4300	13.92
41.8000	85.4836	13.62
42.5000	85.5081	13.04
43.1000	85.4873	12.65
43.7000	85.4586	12.47
44.4000	85.4388	12.43
45.0000	85.4498	12.46
45.5000	85.4833	12.37
46.2000	85.5232	11.88
46.8000	85.5049	11.35
47.5000	85.4564	11.08
48.2000	85.4572	11.01
48.7000	85.4771	10.77
49.4000	85.4661	10.29
50.0000	85.4264	10.15
50.8000	85.4306	10.31
51.5000	85.4935	10.31
52.2000	85.5515	9.98
53.0000	85.5552	9.50
53.8000	85.5157	9.54
54.5000	85.5569	9.95
55.2000	85.6768	9.79
56.0000	85.7135	8.77
57.0000	85.5801	8.33
58.0000	85.5827	8.59
59.0000	85.5733	8.09
60.0000	85.5050	8.32
60.8000	85.5728	8.66
61.5000	85.6643	8.29
62.2000	85.6690	7.59
63.0000	85.6018	7.33
64.0000	85.6055	7.47
65.0000	85.6061	7.22
66.0000	85.6056	7.40
67.0000	85.6890	7.15
68.0000	85.6848	6.43
69.0000	85.6170	6.14
70.0000	85.5818	6.34
71.0000	85.6189	6.42
72.0000	85.6408	6.21
73.0000	85.6495	6.08
74.0000	85.6720	5.94
75.0000	85.6980	5.63
76.2000	85.6661	5.21
77.5000	85.6185	5.55
78.8000	85.7483	5.88
80.0000	85.7732	5.04
81.2000	85.7286	5.16
82.5000	85.7131	4.94
83.8000	85.7332	5.32
85.0000	85.7801	4.71
86.2000	85.7227	4.43
87.5000	85.7317	4.58
88.5000	85.7836	4.22
90.0000	85.6982	3.88
91.2000	85.7249	4.12
92.5000	85.7420	3.91
93.8000	85.7547	3.70
95.0000	85.7559	3.48
96.2000	85.7256	3.22
97.5000	85.6988	3.67
98.8000	85.7813	3.51
100.0000	85.7158	3.28
101.5000	85.7336	3.55
103.0000	85.7114	2.89
104.4000	85.6255	3.13
106.0000	85.7809	2.88
107.5000	85.7057	1.78
109.0000	85.6985	2.78
110.6000	85.7981	1.95
112.0000	85.7236	2.06
113.8000	85.6867	2.48
115.0000	85.7620	2.22
117.2000	85.7537	1.77
118.0000	85.7667	1.55
