* Measurement data measured by REW V5.20 Beta 47
* Source: Microphone (Realtek Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 19, 2020 9:35:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Sif R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	92.3058	29.85
20.3000	92.3228	29.52
20.6000	92.3638	29.20
20.9000	92.4247	28.84
21.2000	92.4971	28.36
21.4000	92.5430	28.00
21.8000	92.6234	27.19
22.0000	92.6609	26.80
22.4000	92.7472	26.10
22.7000	92.8133	25.58
23.0000	92.8775	25.02
23.3000	92.9337	24.45
23.6000	92.9717	23.91
24.0000	92.9938	23.40
24.3000	93.0090	23.29
24.7000	93.0667	23.42
25.0000	93.1535	23.53
25.4000	93.3110	23.37
25.8000	93.4586	22.69
26.2000	93.5312	21.70
26.5000	93.5282	21.01
26.9000	93.4846	20.47
27.2000	93.4602	20.35
27.6000	93.4797	20.31
28.0000	93.5509	19.98
28.5000	93.6135	18.88
29.0000	93.5541	17.68
29.5000	93.4208	17.20
30.0000	93.3845	17.64
30.4000	93.4922	17.91
30.7000	93.6217	17.67
31.1000	93.7687	16.67
31.5000	93.8150	15.31
32.0000	93.7256	14.17
32.5000	93.6442	14.41
33.0000	93.7669	15.17
33.5000	94.0526	14.92
34.0000	94.2456	13.28
34.5000	94.2007	11.64
35.0000	94.0375	11.43
35.5000	94.0350	12.54
36.0000	94.2789	13.07
36.5000	94.5328	11.86
37.0000	94.5627	9.81
37.5000	94.3693	8.55
38.2000	94.1485	9.10
38.7000	94.1986	9.70
39.5000	94.3230	8.99
40.0000	94.3071	8.38
40.6000	94.2893	8.05
41.2000	94.3207	7.57
41.8000	94.3129	6.77
42.5000	94.2352	6.26
43.1000	94.2198	6.30
43.7000	94.2674	6.12
44.4000	94.3001	5.48
45.0000	94.2827	5.02
45.5000	94.2735	4.81
46.2000	94.2871	4.49
46.8000	94.2928	4.06
47.5000	94.2686	3.62
48.2000	94.2430	3.39
48.7000	94.2415	3.28
49.4000	94.2586	3.06
50.0000	94.2796	2.77
50.8000	94.2934	2.23
51.5000	94.2817	1.83
52.2000	94.2870	1.58
53.0000	94.3230	1.00
53.8000	94.2745	0.16
54.5000	94.1868	0.05
55.2000	94.1887	0.31
56.0000	94.2647	0.08
57.0000	94.2906	-0.71
58.0000	94.2735	-1.18
59.0000	94.3241	-1.60
60.0000	94.3096	-2.88
60.8000	94.1510	-3.21
61.5000	94.1064	-2.64
62.2000	94.1816	-2.57
63.0000	94.2017	-3.26
64.0000	94.1368	-3.59
65.0000	94.1602	-3.84
66.0000	94.1277	-4.57
67.0000	94.0669	-4.37
68.0000	94.1887	-4.70
69.0000	94.0901	-5.51
70.0000	94.1463	-4.98
71.0000	94.1043	-6.99
72.0000	93.6903	-5.44
73.0000	94.0994	-3.71
74.0000	94.1929	-6.62
75.0000	93.9745	-6.85
76.2000	94.0146	-7.47
77.5000	93.9313	-7.85
78.8000	93.9369	-8.38
80.0000	93.8973	-8.60
81.2000	93.8837	-8.94
82.5000	93.8220	-9.30
83.8000	93.8262	-9.57
85.0000	93.7850	-10.15
86.2000	93.7915	-10.30
87.5000	93.7561	-10.74
88.5000	93.7712	-10.50
90.0000	93.8120	-11.31
91.2000	93.7058	-11.78
92.5000	93.6192	-12.02
93.8000	93.5382	-12.30
95.0000	93.5166	-12.41
96.2000	93.5082	-12.80
97.5000	93.5114	-13.10
98.8000	93.4671	-13.50
100.0000	93.4477	-13.63
101.5000	93.3867	-13.96
103.0000	93.3064	-14.12
104.4000	93.3728	-14.23
106.0000	93.2429	-14.59
107.5000	93.1939	-14.93
109.0000	93.2446	-13.49
110.6000	93.2112	-15.52
112.0000	93.1458	-15.59
113.8000	93.0030	-15.98
115.0000	93.0299	-16.49
117.2000	92.9386	-16.80
118.0000	92.9470	-16.67
120.6000	92.9302	-17.41
122.0000	92.9081	-17.27
124.1000	92.8804	-17.60
125.0000	92.8556	-17.88
126.5000	92.7423	-18.26
128.0000	92.7011	-18.11
131.5000	92.5920	-18.94
132.0000	92.5774	-19.05
134.0000	92.5477	-19.09
136.0000	92.4634	-19.52
138.0000	92.4121	-19.50
140.0000	92.3363	-19.73
143.0000	92.1891	-20.54
145.0000	92.1027	-20.89
147.5000	92.1322	-21.07
150.0000	92.0703	-21.34
