* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 27, 2021 8:16:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Blessing 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.934998	4.2207
20.299999	87.936157	4.0447
20.600000	87.947014	3.8757
20.900000	87.962112	3.6820
21.200001	87.978401	3.4403
21.400000	87.985268	3.2735
21.799999	87.990051	2.9742
22.000000	87.990776	2.8507
22.400000	87.998993	2.6333
22.700001	88.009941	2.4929
23.000000	88.024483	2.3319
23.299999	88.040070	2.1226
23.600000	88.049850	1.8834
24.000000	88.048370	1.5584
24.299999	88.039047	1.3426
24.700001	88.021881	1.1282
25.000000	88.010757	1.0145
25.400000	88.004959	0.8745
25.799999	88.004318	0.7229
26.200001	88.005356	0.5264
26.500000	88.005180	0.3523
26.900000	88.000046	0.1185
27.200001	87.994133	-0.0540
27.600000	87.985649	-0.2720
28.000000	87.974731	-0.4705
28.500000	87.962669	-0.6992
29.000000	87.955612	-0.8862
29.500000	87.958870	-1.0771
30.000000	87.963699	-1.3029
30.400000	87.964188	-1.5164
30.700001	87.959328	-1.6659
31.100000	87.948524	-1.8262
31.500000	87.939178	-1.9375
32.000000	87.936501	-2.0296
32.500000	87.946022	-2.1792
33.000000	87.950226	-2.4321
33.500000	87.932556	-2.7333
34.000000	87.894241	-2.9277
34.500000	87.864159	-2.9693
35.000000	87.857056	-2.9571
35.500000	87.866676	-3.0657
36.000000	87.867157	-3.3052
36.500000	87.848450	-3.5500
37.000000	87.828651	-3.6785
37.500000	87.829132	-3.7825
38.200001	87.835670	-4.1400
38.700001	87.810081	-4.4543
39.500000	87.753616	-4.5088
40.000000	87.758148	-4.3861
40.599998	87.790176	-4.4977
41.200001	87.787064	-4.8371
41.799999	87.743881	-4.9884
42.500000	87.718201	-4.7947
43.099998	87.747482	-4.7408
43.700001	87.775902	-5.0347
44.400002	87.751450	-5.5619
45.000000	87.692101	-5.7964
45.500000	87.658134	-5.7580
46.200001	87.678680	-5.7147
46.799999	87.720612	-6.1752
47.500000	87.675369	-7.0716
48.200001	87.542625	-7.3034
48.700001	87.496567	-6.9763
49.400002	87.544296	-6.7621
50.000000	87.564560	-7.1536
50.799999	87.486839	-7.4285
51.500000	87.467728	-6.9920
52.200001	87.536255	-6.8926
53.000000	87.565865	-7.4278
53.799999	87.512695	-7.8060
54.500000	87.459488	-7.8534
55.200001	87.428581	-7.7589
56.000000	87.432991	-7.7258
57.000000	87.417229	-8.0959
58.000000	87.346466	-8.0909
59.000000	87.360085	-7.8395
60.000000	87.379639	-8.1674
60.799999	87.319344	-8.3399
61.500000	87.281487	-8.1236
62.200001	87.294525	-8.0324
63.000000	87.277069	-8.3556
64.000000	87.180725	-8.3200
65.000000	87.204269	-8.1792
66.000000	87.174324	-8.8810
67.000000	87.075684	-8.8524
68.000000	87.113457	-8.7882
69.000000	87.101013	-9.4648
70.000000	86.996132	-9.4772
71.000000	87.015228	-9.2228
72.000000	86.990730	-9.8019
73.000000	86.884964	-9.7858
74.000000	86.869583	-9.6363
75.000000	86.873161	-9.6813
76.199997	86.897797	-9.9856
77.500000	86.928764	-10.2181
78.800003	86.846840	-10.2920
80.000000	86.906723	-10.1731
81.199997	86.662758	-9.9053
82.500000	86.780113	-10.2197
83.800003	86.384590	-9.7001
85.000000	86.685577	-12.6589
86.199997	85.631828	-13.1678
87.500000	86.309540	-9.0226
88.500000	86.536949	-12.3975
90.000000	86.139740	-13.3274
91.199997	86.341827	-10.1903
92.500000	86.528366	-11.5996
93.800003	86.486397	-10.8170
95.000000	86.409790	-11.1803
96.199997	86.386284	-10.8479
97.500000	86.302284	-11.1904
98.800003	86.321053	-11.1886
100.000000	86.279709	-11.5549
101.500000	86.245193	-11.4752
103.000000	86.198792	-11.1120
104.400002	86.184799	-11.6968
106.000000	86.068672	-11.3886
107.500000	86.004440	-11.9997
109.000000	86.119507	-11.7633
110.599998	85.963295	-11.5059
112.000000	86.190460	-11.7919
113.800003	86.031441	-9.0018
115.000000	85.875626	-13.0067
117.199997	86.106781	-12.2222
118.000000	85.251953	-14.9696
120.599998	85.474266	-17.3113
122.000000	85.797081	-9.7333
124.099998	85.831093	-12.6009
125.000000	85.747948	-12.8403
126.500000	85.562927	-7.6485
128.000000	85.841919	-11.7194
131.500000	85.226440	-10.8953
132.000000	85.348343	-10.5984
134.000000	85.419250	-11.4908
136.000000	85.485558	-11.4359
138.000000	85.419769	-10.4390
140.000000	85.143356	-10.6939
143.000000	85.007874	-11.0358
145.000000	84.848274	-12.2962
147.500000	84.845276	-12.8088
150.000000	84.850311	-12.6109
152.500000	84.809860	-12.3651
155.000000	84.746391	-12.1430
157.500000	84.689774	-11.7872
160.000000	84.655548	-11.3062
162.500000	84.617195	-10.7782
165.000000	84.618652	-10.6198
167.500000	84.641342	-9.8839
170.000000	84.603249	-9.8093
172.500000	84.543030	-9.5690
175.000000	84.460518	-9.2684
177.500000	84.417114	-9.0550
180.000000	84.408813	-8.8224
182.500000	84.339973	-8.5590
185.000000	84.265984	-8.3225
187.500000	84.192345	-8.2085
190.000000	84.134827	-7.9487
192.500000	84.090828	-7.8001
195.000000	84.036606	-7.3820
197.500000	83.977707	-7.2554
200.000000	83.921219	-7.0306
203.000000	83.906433	-6.7995
206.000000	83.815956	-6.7507
209.000000	83.722198	-6.1649
212.000000	83.672516	-5.9744
214.000000	83.560455	-5.8693
218.000000	83.583481	-5.4679
220.000000	83.495728	-4.5937
224.000000	83.469635	-4.7713
227.000000	83.435867	-3.8691
230.000000	83.371956	-3.2004
233.000000	83.249908	-3.1447
236.000000	83.197243	-1.5963
240.000000	83.238274	-1.4262
243.000000	83.352631	-3.7140
247.000000	83.462898	-2.4752
250.000000	83.091263	-1.9304
254.000000	82.895142	-2.0438
258.000000	83.065147	0.2550
262.000000	83.227264	0.4245
265.000000	83.166687	-0.0183
269.000000	82.957108	0.0777
272.000000	82.668762	-1.0650
276.000000	82.606163	-0.4655
280.000000	82.655930	0.9408
285.000000	82.689278	2.1781
290.000000	82.607880	4.3052
295.000000	82.621780	4.4638
300.000000	82.723892	0.9145
304.000000	82.653481	2.9952
307.000000	82.163147	0.3693
311.000000	81.805527	6.2725
315.000000	82.600761	8.0855
320.000000	82.409294	5.1689
325.000000	82.188232	6.5590
330.000000	82.178017	7.2345
335.000000	82.096878	7.4717
340.000000	82.139183	6.5449
345.000000	81.959312	9.4310
350.000000	82.518616	11.4411
355.000000	82.019585	8.1876
360.000000	81.890190	9.4771
365.000000	81.767761	10.8973
370.000000	81.847649	11.1317
