* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 10, 2020 3:15:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop KXXS R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.910881	-159.9885
20.299999	91.886551	-160.1884
20.600000	91.898109	-160.4990
20.900000	91.923965	-160.8948
21.200001	91.963486	-161.2736
21.400000	92.005066	-161.4847
21.799999	92.138062	-161.9297
22.000000	92.229263	-162.2618
22.400000	92.436752	-163.3801
22.700001	92.566368	-164.5930
23.000000	92.637260	-165.9592
23.299999	92.644997	-167.2246
23.600000	92.603821	-168.1717
24.000000	92.521805	-168.7635
24.299999	92.485535	-168.7832
24.700001	92.501419	-168.5498
25.000000	92.554893	-168.4252
25.400000	92.651917	-168.5237
25.799999	92.735832	-168.8941
26.200001	92.785721	-169.4137
26.500000	92.799965	-169.8030
26.900000	92.796173	-170.1992
27.200001	92.793091	-170.3808
27.600000	92.813156	-170.5366
28.000000	92.868637	-170.8214
28.500000	92.949669	-171.7079
29.000000	92.954475	-173.0203
29.500000	92.863144	-174.0818
30.000000	92.774796	-174.4031
30.400000	92.787201	-174.4656
30.700001	92.841354	-174.7302
31.100000	92.909309	-175.5951
31.500000	92.904533	-176.8281
32.000000	92.767265	-178.0482
32.500000	92.595665	-178.2419
33.000000	92.540459	-177.7492
33.500000	92.614815	-177.5263
34.000000	92.716980	-177.9827
34.500000	92.783737	-178.8860
35.000000	92.802933	179.9898
35.500000	92.756462	178.7242
36.000000	92.612572	177.6756
36.500000	92.407326	177.4462
37.000000	92.279251	178.2542
37.500000	92.343163	179.3251
38.200001	92.631683	179.3392
38.700001	92.776901	178.1700
39.500000	92.761871	176.2889
40.000000	92.704857	175.7831
40.599998	92.696487	175.3898
41.200001	92.695389	174.5284
41.799999	92.589989	173.5616
42.500000	92.410934	173.4001
43.099998	92.382339	173.5271
43.700001	92.358871	172.7953
44.400002	92.123329	172.2020
45.000000	91.981308	173.5491
45.500000	92.145798	174.6420
46.200001	92.490105	173.4284
46.799999	92.470901	171.2466
47.500000	92.296707	170.7167
48.200001	92.400299	170.5681
48.700001	92.456314	169.1646
