* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jul 8, 2021 11:02:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Sparks L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.218246	-147.4965
20.299999	84.295425	-147.2364
20.600000	84.446449	-147.2415
20.900000	84.627502	-147.7459
21.200001	84.785690	-148.7635
21.400000	84.855469	-149.5868
21.799999	84.907600	-151.2527
22.000000	84.899849	-151.9511
22.400000	84.862572	-152.9190
22.700001	84.849007	-153.3045
23.000000	84.868591	-153.5835
23.299999	84.914856	-153.9328
23.600000	84.967979	-154.3973
24.000000	85.023232	-155.1466
24.299999	85.048698	-155.7002
24.700001	85.074326	-156.3156
25.000000	85.101089	-156.7043
25.400000	85.156250	-157.2554
25.799999	85.215439	-157.9383
26.200001	85.257286	-158.7444
26.500000	85.272171	-159.3517
26.900000	85.274727	-160.0534
27.200001	85.275536	-160.4882
27.600000	85.287292	-160.9951
28.000000	85.308746	-161.5084
28.500000	85.338173	-162.2367
29.000000	85.357811	-162.9827
29.500000	85.374573	-163.6972
30.000000	85.391838	-164.3866
30.400000	85.406990	-164.9607
30.700001	85.415848	-165.3972
31.100000	85.423325	-165.9828
31.500000	85.426300	-166.5645
32.000000	85.422791	-167.2430
32.500000	85.418228	-167.8560
33.000000	85.419121	-168.4002
33.500000	85.428856	-168.9520
34.000000	85.437683	-169.5636
34.500000	85.437408	-170.2133
35.000000	85.422966	-170.7871
35.500000	85.410797	-171.2462
36.000000	85.412109	-171.6685
36.500000	85.419548	-172.1726
37.000000	85.416870	-172.7314
37.500000	85.403587	-173.2522
38.200001	85.387032	-173.8597
38.700001	85.384201	-174.3111
39.500000	85.369804	-175.1188
40.000000	85.346870	-175.5513
40.599998	85.324158	-175.9460
41.200001	85.325813	-176.3271
41.799999	85.335724	-176.8592
42.500000	85.314415	-177.5831
43.099998	85.272354	-178.0410
43.700001	85.245872	-178.3309
44.400002	85.241310	-178.7521
45.000000	85.225372	-179.2539
45.500000	85.196602	-179.6191
46.200001	85.164734	-179.9786
46.799999	85.154152	179.6294
47.500000	85.115814	179.0661
48.200001	85.062332	178.7986
48.700001	85.060631	178.7049
49.400002	85.092834	178.2324
50.000000	85.074844	177.5787
50.799999	85.001488	177.0391
51.500000	84.969566	176.8372
52.200001	84.938248	176.5164
53.000000	84.881126	176.3444
53.799999	84.860840	176.2396
54.500000	84.831177	175.9710
55.200001	84.803101	175.7795
56.000000	84.790977	175.1018
57.000000	84.561501	174.1405
58.000000	84.446823	175.2855
59.000000	84.629219	174.6850
60.000000	84.551613	173.3860
60.799999	84.527138	173.2035
61.500000	84.543236	172.7008
62.200001	84.503250	172.2846
63.000000	84.486053	172.2159
64.000000	84.471573	171.7957
65.000000	84.403427	171.8481
66.000000	84.415649	171.7429
67.000000	84.342941	171.2741
68.000000	84.289909	171.3043
69.000000	84.289024	170.8447
70.000000	84.212563	170.3842
71.000000	84.180832	170.3982
72.000000	84.192749	170.1339
73.000000	84.170135	169.8458
74.000000	84.150749	169.6005
75.000000	84.103630	169.3107
76.199997	84.048477	169.0397
77.500000	83.970589	168.7763
78.800003	83.944809	168.4678
80.000000	83.880539	168.1880
81.199997	83.866364	168.1282
82.500000	83.790443	167.8132
83.800003	83.747498	168.0875
85.000000	83.704941	167.7098
86.199997	83.686142	167.3572
87.500000	83.538094	166.9239
88.500000	83.732300	167.1491
90.000000	83.448296	163.5873
