* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 26, 2020 4:36:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriolus Crassirostris L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.629440	159.8977
20.299999	90.600220	159.6746
20.600000	90.569870	159.4626
20.900000	90.537468	159.2682
21.200001	90.507477	159.0774
21.400000	90.487305	158.9569
21.799999	90.447098	158.7379
22.000000	90.428444	158.6313
22.400000	90.397751	158.3876
22.700001	90.374924	158.1981
23.000000	90.350830	157.9984
23.299999	90.326195	157.7839
23.600000	90.298050	157.5745
24.000000	90.254402	157.3219
24.299999	90.220329	157.1545
24.700001	90.175346	156.9661
25.000000	90.142693	156.8406
25.400000	90.102173	156.6671
25.799999	90.058731	156.5093
26.200001	90.013390	156.3752
26.500000	89.981110	156.2968
26.900000	89.942490	156.2287
27.200001	89.919830	156.1707
27.600000	89.896675	156.0382
28.000000	89.869186	155.8180
28.500000	89.816559	155.4598
29.000000	89.742065	155.1755
29.500000	89.666801	155.0240
30.000000	89.603241	154.9411
30.400000	89.560333	154.8388
30.700001	89.526711	154.7430
31.100000	89.477089	154.6130
31.500000	89.424744	154.5077
32.000000	89.361229	154.4406
32.500000	89.306885	154.3965
33.000000	89.258087	154.3634
33.500000	89.215332	154.3325
34.000000	89.181564	154.2748
34.500000	89.155144	154.0999
35.000000	89.112152	153.8252
35.500000	89.042427	153.5974
36.000000	88.963013	153.5747
36.500000	88.904419	153.7020
37.000000	88.875679	153.7842
37.500000	88.855331	153.6828
38.200001	88.790901	153.4119
38.700001	88.725685	153.3320
39.500000	88.647552	153.3894
40.000000	88.611755	153.3701
40.599998	88.557533	153.2643
41.200001	88.492233	153.2240
41.799999	88.434685	153.2590
42.500000	88.377243	153.2697
43.099998	88.324905	153.2415
43.700001	88.273018	153.2346
44.400002	88.219917	153.1950
45.000000	88.170692	153.0851
45.500000	88.120125	153.0007
46.200001	88.046661	153.0056
46.799999	87.999191	153.0462
47.500000	87.949638	152.9890
48.200001	87.882042	152.9433
48.700001	87.832687	152.9922
49.400002	87.777435	153.1280
50.000000	87.733482	153.2529
50.799999	87.691818	153.4302
51.500000	87.673584	153.4832
52.200001	87.629501	153.3549
53.000000	87.540817	153.4271
53.799999	87.494499	153.7053
54.500000	87.468292	153.6646
55.200001	87.405151	153.5620
56.000000	87.332527	153.6722
57.000000	87.268593	153.6744
58.000000	87.179398	153.6984
59.000000	87.111633	153.8455
60.000000	87.056252	153.9688
