* Measurement data measured by REW V5.20 Beta 47
* Source: Microphone (Realtek Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 22, 2020 7:31:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriolus Forsteni L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	90.4990	176.03
20.3000	90.4882	176.00
20.6000	90.5113	175.85
20.9000	90.5522	175.55
21.2000	90.5951	175.07
21.4000	90.6164	174.69
21.8000	90.6386	173.86
22.0000	90.6423	173.46
22.4000	90.6465	172.73
22.7000	90.6322	172.24
23.0000	90.6013	171.87
23.3000	90.5647	171.71
23.6000	90.5360	171.78
24.0000	90.5407	172.18
24.3000	90.5945	172.51
24.7000	90.7195	172.62
25.0000	90.8125	172.30
25.4000	90.8724	171.46
25.8000	90.8270	170.60
26.2000	90.7043	170.22
26.5000	90.6127	170.37
26.9000	90.5538	170.90
27.2000	90.5635	171.22
27.6000	90.6093	171.21
28.0000	90.6256	170.77
28.5000	90.5608	170.16
29.0000	90.4783	170.09
29.5000	90.4820	170.22
30.0000	90.5596	169.89
30.4000	90.6038	169.15
30.7000	90.5986	168.48
31.1000	90.5472	167.76
31.5000	90.4815	167.38
32.0000	90.4351	167.29
32.5000	90.4507	167.28
33.0000	90.4923	167.08
33.5000	90.5337	166.75
34.0000	90.5544	166.34
34.5000	90.5481	165.97
35.0000	90.5201	165.76
35.5000	90.4928	165.81
36.0000	90.4976	165.99
36.5000	90.5294	166.08
37.0000	90.5707	165.96
37.5000	90.5912	165.64
38.2000	90.5650	164.96
38.7000	90.4736	164.51
39.5000	90.2618	164.90
40.0000	90.2292	165.80
40.6000	90.3508	166.37
41.2000	90.4632	165.62
41.8000	90.4054	164.46
42.5000	90.2329	164.13
43.1000	90.1885	164.36
43.7000	90.1973	164.02
44.4000	90.1188	163.28
45.0000	90.0148	163.15
45.5000	89.9816	163.23
46.2000	89.9757	162.93
46.8000	89.9163	162.48
47.5000	89.8166	162.46
48.2000	89.7913	162.73
48.7000	89.8055	162.70
49.4000	89.7927	162.37
50.0000	89.7455	162.20
50.8000	89.7010	162.25
51.5000	89.6958	162.18
52.2000	89.6751	161.92
53.0000	89.6180	161.69
53.8000	89.5703	161.62
54.5000	89.5376	161.49
55.2000	89.4879	161.31
56.0000	89.4218	161.26
57.0000	89.3634	161.25
58.0000	89.3015	161.17
59.0000	89.2526	161.10
60.0000	89.1933	160.89
60.8000	89.1428	160.85
61.5000	89.1147	160.74
62.2000	89.0608	160.55
63.0000	88.9808	160.67
64.0000	88.9761	160.90
65.0000	88.9382	160.49
66.0000	88.8521	160.49
67.0000	88.8169	160.30
68.0000	88.7287	160.15
69.0000	88.7094	160.14
70.0000	88.6565	159.74
71.0000	88.6152	159.87
72.0000	88.6110	159.43
73.0000	88.4755	159.40
74.0000	88.4696	160.10
75.0000	88.4995	159.77
76.2000	88.3565	159.55
77.5000	88.2763	160.32
78.8000	88.2827	160.39
80.0000	88.2168	160.31
81.2000	88.1392	160.40
82.5000	88.0452	160.35
83.8000	87.9736	160.59
85.0000	87.8918	160.01
86.2000	87.8700	160.32
87.5000	87.7851	159.32
88.5000	87.9246	160.47
90.0000	87.8575	155.93
91.2000	87.3884	159.57
92.5000	87.7120	159.86
93.8000	87.5386	160.31
95.0000	87.4794	160.79
96.2000	87.4563	161.21
97.5000	87.3709	161.01
98.8000	87.3335	161.13
100.0000	87.2850	161.11
101.5000	87.2374	161.12
103.0000	87.1676	161.57
104.4000	87.1270	161.61
106.0000	87.0356	162.03
107.5000	86.9647	161.90
109.0000	86.9188	162.22
110.6000	86.8451	162.34
112.0000	86.7841	161.93
113.8000	86.8055	163.29
115.0000	86.7887	161.79
117.2000	86.6156	162.80
118.0000	86.5995	162.87
120.6000	86.5162	163.21
122.0000	86.4924	163.29
124.1000	86.4140	163.87
125.0000	86.3778	163.52
126.5000	86.3110	164.46
128.0000	86.2802	163.97
131.5000	86.1136	164.71
132.0000	86.1133	164.75
134.0000	86.0639	165.05
136.0000	85.9603	165.28
138.0000	85.9941	165.72
140.0000	85.8758	165.95
143.0000	85.7338	165.95
145.0000	85.7067	166.39
147.5000	85.6714	166.41
150.0000	85.5528	167.44
152.5000	85.4589	167.61
155.0000	85.4241	168.06
157.5000	85.4098	168.36
160.0000	85.3448	169.12
162.5000	85.3174	169.29
165.0000	85.2546	169.46
167.5000	85.2187	169.95
170.0000	85.1311	170.22
172.5000	85.1062	170.45
175.0000	85.0490	170.92
177.5000	84.9972	171.28
180.0000	84.9236	171.75
182.5000	84.8625	172.32
185.0000	84.8074	172.81
187.5000	84.7225	172.98
190.0000	84.7070	173.53
192.5000	84.6697	173.86
195.0000	84.6142	174.29
197.5000	84.5473	174.46
200.0000	84.5028	174.96
203.0000	84.4608	175.37
206.0000	84.4149	175.89
209.0000	84.3716	176.36
212.0000	84.3206	176.84
214.0000	84.2700	177.25
218.0000	84.2133	177.62
220.0000	84.1721	178.10
224.0000	84.1361	178.74
227.0000	84.0204	179.13
230.0000	84.0701	179.73
233.0000	84.0350	-179.95
236.0000	83.9941	-179.28
240.0000	83.9424	-178.68
243.0000	83.8979	-178.33
247.0000	83.8575	-177.64
250.0000	83.8169	-177.38
254.0000	83.7970	-176.76
258.0000	83.7248	-176.06
262.0000	83.6724	-175.30
265.0000	83.6690	-175.08
