* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2021 4:56:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC 10SE L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.530014	-11.0650
20.299999	89.539375	-11.6467
20.600000	89.515678	-12.1943
20.900000	89.463768	-12.5870
21.200001	89.404617	-12.7621
21.400000	89.371384	-12.7631
21.799999	89.333145	-12.5942
22.000000	89.331779	-12.5013
22.400000	89.359192	-12.4719
22.700001	89.384583	-12.5991
23.000000	89.400139	-12.8230
23.299999	89.405121	-13.0858
23.600000	89.400620	-13.3351
24.000000	89.387169	-13.6254
24.299999	89.376892	-13.8407
24.700001	89.359604	-14.1450
25.000000	89.339607	-14.3698
25.400000	89.306244	-14.6168
25.799999	89.274391	-14.7297
26.200001	89.263062	-14.7690
26.500000	89.271683	-14.8350
26.900000	89.294037	-15.0419
27.200001	89.308151	-15.2993
27.600000	89.313080	-15.7105
28.000000	89.300858	-16.0869
28.500000	89.285385	-16.4619
29.000000	89.283775	-16.8314
29.500000	89.281349	-17.3301
30.000000	89.246796	-17.8410
30.400000	89.201035	-18.1033
30.700001	89.167908	-18.1576
31.100000	89.146263	-18.1101
31.500000	89.158188	-18.0919
32.000000	89.194702	-18.3412
32.500000	89.202522	-18.9272
33.000000	89.141525	-19.4955
33.500000	89.036407	-19.6399
34.000000	88.964859	-19.2590
34.500000	88.989449	-18.8184
35.000000	89.074341	-18.8645
35.500000	89.128395	-19.4990
36.000000	89.098679	-20.2567
36.500000	89.019409	-20.6828
37.000000	88.965935	-20.7660
37.500000	88.962341	-20.9166
38.200001	88.944817	-21.5650
38.700001	88.884949	-21.9783
39.500000	88.826012	-22.1019
40.000000	88.841110	-22.2946
40.599998	88.838242	-22.8918
41.200001	88.775551	-23.3619
41.799999	88.722702	-23.4062
42.500000	88.730370	-23.4289
43.099998	88.737366	-23.7304
43.700001	88.715225	-23.9662
44.400002	88.709862	-24.0393
45.000000	88.734024	-24.3064
45.500000	88.728302	-24.7475
46.200001	88.651840	-25.1981
46.799999	88.592545	-25.1308
47.500000	88.616547	-25.1283
48.200001	88.637672	-25.9342
48.700001	88.563065	-26.7022
49.400002	88.368713	-26.9441
50.000000	88.288361	-26.2830
50.799999	88.396179	-25.9822
51.500000	88.461304	-26.8490
52.200001	88.406197	-27.6361
53.000000	88.355370	-27.9542
53.799999	88.337242	-28.4255
54.500000	88.282242	-28.7881
55.200001	88.237778	-28.9039
56.000000	88.201134	-29.0645
57.000000	88.152763	-29.0475
58.000000	88.173737	-29.2609
59.000000	88.130699	-29.9096
60.000000	88.052132	-30.2382
60.799999	88.009438	-30.2346
61.500000	88.045601	-30.3395
62.200001	88.062584	-31.1683
63.000000	87.898926	-31.8323
64.000000	87.843346	-30.6213
65.000000	88.039772	-31.3807
66.000000	87.891602	-32.5154
67.000000	87.859734	-32.3144
68.000000	87.800331	-33.3244
69.000000	87.633369	-33.2626
70.000000	87.624489	-33.2436
71.000000	87.553078	-33.7026
72.000000	87.498642	-33.8122
73.000000	87.461342	-34.1308
74.000000	87.430252	-34.3714
75.000000	87.401100	-34.8926
76.199997	87.307625	-35.1356
77.500000	87.301849	-35.4186
78.800003	87.223228	-35.8965
80.000000	87.174995	-36.1213
81.199997	87.128052	-36.4014
82.500000	87.065369	-36.8650
83.800003	86.998497	-37.0163
85.000000	86.968521	-37.3699
86.199997	86.917366	-37.6224
87.500000	86.900558	-37.9891
88.500000	86.851074	-38.4371
90.000000	86.755684	-38.6211
91.199997	86.697693	-38.7728
92.500000	86.651291	-38.8789
93.800003	86.593216	-39.2927
95.000000	86.523300	-39.5736
96.199997	86.445747	-39.7608
97.500000	86.427101	-39.9009
98.800003	86.356407	-40.3483
100.000000	86.331360	-40.3896
101.500000	86.260925	-40.9753
103.000000	86.191666	-41.1354
104.400002	86.129478	-41.4174
106.000000	86.065201	-41.7347
107.500000	86.013855	-41.9867
109.000000	85.953979	-42.2451
110.599998	85.898209	-42.4678
112.000000	85.834930	-42.7336
113.800003	85.766441	-42.9092
115.000000	85.725380	-43.1721
117.199997	85.649765	-43.5081
118.000000	85.626228	-43.7364
120.599998	85.493706	-44.0544
122.000000	85.470215	-44.2607
124.099998	85.370171	-44.5070
125.000000	85.350723	-44.6568
126.500000	85.275421	-44.8486
128.000000	85.252579	-44.9745
131.500000	85.076508	-45.6917
132.000000	85.059387	-45.5723
134.000000	85.022751	-46.0316
136.000000	84.944908	-45.9952
138.000000	84.826912	-46.1254
140.000000	84.790672	-46.5184
143.000000	84.685585	-46.8793
145.000000	84.632240	-46.9200
147.500000	84.518929	-47.3404
150.000000	84.452332	-47.5137
152.500000	84.367371	-47.8181
155.000000	84.292572	-48.1328
157.500000	84.293961	-48.3545
160.000000	84.152969	-48.4598
162.500000	84.102951	-48.5772
