* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2021 5:11:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC 5SH L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.616814	25.2360
20.299999	88.597023	24.3942
20.600000	88.550560	23.8291
20.900000	88.503540	23.6112
21.200001	88.493088	23.6625
21.400000	88.515289	23.7294
21.799999	88.617737	23.7025
22.000000	88.685341	23.5061
22.400000	88.813072	22.6633
22.700001	88.869110	21.8071
23.000000	88.882393	20.9668
23.299999	88.871223	20.2825
23.600000	88.855782	19.7973
24.000000	88.858170	19.3562
24.299999	88.884277	19.0040
24.700001	88.929047	18.3555
25.000000	88.946785	17.7614
25.400000	88.937103	16.9985
25.799999	88.905418	16.5166
26.200001	88.896141	16.3187
26.500000	88.920486	16.2090
26.900000	88.983078	15.9173
27.200001	89.031433	15.5196
27.600000	89.070786	14.8360
28.000000	89.072128	14.1999
28.500000	89.059097	13.6670
29.000000	89.074600	13.2967
29.500000	89.113693	12.7785
30.000000	89.130913	12.1127
30.400000	89.124352	11.6257
30.700001	89.116432	11.3481
31.100000	89.116631	11.0368
31.500000	89.129425	10.6865
32.000000	89.139725	10.1587
32.500000	89.131859	9.6707
33.000000	89.127373	9.3821
33.500000	89.154839	9.1585
34.000000	89.202629	8.7769
34.500000	89.239754	8.2276
35.000000	89.252106	7.7285
35.500000	89.266060	7.3779
36.000000	89.299164	7.0415
36.500000	89.334816	6.5543
37.000000	89.346382	5.9937
37.500000	89.336021	5.5301
38.200001	89.323196	5.1253
38.700001	89.329987	4.8623
39.500000	89.346481	4.3357
40.000000	89.348442	3.9999
40.599998	89.345421	3.6336
41.200001	89.349609	3.3276
41.799999	89.369186	3.0026
42.500000	89.393967	2.4807
43.099998	89.395508	1.9712
43.700001	89.384773	1.5595
44.400002	89.382477	1.1777
45.000000	89.390106	0.7989
45.500000	89.391876	0.4352
46.200001	89.382675	-0.0526
46.799999	89.371620	-0.4450
47.500000	89.356308	-0.8841
48.200001	89.342133	-1.2380
48.700001	89.344368	-1.4721
49.400002	89.363480	-1.8835
50.000000	89.371300	-2.3411
50.799999	89.358833	-2.9208
51.500000	89.352402	-3.1673
52.200001	89.382462	-3.4019
53.000000	89.414001	-3.9974
53.799999	89.378181	-4.5713
54.500000	89.333557	-4.7415
55.200001	89.314529	-4.8309
56.000000	89.302956	-4.9799
57.000000	89.314453	-5.3992
58.000000	89.257965	-6.1557
59.000000	89.221573	-6.2048
60.000000	89.298187	-7.0746
60.799999	89.210075	-7.9294
61.500000	89.146385	-7.7399
62.200001	89.217560	-7.5718
63.000000	89.300041	-8.2768
64.000000	89.233124	-9.1205
65.000000	89.181992	-9.0237
66.000000	89.218826	-9.3689
67.000000	89.139786	-10.0400
68.000000	89.095825	-9.9357
69.000000	89.131363	-10.5083
70.000000	89.087418	-10.9989
71.000000	89.122551	-11.4050
72.000000	89.099785	-12.0870
73.000000	89.091904	-12.2431
74.000000	89.104790	-12.7206
75.000000	89.059395	-12.9491
76.199997	89.077202	-13.2314
77.500000	88.991493	-13.9258
78.800003	88.988045	-13.9040
80.000000	88.986214	-14.9271
81.199997	88.915619	-15.1296
82.500000	88.940063	-15.6195
83.800003	88.927979	-15.8334
85.000000	88.936211	-16.2723
86.199997	88.920967	-16.4711
87.500000	88.890625	-17.0212
88.500000	88.859756	-17.0904
90.000000	88.848686	-17.8191
91.199997	88.788147	-18.0609
92.500000	88.789398	-18.3976
93.800003	88.765739	-18.9237
95.000000	88.723389	-19.2614
96.199997	88.689453	-19.5178
97.500000	88.664963	-19.7321
98.800003	88.646194	-20.1167
100.000000	88.623016	-20.4526
101.500000	88.580704	-21.0454
103.000000	88.520386	-21.3167
104.400002	88.525398	-21.6968
106.000000	88.474396	-22.2987
107.500000	88.432899	-22.6004
109.000000	88.426872	-22.7261
110.599998	88.411018	-23.2090
112.000000	88.386551	-23.4794
113.800003	88.341125	-24.0183
115.000000	88.304985	-24.2608
117.199997	88.245010	-24.8208
118.000000	88.241180	-24.9118
120.599998	88.185112	-25.6255
122.000000	88.153244	-25.8985
124.099998	88.114388	-26.2198
125.000000	88.090096	-26.4483
126.500000	88.065346	-26.6743
128.000000	88.015121	-27.2999
131.500000	87.918259	-27.8161
132.000000	87.927826	-27.7650
134.000000	87.864731	-28.2549
136.000000	87.827446	-28.8107
138.000000	87.785393	-29.0516
140.000000	87.744217	-29.5533
143.000000	87.683960	-30.1785
145.000000	87.629578	-30.4036
147.500000	87.553345	-30.7636
150.000000	87.500191	-31.3220
152.500000	87.425804	-31.8118
155.000000	87.399391	-32.1941
157.500000	87.374153	-32.7530
160.000000	87.322990	-32.9993
162.500000	87.242729	-33.3043
165.000000	87.180054	-33.8718
167.500000	87.100235	-34.7056
170.000000	87.116974	-34.7522
172.500000	87.071121	-34.8194
175.000000	87.001160	-35.1435
177.500000	86.920143	-35.6259
180.000000	86.837921	-35.8447
182.500000	86.808502	-36.2939
185.000000	86.734818	-36.5196
187.500000	86.660072	-36.9087
190.000000	86.603867	-37.0656
192.500000	86.551544	-37.4019
195.000000	86.484253	-37.6935
197.500000	86.405060	-37.9877
200.000000	86.387772	-38.3935
203.000000	86.300438	-38.8039
206.000000	86.280853	-39.0777
209.000000	86.182426	-39.2526
212.000000	86.099449	-39.5777
214.000000	86.020767	-39.8365
218.000000	85.956772	-40.3041
220.000000	85.921234	-40.4448
224.000000	85.849159	-40.8065
227.000000	85.794144	-41.0606
230.000000	85.734261	-41.4004
233.000000	85.692780	-41.6030
236.000000	85.625092	-41.8687
240.000000	85.561768	-42.2330
243.000000	85.487762	-42.5322
247.000000	85.413071	-42.7551
250.000000	85.350929	-42.9570
254.000000	85.260483	-43.3544
258.000000	85.196541	-43.6638
262.000000	85.105515	-43.9155
265.000000	85.053360	-44.0963
269.000000	84.969040	-44.3932
272.000000	84.922668	-44.4994
276.000000	84.844742	-44.8640
280.000000	84.774612	-44.9949
285.000000	84.677635	-45.2884
290.000000	84.589790	-45.5174
295.000000	84.499329	-45.8155
300.000000	84.420242	-46.0560
304.000000	84.345909	-46.2044
307.000000	84.298248	-46.3142
311.000000	84.227310	-46.5329
315.000000	84.147156	-46.6339
320.000000	84.067818	-46.9047
325.000000	83.987778	-47.0273
330.000000	83.913689	-47.2013
335.000000	83.833519	-47.3656
340.000000	83.753487	-47.4770
345.000000	83.678993	-47.6206
350.000000	83.598099	-47.7747
355.000000	83.518166	-47.8238
360.000000	83.448395	-47.9158
365.000000	83.370407	-47.9202
370.000000	83.301468	-48.0641
375.000000	83.243538	-48.1649
382.000000	83.144867	-48.2304
387.000000	83.077171	-48.2964
395.000000	82.984909	-48.3897
400.000000	82.920860	-48.5005
406.000000	82.847046	-48.4816
412.000000	82.785957	-48.4270
418.000000	82.709183	-48.4544
425.000000	82.638794	-48.4901
431.000000	82.574554	-48.4386
437.000000	82.522949	-48.3617
444.000000	82.460449	-48.2904
450.000000	82.412888	-48.2961
455.000000	82.367371	-48.2215
462.000000	82.302193	-48.2679
468.000000	82.268715	-48.2554
475.000000	82.195648	-48.2406
482.000000	82.138962	-48.1415
487.000000	82.103661	-48.0994
494.000000	82.060310	-48.0402
500.000000	82.030762	-47.9692
508.000000	81.966560	-47.8110
515.000000	81.936127	-47.6170
522.000000	81.886612	-47.3960
530.000000	81.853783	-47.2645
538.000000	81.804169	-47.0809
545.000000	81.779167	-46.7938
552.000000	81.752869	-46.5964
560.000000	81.718582	-46.3350
570.000000	81.704872	-46.0241
580.000000	81.664726	-45.7368
590.000000	81.658630	-45.3487
600.000000	81.635025	-44.9740
608.000000	81.637901	-44.7168
615.000000	81.646873	-44.3212
622.000000	81.640129	-44.1978
630.000000	81.658806	-43.9028
640.000000	81.672699	-43.5225
650.000000	81.700470	-43.1756
660.000000	81.717476	-42.8467
670.000000	81.748207	-42.4884
680.000000	81.794090	-42.1851
690.000000	81.834625	-41.7364
700.000000	81.888031	-41.5232
710.000000	81.925171	-41.0280
720.000000	81.993462	-40.7896
730.000000	82.037254	-40.3352
740.000000	82.116608	-39.9968
750.000000	82.194427	-39.8010
762.000000	82.296906	-39.3368
775.000000	82.388466	-39.1120
788.000000	82.498856	-38.8014
800.000000	82.598602	-38.6199
812.000000	82.722504	-38.2972
825.000000	82.851036	-38.1359
838.000000	82.980972	-38.0251
850.000000	83.109543	-37.9091
862.000000	83.259163	-37.7847
875.000000	83.406303	-37.8172
885.000000	83.519371	-37.8929
900.000000	83.708084	-38.0387
912.000000	83.830688	-38.0965
925.000000	83.980476	-38.3023
938.000000	84.140320	-38.6726
950.000000	84.287560	-38.9270
962.000000	84.429489	-39.2245
975.000000	84.580811	-39.5854
988.000000	84.740814	-40.0897
1000.000000	84.933792	-40.4619
1015.000000	85.013916	-41.3792
1030.000000	85.143524	-42.0715
1044.000000	85.269951	-42.7899
1060.000000	85.400002	-43.6704
1075.000000	85.517662	-44.5575
1090.000000	85.636559	-45.4471
1106.000000	85.748917	-46.5053
1120.000000	85.826965	-47.4056
1138.000000	85.928314	-48.5161
