* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 5, 2020 1:26:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 100 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	95.9912	-12.34
20.3000	95.9716	-12.64
20.6000	95.9512	-12.85
20.9000	95.9360	-12.99
21.2000	95.9341	-13.11
21.4000	95.9373	-13.21
21.8000	95.9465	-13.47
22.0000	95.9498	-13.62
22.4000	95.9513	-13.99
22.7000	95.9440	-14.24
23.0000	95.9340	-14.45
23.3000	95.9280	-14.64
23.6000	95.9243	-14.84
24.0000	95.9168	-15.12
24.3000	95.9050	-15.36
24.7000	95.8778	-15.63
25.0000	95.8539	-15.76
25.4000	95.8329	-15.86
25.8000	95.8306	-15.94
26.2000	95.8394	-16.16
26.5000	95.8396	-16.42
26.9000	95.8145	-16.80
27.2000	95.7795	-17.00
27.6000	95.7322	-17.06
28.0000	95.7141	-16.92
28.5000	95.7573	-16.86
29.0000	95.8281	-17.27
29.5000	95.8565	-18.10
30.0000	95.8089	-18.91
30.4000	95.7431	-19.28
30.7000	95.6976	-19.38
31.1000	95.6624	-19.38
31.5000	95.6587	-19.39
32.0000	95.6745	-19.58
32.5000	95.6845	-19.95
33.0000	95.6717	-20.36
33.5000	95.6410	-20.71
34.0000	95.6072	-20.92
34.5000	95.5902	-21.08
35.0000	95.5883	-21.25
35.5000	95.5899	-21.54
36.0000	95.5779	-21.89
36.5000	95.5486	-22.23
37.0000	95.5152	-22.45
37.5000	95.4954	-22.60
38.2000	95.4882	-22.87
38.7000	95.4813	-23.17
39.5000	95.4531	-23.64
40.0000	95.4332	-23.86
40.6000	95.4141	-24.14
41.2000	95.3944	-24.47
41.8000	95.3654	-24.80
42.5000	95.3251	-25.09
43.1000	95.3020	-25.30
43.7000	95.2854	-25.58
44.4000	95.2560	-25.97
45.0000	95.2278	-26.26
45.5000	95.2109	-26.50
46.2000	95.1842	-26.90
46.8000	95.1523	-27.20
47.5000	95.1282	-27.50
48.2000	95.1072	-27.93
48.7000	95.0696	-28.26
49.4000	95.0022	-28.40
50.0000	94.9915	-28.29
50.8000	95.0428	-28.69
51.5000	95.0157	-29.51
52.2000	94.9035	-29.92
53.0000	94.8310	-29.68
53.8000	94.8637	-29.74
54.5000	94.8626	-30.30
55.2000	94.8054	-30.76
56.0000	94.7515	-30.95
57.0000	94.7183	-31.33
58.0000	94.6619	-31.70
59.0000	94.6311	-32.00
60.0000	94.5914	-32.47
