* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 25, 2020 3:56:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC Fusion L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.507996	-178.9333
20.299999	87.514954	-179.0739
20.600000	87.531624	-179.2568
20.900000	87.553284	-179.5283
21.200001	87.575180	-179.9388
21.400000	87.581474	179.7226
21.799999	87.565826	178.9697
22.000000	87.543098	178.5987
22.400000	87.475891	177.9536
22.700001	87.413872	177.6411
23.000000	87.356171	177.4838
23.299999	87.313980	177.4256
23.600000	87.287262	177.4233
24.000000	87.270988	177.4388
24.299999	87.268616	177.4397
24.700001	87.272919	177.4574
25.000000	87.282539	177.5055
25.400000	87.311722	177.6039
25.799999	87.360550	177.7153
26.200001	87.428711	177.7549
26.500000	87.488060	177.6994
26.900000	87.567398	177.5081
27.200001	87.621811	177.2719
27.600000	87.680809	176.8549
28.000000	87.714783	176.3765
28.500000	87.725227	175.7933
29.000000	87.717278	175.3393
29.500000	87.715874	174.9463
30.000000	87.719002	174.4681
30.400000	87.712997	173.9684
30.700001	87.695587	173.5656
31.100000	87.655502	173.0611
31.500000	87.604485	172.6511
32.000000	87.540886	172.3308
32.500000	87.498856	172.1954
33.000000	87.495186	172.1829
33.500000	87.540009	172.1159
34.000000	87.615112	171.7766
34.500000	87.677338	171.0967
35.000000	87.683121	170.3276
35.500000	87.640686	169.8281
36.000000	87.595291	169.7291
36.500000	87.577698	169.8363
37.000000	87.579796	169.9733
37.500000	87.590363	170.1483
38.200001	87.642578	170.4395
38.700001	87.710838	170.3636
39.500000	87.747536	169.5147
40.000000	87.681480	169.0581
40.599998	87.581718	169.0393
41.200001	87.549316	169.2841
41.799999	87.565666	169.3018
42.500000	87.589836	169.1180
43.099998	87.640976	168.8265
43.700001	87.691116	168.0706
44.400002	87.630554	166.9899
45.000000	87.510803	166.8721
45.500000	87.489143	167.3362
46.200001	87.602127	167.5698
46.799999	87.666702	166.9512
47.500000	87.613922	166.4104
48.200001	87.560486	166.5576
48.700001	87.556664	166.7184
49.400002	87.563995	166.9599
50.000000	87.619736	167.2072
50.799999	87.755463	166.5941
51.500000	87.732971	165.4130
52.200001	87.609711	165.0763
53.000000	87.618759	165.3101
53.799999	87.677376	164.6226
54.500000	87.635460	164.0759
55.200001	87.631630	163.9477
56.000000	87.655418	163.4301
57.000000	87.589874	163.1699
58.000000	87.656593	163.2527
59.000000	87.659599	162.5117
60.000000	87.623253	162.5809
60.799999	87.671654	162.3864
61.500000	87.675774	161.9106
62.200001	87.655914	161.5935
63.000000	87.649132	161.2442
64.000000	87.613541	160.8185
65.000000	87.620499	160.6453
66.000000	87.624069	160.1480
67.000000	87.616997	159.9991
68.000000	87.641083	159.4786
69.000000	87.570099	159.3672
70.000000	87.661499	159.5759
71.000000	87.691154	158.3569
72.000000	87.559647	158.1450
73.000000	87.591522	158.2750
74.000000	87.609100	157.8879
75.000000	87.663353	157.5668
76.199997	87.642693	156.6437
77.500000	87.660484	156.7899
78.800003	87.705269	155.7072
80.000000	87.622086	155.5027
81.199997	87.652283	155.2565
82.500000	87.615776	154.6740
83.800003	87.625427	154.5254
85.000000	87.642723	153.9896
86.199997	87.669312	153.7965
87.500000	87.687042	153.0411
88.500000	87.668091	153.0120
90.000000	87.687767	152.1262
91.199997	87.591629	152.2363
92.500000	87.663933	151.8600
93.800003	87.624138	151.3787
95.000000	87.658493	150.8069
96.199997	87.616699	150.3479
97.500000	87.640038	150.0864
98.800003	87.670158	149.7094
100.000000	87.670639	149.1600
101.500000	87.674675	148.7525
103.000000	87.639771	148.1891
104.400002	87.648911	147.7325
106.000000	87.637527	147.3011
107.500000	87.663330	146.6808
109.000000	87.664337	146.4536
110.599998	87.719086	145.7276
112.000000	87.638145	145.2211
113.800003	87.633934	145.1854
115.000000	87.640457	144.9593
117.199997	87.663689	143.7495
118.000000	87.658607	143.7016
120.599998	87.706360	142.6266
122.000000	87.690781	142.1622
124.099998	87.702904	141.7407
125.000000	87.689552	141.4023
126.500000	87.672836	140.9888
128.000000	87.677261	140.3411
131.500000	87.670311	139.2641
132.000000	87.685318	139.1497
134.000000	87.678192	138.3351
136.000000	87.537582	137.6736
138.000000	87.742485	136.9106
140.000000	87.732277	136.4176
143.000000	87.657288	135.5490
145.000000	87.707352	135.0563
147.500000	87.698090	134.1275
150.000000	87.696335	133.6592
152.500000	87.727310	132.9617
155.000000	87.705391	132.0390
157.500000	87.714478	131.4833
160.000000	87.703186	130.7614
162.500000	87.607315	129.9395
165.000000	87.663910	129.0956
167.500000	87.700623	128.0720
170.000000	87.750816	127.5538
172.500000	87.679962	127.2824
175.000000	87.537453	126.1902
177.500000	87.630783	125.3712
180.000000	87.654297	124.8005
182.500000	87.566956	124.2076
185.000000	87.568581	123.0423
187.500000	87.583710	122.3856
190.000000	87.517532	121.9160
192.500000	87.505173	121.0485
195.000000	87.538551	120.2495
197.500000	87.398582	119.6784
200.000000	87.452721	119.0451
203.000000	87.419418	118.4611
206.000000	87.387634	117.2643
209.000000	87.394775	116.7205
212.000000	87.334175	115.7646
214.000000	87.345642	115.5330
218.000000	87.290810	114.3095
220.000000	87.305588	113.8106
224.000000	87.250885	112.9576
227.000000	87.247604	111.8152
230.000000	87.197365	111.2606
233.000000	87.260696	110.6194
236.000000	87.210396	109.8839
240.000000	87.203514	109.0262
243.000000	87.139557	108.3205
247.000000	87.107529	107.4475
250.000000	87.114441	106.6616
254.000000	87.001060	106.1177
258.000000	87.071579	104.7425
262.000000	86.875534	104.0698
265.000000	86.919304	104.1226
269.000000	86.942062	102.3607
272.000000	86.799583	101.6307
276.000000	86.743515	101.6080
280.000000	86.800583	100.6729
285.000000	86.733704	99.1778
290.000000	86.576729	98.2453
295.000000	86.451111	97.8958
300.000000	86.429276	97.7407
304.000000	86.465996	97.1054
307.000000	86.446388	96.3940
311.000000	86.485489	96.0722
315.000000	86.468643	94.9674
320.000000	86.390160	94.2583
325.000000	86.310669	93.8722
330.000000	86.185677	93.3757
335.000000	85.949356	92.6771
340.000000	85.799461	91.2866
345.000000	85.796524	89.3786
350.000000	85.923393	89.3516
355.000000	85.824966	89.8681
360.000000	85.532211	88.7187
365.000000	85.685265	87.4034
370.000000	85.561058	88.6216
375.000000	85.371727	86.4885
382.000000	85.370575	87.2949
387.000000	85.281990	85.5994
395.000000	85.171463	85.3568
400.000000	85.135963	85.3238
406.000000	85.032959	84.5530
412.000000	84.942131	84.5201
418.000000	84.874222	84.1393
425.000000	84.787636	83.6239
431.000000	84.700089	83.3813
437.000000	84.641281	83.1244
444.000000	84.566170	82.8859
450.000000	84.476189	82.5955
455.000000	84.422241	82.3617
462.000000	84.349464	82.1242
468.000000	84.271957	81.8591
475.000000	84.187363	81.6252
482.000000	84.106674	81.5631
487.000000	84.039314	81.4210
494.000000	83.965271	81.2884
500.000000	83.895218	81.1838
508.000000	83.822174	81.2563
515.000000	83.761162	81.1897
522.000000	83.680420	81.2928
530.000000	83.596802	81.2390
538.000000	83.537415	81.2535
545.000000	83.475174	81.2773
552.000000	83.419174	81.1655
560.000000	83.344208	80.9149
570.000000	83.204880	80.6230
580.000000	83.000259	80.6429
590.000000	82.787361	80.9099
600.000000	82.584747	81.6424
608.000000	82.473839	82.3828
615.000000	82.371773	83.1158
622.000000	82.291084	83.7927
630.000000	82.224884	84.6270
640.000000	82.125404	85.5854
650.000000	82.060341	86.4834
660.000000	81.981476	87.4240
670.000000	81.905197	88.6656
680.000000	81.845047	89.6907
690.000000	81.779968	90.9678
700.000000	81.722626	92.2693
710.000000	81.694534	93.4882
720.000000	81.663437	94.9899
730.000000	81.681496	96.2397
740.000000	81.673447	97.8013
750.000000	81.703934	99.1761
762.000000	81.761208	100.8995
775.000000	81.860321	102.8920
788.000000	81.970284	104.8670
800.000000	82.095314	106.3809
812.000000	82.290359	107.7499
825.000000	82.506683	109.3575
838.000000	82.742508	110.5361
850.000000	82.955605	111.4656
862.000000	83.143242	112.1498
875.000000	83.384720	112.6068
885.000000	83.547409	113.0374
900.000000	83.771797	113.2097
912.000000	83.934883	113.2864
925.000000	84.087830	113.3073
938.000000	84.227097	113.3473
950.000000	84.299988	112.9306
962.000000	84.416321	113.3129
975.000000	84.498795	113.3185
988.000000	84.574409	113.4449
1000.000000	84.707016	113.6611
1015.000000	84.689972	113.6212
1030.000000	84.718811	113.8095
1044.000000	84.768173	114.0662
1060.000000	84.821358	114.3464
1075.000000	84.870049	114.6800
1090.000000	84.924210	115.0520
1106.000000	84.983055	115.4468
1120.000000	85.042831	115.8205
1138.000000	85.111717	116.2558
1150.000000	85.158272	116.5081
1172.000000	85.236359	117.1393
1180.000000	85.266548	117.2890
1206.000000	85.359596	117.9426
1220.000000	85.414963	118.3274
1241.000000	85.494179	118.7905
1250.000000	85.526611	119.0248
1265.000000	85.583260	119.4036
1280.000000	85.633125	119.7551
1315.000000	85.744995	120.6703
1320.000000	85.757843	120.8154
1340.000000	85.817291	121.3369
1360.000000	85.879608	121.9338
1380.000000	85.935593	122.4826
1400.000000	85.987640	123.1594
1430.000000	86.080353	124.1564
1450.000000	86.139244	124.7596
1475.000000	86.214706	125.5876
1500.000000	86.286446	126.3955
1525.000000	86.360718	127.2487
1550.000000	86.443024	128.1203
1575.000000	86.530334	128.9766
1600.000000	86.619415	129.8764
1625.000000	86.710373	130.7747
1650.000000	86.808395	131.6536
1675.000000	86.913025	132.4972
1700.000000	87.013458	133.3603
1725.000000	87.123909	134.1899
1750.000000	87.241707	134.9771
1775.000000	87.360443	135.7787
1800.000000	87.481583	136.4953
1825.000000	87.606949	137.1733
1850.000000	87.732437	137.7893
1875.000000	87.865318	138.3817
1900.000000	87.987305	138.9037
1925.000000	88.120697	139.3825
1950.000000	88.246277	139.7686
1975.000000	88.359505	140.0121
2000.000000	88.418381	139.9919
2030.000000	88.631927	140.5101
2060.000000	88.783035	140.6714
2090.000000	88.907761	140.6727
2120.000000	89.024994	140.5470
2140.000000	89.098770	140.4133
2180.000000	89.208580	140.0478
2200.000000	89.257736	139.7941
2240.000000	89.326324	139.0260
2270.000000	89.335999	138.1561
2300.000000	89.324738	137.1010
2330.000000	89.300911	136.0017
2360.000000	89.244255	134.9055
2400.000000	89.129807	133.8319
2430.000000	89.040237	133.3192
2470.000000	88.885658	132.8741
2500.000000	88.764404	132.5696
2540.000000	88.568787	132.1342
2580.000000	88.334373	131.8141
2620.000000	88.077682	131.6983
2650.000000	87.877785	131.7248
2690.000000	87.596863	131.9659
2720.000000	87.387596	132.3932
2760.000000	87.100632	133.0318
2800.000000	86.832352	133.7865
2850.000000	86.492188	134.8363
2900.000000	86.152367	136.0273
2950.000000	85.832230	137.5429
3000.000000	85.540802	139.4663
3040.000000	85.312202	140.5976
3070.000000	85.156708	141.6146
3110.000000	84.975945	143.1664
3150.000000	84.832672	144.7253
3200.000000	84.687508	146.3138
3250.000000	84.541588	147.7664
3300.000000	84.398460	149.1289
3350.000000	84.256119	150.4249
3400.000000	84.141884	151.7308
3450.000000	84.069122	152.7433
3500.000000	83.978600	153.5409
3550.000000	83.866554	154.2280
3600.000000	83.713234	154.6012
3650.000000	83.558022	155.8748
3700.000000	83.408463	158.0855
3750.000000	83.447662	160.0644
3820.000000	83.825119	161.7833
3870.000000	84.158707	161.8412
3950.000000	84.662506	159.8607
4000.000000	84.915161	157.3776
4060.000000	85.237373	153.9137
4120.000000	85.438377	149.3369
4180.000000	85.508148	143.7892
4250.000000	85.414383	136.7420
4310.000000	85.159203	130.6225
4370.000000	84.788185	124.5819
4440.000000	84.228897	118.4552
4500.000000	83.660240	113.6103
4550.000000	83.212265	110.1330
4620.000000	82.592728	106.4338
4680.000000	82.029228	103.8143
4750.000000	81.516998	102.0038
4820.000000	81.230576	100.7884
