* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2021 5:25:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QDC TrES R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.288040	-179.9793
20.299999	88.304901	-179.7439
20.600000	88.367569	-179.6224
20.900000	88.451935	-179.7697
21.200001	88.527145	179.7797
21.400000	88.556488	179.3990
21.799999	88.566208	178.6603
22.000000	88.555099	178.3860
22.400000	88.536087	178.0828
22.700001	88.543434	177.9969
23.000000	88.575134	177.8615
23.299999	88.616653	177.5622
23.600000	88.646805	177.1204
24.000000	88.648438	176.4527
24.299999	88.625931	176.0394
24.700001	88.590874	175.7069
25.000000	88.580215	175.5533
25.400000	88.593414	175.2699
25.799999	88.604889	174.7843
26.200001	88.581749	174.2073
26.500000	88.542099	173.8884
26.900000	88.486832	173.7807
27.200001	88.474411	173.8817
27.600000	88.518051	173.9982
28.000000	88.601791	173.7630
28.500000	88.677223	172.8974
29.000000	88.661896	171.9948
29.500000	88.611778	171.6137
30.000000	88.623627	171.6260
30.400000	88.690109	171.4534
30.700001	88.744095	171.0789
31.100000	88.778084	170.3454
31.500000	88.753136	169.6262
32.000000	88.674454	169.1863
32.500000	88.627274	169.2484
33.000000	88.646812	169.3546
33.500000	88.692207	169.1635
34.000000	88.716942	168.7784
34.500000	88.729980	168.3743
35.000000	88.742363	167.9087
35.500000	88.733307	167.2698
36.000000	88.668381	166.6720
36.500000	88.569626	166.5072
37.000000	88.525169	166.8597
37.500000	88.593811	167.1729
38.200001	88.758224	166.4604
38.700001	88.786621	165.3163
39.500000	88.664421	164.1400
40.000000	88.605408	164.0867
40.599998	88.617500	164.0818
41.200001	88.657883	163.7088
41.799999	88.669830	163.1664
42.500000	88.657837	162.6360
43.099998	88.645264	162.2153
43.700001	88.620201	161.8076
44.400002	88.578163	161.4979
45.000000	88.560753	161.3894
45.500000	88.569824	161.2680
46.200001	88.590271	160.9184
46.799999	88.591438	160.5716
47.500000	88.607361	160.3259
48.200001	88.678055	159.8958
48.700001	88.722092	159.1872
49.400002	88.677826	158.0211
50.000000	88.565247	157.6346
50.799999	88.520844	157.9745
51.500000	88.602356	157.9042
52.200001	88.645523	157.2424
53.000000	88.616951	156.6106
53.799999	88.578651	156.2676
54.500000	88.545807	156.1878
55.200001	88.570183	156.2778
56.000000	88.659332	155.8022
57.000000	88.637512	154.6002
58.000000	88.584763	154.1746
59.000000	88.591080	153.4952
60.000000	88.567703	153.0063
60.799999	88.604141	152.5728
61.500000	88.615265	151.9047
62.200001	88.587013	151.4365
63.000000	88.586639	151.1970
64.000000	88.613197	150.6881
