* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 4, 2021 3:26:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SHICHIKU.KANGEN L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.229370	-176.0556
20.299999	93.232132	-176.4913
20.600000	93.228668	-176.8700
20.900000	93.223007	-177.1674
21.200001	93.226807	-177.4058
21.400000	93.236053	-177.5530
21.799999	93.269791	-177.8804
22.000000	93.292465	-178.1000
22.400000	93.340813	-178.7236
22.700001	93.362778	-179.3064
23.000000	93.363869	-179.9288
23.299999	93.346146	179.4762
23.600000	93.313110	178.9774
24.000000	93.259529	178.5144
24.299999	93.227539	178.2971
24.700001	93.207428	178.1035
25.000000	93.209946	177.9489
25.400000	93.230690	177.6297
25.799999	93.250267	177.1718
26.200001	93.254028	176.6163
26.500000	93.243317	176.1998
26.900000	93.213425	175.7452
27.200001	93.189758	175.5038
27.600000	93.171669	175.2891
28.000000	93.174438	175.0872
28.500000	93.197075	174.6519
29.000000	93.202446	174.0020
29.500000	93.169518	173.3196
30.000000	93.109230	172.8464
30.400000	93.067261	172.6249
30.700001	93.045868	172.5058
31.100000	93.029121	172.3195
31.500000	93.017212	172.0627
32.000000	92.995964	171.7017
32.500000	92.972839	171.3439
33.000000	92.952263	170.9790
33.500000	92.927216	170.5551
34.000000	92.887344	170.1451
34.500000	92.847298	169.8339
35.000000	92.821014	169.6026
35.500000	92.809410	169.3059
36.000000	92.789680	168.9159
36.500000	92.750648	168.5532
37.000000	92.711525	168.3496
37.500000	92.697617	168.2049
38.200001	92.695175	167.7804
38.700001	92.668076	167.3649
39.500000	92.603333	167.0056
40.000000	92.588638	166.8794
