* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 5, 2020 1:10:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shozy Form 1.1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	90.6283	-143.12
20.3000	90.6908	-143.63
20.6000	90.7518	-144.11
20.9000	90.8127	-144.55
21.2000	90.8791	-145.01
21.4000	90.9239	-145.32
21.8000	91.0108	-145.99
22.0000	91.0518	-146.35
22.4000	91.1276	-147.14
22.7000	91.1721	-147.73
23.0000	91.2061	-148.30
23.3000	91.2343	-148.83
23.6000	91.2584	-149.29
24.0000	91.2905	-149.81
24.3000	91.3216	-150.15
24.7000	91.3748	-150.59
25.0000	91.4199	-150.96
25.4000	91.4791	-151.53
25.8000	91.5209	-152.10
26.2000	91.5461	-152.56
26.5000	91.5671	-152.77
26.9000	91.6202	-152.86
27.2000	91.6941	-152.91
27.6000	91.8374	-153.18
28.0000	91.9930	-153.91
28.5000	92.1264	-155.43
29.0000	92.1359	-157.03
29.5000	92.0584	-158.12
30.0000	91.9886	-158.53
30.4000	91.9842	-158.67
30.7000	92.0045	-158.85
31.1000	92.0334	-159.27
31.5000	92.0413	-159.79
32.0000	92.0234	-160.28
32.5000	92.0250	-160.53
33.0000	92.0734	-160.84
33.5000	92.1301	-161.49
34.0000	92.1360	-162.30
34.5000	92.1020	-162.84
35.0000	92.0939	-162.92
35.5000	92.1700	-162.96
36.0000	92.2933	-163.51
36.5000	92.3734	-164.60
37.0000	92.3594	-165.74
37.5000	92.2889	-166.41
38.2000	92.2347	-166.56
38.7000	92.2645	-166.62
39.5000	92.3330	-167.20
40.0000	92.3479	-167.66
40.6000	92.3496	-168.15
41.2000	92.3541	-168.60
41.8000	92.3567	-169.12
42.5000	92.3384	-169.74
43.1000	92.3147	-170.15
43.7000	92.3144	-170.48
44.4000	92.3438	-171.07
45.0000	92.3452	-171.80
45.5000	92.3145	-172.29
46.2000	92.2871	-172.55
46.8000	92.3241	-172.79
47.5000	92.3534	-173.44
48.2000	92.3189	-173.83
48.7000	92.3259	-173.78
49.4000	92.4100	-174.06
50.0000	92.4251	-174.84
50.8000	92.3195	-175.40
51.5000	92.2889	-175.21
52.2000	92.3132	-175.48
53.0000	92.2593	-175.92
53.8000	92.2665	-175.88
54.5000	92.3364	-176.59
55.2000	92.2825	-177.75
56.0000	92.1401	-178.09
57.0000	92.1572	-177.99
58.0000	92.2123	-178.76
59.0000	92.2080	-179.71
60.0000	92.1180	179.52
60.8000	92.0451	179.57
61.5000	92.0614	179.62
62.2000	92.0820	179.22
63.0000	92.0420	178.71
64.0000	92.0008	178.43
65.0000	91.9837	177.92
66.0000	91.9400	177.51
67.0000	91.9326	177.15
