* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 26, 2020 2:12:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shure SE215 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	90.0514	-170.19
20.3000	90.0806	-170.37
20.6000	90.1173	-170.61
20.9000	90.1514	-170.94
21.2000	90.1766	-171.34
21.4000	90.1838	-171.60
21.8000	90.1793	-172.06
22.0000	90.1732	-172.23
22.4000	90.1709	-172.46
22.7000	90.1809	-172.58
23.0000	90.2014	-172.72
23.3000	90.2266	-172.93
23.6000	90.2464	-173.19
24.0000	90.2563	-173.55
24.3000	90.2553	-173.77
24.7000	90.2536	-173.97
25.0000	90.2598	-174.06
25.4000	90.2822	-174.23
25.8000	90.3067	-174.46
26.2000	90.3224	-174.76
26.5000	90.3271	-174.98
26.9000	90.3269	-175.21
27.2000	90.3287	-175.35
27.6000	90.3383	-175.52
28.0000	90.3503	-175.72
28.5000	90.3635	-176.03
29.0000	90.3714	-176.35
29.5000	90.3757	-176.71
30.0000	90.3631	-177.06
30.4000	90.3412	-177.27
30.7000	90.3234	-177.31
31.1000	90.3159	-177.26
31.5000	90.3390	-177.20
32.0000	90.3984	-177.31
32.5000	90.4541	-177.73
33.0000	90.4749	-178.24
33.5000	90.4690	-178.68
34.0000	90.4554	-179.00
34.5000	90.4432	-179.26
35.0000	90.4292	-179.40
35.5000	90.4299	-179.44
36.0000	90.4491	-179.54
36.5000	90.4560	-179.81
37.0000	90.4234	-179.98
37.5000	90.3874	-179.75
38.2000	90.4578	-179.12
38.7000	90.5823	-179.24
39.5000	90.6604	179.47
40.0000	90.5954	178.85
40.6000	90.5071	178.71
41.2000	90.4780	178.74
41.8000	90.4599	178.57
42.5000	90.4153	178.47
43.1000	90.4085	178.52
43.7000	90.4289	178.36
44.4000	90.4254	177.97
45.0000	90.4041	177.78
45.5000	90.4045	177.72
46.2000	90.4268	177.53
46.8000	90.4359	177.25
47.5000	90.4317	177.02
48.2000	90.4360	176.89
48.7000	90.4487	176.76
49.4000	90.4564	176.47
50.0000	90.4346	176.25
50.8000	90.4014	176.17
51.5000	90.4014	176.20
52.2000	90.4096	176.08
53.0000	90.4017	175.90
53.8000	90.3984	175.78
54.5000	90.3997	175.62
55.2000	90.3954	175.43
56.0000	90.3865	175.25
57.0000	90.3695	175.05
58.0000	90.3620	174.93
59.0000	90.3587	174.76
60.0000	90.3618	174.61
60.8000	90.3609	174.38
61.5000	90.3423	174.18
62.2000	90.3245	174.11
63.0000	90.3281	174.02
64.0000	90.3200	173.70
65.0000	90.2893	173.56
66.0000	90.2851	173.44
67.0000	90.2713	173.26
68.0000	90.2753	173.13
69.0000	90.2660	172.80
70.0000	90.2328	172.76
71.0000	90.2525	172.71
72.0000	90.2392	172.46
73.0000	90.2267	172.48
74.0000	90.2339	172.24
75.0000	90.1908	172.10
76.2000	90.2148	171.97
77.5000	90.1572	171.35
78.8000	90.1440	171.56
80.0000	90.1780	171.29
81.2000	90.1760	171.27
82.5000	90.1672	171.22
83.8000	90.1663	171.26
85.0000	90.0885	171.03
86.2000	90.1040	170.82
87.5000	89.9738	170.34
88.5000	90.1735	169.79
90.0000	89.6551	167.14
91.2000	89.8111	170.77
92.5000	90.0238	169.25
93.8000	90.0628	169.70
95.0000	90.0253	169.40
96.2000	90.0222	169.72
97.5000	89.9664	169.57
98.8000	89.9385	169.25
100.0000	89.8773	169.28
101.5000	89.9234	168.92
103.0000	89.9088	168.76
104.4000	89.9032	168.55
106.0000	89.8755	168.44
107.5000	89.8399	168.45
109.0000	89.8302	168.22
110.6000	89.8109	168.06
112.0000	89.7949	167.87
113.8000	89.7712	167.75
115.0000	89.7524	167.69
117.2000	89.7296	167.48
118.0000	89.7169	167.42
120.6000	89.6800	167.19
122.0000	89.6756	167.15
124.1000	89.6425	167.00
125.0000	89.6304	166.92
126.5000	89.5975	166.83
128.0000	89.5744	166.69
131.5000	89.5286	166.39
132.0000	89.5205	166.37
134.0000	89.4953	166.23
136.0000	89.4620	166.11
138.0000	89.4417	166.01
140.0000	89.4080	165.83
143.0000	89.3649	165.77
145.0000	89.3357	165.52
147.5000	89.2922	165.26
150.0000	89.2574	165.20
152.5000	89.2260	165.05
155.0000	89.1942	165.01
157.5000	89.1632	164.82
160.0000	89.1415	164.70
162.5000	89.1084	164.67
165.0000	89.0670	164.47
167.5000	89.0355	164.38
170.0000	89.0140	164.32
172.5000	88.9734	164.23
175.0000	88.9190	164.14
177.5000	88.8815	164.12
180.0000	88.8264	163.93
182.5000	88.7482	163.81
185.0000	88.6970	163.85
187.5000	88.6686	163.80
190.0000	88.6366	163.85
192.5000	88.5657	163.79
195.0000	88.5076	163.51
197.5000	88.5008	163.40
200.0000	88.4507	163.51
203.0000	88.3765	163.48
206.0000	88.3076	163.29
209.0000	88.2638	163.33
212.0000	88.2166	163.22
214.0000	88.1788	163.30
218.0000	88.1040	163.25
220.0000	88.0768	163.25
224.0000	88.0342	163.16
227.0000	87.9942	163.12
230.0000	87.9492	163.10
233.0000	87.9074	163.12
236.0000	87.8620	163.15
240.0000	87.7898	163.20
243.0000	87.7284	163.16
247.0000	87.6641	163.15
250.0000	87.6068	163.22
254.0000	87.5564	163.18
258.0000	87.4922	163.16
262.0000	87.4233	163.28
265.0000	87.3730	163.24
269.0000	87.3142	163.27
272.0000	87.2773	163.35
276.0000	87.1973	163.35
280.0000	87.1575	163.59
285.0000	87.0733	163.50
290.0000	87.0049	163.70
295.0000	86.9315	163.77
300.0000	86.8575	163.91
304.0000	86.8008	163.96
307.0000	86.7514	164.10
311.0000	86.7008	164.24
315.0000	86.6391	164.32
320.0000	86.5525	164.33
325.0000	86.4871	164.49
330.0000	86.4306	164.72
335.0000	86.3519	164.90
340.0000	86.2727	165.08
345.0000	86.1967	165.27
350.0000	86.1123	165.50
355.0000	86.0565	165.66
360.0000	85.9819	165.82
365.0000	85.9129	166.17
370.0000	85.8437	166.32
375.0000	85.7769	166.52
382.0000	85.6982	166.81
387.0000	85.6135	167.09
395.0000	85.5180	167.42
400.0000	85.4686	167.45
406.0000	85.3853	167.98
412.0000	85.3249	168.31
418.0000	85.2514	168.63
425.0000	85.1707	169.12
431.0000	85.1117	169.41
437.0000	85.0201	169.68
444.0000	84.9615	169.96
450.0000	84.8986	170.47
455.0000	84.8709	170.67
462.0000	84.7910	170.93
468.0000	84.7124	171.24
475.0000	84.6454	171.58
482.0000	84.5297	172.29
487.0000	84.4947	172.20
494.0000	84.4726	172.43
500.0000	84.4205	172.89
508.0000	84.3336	173.52
515.0000	84.2807	173.96
522.0000	84.2175	174.47
530.0000	84.1473	175.01
538.0000	84.0723	175.53
545.0000	84.0134	176.01
552.0000	83.9613	176.51
560.0000	83.8926	177.00
570.0000	83.8000	177.83
580.0000	83.7257	178.53
590.0000	83.6608	179.27
600.0000	83.5781	179.94
608.0000	83.5518	-179.51
615.0000	83.4974	-178.95
622.0000	83.4454	-178.35
630.0000	83.4021	-177.68
640.0000	83.3440	-176.97
650.0000	83.2807	-176.14
660.0000	83.2532	-175.43
670.0000	83.1953	-174.62
680.0000	83.1321	-173.79
690.0000	83.0826	-173.05
700.0000	83.0399	-172.13
710.0000	82.9878	-171.40
720.0000	82.9453	-170.49
730.0000	82.9226	-169.65
740.0000	82.8915	-168.79
750.0000	82.8449	-168.02
762.0000	82.8208	-166.97
775.0000	82.8106	-165.81
788.0000	82.7861	-164.79
800.0000	82.7485	-163.72
812.0000	82.7204	-162.68
825.0000	82.7234	-161.52
838.0000	82.7080	-160.44
850.0000	82.7007	-159.41
862.0000	82.7198	-158.38
875.0000	82.7167	-157.22
885.0000	82.7319	-156.31
900.0000	82.7705	-155.12
912.0000	82.7811	-154.03
925.0000	82.8134	-152.99
938.0000	82.8648	-151.95
950.0000	82.9053	-150.96
962.0000	82.9468	-150.01
975.0000	83.0042	-149.01
988.0000	83.0740	-147.98
1000.0000	83.2031	-146.90
1015.0000	83.1990	-146.11
1030.0000	83.2681	-145.09
1044.0000	83.3418	-144.16
1060.0000	83.4485	-143.27
1075.0000	83.5429	-142.36
1090.0000	83.6505	-141.60
1106.0000	83.7635	-140.76
1120.0000	83.8685	-140.11
1138.0000	84.0011	-139.38
1150.0000	84.0964	-138.81
1172.0000	84.2637	-138.14
1180.0000	84.3241	-137.84
1206.0000	84.5163	-137.10
1220.0000	84.6230	-136.71
1241.0000	84.7832	-136.27
1250.0000	84.8669	-136.06
1265.0000	84.9622	-135.82
1280.0000	85.0715	-135.59
1315.0000	85.2919	-135.16
1320.0000	85.3222	-135.14
1340.0000	85.4293	-134.90
1360.0000	85.5328	-134.52
1380.0000	85.6477	-134.26
1400.0000	85.7564	-134.19
1430.0000	85.8975	-134.20
1450.0000	85.9841	-134.12
1475.0000	86.0625	-133.93
1500.0000	86.1102	-133.57
1525.0000	86.1781	-133.04
1550.0000	86.2532	-132.37
1575.0000	86.3661	-131.69
1600.0000	86.4998	-130.96
1625.0000	86.6353	-130.26
1650.0000	86.8012	-129.63
1675.0000	86.9586	-129.12
1700.0000	87.1328	-128.61
1725.0000	87.3235	-128.25
1750.0000	87.5099	-128.01
1775.0000	87.6971	-127.76
1800.0000	87.8899	-127.62
1825.0000	88.0815	-127.60
1850.0000	88.2689	-127.59
1875.0000	88.4632	-127.75
1900.0000	88.6534	-127.99
1925.0000	88.8415	-128.23
1950.0000	89.0159	-128.61
1975.0000	89.1778	-129.12
2000.0000	89.2852	-129.94
2030.0000	89.5431	-130.38
2060.0000	89.7310	-131.20
2090.0000	89.8979	-132.14
2120.0000	90.0474	-133.20
2140.0000	90.1379	-133.92
2180.0000	90.2885	-135.49
2200.0000	90.3493	-136.32
2240.0000	90.4501	-138.20
2270.0000	90.4829	-139.82
2300.0000	90.4962	-141.66
2330.0000	90.5004	-143.46
2360.0000	90.4680	-145.28
2400.0000	90.4075	-147.30
2430.0000	90.3482	-148.52
2470.0000	90.2308	-149.89
2500.0000	90.1287	-150.78
2540.0000	89.9753	-151.90
2580.0000	89.8017	-152.79
2620.0000	89.6277	-153.52
2650.0000	89.4842	-153.96
2690.0000	89.3003	-154.42
2720.0000	89.1727	-154.68
2760.0000	88.9664	-154.82
2800.0000	88.7768	-155.01
2850.0000	88.5581	-154.78
2900.0000	88.3293	-154.65
2950.0000	88.1205	-154.09
3000.0000	87.9409	-153.21
3040.0000	87.8531	-152.99
3070.0000	87.7342	-152.64
3110.0000	87.6413	-151.86
3150.0000	87.5651	-151.35
3200.0000	87.4702	-150.53
3250.0000	87.3641	-149.64
3300.0000	87.2718	-149.04
3350.0000	87.2539	-147.91
3400.0000	87.2401	-147.23
3450.0000	87.2205	-146.44
3500.0000	87.2286	-145.34
3550.0000	87.2462	-144.86
3600.0000	87.3364	-143.71
3650.0000	87.4134	-143.31
3700.0000	87.4923	-142.69
3750.0000	87.6135	-141.93
3820.0000	87.7677	-140.71
3870.0000	87.8190	-140.34
3950.0000	88.1057	-139.70
4000.0000	88.2031	-139.38
4060.0000	88.3806	-138.35
4120.0000	88.6233	-137.53
4180.0000	88.9063	-137.25
4250.0000	89.3705	-136.89
4310.0000	89.8796	-136.62
4370.0000	90.3975	-137.75
4440.0000	90.9667	-139.61
4500.0000	91.5621	-141.68
4550.0000	91.8891	-143.71
4620.0000	92.5052	-148.67
4680.0000	92.7720	-152.95
4750.0000	93.0700	-158.62
4820.0000	93.1993	-165.41
4870.0000	93.2686	-170.19
4940.0000	92.9769	-175.90
5000.0000	92.7821	178.39
5080.0000	92.2199	172.84
5150.0000	91.5810	168.84
5220.0000	90.8501	164.39
5300.0000	90.0649	162.07
5380.0000	89.3018	159.70
5450.0000	88.6862	158.48
5520.0000	88.1005	157.06
5600.0000	87.3535	157.61
5700.0000	86.6958	157.57
5800.0000	85.9000	158.21
5900.0000	85.1920	157.53
6000.0000	84.4763	159.41
6080.0000	84.0718	160.68
6150.0000	83.8034	163.08
6220.0000	83.6186	165.44
6300.0000	83.4836	165.08
6400.0000	83.2786	167.65
6500.0000	82.9428	171.74
6600.0000	83.0569	172.26
6700.0000	82.9957	174.54
6800.0000	83.1467	177.27
6900.0000	83.0007	178.68
7000.0000	83.5223	-177.58
7100.0000	83.9600	-176.63
7200.0000	84.2436	-176.35
7300.0000	85.1135	-176.10
7400.0000	85.5698	-176.41
7500.0000	86.2948	-177.75
7620.0000	87.6711	178.91
7750.0000	89.2852	173.98
7880.0000	90.1865	161.64
8000.0000	90.8426	146.48
8120.0000	90.9020	130.17
8250.0000	89.1108	114.95
8380.0000	87.3027	105.28
8500.0000	86.1041	99.76
8620.0000	84.1936	101.21
8750.0000	82.7402	100.43
8850.0000	82.0643	96.22
9000.0000	80.3296	96.02
9120.0000	79.6344	103.20
9250.0000	78.7554	105.24
9380.0000	77.6493	103.03
9500.0000	77.5354	102.31
9620.0000	77.2579	110.57
9750.0000	76.7061	112.99
9880.0000	75.9058	113.09
10000.0000	76.0815	111.50
10150.0000	76.9221	117.96
10300.0000	77.2405	117.04
10440.0000	76.9402	119.42
10600.0000	78.2021	123.19
10750.0000	80.2190	113.85
10900.0000	81.7979	102.97
11060.0000	82.5022	86.87
11200.0000	82.2838	63.04
11380.0000	80.5643	31.92
11500.0000	78.5712	31.51
11720.0000	73.7662	22.82
11800.0000	73.7733	14.98
12060.0000	70.7994	21.12
12200.0000	67.7918	15.37
12410.0000	65.8398	14.08
12500.0000	64.8571	26.44
12650.0000	65.4477	30.44
12800.0000	64.7016	29.54
13150.0000	63.5619	37.79
13200.0000	61.3239	24.88
13400.0000	62.7393	32.36
13600.0000	59.7067	34.46
13800.0000	59.1742	40.08
14000.0000	60.6748	34.10
14300.0000	60.6529	55.45
14500.0000	60.8708	57.46
14750.0000	60.6576	34.16
15000.0000	60.7515	36.71
15250.0000	64.9965	39.50
15500.0000	64.2784	21.87
15750.0000	69.0926	6.30
16000.0000	68.1316	-6.23
16250.0000	65.8126	-39.29
16500.0000	58.9825	-84.02
16750.0000	59.2615	-63.37
17000.0000	56.7934	-67.10
17250.0000	51.3338	-103.84
17500.0000	53.2673	-71.33
17750.0000	51.0401	-75.59
18000.0000	46.5914	-114.74
18250.0000	51.0464	-83.34
18500.0000	51.0443	-95.97
18750.0000	45.2694	-89.71
19000.0000	52.7181	-132.65
19250.0000	51.1147	-170.41
19500.0000	52.1352	-165.36
19750.0000	53.9655	-135.74
