* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jun 22, 2021 6:55:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Manual R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.299088	-152.5613
20.299999	88.356834	-153.1011
20.600000	88.409950	-153.6239
20.900000	88.458359	-154.1246
21.200001	88.506790	-154.6264
21.400000	88.536682	-154.9612
21.799999	88.588837	-155.6181
22.000000	88.611679	-155.9390
22.400000	88.655144	-156.5704
22.700001	88.684456	-156.9939
23.000000	88.715622	-157.3786
23.299999	88.753677	-157.7587
23.600000	88.796066	-158.1511
24.000000	88.854111	-158.7243
24.299999	88.895538	-159.2005
24.700001	88.943634	-159.8618
25.000000	88.974838	-160.3544
25.400000	89.015961	-161.0116
25.799999	89.054260	-161.6701
26.200001	89.086403	-162.3587
26.500000	89.102798	-162.8777
26.900000	89.111084	-163.4991
27.200001	89.113297	-163.8805
27.600000	89.123322	-164.2690
28.000000	89.148819	-164.5870
28.500000	89.202438	-165.0513
29.000000	89.256119	-165.6385
29.500000	89.294662	-166.2857
30.000000	89.313988	-166.8782
30.400000	89.322685	-167.2973
30.700001	89.326004	-167.5659
31.100000	89.330811	-167.8661
31.500000	89.343262	-168.1260
32.000000	89.373520	-168.4838
32.500000	89.405258	-169.0401
33.000000	89.396286	-169.7256
33.500000	89.334183	-170.2125
34.000000	89.273369	-170.1926
34.500000	89.300026	-169.9197
35.000000	89.415161	-170.0143
35.500000	89.530556	-170.8344
36.000000	89.560265	-172.0373
36.500000	89.504639	-173.0486
37.000000	89.434120	-173.5754
37.500000	89.406723	-173.8408
38.200001	89.421082	-174.3371
38.700001	89.430687	-174.8145
39.500000	89.445160	-175.5472
40.000000	89.453331	-176.0279
40.599998	89.444931	-176.6019
41.200001	89.431107	-177.0060
41.799999	89.439133	-177.3450
42.500000	89.450729	-177.9102
43.099998	89.429626	-178.4063
43.700001	89.402451	-178.7086
44.400002	89.399826	-178.9903
45.000000	89.407814	-179.3790
45.500000	89.403107	-179.7639
46.200001	89.382111	179.7724
46.799999	89.369675	179.4498
47.500000	89.371857	179.0469
48.200001	89.378128	178.5229
48.700001	89.372665	178.0634
49.400002	89.338058	177.4542
50.000000	89.292633	177.1003
50.799999	89.253349	176.7969
51.500000	89.240677	176.5705
52.200001	89.236649	176.2954
53.000000	89.238083	175.8897
53.799999	89.230324	175.3623
54.500000	89.202629	174.8916
55.200001	89.168030	174.5092
56.000000	89.133972	174.1577
57.000000	89.107178	173.7442
58.000000	89.085175	173.2059
59.000000	89.031570	172.7628
60.000000	89.014336	172.5528
60.799999	89.006325	172.1605
61.500000	88.973457	171.8307
62.200001	88.943405	171.6365
63.000000	88.923004	171.3470
64.000000	88.863747	170.9257
65.000000	88.820221	170.7797
66.000000	88.800003	170.3066
67.000000	88.721397	169.9066
68.000000	88.691132	169.7146
69.000000	88.638824	169.2675
70.000000	88.600945	169.3273
71.000000	88.638237	168.8898
72.000000	88.583473	168.3263
73.000000	88.544785	168.0791
74.000000	88.499390	167.7706
75.000000	88.466316	167.5013
76.199997	88.376945	167.2084
77.500000	88.380341	167.1979
78.800003	88.341331	166.5939
80.000000	88.317780	166.1951
81.199997	88.263084	165.9299
82.500000	88.271332	165.4507
83.800003	88.164070	165.0007
85.000000	88.102089	165.0091
86.199997	88.052002	164.9861
87.500000	88.009323	164.6857
88.500000	87.943092	164.5179
90.000000	87.907875	164.2643
91.199997	87.841148	163.8496
92.500000	87.805389	163.7585
93.800003	87.765617	163.3064
95.000000	87.706070	163.2575
96.199997	87.680817	163.0586
97.500000	87.600449	162.9407
98.800003	87.578308	162.9386
100.000000	87.512711	162.5959
101.500000	87.462852	162.6158
103.000000	87.394508	162.2416
104.400002	87.354073	162.0758
106.000000	87.294342	161.7945
107.500000	87.219559	161.6724
109.000000	87.204956	161.5943
110.599998	87.132454	161.4577
112.000000	87.089622	161.3648
113.800003	87.020950	161.2629
115.000000	86.979576	161.2369
117.199997	86.895142	160.8742
118.000000	86.861168	160.8823
120.599998	86.789757	160.7692
122.000000	86.765533	160.6040
124.099998	86.662613	160.5279
125.000000	86.639885	160.4629
126.500000	86.534958	160.5981
128.000000	86.534164	160.8351
131.500000	86.386909	160.3039
132.000000	86.358894	160.5060
134.000000	86.347931	160.5475
136.000000	86.298538	160.2540
138.000000	86.195541	160.5462
140.000000	86.180283	160.6064
143.000000	86.088318	160.3859
145.000000	85.990921	160.3381
147.500000	85.931549	160.5004
150.000000	85.881744	160.4161
152.500000	85.780518	160.4745
155.000000	85.737038	160.5482
157.500000	85.699135	160.5568
160.000000	85.586540	160.7470
162.500000	85.518509	160.7700
165.000000	85.516663	160.7312
167.500000	85.463028	160.8984
170.000000	85.393227	161.0322
172.500000	85.335228	161.0367
175.000000	85.246986	161.0382
177.500000	85.191605	161.1317
180.000000	85.159340	161.2311
182.500000	85.064194	161.2739
185.000000	85.051743	161.8026
187.500000	84.975090	161.5527
190.000000	84.900993	162.0463
192.500000	84.825920	162.1728
195.000000	84.772934	162.1961
197.500000	84.755325	162.2211
200.000000	84.683395	162.4120
203.000000	84.605965	162.7037
206.000000	84.557304	162.9651
209.000000	84.491081	163.2478
212.000000	84.443924	163.4707
214.000000	84.377441	163.5740
218.000000	84.345818	163.8009
220.000000	84.301315	164.0825
224.000000	84.246353	164.3249
227.000000	84.203293	164.4695
230.000000	84.188232	164.7554
233.000000	84.164322	165.0043
236.000000	84.091515	165.1518
240.000000	84.074631	165.4899
243.000000	84.012619	165.7589
247.000000	84.046844	165.9582
250.000000	83.930954	166.3794
254.000000	83.896606	166.4958
258.000000	83.832748	166.7966
262.000000	83.783661	167.1255
265.000000	83.740845	167.3163
269.000000	83.696808	167.5361
272.000000	83.666534	167.7876
276.000000	83.646439	167.9267
280.000000	83.583847	168.3411
285.000000	83.575150	168.5867
290.000000	83.518677	168.9517
295.000000	83.476295	169.5547
300.000000	83.445923	169.8362
304.000000	83.417931	170.2551
307.000000	83.397141	170.4009
311.000000	83.378128	170.8421
315.000000	83.338547	170.9542
320.000000	83.299316	171.2679
325.000000	83.288696	171.6747
330.000000	83.233101	172.0557
335.000000	83.227196	172.2796
340.000000	83.209900	172.4472
345.000000	83.177208	172.7814
350.000000	83.173141	173.1596
355.000000	83.119324	173.4499
360.000000	83.107384	173.6730
365.000000	83.072266	174.0721
370.000000	83.055481	174.3774
375.000000	83.012032	174.5279
382.000000	83.018852	175.3490
387.000000	82.986847	175.5427
395.000000	82.958504	176.0391
400.000000	82.985336	176.3669
406.000000	82.959862	176.6585
412.000000	82.934044	177.5331
418.000000	82.962601	178.1851
425.000000	82.882675	178.3058
431.000000	82.897034	178.5902
437.000000	82.918091	179.0652
444.000000	82.893295	179.4240
450.000000	82.960640	-179.7993
455.000000	82.918137	-179.6021
462.000000	82.953415	-179.6049
468.000000	82.903618	-179.3252
475.000000	82.908386	-178.6908
482.000000	82.873528	-178.3791
487.000000	82.992188	-178.4902
494.000000	82.938080	-178.1668
500.000000	82.838097	-177.9972
508.000000	82.873398	-177.8383
515.000000	82.858658	-177.5321
522.000000	82.849991	-177.2871
530.000000	82.852707	-176.9927
538.000000	82.839684	-176.7340
545.000000	82.834061	-176.5257
552.000000	82.839439	-176.2717
560.000000	82.773895	-176.3729
570.000000	82.737770	-175.0873
580.000000	82.756340	-174.5296
590.000000	82.752731	-174.2977
600.000000	82.757462	-173.8556
608.000000	82.748032	-173.5456
615.000000	82.742172	-173.3806
622.000000	82.732239	-173.1637
630.000000	82.727097	-172.8175
640.000000	82.726067	-172.6547
650.000000	82.715096	-172.3332
660.000000	82.697289	-171.9733
670.000000	82.682419	-171.6008
680.000000	82.675972	-171.1827
690.000000	82.676857	-170.8231
700.000000	82.662483	-170.3642
710.000000	82.637985	-169.7894
720.000000	82.623108	-169.3449
730.000000	82.622620	-168.9210
740.000000	82.606216	-168.4247
750.000000	82.592285	-167.9148
762.000000	82.575806	-167.3072
775.000000	82.564636	-166.7361
788.000000	82.557327	-166.0281
800.000000	82.527512	-165.5049
812.000000	82.520592	-165.0899
825.000000	82.503090	-164.4542
838.000000	82.483582	-163.7543
850.000000	82.504234	-163.1167
862.000000	82.506805	-162.4485
875.000000	82.501030	-161.6405
885.000000	82.508293	-160.9668
900.000000	82.517105	-160.1609
912.000000	82.549332	-159.3729
925.000000	82.571205	-158.5866
938.000000	82.605125	-157.8229
950.000000	82.628647	-157.1747
962.000000	82.647881	-156.6237
975.000000	82.693192	-155.9817
988.000000	82.753227	-155.1477
1000.000000	82.850739	-154.6886
1015.000000	82.825859	-154.1355
1030.000000	82.861214	-153.5234
1044.000000	82.912292	-152.9659
1060.000000	82.985657	-152.2431
1075.000000	83.054993	-151.5031
1090.000000	83.154610	-150.8349
1106.000000	83.231331	-150.1792
1120.000000	83.300262	-149.6552
1138.000000	83.394058	-149.0208
1150.000000	83.485130	-148.5560
1172.000000	83.616608	-147.8039
1180.000000	83.648087	-147.6884
1206.000000	83.777390	-147.1194
1220.000000	83.853363	-146.9330
1241.000000	83.978256	-146.5502
1250.000000	84.018326	-146.3599
1265.000000	84.103828	-145.9865
1280.000000	84.174103	-145.6279
1315.000000	84.348717	-144.8709
1320.000000	84.384842	-144.7322
1340.000000	84.481110	-144.2617
1360.000000	84.563095	-143.8951
1380.000000	84.654129	-143.3720
1400.000000	84.759239	-142.8984
1430.000000	84.891846	-142.2111
1450.000000	84.971405	-141.6892
1475.000000	85.104057	-141.0170
1500.000000	85.228058	-140.1538
1525.000000	85.359894	-139.4464
1550.000000	85.481491	-138.7714
1575.000000	85.599373	-138.0689
1600.000000	85.748535	-137.4901
1625.000000	85.897713	-136.8383
1650.000000	86.039108	-136.3026
1675.000000	86.197563	-135.6823
1700.000000	86.369408	-134.9597
1725.000000	86.523315	-134.5077
1750.000000	86.685249	-133.8670
1775.000000	86.866516	-133.3621
1800.000000	87.039558	-132.9474
1825.000000	87.205322	-132.4954
1850.000000	87.412628	-132.1316
1875.000000	87.587692	-131.8212
1900.000000	87.790588	-131.8028
1925.000000	87.963104	-131.7997
1950.000000	88.156860	-131.9601
1975.000000	88.330757	-131.8927
2000.000000	88.465462	-132.0818
2030.000000	88.787407	-131.6299
2060.000000	89.032722	-131.6716
2090.000000	89.237061	-132.0358
2120.000000	89.469864	-132.2834
2140.000000	89.622650	-132.4425
2180.000000	89.918022	-133.0254
2200.000000	90.056213	-133.2153
2240.000000	90.308914	-134.3655
2270.000000	90.488693	-135.5042
2300.000000	90.652054	-136.6126
2330.000000	90.835121	-137.9712
2360.000000	90.949142	-139.5810
2400.000000	91.102966	-141.6676
2430.000000	91.228577	-143.0955
2470.000000	91.338577	-144.7815
2500.000000	91.411911	-146.0677
2540.000000	91.474304	-147.7504
2580.000000	91.527855	-149.4507
2620.000000	91.551071	-151.0405
2650.000000	91.566635	-152.1235
2690.000000	91.575760	-153.5738
2720.000000	91.577118	-154.7654
2760.000000	91.548904	-155.9076
2800.000000	91.510223	-157.0225
2850.000000	91.505829	-157.8386
2900.000000	91.485466	-158.4157
2950.000000	91.437943	-159.3459
3000.000000	91.387344	-159.5420
3040.000000	91.375809	-160.0309
3070.000000	91.368309	-159.9910
3110.000000	91.358025	-160.2153
3150.000000	91.352303	-160.3437
3200.000000	91.277664	-160.7620
3250.000000	91.267723	-161.3924
3300.000000	91.226357	-161.5841
3350.000000	91.210754	-162.7665
3400.000000	91.142693	-163.2711
3450.000000	91.104485	-164.0676
3500.000000	91.084946	-164.5493
3550.000000	91.045212	-164.6759
3600.000000	91.021713	-165.8953
3650.000000	90.918549	-166.3096
3700.000000	90.883377	-167.0241
3750.000000	90.790291	-167.9212
3820.000000	90.719910	-169.6929
3870.000000	90.601570	-170.2528
3950.000000	90.329300	-172.3886
4000.000000	89.985733	-173.3568
4060.000000	88.987961	-161.6676
4120.000000	90.937866	-172.5287
4180.000000	90.522232	-174.9411
4250.000000	90.208839	-176.4665
4310.000000	89.898773	-177.7404
4370.000000	90.060905	-168.4082
4440.000000	90.478661	-176.8319
4500.000000	90.184380	-178.3818
4550.000000	90.214920	-178.3800
4620.000000	89.927292	-178.7987
4680.000000	89.924820	-178.2142
4750.000000	89.862762	-178.5830
4820.000000	89.682747	-178.8462
4870.000000	89.616859	-179.5777
4940.000000	89.661209	-179.3856
5000.000000	89.493050	179.4146
5080.000000	89.451302	178.7382
5150.000000	89.420929	179.3369
5220.000000	89.280708	-179.9882
5300.000000	89.307098	178.9504
5380.000000	89.179909	178.6545
5450.000000	89.063179	178.4927
5520.000000	88.880829	178.0061
5600.000000	88.848274	178.3706
5700.000000	88.691132	177.1376
5800.000000	88.536407	176.8062
5900.000000	88.258751	176.8796
6000.000000	88.096214	176.6180
6080.000000	87.919449	175.2534
6150.000000	87.977219	174.2166
6220.000000	87.807961	172.2728
6300.000000	87.459412	171.5826
6400.000000	87.262489	170.2320
6500.000000	87.356705	170.8818
6600.000000	86.823990	170.0471
6700.000000	86.636162	170.7534
6800.000000	86.604408	170.5794
6900.000000	86.519913	173.0362
7000.000000	86.471558	172.3262
7100.000000	86.445656	173.9001
7200.000000	86.315475	175.5273
7300.000000	86.206894	173.1572
7400.000000	86.157616	175.7916
7500.000000	86.384300	175.4369
7620.000000	86.373749	174.8483
7750.000000	86.711090	169.3981
7880.000000	86.809265	170.5700
8000.000000	86.676788	167.9796
8120.000000	86.913231	163.7209
8250.000000	86.473030	164.1169
8380.000000	86.049393	162.5248
8500.000000	85.605949	159.6132
8620.000000	85.834869	160.4633
8750.000000	85.614777	158.4084
8850.000000	84.676704	159.2812
9000.000000	84.398056	161.9196
9120.000000	84.777687	159.2215
9250.000000	84.339897	159.2239
9380.000000	84.318062	165.5135
9500.000000	83.583206	162.7706
9620.000000	84.075935	160.4779
9750.000000	84.203583	158.4168
9880.000000	83.647606	160.8621
10000.000000	83.262619	163.1798
10150.000000	83.227890	156.3054
10300.000000	82.213852	156.2723
10440.000000	82.938652	161.1386
10600.000000	83.218956	154.8322
10750.000000	81.895660	151.2930
10900.000000	81.776398	153.0076
11060.000000	82.249008	156.2336
11200.000000	82.151611	152.4784
11380.000000	80.680428	143.9817
11500.000000	79.869034	138.4078
11720.000000	80.838066	145.4462
11800.000000	78.935135	139.6270
12060.000000	79.460342	134.2310
12200.000000	78.262062	141.1356
12410.000000	77.177124	134.4055
12500.000000	78.026489	135.2976
12650.000000	77.371284	128.6581
12800.000000	77.019066	135.3892
13150.000000	79.030632	136.9990
13200.000000	78.498230	149.0174
13400.000000	78.329422	123.6888
13600.000000	78.467812	139.7344
13800.000000	78.887337	138.8467
14000.000000	76.489319	124.7540
14300.000000	80.620667	116.7949
14500.000000	80.386841	113.8768
14750.000000	78.643707	110.8067
15000.000000	79.865829	102.4273
15250.000000	79.765472	46.3234
15500.000000	77.763512	34.6432
15750.000000	76.551208	-12.3098
16000.000000	68.545616	-12.9185
16250.000000	69.647507	-178.5675
16500.000000	78.494987	-172.2378
16750.000000	68.397552	103.3623
17000.000000	81.302277	-74.5625
17250.000000	80.893806	37.6152
17500.000000	72.893356	124.3438
17750.000000	79.029816	110.1465
18000.000000	77.023659	23.7617
18250.000000	67.780357	-158.9219
18500.000000	68.425751	20.2734
18750.000000	75.984253	132.1758
19000.000000	70.077431	-82.2969
19250.000000	72.461456	-118.7773
19500.000000	65.506119	-174.3359
19750.000000	65.854279	53.9883
