* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Sep 11, 2020 10:16:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 30 Ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.845291	144.4881
20.299999	100.805099	144.0725
20.600000	100.765343	143.6539
20.900000	100.723610	143.2328
21.200001	100.682877	142.7958
21.400000	100.654381	142.5031
21.799999	100.594727	141.9233
22.000000	100.564857	141.6290
22.400000	100.508301	140.9957
22.700001	100.462280	140.5058
23.000000	100.411148	140.0088
23.299999	100.356369	139.5129
23.600000	100.296730	139.0468
24.000000	100.212578	138.4928
24.299999	100.151688	138.1219
24.700001	100.076828	137.6755
25.000000	100.025864	137.3589
25.400000	99.966110	136.9322
25.799999	99.910614	136.5190
26.200001	99.861343	136.1035
26.500000	99.829346	135.7753
26.900000	99.788918	135.3118
27.200001	99.757950	134.9296
27.600000	99.711258	134.3843
28.000000	99.651520	133.8413
28.500000	99.564728	133.2238
29.000000	99.476250	132.7194
29.500000	99.396713	132.2568
30.000000	99.317749	131.7864
30.400000	99.252190	131.3986
30.700001	99.200584	131.1249
31.100000	99.132706	130.7767
31.500000	99.068932	130.4178
32.000000	98.989807	129.9282
32.500000	98.905106	129.3821
33.000000	98.809738	128.8533
33.500000	98.710175	128.3710
34.000000	98.612877	127.9253
34.500000	98.522835	127.4688
35.000000	98.431870	127.0174
35.500000	98.341461	126.5875
36.000000	98.253860	126.1791
36.500000	98.167656	125.7525
37.000000	98.078812	125.3297
37.500000	97.989891	124.9341
38.200001	97.868484	124.4107
38.700001	97.780685	124.0045
39.500000	97.624054	123.3876
40.000000	97.522133	123.1158
40.599998	97.414307	122.8477
41.200001	97.324310	122.5015
41.799999	97.230995	122.0257
42.500000	97.098763	121.4585
43.099998	96.980354	121.0635
43.700001	96.870529	120.7059
44.400002	96.746231	120.2644
45.000000	96.636993	119.8925
45.500000	96.546181	119.6076
46.200001	96.419586	119.2565
46.799999	96.314255	118.9855
47.500000	96.199066	118.6555
48.200001	96.079483	118.2623
48.700001	95.984390	117.9634
49.400002	95.841965	117.6320
50.000000	95.722130	117.4266
50.799999	95.579346	117.1090
51.500000	95.456444	116.8041
52.200001	95.329376	116.4872
53.000000	95.182152	116.1610
53.799999	95.042389	115.8878
54.500000	94.923378	115.6259
55.200001	94.798981	115.3634
56.000000	94.652809	115.1443
57.000000	94.476494	114.9169
58.000000	94.299545	114.6902
59.000000	94.120392	114.4625
60.000000	93.939423	114.2539
60.799999	93.792046	114.1133
61.500000	93.670441	114.0113
62.200001	93.554726	113.8877
63.000000	93.420822	113.7165
64.000000	93.246025	113.5325
65.000000	93.075294	113.4191
66.000000	92.902725	113.3135
67.000000	92.732697	113.2649
68.000000	92.567413	113.1965
69.000000	92.403732	113.1410
70.000000	92.237679	113.0714
71.000000	92.067375	113.0955
72.000000	91.916763	113.1489
73.000000	91.756920	113.1589
74.000000	91.605202	113.2639
75.000000	91.447334	113.2743
76.199997	91.260109	113.4894
77.500000	91.068405	113.5015
78.800003	90.872299	113.7203
80.000000	90.704865	113.7592
81.199997	90.526192	113.9722
82.500000	90.341797	114.2165
83.800003	90.166656	114.5817
85.000000	89.983002	114.7472
86.199997	89.805389	115.2548
87.500000	89.627235	115.2534
88.500000	89.459641	115.4232
90.000000	89.140747	115.6302
91.199997	89.047974	117.0546
92.500000	88.986526	116.4284
93.800003	88.764359	117.1258
95.000000	88.703018	117.3846
96.199997	88.536827	117.4674
97.500000	88.337761	118.1699
98.800003	88.219650	118.9107
100.000000	88.092567	119.3287
101.500000	87.903053	119.7611
103.000000	87.762215	120.8143
104.400002	87.603889	120.6849
106.000000	87.450951	121.9580
107.500000	87.274338	122.0778
109.000000	87.164108	123.1096
110.599998	86.995491	123.6150
112.000000	86.882362	124.4297
113.800003	86.740250	124.9956
115.000000	86.568443	125.5718
117.199997	86.545433	126.3388
118.000000	86.372238	126.4139
120.599998	86.237000	128.1060
122.000000	86.127609	128.9508
124.099998	85.949127	129.5663
125.000000	85.854805	130.3782
126.500000	85.850288	131.0497
128.000000	85.659149	131.6338
131.500000	85.471153	132.8864
132.000000	85.417389	133.5775
134.000000	85.429329	134.6030
136.000000	85.354088	135.4395
138.000000	85.207954	136.0166
140.000000	85.151108	137.3922
143.000000	85.050537	138.6106
145.000000	84.974518	139.2805
147.500000	84.861694	140.8259
150.000000	84.800552	141.1176
152.500000	84.689796	142.7322
155.000000	84.668655	143.3478
157.500000	84.597946	144.5679
160.000000	84.595032	145.2450
162.500000	84.520699	146.2958
165.000000	84.508568	147.1219
167.500000	84.459602	148.1429
170.000000	84.470505	148.7208
172.500000	84.384850	149.5161
175.000000	84.299995	150.7014
177.500000	84.373627	151.5775
180.000000	84.300713	151.5266
182.500000	84.212784	152.7158
185.000000	84.188889	153.3009
187.500000	84.180458	154.2486
190.000000	84.179817	154.8259
192.500000	84.150085	155.4427
195.000000	84.147766	155.9778
197.500000	84.159218	156.4557
200.000000	84.155045	156.9438
203.000000	84.087410	157.5315
206.000000	84.059830	158.3124
209.000000	84.091431	158.9459
212.000000	84.060944	159.4088
214.000000	84.070274	159.9460
218.000000	84.096954	160.8842
220.000000	84.096741	161.6332
224.000000	84.048965	161.9256
227.000000	84.070473	162.6262
230.000000	84.045204	163.1038
233.000000	83.988396	163.7312
236.000000	84.014404	164.2498
240.000000	84.007523	164.2655
243.000000	84.003922	165.0202
247.000000	84.045532	165.4469
250.000000	84.032730	166.0209
254.000000	83.999008	166.7620
258.000000	84.033134	167.1812
262.000000	83.998405	167.6829
265.000000	83.985237	168.1204
269.000000	83.983398	168.4224
272.000000	83.980751	168.9646
276.000000	83.954910	169.1569
280.000000	83.968430	169.7194
285.000000	83.967247	170.1926
290.000000	83.950043	170.7705
295.000000	83.935333	171.2803
300.000000	83.922394	171.8284
304.000000	83.916931	172.2767
307.000000	83.897751	172.5348
311.000000	83.894791	172.9201
315.000000	83.881004	173.2563
320.000000	83.870781	173.7007
325.000000	83.862648	174.1508
330.000000	83.836472	174.5815
335.000000	83.831863	175.0514
340.000000	83.811539	175.4833
345.000000	83.802567	175.8300
350.000000	83.785820	176.3251
355.000000	83.765442	176.7578
360.000000	83.743912	177.1390
365.000000	83.725754	177.6200
370.000000	83.709023	177.9459
375.000000	83.702087	178.2542
382.000000	83.677086	178.8184
387.000000	83.661751	179.2194
395.000000	83.640602	179.8155
400.000000	83.622528	-179.8466
