* Measurement data measured by REW V5.20 Beta 60
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Sep 17, 2022 10:31:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ThieAudio Monarch II R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.706	-171.8092
20.299999	90.701	-172.3284
20.600000	90.697	-172.7908
20.900000	90.698	-173.2100
21.200001	90.710	-173.6460
21.400000	90.720	-173.9525
21.799999	90.737	-174.5805
22.000000	90.742	-174.9043
22.400000	90.746	-175.5926
22.700001	90.745	-176.0551
23.000000	90.746	-176.4716
23.299999	90.751	-176.8914
23.600000	90.761	-177.3112
24.000000	90.772	-177.8924
24.299999	90.776	-178.3585
24.700001	90.773	-178.9751
25.000000	90.766	-179.3910
25.400000	90.756	-179.8726
25.799999	90.750	179.7033
26.200001	90.754	179.2826
26.500000	90.761	178.9483
26.900000	90.768	178.4775
27.200001	90.769	178.1014
27.600000	90.765	177.5901
28.000000	90.752	177.1155
28.500000	90.732	176.5782
29.000000	90.717	176.1252
29.500000	90.713	175.6733
30.000000	90.713	175.1777
30.400000	90.712	174.7221
30.700001	90.706	174.3749
31.100000	90.693	173.9214
31.500000	90.677	173.4823
32.000000	90.655	172.9761
32.500000	90.632	172.4780
33.000000	90.609	172.0279
33.500000	90.587	171.6153
34.000000	90.570	171.2146
34.500000	90.558	170.7819
35.000000	90.539	170.3269
35.500000	90.515	169.8741
36.000000	90.490	169.4559
36.500000	90.464	169.0378
37.000000	90.434	168.6154
37.500000	90.402	168.2206
38.200001	90.360	167.7145
38.700001	90.335	167.3328
39.500000	90.288	166.7230
40.000000	90.263	166.3964
40.599998	90.249	165.9433
41.200001	90.227	165.3444
41.799999	90.172	164.8013
42.500000	90.114	164.5230
43.099998	90.114	164.3082
43.700001	90.118	163.7751
44.400002	90.061	163.0815
45.000000	89.991	162.8136
