* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jun 28, 2020 11:12:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tipsy Dunmer R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	95.8913	-167.30
20.3000	95.9153	-167.77
20.6000	95.9355	-168.24
20.9000	95.9505	-168.67
21.2000	95.9653	-169.09
21.4000	95.9746	-169.35
21.8000	95.9950	-169.83
22.0000	96.0083	-170.06
22.4000	96.0455	-170.57
22.7000	96.0745	-171.00
23.0000	96.0995	-171.47
23.3000	96.1179	-171.98
23.6000	96.1254	-172.48
24.0000	96.1199	-173.08
24.3000	96.1132	-173.44
24.7000	96.1127	-173.81
25.0000	96.1243	-174.06
25.4000	96.1558	-174.47
25.8000	96.1853	-175.00
26.2000	96.1945	-175.62
26.5000	96.1850	-176.04
26.9000	96.1592	-176.43
27.2000	96.1470	-176.59
27.6000	96.1604	-176.71
28.0000	96.2058	-176.95
28.5000	96.2689	-177.63
29.0000	96.2760	-178.57
29.5000	96.2176	-179.36
30.0000	96.1437	-179.69
30.4000	96.1181	-179.73
30.7000	96.1235	-179.77
31.1000	96.1486	-179.97
31.5000	96.1716	179.65
32.0000	96.1723	179.07
32.5000	96.1515	178.58
33.0000	96.1316	178.25
33.5000	96.1246	177.98
34.0000	96.1309	177.73
34.5000	96.1577	177.44
35.0000	96.1993	177.06
35.5000	96.2408	176.49
36.0000	96.2595	175.79
36.5000	96.2454	175.08
37.0000	96.2060	174.49
37.5000	96.1577	174.08
38.2000	96.0990	173.82
38.7000	96.0856	173.78
39.5000	96.1320	173.54
40.0000	96.1622	173.08
40.6000	96.1482	172.38
41.2000	96.0943	171.93
41.8000	96.0612	171.77
42.5000	96.0706	171.52
43.1000	96.0739	171.06
43.7000	96.0509	170.62
44.4000	96.0217	170.27
45.0000	96.0157	169.99
45.5000	96.0143	169.68
46.2000	95.9991	169.21
46.8000	95.9790	168.85
47.5000	95.9587	168.45
48.2000	95.9361	168.08
48.7000	95.9208	167.82
49.4000	95.9058	167.48
50.0000	95.8922	167.17
50.8000	95.8720	166.71
51.5000	95.8513	166.36
52.2000	95.8286	166.04
53.0000	95.8080	165.73
53.8000	95.7982	165.34
54.5000	95.7599	164.90
55.2000	95.6987	164.72
56.0000	95.6892	164.76
57.0000	95.7193	164.05
58.0000	95.6132	163.27
59.0000	95.5499	163.27
60.0000	95.5648	162.83
60.8000	95.5288	162.39
61.5000	95.5149	162.18
62.2000	95.5243	161.80
63.0000	95.4914	161.18
64.0000	95.4192	160.81
65.0000	95.3892	160.47
66.0000	95.3388	160.08
67.0000	95.3119	159.74
68.0000	95.2701	159.24
69.0000	95.2283	158.92
70.0000	95.1992	158.55
71.0000	95.1524	158.23
72.0000	95.1184	158.04
73.0000	95.0947	157.80
74.0000	95.0831	157.43
75.0000	95.0427	156.86
76.2000	94.9700	156.43
77.5000	94.9377	156.11
78.8000	94.9168	155.58
80.0000	94.8580	155.29
81.2000	94.8322	155.01
82.5000	94.7189	154.49
83.8000	94.6683	154.58
85.0000	94.6290	153.57
86.2000	94.5828	153.63
87.5000	94.5917	152.35
88.5000	94.6228	153.47
90.0000	94.9100	149.55
91.2000	94.2850	150.49
92.5000	94.4682	151.75
93.8000	94.2972	151.80
95.0000	94.2852	151.68
96.2000	94.1906	151.35
