* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2021 5:28:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UE LIVE To-Go L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.292084	-176.6940
20.299999	93.245956	-176.6638
20.600000	93.223068	-176.3880
20.900000	93.244537	-176.0080
21.200001	93.317764	-175.7928
21.400000	93.377365	-175.8535
21.799999	93.477570	-176.4491
22.000000	93.498459	-176.9174
22.400000	93.460732	-177.9031
22.700001	93.374474	-178.3619
23.000000	93.279808	-178.4063
23.299999	93.223366	-178.1428
23.600000	93.222412	-177.8009
24.000000	93.294800	-177.6384
24.299999	93.364365	-177.9205
24.700001	93.420113	-178.7221
25.000000	93.417442	-179.4115
25.400000	93.372604	179.8155
25.799999	93.317749	179.3174
26.200001	93.278961	178.9573
26.500000	93.257401	178.7102
26.900000	93.228592	178.4691
27.200001	93.215790	178.4144
27.600000	93.238541	178.4902
28.000000	93.324409	178.4519
28.500000	93.470154	177.6811
29.000000	93.514130	176.1793
29.500000	93.381020	174.8806
30.000000	93.166557	174.8397
30.400000	93.074234	175.6661
30.700001	93.089775	176.3997
31.100000	93.188278	176.9570
31.500000	93.293793	176.8705
32.000000	93.336136	176.3312
32.500000	93.293221	176.0410
33.000000	93.258514	176.2073
33.500000	93.277283	176.3856
34.000000	93.307762	176.2410
34.500000	93.307518	175.9028
35.000000	93.278214	175.6504
35.500000	93.253365	175.5151
36.000000	93.241196	175.3608
36.500000	93.226898	175.1217
37.000000	93.203110	174.9001
37.500000	93.181839	174.7542
38.200001	93.167854	174.6101
38.700001	93.165421	174.4909
39.500000	93.172356	174.3016
40.000000	93.180557	174.1530
40.599998	93.180229	173.9060
41.200001	93.163147	173.7091
41.799999	93.147079	173.6376
42.500000	93.148705	173.5800
43.099998	93.156303	173.3913
43.700001	93.147415	173.1133
44.400002	93.113884	172.8570
45.000000	93.087242	172.7740
45.500000	93.080765	172.7372
46.200001	93.087662	172.5947
46.799999	93.085907	172.3554
47.500000	93.063652	172.1342
48.200001	93.048912	172.0967
48.700001	93.057549	172.0472
49.400002	93.069107	171.8058
50.000000	93.050735	171.5890
50.799999	93.028572	171.4874
51.500000	93.036598	171.3837
52.200001	93.030472	171.1010
53.000000	92.993462	170.8904
53.799999	92.975319	170.8257
54.500000	92.965866	170.6852
55.200001	92.952545	170.5601
56.000000	92.949043	170.4027
57.000000	92.922577	170.0839
58.000000	92.895493	170.0194
59.000000	92.898727	169.7805
60.000000	92.869858	169.5031
60.799999	92.846313	169.3681
61.500000	92.827202	169.2542
62.200001	92.812500	169.1923
63.000000	92.809662	169.0635
64.000000	92.780342	168.8023
65.000000	92.755501	168.8175
66.000000	92.767006	168.6800
67.000000	92.757004	168.3918
68.000000	92.734215	168.1437
69.000000	92.709442	167.9836
70.000000	92.695602	167.8370
71.000000	92.674080	167.6604
72.000000	92.658379	167.5856
73.000000	92.653694	167.4326
74.000000	92.635040	167.2326
75.000000	92.611183	167.1461
76.199997	92.617279	166.9721
77.500000	92.583084	166.5371
78.800003	92.543564	166.3985
80.000000	92.527069	166.2745
81.199997	92.520424	166.1291
82.500000	92.511528	165.8977
83.800003	92.475456	165.6787
85.000000	92.452278	165.6293
86.199997	92.426414	165.4861
87.500000	92.403114	165.3413
88.500000	92.383057	165.2066
90.000000	92.368599	164.9426
91.199997	92.345329	164.7055
92.500000	92.319199	164.4933
93.800003	92.300591	164.3410
95.000000	92.276222	164.1219
96.199997	92.237373	164.0009
97.500000	92.217102	163.9420
98.800003	92.193901	163.7249
100.000000	92.171120	163.5117
101.500000	92.115311	163.3516
103.000000	92.104477	163.1376
104.400002	92.062714	162.9763
106.000000	92.033798	162.8116
107.500000	92.021301	162.5345
109.000000	91.987244	162.4466
110.599998	91.954552	162.1831
112.000000	91.948509	162.1924
