* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2021 5:38:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UE18+Pro To-Go L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.899353	-148.3776
20.299999	88.898865	-148.6689
20.600000	88.908127	-148.7536
20.900000	88.943542	-148.7061
21.200001	89.016708	-148.6933
21.400000	89.078461	-148.7823
21.799999	89.209869	-149.2338
22.000000	89.268425	-149.5926
22.400000	89.355202	-150.4884
22.700001	89.388321	-151.1543
23.000000	89.404190	-151.7163
23.299999	89.419281	-152.1728
23.600000	89.440231	-152.5524
24.000000	89.480835	-153.0305
24.299999	89.516968	-153.4317
24.700001	89.560547	-154.0220
25.000000	89.584229	-154.4670
25.400000	89.606796	-155.0116
25.799999	89.623672	-155.4325
26.200001	89.647270	-155.7456
26.500000	89.674942	-155.9444
26.900000	89.724411	-156.2062
27.200001	89.768356	-156.4562
27.600000	89.825333	-156.9020
28.000000	89.858917	-157.4406
28.500000	89.856163	-158.0430
29.000000	89.832123	-158.2609
29.500000	89.851013	-158.1414
30.000000	89.934921	-158.1131
30.400000	90.018806	-158.4126
30.700001	90.066658	-158.7979
31.100000	90.097801	-159.3625
31.500000	90.104111	-159.8304
32.000000	90.113319	-160.2200
32.500000	90.145203	-160.6169
33.000000	90.171860	-161.1472
33.500000	90.170898	-161.6647
34.000000	90.162918	-161.9726
34.500000	90.186096	-162.1837
35.000000	90.228111	-162.5033
35.500000	90.255798	-162.9245
36.000000	90.265335	-163.2186
36.500000	90.291077	-163.3456
37.000000	90.351173	-163.5368
37.500000	90.413849	-164.0052
38.200001	90.423492	-164.7901
38.700001	90.393959	-165.0169
39.500000	90.428886	-164.9920
40.000000	90.485344	-165.3062
40.599998	90.488930	-166.0378
41.200001	90.410309	-166.4011
41.799999	90.366470	-166.1173
42.500000	90.449165	-165.8911
43.099998	90.536865	-166.4242
43.700001	90.556160	-167.1960
44.400002	90.534248	-167.8438
45.000000	90.521431	-168.2318
45.500000	90.514671	-168.4479
46.200001	90.541199	-168.5159
46.799999	90.615364	-168.7035
47.500000	90.671799	-169.2158
48.200001	90.693176	-169.2678
48.700001	90.769455	-169.1383
49.400002	90.911484	-169.6989
50.000000	90.896042	-170.5113
50.799999	90.790329	-170.2442
51.500000	90.888748	-169.6538
52.200001	90.985840	-170.3820
53.000000	90.883423	-171.1536
53.799999	90.841881	-171.1622
54.500000	90.819016	-172.0063
55.200001	90.632896	-172.6308
56.000000	90.509071	-171.7247
57.000000	90.723755	-171.7273
58.000000	90.748871	-173.3696
59.000000	90.708748	-173.5613
60.000000	90.847351	-174.1101
60.799999	90.814339	-175.1566
61.500000	90.685165	-175.1356
62.200001	90.663628	-174.2630
63.000000	90.795151	-173.8909
64.000000	90.842896	-174.8296
65.000000	90.709473	-175.0685
66.000000	90.701660	-174.6097
67.000000	90.755966	-175.0435
68.000000	90.729431	-175.5167
69.000000	90.736649	-175.8477
70.000000	90.713020	-176.1442
71.000000	90.755013	-176.1194
72.000000	90.795609	-176.7533
73.000000	90.752647	-176.9534
74.000000	90.796532	-177.0998
75.000000	90.767517	-177.5078
76.199997	90.792404	-177.4865
77.500000	90.728622	-177.5137
78.800003	90.945557	-177.0883
80.000000	90.918991	-178.6542
81.199997	90.857475	-178.4434
82.500000	90.828247	-179.1257
83.800003	90.755135	-178.9196
85.000000	90.809120	-178.9911
